Ant_ID,colony,colony_act,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,period1to2,group_period3,period2to3,group_period4,period3to4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
Ant172,78,6,172,173.416,183,50,F,F,same,NA,NA,NA,NA,71.4545,11.5455,63.9091,231.45455,274.27273,521.81818,3.545
Ant48,78,6,48,173.727,183,86,F,F,same,F,same,NA,NA,50.6364,67.8182,10.7273,331.36364,371.18182,927.72727,4.818
Ant202,78,6,202,174.428,183,62,F,F,same,F,same,NA,NA,10.2727,335,27.5455,166.36364,286.09091,721.45455,0.7273
Ant12,78,6,12,193.331,183,0,N,N,same,N,same,N,same,247.818,0.0909091,0,510.18182,193.18182,121.45455,7.091
Ant175,78,6,175,195.576,183,7,F,F,same,F,same,F,same,2.27273,1.18182,6.90909,202.09091,387.54545,529,1.364
Ant482,78,6,482,196.657,183,0,C,C,same,NA,NA,NA,NA,106.636,15.6364,0.545455,488.63636,218,286.27273,5.364
Ant462,78,6,462,221.02,183,0,C,F,switch,NA,NA,NA,NA,3.27273,9.18182,0,181.63636,110.63636,315.54545,0.2727
Ant6,78,6,6,231.353,183,0,F,F,same,F,same,F,same,0.818182,0.0909091,0.545455,123.72727,200.63636,399.09091,0
Ant260,78,6,260,165.194,190,74,F,F,same,F,same,F,same,0.0909091,15.2727,1.18182,114.45455,189.63636,748.63636,0.09091
Ant60,78,6,60,182.521,190,20,F,F,same,F,same,NA,NA,5.36364,77.7273,11.7273,147.09091,260.45455,602.27273,0
Ant376,78,6,376,207.234,190,0,F,F,same,F,same,F,same,11.9091,8,0.181818,175.09091,241.45455,588.27273,1.182
Ant35,78,6,35,175.923,197,40,F,NA,NA,NA,NA,NA,NA,0,18.1818,0.454545,40.090909,91.545455,620.45455,0
Ant206,78,6,206,241.108,197,0,F,C,switch,N,switch,C,switch,16.8182,5.18182,0.0909091,426.54545,310.72727,403.90909,1.545
Ant149,78,6,149,155.563,204,26,F,F,same,F,same,F,same,11.3636,26,0.727273,182,220.81818,704.09091,0.1818
Ant210,78,6,210,164.514,204,0,N,N,same,N,same,N,same,68.3636,1,1.18182,508.72727,167.09091,108.81818,12.18
Ant607,78,6,607,190.882,204,11,F,F,same,F,same,F,same,0.727273,14.8182,1.09091,80.363636,123.45455,513.45455,0
Ant332,78,6,332,203.384,204,1,F,F,same,F,same,C,switch,14.1818,4.72727,0.545455,312.36364,364.27273,521.09091,3.091
Ant621,78,6,621,207.894,204,0,F,F,same,F,same,F,same,2.90909,10.1818,0.363636,227.72727,291.81818,676.36364,1.636
Ant42,78,6,42,229.212,204,1,F,F,same,F,same,NA,NA,0,2.54545,0.0909091,131.45455,236.90909,641,0
Ant501,78,6,501,165.849,211,4,F,F,same,F,same,NA,NA,0,34.0909,7.45455,20.090909,36.818182,240.45455,0.2727
Ant24,78,6,24,177.37,211,0,C,F,switch,F,same,C,switch,13.3636,0.818182,0.909091,179.45455,228.63636,238.90909,1.545
Ant196,78,6,196,181.648,211,11,F,F,same,F,same,F,same,1,8.09091,0,312.72727,447,831.72727,0.3636
Ant55,78,6,55,200.532,211,24,F,F,same,F,same,F,same,3.72727,42.9091,2.27273,128.27273,176.45455,588.63636,0.8182
Ant540,78,6,540,168.6,246,0,C,NA,NA,NA,NA,NA,NA,114.818,2.18182,2.45455,635.72727,319.45455,292,5.909
Ant1,78,6,1,179.903,246,1,F,F,same,F,same,NA,NA,0,1.36364,0,5.8181818,36.727273,565.27273,0
Ant49,78,6,49,181.739,246,34,F,F,same,F,same,F,same,6.09091,35.6364,1.81818,223.09091,258.27273,720.54545,1.182
Ant169,78,6,169,185.421,246,67,F,F,same,F,same,C,switch,0,40.1818,3.09091,69.909091,121.81818,671.81818,0.2727
Ant237,78,6,237,220.69,246,75,F,NA,NA,NA,NA,NA,NA,1.27273,3.09091,0,51.727273,80.727273,932.27273,0
Ant147,78,6,147,178.138,260,24,F,F,same,F,same,NA,NA,0,1.27273,0,43.090909,80.090909,547.18182,0
Ant118,78,6,118,179.739,260,18,F,F,same,F,same,C,switch,1.36364,14.3636,2.27273,137.54545,220.09091,616,0
Ant74,78,6,74,304.015,1453,0,Q,Q,same,Q,same,Q,same,666,0,0.272727,1713.9091,115.63636,29.545455,0
