"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,9,0,2,2,1,12,14,7,14,8,3,6,0,1,2,7,6,24,21,0,19,11,0,5,7,4,7,4,6,0,0,2,0,0,3,4,0,4,1,0,12,0,21,11,3,9,5,9,10,1,6,5,9,14
"Ant52",9,0,0,1,1,0,0,6,7,2,16,1,1,0,5,0,0,0,10,3,1,16,2,1,7,2,9,1,0,0,0,0,2,0,0,3,3,0,4,0,0,24,1,4,10,1,0,1,0,4,0,4,6,0,1
"Ant540",0,0,0,0,0,34,0,0,0,0,0,0,0,2,0,14,0,0,0,0,21,0,0,11,0,0,0,0,0,0,8,28,0,7,14,0,0,3,0,0,47,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"Ant6",2,1,0,0,1,5,5,0,5,26,5,1,8,2,2,6,10,3,28,5,15,19,11,4,2,2,1,2,17,4,1,0,15,0,0,7,6,0,2,6,4,3,4,9,4,2,1,4,2,3,9,0,0,0,11
"Ant7",2,1,0,1,0,0,1,0,5,0,0,0,18,0,1,1,14,22,10,4,3,5,1,9,0,4,2,1,1,4,2,0,10,2,0,0,1,1,5,1,1,4,1,17,0,0,1,3,1,2,4,2,2,1,13
"Ant14",1,0,34,5,0,0,0,0,0,0,0,0,0,1,0,17,0,4,4,0,18,2,0,27,0,0,0,0,16,0,3,4,3,5,2,0,3,12,0,13,12,0,0,0,0,0,2,0,0,0,3,2,0,4,0
"Ant19",12,0,0,5,1,0,0,0,3,0,0,11,21,0,3,2,3,10,21,31,2,1,1,2,3,2,0,1,1,1,7,0,10,2,0,1,0,2,2,18,0,4,2,2,1,0,0,17,0,1,0,0,4,1,2
"Ant26",14,6,0,0,0,0,0,0,6,3,3,0,0,0,1,0,0,0,15,5,0,14,0,3,2,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,0,4,4,12,0,0,3,0,0,4,2,0,0
"Ant30",7,7,0,5,5,0,3,6,0,8,5,6,1,0,3,0,1,0,44,22,1,5,10,1,12,5,5,4,1,3,0,0,8,0,0,9,10,2,5,0,0,15,4,15,8,25,1,3,5,3,0,1,4,3,7
"Ant38",14,2,0,26,0,0,0,3,8,0,0,7,1,0,5,3,17,6,5,0,9,4,3,6,7,6,8,2,0,8,3,0,8,1,0,4,9,1,2,2,0,0,8,5,5,18,3,4,2,4,0,7,5,0,8
"Ant60",8,16,0,5,0,0,0,3,5,0,0,8,1,0,12,0,4,0,14,8,0,39,0,0,5,10,9,4,0,6,0,0,0,0,0,1,3,1,4,0,0,6,3,13,9,0,0,8,12,8,0,15,2,0,6
"Ant148",3,1,0,1,0,0,11,0,6,7,8,0,18,0,2,0,3,2,19,10,0,6,3,2,13,0,2,42,5,1,0,0,10,0,0,11,0,0,5,1,0,0,5,5,0,0,0,10,0,0,0,5,0,6,32
"Ant158",6,1,0,8,18,0,21,0,1,1,1,18,0,0,0,0,8,6,11,7,0,5,0,0,6,2,0,4,3,10,3,0,4,2,0,0,0,0,1,6,0,8,4,5,6,0,0,14,3,1,0,0,4,5,17
"Ant202",0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,20,1,0,0,0,21,0,0,3,0,0,0,0,8,0,2,8,0,7,4,0,1,20,0,2,7,0,0,0,1,0,0,0,0,0,23,0,0,5,0
"Ant209",1,5,0,2,1,0,3,1,3,5,12,2,0,0,0,0,2,4,22,4,1,23,8,0,10,5,2,3,5,10,0,0,1,0,0,5,1,0,4,0,0,19,1,13,9,1,1,1,4,4,0,13,2,0,2
"Ant268",2,0,14,6,1,17,2,0,0,3,0,0,0,20,0,0,0,3,0,0,16,0,0,16,0,0,3,0,13,0,7,14,20,12,5,0,18,43,0,2,9,0,4,0,2,1,7,0,2,0,8,0,0,25,0
"Ant311",7,0,0,10,14,0,3,0,1,17,4,3,8,1,2,0,0,18,12,7,2,7,2,6,4,3,0,2,6,21,1,0,12,10,0,0,5,6,8,10,1,3,4,8,11,0,14,1,7,4,11,11,4,14,11
"Ant518",6,0,0,3,22,4,10,0,0,6,0,2,6,0,4,3,18,0,12,1,0,9,0,5,4,0,0,0,1,6,1,0,4,0,0,0,0,6,0,9,1,0,2,1,1,0,4,6,6,0,0,4,1,9,5
"Ant0",24,10,0,28,10,4,21,15,44,5,14,19,11,0,22,0,12,12,2,25,10,52,17,5,14,12,17,6,12,29,0,0,10,2,0,24,6,0,24,4,0,11,15,30,5,4,2,30,10,10,4,23,29,1,39
"Ant32",21,3,0,5,4,0,31,5,22,0,8,10,7,0,4,0,7,1,25,0,0,27,6,2,1,0,3,18,0,4,0,0,0,0,0,10,26,0,5,0,0,2,3,14,7,2,9,7,9,11,4,17,16,4,8
"Ant43",0,1,21,15,3,18,2,0,1,9,0,0,0,21,1,16,2,0,10,0,0,0,11,31,0,0,1,0,9,0,7,32,3,12,16,0,23,7,2,13,4,0,8,0,1,0,3,0,0,1,13,1,0,12,1
"Ant44",19,16,0,19,5,2,1,14,5,4,39,6,5,0,23,0,7,9,52,27,0,0,1,2,14,4,18,10,0,10,1,0,1,0,0,13,0,0,22,2,0,37,3,17,22,9,0,11,16,17,0,20,7,4,14
