"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,6,0,4,13,0,12,2,7,21,4,8,15,0,8,3,21,13,23,7,1,15,18,1,4,12,7,3,16,13,0,18,25,3,0,8,12,1,1,3,0,5,3,29,5,2,2,6,5,10,7,7,9,3,8
"Ant52",6,0,0,0,0,0,0,1,9,1,3,5,0,0,16,0,0,0,3,1,0,4,2,0,1,0,7,4,1,3,0,1,1,1,0,6,0,0,2,0,0,14,1,0,4,5,0,2,1,3,0,6,2,0,3
"Ant540",0,0,0,0,0,19,0,0,0,0,0,0,0,10,0,23,0,0,0,0,14,0,0,16,0,0,0,0,0,0,5,17,0,16,22,0,0,8,0,8,30,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"Ant6",4,0,0,0,0,0,6,0,8,0,1,1,7,0,1,26,15,3,6,16,1,10,2,2,0,0,5,10,1,0,0,0,2,0,0,1,7,1,5,9,0,9,1,18,13,0,2,2,12,4,8,18,4,5,4
"Ant7",13,0,0,0,0,1,1,4,4,2,0,0,9,2,6,1,23,5,2,1,2,1,1,2,0,7,1,0,8,4,0,2,14,3,0,0,5,0,0,11,1,1,4,4,6,0,1,0,7,1,1,5,8,3,3
"Ant14",0,0,19,0,1,0,1,0,0,0,0,2,0,18,0,12,0,0,0,1,14,0,0,17,0,0,0,0,1,1,14,16,2,32,30,0,2,0,2,1,15,0,0,0,0,0,2,3,1,0,4,0,0,2,0
"Ant19",12,0,0,6,1,1,0,1,7,4,2,0,6,0,0,0,32,7,12,2,0,7,8,0,0,5,6,0,3,7,1,0,11,0,0,2,5,1,4,11,0,5,0,3,11,0,2,0,5,4,3,9,0,6,11
"Ant26",2,1,0,0,4,0,1,0,4,6,4,1,1,0,0,0,11,2,30,1,0,13,5,0,0,1,1,0,0,3,0,0,1,0,0,23,8,1,0,0,0,7,0,1,12,6,0,0,16,0,0,2,2,0,5
"Ant30",7,9,0,8,4,0,7,4,0,0,12,1,7,0,3,2,6,1,32,18,1,12,18,0,5,6,23,2,3,7,0,2,4,4,0,3,8,0,3,2,0,11,3,8,6,12,5,18,7,6,1,4,11,1,0
"Ant38",21,1,0,0,2,0,4,6,0,0,2,0,1,0,3,0,12,9,16,5,0,3,7,0,2,6,10,2,0,12,0,3,13,0,0,9,12,3,3,0,0,2,5,0,8,0,2,4,5,11,1,0,2,1,28
