"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant252","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant137","Ant140","Ant142","Ant169","Ant176","Ant178","Ant195","Ant207","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant356","Ant394","Ant395","Ant400","Ant437","Ant458","Ant492","Ant507","Ant527","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,1,0,16,1,5,10,5,15,22,10,6,9,10,9,1,0,3,0,7,11,19,0,2,13,1,5,17,2,7,13,5,2,21,18,4,6,6,0,4,10,0,2,4,4,1,9,8,0,13,1,2,2,10,3,5,4,15,7,0,16,0,4,13,11,2,21
"Ant52",1,0,0,1,0,0,0,0,0,1,1,4,3,0,0,0,7,1,0,0,0,8,14,0,3,11,0,4,0,2,12,0,0,1,2,10,0,0,0,0,0,0,0,0,5,0,2,0,0,1,4,0,6,4,1,1,0,0,0,0,0,0,3,0,0,0,5
"Ant540",0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,3,0,0,12,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,3,86,0,0,3,25,0,0,10,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant6",16,1,0,0,11,2,10,10,0,6,6,1,1,2,24,0,0,0,0,3,5,31,0,2,9,0,3,5,2,4,0,2,1,3,1,0,8,7,0,1,12,0,2,1,1,0,1,0,0,3,4,5,1,8,4,2,10,11,13,5,8,4,1,9,6,5,13
"Ant7",1,0,0,11,0,6,3,0,0,2,0,2,0,1,29,0,0,0,14,24,0,6,1,3,2,0,7,0,3,0,1,4,6,3,0,0,2,1,0,4,2,0,6,0,1,1,0,20,0,2,0,0,0,7,0,0,1,0,3,9,1,0,0,1,14,3,17
"Ant14",5,0,13,2,6,0,3,1,0,6,0,4,3,23,6,31,0,2,17,6,10,0,0,14,0,0,14,2,10,0,0,12,11,2,1,0,3,16,11,10,1,23,13,1,8,5,2,4,3,0,0,6,0,1,4,2,1,1,8,13,3,2,12,1,4,21,10
"Ant19",10,0,0,10,3,3,0,3,4,2,1,7,0,27,2,0,3,7,5,1,0,0,0,10,0,3,10,0,0,0,0,17,13,0,12,0,4,2,0,3,14,13,6,0,27,5,0,12,14,4,8,1,0,4,7,13,1,14,5,1,0,1,9,1,4,8,1
"Ant26",5,0,0,10,0,1,3,0,5,15,5,1,2,1,7,0,4,0,1,9,5,13,1,2,16,0,0,0,1,1,0,0,1,4,0,0,11,0,1,0,4,0,0,0,1,0,24,1,0,2,12,5,0,0,3,0,3,8,3,2,1,0,2,4,6,0,7
"Ant30",15,0,0,0,0,0,4,5,0,4,0,18,11,1,9,1,3,11,0,1,0,10,5,1,2,0,8,7,0,5,1,6,10,9,19,10,2,1,0,6,8,1,3,5,11,0,0,2,0,12,6,1,1,7,11,23,14,0,8,1,7,0,8,7,5,1,0
"Ant38",22,1,0,6,2,6,2,15,4,0,3,10,13,4,10,0,1,1,4,15,4,23,0,0,20,0,3,0,2,6,3,12,1,15,0,0,47,7,0,6,5,0,0,0,12,0,5,5,0,13,21,10,3,5,2,0,12,13,12,1,18,0,0,17,16,3,7
"Ant60",10,1,0,6,0,0,1,5,0,3,0,1,6,0,14,0,10,8,1,16,0,27,3,0,20,0,1,1,0,3,16,1,0,12,3,0,4,0,0,0,7,0,0,13,12,0,17,4,0,16,14,1,22,4,10,3,2,0,5,0,24,0,0,28,3,3,3
"Ant76",6,4,0,1,2,4,7,1,18,10,1,0,11,3,7,0,1,1,1,5,5,16,3,2,3,2,2,0,3,4,3,0,3,3,7,2,3,4,0,3,5,0,1,1,0,0,4,4,0,3,6,3,3,1,4,3,2,5,8,1,3,0,0,8,1,5,13
"Ant148",9,3,0,1,0,3,0,2,11,13,6,11,0,4,13,0,0,23,0,2,2,2,0,1,8,12,5,0,0,0,16,0,1,12,9,0,1,1,0,1,10,0,1,8,5,0,5,0,1,7,16,4,3,2,5,17,4,0,3,1,16,0,6,5,9,1,7
"Ant158",10,0,1,2,1,23,27,1,1,4,0,3,4,0,11,1,0,5,24,30,17,17,0,15,10,0,20,1,13,4,0,11,22,6,4,0,12,14,11,14,5,28,3,3,2,2,1,14,0,0,0,2,0,18,0,1,5,2,13,4,6,7,19,4,2,21,5
"Ant191",9,0,0,24,29,6,2,7,9,10,14,7,13,11,0,0,1,3,8,24,13,13,6,32,17,8,10,5,7,7,7,22,28,4,16,0,19,11,0,13,6,3,5,13,16,2,9,16,16,17,7,15,5,17,6,12,4,7,12,2,8,4,15,7,2,11,35
"Ant202",1,0,3,0,0,31,0,0,1,0,0,0,0,1,0,0,0,0,8,2,0,1,0,6,1,0,0,0,0,1,1,20,1,1,15,0,0,6,41,20,0,6,5,0,5,6,0,0,1,0,0,1,0,0,2,13,0,0,6,12,0,2,2,0,0,0,1
"Ant209",0,7,0,0,0,0,3,4,3,1,10,1,0,0,1,0,0,3,0,18,0,1,25,1,41,3,4,4,0,8,10,0,0,3,5,4,0,0,0,0,0,2,0,2,0,0,1,0,0,3,18,0,17,1,15,9,4,6,1,0,4,0,1,1,2,0,0
"Ant252",3,1,0,0,0,2,7,0,11,1,8,1,23,5,3,0,3,0,0,6,0,2,3,4,3,6,1,0,0,1,10,9,3,1,9,0,0,1,0,1,8,3,0,12,18,0,0,1,1,0,16,12,0,1,17,45,10,3,9,7,0,5,11,1,0,0,0
"Ant268",0,0,12,0,14,17,5,1,0,4,1,1,0,24,8,8,0,0,0,0,12,1,0,12,6,1,8,1,10,0,4,10,9,2,17,0,0,22,5,9,2,4,11,0,9,24,0,1,4,3,0,3,0,2,1,6,0,0,1,7,0,15,3,0,0,21,0
"Ant311",7,0,0,3,24,6,1,9,1,15,16,5,2,30,24,2,18,6,0,0,11,16,0,0,10,4,11,1,5,7,44,2,16,4,13,0,8,3,0,5,7,5,1,2,4,0,11,9,15,15,28,18,24,20,5,35,7,1,2,0,5,0,3,6,6,5,13
"Ant518",11,0,0,5,0,10,0,5,0,4,0,5,2,17,13,0,0,0,12,11,0,4,0,3,8,0,12,0,3,7,0,9,5,3,15,0,6,2,4,3,4,0,0,1,4,0,2,6,6,4,3,5,2,5,1,0,2,7,6,3,1,3,2,3,7,6,25
"Ant0",19,8,0,31,6,0,0,13,10,23,27,16,2,17,13,1,1,2,1,16,4,0,10,6,16,0,6,12,3,10,29,5,1,15,2,0,12,0,0,1,2,1,0,2,1,0,10,2,0,7,8,2,22,15,20,2,3,46,10,2,33,1,0,85,25,4,33
