"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,0,0,18,8,3,17,3,18,0,3,7,22,1,10,0,10,5,8,12,1,16,16,0,6,8,3,3,14,5,4,3,16,0,0,3,5,0,1,11,2,20,9,9,10,8,18,11,11,2,0,9,1,0,6
"Ant52",0,0,0,1,0,0,3,1,4,3,4,0,1,0,33,0,0,0,3,0,0,15,3,0,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,6,0,1,1,2,0,0,2,0,18
"Ant540",0,0,0,0,0,7,0,0,0,0,0,0,0,29,0,12,2,0,0,0,60,0,0,18,0,0,0,0,0,0,9,12,0,21,55,0,0,37,0,22,29,0,0,0,0,0,0,0,0,0,29,0,0,54,0
"Ant6",18,1,0,0,16,6,7,20,6,4,7,2,7,0,1,0,10,12,11,6,0,17,12,0,3,2,5,0,4,1,2,3,0,0,0,1,12,0,2,0,0,20,8,21,17,6,5,3,9,0,0,1,7,0,4
"Ant7",8,0,0,16,0,2,11,1,13,0,5,4,7,0,2,4,23,13,11,8,8,3,2,0,11,10,5,4,10,6,1,0,22,0,0,3,2,0,3,3,7,0,1,9,7,0,9,0,6,0,1,8,6,0,6
"Ant14",3,0,7,6,2,0,7,8,0,0,1,2,9,3,0,6,23,8,5,1,13,11,1,5,1,2,1,0,6,7,9,6,13,28,17,1,8,26,6,20,15,0,2,3,8,0,11,2,10,2,22,2,1,2,11
"Ant19",17,3,0,7,11,7,0,0,5,10,3,6,11,2,1,2,7,8,6,1,1,13,12,0,0,2,4,0,7,7,1,7,17,0,0,1,16,0,0,15,0,29,1,5,10,0,5,5,5,0,0,8,1,0,20
"Ant26",3,1,0,20,1,8,0,0,11,0,0,0,4,0,13,0,8,1,5,4,0,10,0,0,6,21,0,1,0,3,1,0,5,0,0,1,1,0,4,1,0,10,1,4,7,0,2,0,2,1,0,1,3,0,1
"Ant30",18,4,0,6,13,0,5,11,0,1,9,1,2,0,2,0,21,5,27,4,1,17,9,0,4,8,6,8,6,4,3,0,5,1,0,1,5,1,6,4,0,12,1,7,18,19,3,5,7,7,0,3,5,0,5
"Ant38",0,3,0,4,0,0,10,0,1,0,3,7,5,0,2,1,7,0,11,22,0,16,0,0,0,1,18,0,1,2,0,4,6,0,0,12,1,3,17,1,0,1,2,0,4,1,0,1,0,5,0,3,2,0,4
"Ant60",3,4,0,7,5,1,3,0,9,3,0,5,4,0,11,1,5,0,23,10,0,4,1,0,10,4,13,8,5,14,0,0,4,0,0,9,2,1,6,0,0,16,3,9,4,8,1,2,0,4,0,2,14,0,0
"Ant148",7,0,0,2,4,2,6,0,1,7,5,0,7,1,7,0,3,2,23,3,2,10,3,0,4,7,13,15,2,1,0,1,6,0,0,4,6,0,6,5,0,1,7,1,0,0,4,1,6,1,1,5,1,0,0
"Ant158",22,1,0,7,7,9,11,4,2,5,4,7,0,8,2,4,18,10,11,2,1,1,15,1,2,1,1,6,34,25,8,5,11,0,0,6,7,0,8,16,3,2,12,4,0,0,21,12,5,0,0,4,4,0,12
"Ant202",1,0,29,0,0,3,2,0,0,0,0,1,8,0,0,13,5,2,0,0,34,0,0,7,0,0,3,0,11,3,5,20,14,58,20,0,8,28,1,13,29,0,0,0,1,0,0,0,0,0,19,0,1,19,0
"Ant209",10,33,0,1,2,0,1,13,2,2,11,7,2,0,0,0,7,1,20,6,0,39,5,0,15,30,2,3,1,5,0,0,0,0,0,45,2,3,12,0,0,4,0,2,6,2,3,5,0,8,0,1,0,0,2
"Ant268",0,0,12,0,4,6,2,0,0,1,1,0,4,13,0,0,18,11,1,0,9,0,0,7,0,1,1,5,8,0,11,21,14,10,13,0,25,10,0,15,17,0,0,0,1,0,0,2,5,0,14,1,0,24,1
"Ant311",10,0,2,10,23,23,7,8,21,7,5,3,18,5,7,18,0,9,10,9,8,18,4,7,4,7,10,11,17,13,11,9,20,18,13,4,20,23,7,16,15,4,5,8,13,0,13,9,15,1,7,10,5,9,13
"Ant518",5,0,0,12,13,8,8,1,5,0,0,2,10,2,1,11,9,0,3,0,3,5,1,0,1,0,5,5,18,3,4,0,7,3,0,2,18,0,3,7,5,5,7,6,9,0,5,1,1,0,0,0,5,0,15
"Ant0",8,3,0,11,11,5,6,5,27,11,23,23,11,0,20,1,10,3,0,17,0,7,25,0,19,9,16,31,27,27,0,0,5,0,0,28,2,0,13,8,1,7,3,18,21,1,4,20,18,6,0,31,19,0,31
"Ant32",12,0,0,6,8,1,1,4,4,22,10,3,2,0,6,0,9,0,17,0,0,36,0,0,4,11,11,5,12,2,1,0,1,0,0,10,0,0,0,0,0,7,0,7,11,7,1,10,3,8,0,1,8,0,18
"Ant43",1,0,60,0,8,13,1,0,1,0,0,2,1,34,0,9,8,3,0,0,0,4,0,7,0,0,3,2,2,0,17,72,3,43,28,1,2,27,2,11,29,0,3,0,0,0,1,0,9,1,32,0,1,25,3
"Ant44",16,15,0,17,3,11,13,10,17,16,4,10,1,0,39,0,18,5,7,36,4,0,7,0,8,16,9,25,2,9,1,0,5,0,0,6,1,0,3,3,0,52,1,3,20,22,7,3,2,32,0,5,12,0,5
"Ant50",16,3,0,12,2,1,12,0,9,0,1,3,15,0,5,0,4,1,25,0,0,7,0,0,24,6,14,5,7,11,1,1,6,0,0,10,1,2,4,7,0,0,3,3,6,0,4,7,6,3,0,11,7,0,0
"Ant55",0,0,18,0,0,5,0,0,0,0,0,0,1,7,0,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,5,13,0,33,20,0,0,32,0,0,35,0,0,0,0,0,0,0,0,0,12,0,0,4,0
"Ant63",6,1,0,3,11,1,0,6,4,0,10,4,2,0,15,0,4,1,19,4,0,8,24,0,0,16,2,10,4,4,0,0,0,0,0,1,5,0,1,1,0,15,2,14,5,3,0,4,3,1,0,19,16,0,4
"Ant97",8,1,0,2,10,2,2,21,8,1,4,7,1,0,30,1,7,0,9,11,0,16,6,0,16,0,5,7,7,2,1,0,4,0,0,5,5,0,1,4,0,6,0,1,6,8,1,2,2,3,0,0,4,0,2
"Ant98",3,6,0,5,5,1,4,0,6,18,13,13,1,3,2,1,10,5,16,11,3,9,14,0,2,5,0,1,11,3,6,4,8,0,0,7,1,0,0,3,0,16,4,1,8,17,5,7,4,8,7,0,7,0,5
"Ant137",3,0,0,0,4,0,0,1,8,0,8,15,6,0,3,5,11,5,31,5,2,25,5,0,10,7,1,0,7,28,3,0,0,0,0,1,6,0,1,0,2,7,3,7,6,16,5,0,1,14,0,0,0,0,10
"Ant140",14,0,0,4,10,6,7,0,6,1,5,2,34,11,1,8,17,18,27,12,2,2,7,0,4,7,11,7,0,5,8,0,23,1,0,27,25,1,0,4,1,2,1,2,10,0,11,1,7,5,3,15,1,0,4
"Ant169",5,0,0,1,6,7,7,3,4,2,14,1,25,3,5,0,13,3,27,2,0,9,11,0,4,2,3,28,5,0,1,10,7,0,0,7,5,0,1,1,3,24,9,2,5,0,5,9,3,2,0,5,4,0,0
"Ant176",4,0,9,2,1,9,1,1,3,0,0,0,8,5,0,11,11,4,0,1,17,1,1,5,0,1,6,3,8,1,0,15,6,25,12,2,1,13,3,10,11,1,0,0,1,0,2,0,2,0,10,4,0,1,7
