"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,4,0,4,14,0,8,0,24,15,3,11,7,0,19,0,21,9,12,6,0,8,3,0,7,3,1,5,3,18,0,4,12,0,0,15,24,0,12,3,1,28,0,0,23,3,14,17,20,6,0,2,27,2,17
"Ant52",4,0,0,3,0,0,2,4,0,4,9,1,0,0,6,0,0,0,11,1,1,6,5,0,0,0,24,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,4,0,1,0,2,0,3,2,0,1
"Ant540",0,0,0,0,0,20,0,0,0,0,0,0,6,17,0,4,4,0,0,0,28,0,0,25,0,0,0,0,0,0,15,15,0,21,11,0,0,30,0,22,30,0,0,0,0,0,0,0,0,0,27,0,0,22,0
"Ant6",4,3,0,0,3,1,11,10,3,7,1,0,0,0,0,13,12,5,12,13,2,5,6,2,7,2,3,2,13,5,0,0,14,0,0,6,5,2,0,15,1,4,16,0,4,4,5,0,6,6,0,1,2,23,10
"Ant7",14,0,0,3,0,4,2,1,2,6,1,2,3,7,0,34,42,39,4,1,5,0,8,0,7,1,0,0,5,7,4,0,7,1,0,8,8,2,6,4,1,3,3,3,10,0,10,6,17,2,3,3,12,21,14
"Ant14",0,0,20,1,4,0,0,0,0,1,0,0,3,2,1,10,16,0,1,0,9,0,0,25,0,0,0,0,1,0,1,16,2,52,22,0,5,7,1,12,17,0,0,0,10,0,0,0,1,0,19,1,4,4,0
"Ant19",8,2,0,11,2,0,0,6,9,21,8,12,5,2,9,11,14,4,14,7,0,4,8,0,1,5,5,7,2,6,0,0,5,0,0,3,5,0,6,1,0,17,3,4,4,0,3,16,3,14,16,14,16,6,13
"Ant26",0,4,0,10,1,0,6,0,2,6,9,0,0,0,2,0,0,2,5,3,4,32,34,0,6,0,10,8,2,5,0,0,1,0,0,1,2,0,4,0,0,0,0,1,0,19,1,4,3,3,0,0,1,1,3
"Ant30",24,0,0,3,2,0,9,2,0,20,11,4,9,1,55,0,6,1,11,27,0,4,0,0,1,5,24,3,1,22,0,0,14,0,0,1,22,0,16,1,0,28,3,20,11,7,6,27,1,17,0,22,9,1,22
"Ant38",15,4,0,7,6,1,21,6,20,0,6,4,6,1,8,2,8,10,37,1,0,9,4,0,7,8,0,4,14,5,0,0,13,1,0,4,17,0,10,0,1,16,3,9,3,3,3,17,3,7,0,10,9,11,16
"Ant60",3,9,0,1,1,0,8,9,11,6,0,1,0,0,62,1,1,0,34,25,0,14,7,0,0,9,5,14,1,1,0,0,1,0,0,3,4,0,1,0,0,8,1,28,4,7,0,7,0,9,4,3,3,1,4
"Ant148",11,1,0,0,2,0,12,0,4,4,1,0,1,1,8,0,5,1,23,5,1,18,0,0,13,9,8,0,3,2,0,0,3,0,0,3,20,0,6,1,0,15,2,3,3,2,1,5,3,10,0,12,6,1,1
"Ant158",7,0,6,0,3,3,5,0,9,6,0,1,0,1,8,6,12,13,6,7,23,6,0,8,3,0,0,0,0,3,8,14,5,20,3,2,6,14,8,1,11,10,0,1,16,0,6,3,1,1,10,9,3,7,21
"Ant202",0,0,17,0,7,2,2,0,1,1,0,1,1,0,0,52,7,8,0,1,18,0,0,19,0,0,0,0,0,0,2,27,1,96,19,0,5,28,1,9,15,0,0,0,0,0,3,0,0,0,39,0,0,13,0
"Ant209",19,6,0,0,0,1,9,2,55,8,62,8,8,0,0,0,3,4,32,9,1,32,20,0,1,5,36,3,13,12,0,0,10,0,0,22,10,0,2,1,2,44,4,12,15,4,2,41,2,13,0,8,13,0,3
"Ant268",0,0,4,13,34,10,11,0,0,2,1,0,6,52,0,0,16,41,2,1,11,0,2,10,5,1,0,0,5,2,6,14,0,47,13,0,15,6,0,33,3,0,5,1,0,4,0,0,4,0,16,0,0,21,0
"Ant311",21,0,4,12,42,16,14,0,6,8,1,5,12,7,3,16,0,27,7,7,10,3,1,5,13,2,1,8,15,13,3,17,11,16,7,5,20,3,13,18,3,16,19,12,23,1,11,0,11,4,5,8,23,14,11
