"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant252","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant137","Ant140","Ant142","Ant169","Ant176","Ant178","Ant195","Ant207","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant356","Ant394","Ant395","Ant400","Ant437","Ant458","Ant492","Ant507","Ant527","Ant552","Ant560","Ant564","Ant593"
"Ant191",16,17,29,6,8,6,23,14,12,29,29,12,19,10,0,0,15,18,2,52,14,50,14,8,28,13,26,9,8,5,11,19,27,18,18,18,30,3,2,17,25,1,0,21,25,6,13,17,20,61,17,9,19,3,22,33,11,23,10,1,33,24,13,14,14,4,11
"Ant202",0,0,18,0,0,23,1,0,0,0,0,1,0,1,0,0,0,0,7,0,2,0,0,27,0,0,1,0,0,0,0,4,0,0,0,0,1,2,153,10,0,2,14,0,0,20,0,2,6,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,18,0
"Ant209",9,20,9,9,1,1,3,9,22,3,22,4,14,2,15,0,0,12,0,7,1,24,14,0,34,21,6,19,0,9,27,0,0,11,0,7,10,0,0,3,22,0,0,21,7,0,8,12,1,18,20,10,5,12,19,5,1,5,4,1,7,1,2,2,12,0,2
"Ant252",30,3,9,11,4,0,1,3,3,21,19,7,17,0,18,0,12,0,0,10,1,24,6,2,37,6,9,11,0,3,10,0,0,4,6,1,6,0,0,5,15,0,0,4,7,0,3,5,0,2,8,1,4,6,15,4,4,23,1,2,7,1,4,2,5,0,3
"Ant268",0,3,15,0,0,7,0,0,2,0,1,3,0,18,2,7,0,0,0,0,1,0,1,18,1,0,5,2,3,2,1,12,4,0,0,2,3,17,7,11,0,36,4,0,8,19,1,0,11,0,6,0,0,0,0,0,5,7,0,12,0,14,2,3,5,19,0
"Ant311",17,6,21,7,8,3,14,8,10,20,3,24,8,11,52,0,7,10,0,0,15,22,6,6,17,11,17,5,4,4,6,3,12,7,11,6,11,0,1,11,13,1,0,6,13,7,12,15,7,32,4,5,11,4,10,9,6,32,13,2,13,12,11,9,19,1,21
"Ant518",4,0,16,0,2,6,1,6,11,11,3,2,1,7,14,2,1,1,1,15,0,4,0,7,11,0,11,1,4,1,2,3,10,0,17,8,7,4,6,8,0,2,1,9,15,1,0,15,11,5,7,1,0,2,1,7,0,19,3,7,1,5,1,2,1,8,11
"Ant0",32,9,22,9,12,2,8,6,11,36,81,10,40,11,50,0,24,24,0,22,4,2,4,0,79,11,26,27,3,5,16,0,0,12,1,9,23,0,0,4,12,0,0,13,6,1,3,18,0,19,10,2,14,5,67,6,5,33,4,3,31,1,4,31,49,2,19
"Ant32",2,6,11,7,2,1,4,14,6,5,7,15,21,3,14,0,14,6,1,6,0,4,0,2,11,7,9,11,1,2,15,5,1,2,8,5,4,1,0,1,4,0,0,2,8,0,4,5,1,3,10,3,17,30,13,5,3,9,2,0,2,3,3,27,3,0,3
"Ant43",6,0,16,0,3,21,5,0,3,5,0,1,0,9,8,27,0,2,18,6,7,0,2,0,1,1,24,0,1,0,1,23,17,0,17,0,1,14,50,26,1,35,11,0,7,15,2,7,6,0,6,0,0,0,0,12,2,0,4,4,1,12,0,0,1,28,6
"Ant44",31,13,25,13,3,6,5,5,45,34,7,17,21,7,28,0,34,37,1,17,11,79,11,1,0,19,13,46,2,17,26,2,5,13,10,5,11,0,2,4,14,0,0,14,15,1,15,13,0,37,5,4,12,11,43,16,4,15,8,1,20,6,5,17,6,2,2
"Ant50",5,17,10,1,1,0,0,2,5,1,8,7,8,0,13,0,21,6,0,11,0,11,7,1,19,0,1,12,0,7,16,0,0,0,0,0,3,0,0,0,7,0,0,9,5,0,0,0,3,7,0,4,15,4,2,5,2,9,0,4,0,0,0,9,0,0,1
"Ant55",7,0,27,3,6,9,5,1,10,26,5,6,8,17,26,1,6,9,5,17,11,26,9,24,13,1,0,1,13,2,10,14,28,9,16,0,18,5,0,6,10,4,2,20,30,1,10,9,4,14,8,4,5,2,11,42,10,16,4,8,11,36,9,17,6,9,13
"Ant63",20,4,9,2,5,0,0,3,15,12,8,5,9,3,9,0,19,11,2,5,1,27,11,0,46,12,1,0,1,8,10,0,0,4,0,3,5,0,0,3,8,0,0,4,0,0,9,1,0,2,1,5,1,1,10,0,1,7,3,0,6,1,0,8,1,0,2
"Ant91",2,0,12,0,12,4,1,0,7,2,1,0,3,5,8,0,0,0,3,4,4,3,1,1,2,0,13,1,0,3,0,3,5,2,12,0,13,1,1,13,4,1,0,0,10,1,5,8,0,0,13,0,4,0,0,11,2,3,6,5,0,2,2,0,1,1,9
"Ant97",14,10,8,5,2,2,0,3,2,1,6,7,5,0,5,0,9,3,2,4,1,5,2,0,17,7,2,8,3,0,5,0,0,0,0,3,4,0,0,1,9,0,0,6,0,0,0,0,1,10,2,2,9,1,2,1,0,4,2,3,0,1,0,10,4,0,2
"Ant98",6,23,10,7,5,1,1,2,15,1,15,20,8,4,11,0,27,10,1,6,2,16,15,1,26,16,10,10,0,5,0,0,2,16,5,1,2,0,0,2,3,0,0,9,13,0,6,1,0,13,24,9,26,11,12,12,4,5,0,0,2,0,0,7,7,0,8
"Ant100",5,0,11,0,16,5,11,3,2,6,2,3,1,8,19,4,0,0,12,3,3,0,5,23,2,0,14,0,3,0,0,0,22,0,18,3,5,9,26,27,11,23,10,0,7,9,5,15,30,1,1,3,0,1,4,11,1,1,8,15,0,5,6,0,3,19,0
"Ant109",3,0,11,0,1,13,4,2,2,1,1,2,1,8,27,0,0,0,4,12,10,0,1,17,5,0,28,0,5,0,2,22,0,0,8,3,3,1,8,47,0,7,8,0,16,3,0,7,4,0,10,2,2,1,0,5,4,5,0,12,0,27,3,1,0,14,0
"Ant137",10,11,9,0,2,0,0,0,3,8,7,3,3,0,18,0,11,4,0,7,0,12,2,0,13,0,9,4,2,0,16,0,0,0,1,1,4,0,0,4,2,0,0,3,0,0,0,1,0,11,1,0,8,3,19,0,3,3,4,0,21,0,0,9,0,0,5
"Ant140",6,0,37,0,5,22,6,2,3,9,2,4,3,15,18,0,0,6,0,11,17,1,8,17,10,0,16,0,12,0,5,18,8,1,0,3,4,2,0,34,0,1,4,1,42,0,12,1,6,2,5,1,2,0,5,9,14,7,4,2,0,4,9,0,1,5,9
"Ant142",5,6,25,3,4,3,5,5,2,4,1,2,1,0,18,0,7,1,2,6,8,9,5,0,5,0,0,3,0,3,1,3,3,1,3,0,8,0,3,9,20,1,0,6,0,2,2,2,1,1,16,6,2,8,0,6,1,3,4,0,1,8,3,7,3,0,6
"Ant169",9,0,20,3,8,15,9,3,9,29,2,10,9,5,30,1,10,6,3,11,7,23,4,1,11,3,18,5,13,4,2,5,3,4,4,8,0,1,1,8,3,2,0,9,8,2,13,12,3,8,7,1,7,1,4,22,3,9,10,2,11,4,11,19,4,3,11
"Ant176",3,2,11,0,0,3,2,0,3,0,0,0,0,33,3,2,0,0,17,0,4,0,1,14,0,0,5,0,1,0,0,9,1,0,2,0,1,0,23,6,0,6,5,0,1,10,0,4,14,5,2,0,0,0,0,3,5,3,0,24,1,10,3,0,0,17,0
"Ant178",0,0,16,0,0,25,5,2,0,0,0,0,0,9,2,153,0,0,7,1,6,0,0,50,2,0,0,0,1,0,0,26,8,0,0,3,1,23,0,27,0,14,19,0,0,39,0,5,22,0,1,0,0,0,0,0,0,0,0,26,0,14,0,0,0,26,1
"Ant195",16,1,23,1,3,29,4,1,5,3,3,2,0,5,17,10,3,5,11,11,8,4,1,26,4,0,6,3,13,1,2,27,47,4,34,9,8,6,27,0,32,37,0,0,27,11,0,12,4,0,5,1,1,4,1,20,2,5,7,10,0,10,6,2,13,13,4
"Ant207",14,9,21,17,18,3,15,2,7,3,23,7,16,2,25,0,22,15,0,13,0,12,4,1,14,7,10,8,4,9,3,11,0,2,0,20,3,0,0,32,0,0,0,1,5,2,6,2,0,4,15,4,7,3,10,44,1,12,24,0,13,1,24,18,28,0,18
"Ant215",0,0,10,2,0,9,0,0,2,0,0,0,0,5,1,2,0,0,36,1,2,0,0,35,0,0,4,0,1,0,0,23,7,0,1,1,2,6,14,37,0,0,4,0,0,29,0,1,18,0,0,0,1,1,0,1,0,0,0,15,0,16,0,0,0,21,0
"Ant217",0,0,0,0,0,17,0,0,0,0,0,0,0,10,0,14,0,0,4,0,1,0,0,11,0,0,2,0,0,0,0,10,8,0,4,0,0,5,19,0,0,4,0,0,0,17,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,21,0
"Ant219",9,2,5,4,2,2,4,2,7,11,6,7,5,5,21,0,21,4,0,6,9,13,2,0,14,9,20,4,0,6,9,0,0,3,1,6,9,0,0,0,1,0,0,0,6,6,1,2,0,2,2,11,6,5,6,2,6,4,5,0,2,2,0,12,4,0,5
"Ant232",18,1,15,7,4,41,2,5,8,36,1,7,10,11,25,0,7,7,8,13,15,6,8,7,15,5,30,0,10,0,13,7,16,0,42,0,8,1,0,27,5,0,0,6,0,0,22,14,9,9,22,5,1,0,6,26,11,31,14,11,0,4,16,3,3,9,11
"Ant243",1,0,10,1,1,4,0,2,3,0,0,2,0,12,6,20,0,0,19,7,1,1,0,15,1,0,1,0,1,0,0,9,3,0,0,2,2,10,39,11,2,29,17,6,0,0,0,11,5,0,0,1,1,0,0,6,16,0,1,5,2,44,0,0,1,21,1
"Ant257",13,5,22,0,4,1,9,0,3,15,8,9,14,28,13,0,8,3,1,12,0,3,4,2,15,0,10,9,5,0,6,5,0,0,12,2,13,0,0,0,6,0,0,1,22,0,0,2,0,16,21,0,2,0,1,4,4,19,2,4,0,3,4,4,0,1,3
"Ant289",4,2,23,10,19,11,9,4,1,18,10,6,4,27,17,2,12,5,0,15,15,18,5,7,13,0,9,1,8,0,1,15,7,1,1,2,12,4,5,12,2,1,0,2,14,11,2,0,5,9,6,0,6,0,1,12,14,8,17,3,12,4,6,7,12,5,19
"Ant294",0,0,10,0,0,8,2,0,0,4,0,4,0,13,20,6,1,0,11,7,11,0,1,6,0,3,4,0,0,1,0,30,4,0,6,1,3,14,22,4,0,18,12,0,9,5,0,5,0,0,2,0,1,4,0,3,1,2,1,26,0,26,8,1,2,4,0
"Ant298",9,10,23,0,6,1,4,6,3,1,25,4,1,2,61,0,18,2,0,32,5,19,3,0,37,7,14,2,0,10,13,1,0,11,2,1,8,5,0,0,4,0,0,2,9,0,16,9,0,0,9,1,14,6,16,0,7,21,16,0,5,4,5,7,5,0,17
"Ant318",6,5,11,17,10,3,9,8,8,9,13,4,14,15,17,0,20,8,6,4,7,10,10,6,5,0,8,1,13,2,24,1,10,1,5,16,7,2,1,5,15,0,0,2,22,0,21,6,2,9,0,13,9,4,15,18,6,6,0,5,2,0,11,1,10,0,4
"Ant324",4,2,6,6,1,2,3,7,3,2,7,5,12,1,9,0,10,1,0,5,1,2,3,0,4,4,4,5,0,2,9,3,2,0,1,6,1,0,0,1,4,0,0,11,5,1,0,0,0,1,13,0,1,1,0,5,2,4,0,0,0,0,1,3,0,0,1
"Ant332",19,7,9,10,1,1,1,3,2,9,9,7,6,7,19,0,5,4,0,11,0,14,17,0,12,15,5,1,4,9,26,0,2,8,2,2,7,0,0,1,7,1,0,6,1,1,2,6,1,14,9,1,0,7,16,6,0,20,1,1,4,4,0,9,9,0,3
"Ant342",7,20,10,1,1,1,7,1,5,10,1,3,1,0,3,0,12,6,0,4,2,5,30,0,11,4,2,1,0,1,11,1,1,3,0,8,1,0,0,4,3,1,0,5,0,0,0,0,4,6,4,1,7,0,0,0,2,5,1,1,7,6,2,2,2,0,2
"Ant356",12,7,16,2,1,1,0,9,3,32,16,1,13,1,22,0,19,15,0,10,1,67,13,0,43,2,11,10,0,2,12,4,0,19,5,0,4,0,0,1,10,0,0,6,6,0,1,1,0,16,15,0,16,0,0,7,2,15,11,1,8,0,0,19,2,0,1
"Ant394",17,0,21,2,5,13,12,0,11,21,3,4,8,38,33,0,5,4,0,9,7,6,5,12,16,5,42,0,11,1,12,11,5,0,9,6,22,3,0,20,44,1,0,2,26,6,4,12,3,0,18,5,6,0,7,0,16,10,17,8,12,15,23,3,19,6,28
"Ant395",10,0,12,1,28,2,10,1,6,14,3,0,3,0,11,0,1,4,5,6,0,5,3,2,4,2,10,1,2,0,4,1,4,3,14,1,3,5,0,2,1,0,0,6,11,16,4,14,1,7,6,2,0,2,2,16,0,13,1,10,3,18,4,3,4,1,17
"Ant400",13,4,15,12,5,4,12,0,9,18,18,4,14,27,23,0,5,23,7,32,19,33,9,0,15,9,16,7,3,4,5,1,5,3,7,3,9,3,0,5,12,0,0,4,31,0,19,8,2,21,6,4,20,5,15,10,13,0,9,3,3,10,10,17,5,2,20
"Ant437",3,1,8,0,6,6,8,7,10,15,2,8,6,1,10,0,4,1,0,13,3,4,2,4,8,0,4,3,6,2,0,8,0,4,4,4,10,0,0,7,24,0,0,5,14,1,2,17,1,16,0,0,1,1,11,17,1,9,0,1,9,0,4,7,8,0,19
"Ant458",0,0,15,0,3,12,4,0,2,4,3,2,4,9,1,16,1,2,12,2,7,3,0,4,1,4,8,0,5,3,0,15,12,0,2,0,2,24,26,10,0,15,3,0,11,5,4,3,26,0,5,0,1,1,1,8,10,3,1,0,0,16,3,0,1,15,2
"Ant492",8,4,7,1,11,0,2,1,4,9,11,9,4,3,33,0,7,7,0,13,1,31,2,1,20,0,11,6,0,0,2,0,0,21,0,1,11,1,0,0,13,0,0,2,0,2,0,12,0,5,2,0,4,7,8,12,3,3,9,0,0,0,5,9,7,2,5
"Ant507",1,0,15,2,9,14,12,0,0,1,3,2,0,5,24,5,1,1,14,12,5,1,3,12,6,0,36,1,2,1,0,5,27,0,4,8,4,10,14,10,1,16,0,2,4,44,3,4,26,4,0,0,4,6,0,15,18,10,0,16,0,0,3,0,0,11,8
"Ant527",7,0,11,4,3,3,8,2,0,2,0,6,0,6,13,0,2,4,2,11,1,4,3,0,5,0,9,0,2,0,0,6,3,0,9,3,11,3,0,6,24,0,0,0,16,0,4,6,8,5,11,1,0,2,0,23,4,10,4,3,5,3,0,1,2,0,8
"Ant552",7,5,17,14,7,0,7,11,6,3,1,11,7,0,14,0,2,2,3,9,2,31,27,0,17,9,17,8,0,10,7,0,1,9,0,7,19,0,0,2,18,0,0,12,3,0,4,7,1,7,1,3,9,2,19,3,3,17,7,0,9,0,1,0,5,0,3
"Ant560",4,1,12,4,0,1,16,0,3,11,2,3,2,3,14,0,12,5,5,19,1,49,3,1,6,0,6,1,1,4,7,3,0,0,1,3,4,0,0,13,28,0,0,4,3,1,0,12,2,5,10,0,9,2,2,19,4,5,8,1,7,0,2,5,0,1,0
"Ant564",1,0,21,0,6,21,0,0,2,0,0,5,0,23,4,18,0,0,19,1,8,2,0,28,2,0,9,0,1,0,0,19,14,0,5,0,3,17,26,13,0,21,21,0,9,21,1,5,4,0,0,0,0,0,0,6,1,2,0,15,2,11,0,0,1,0,7
"Ant593",2,1,16,1,51,8,10,3,6,21,20,0,3,6,11,0,2,3,0,21,11,19,3,6,2,1,13,2,9,2,8,0,0,5,9,6,11,0,1,4,18,0,0,5,11,1,3,19,0,17,4,1,3,2,1,28,17,20,19,2,5,8,8,3,0,7,0
