"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant252","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant137","Ant140","Ant142","Ant169","Ant176","Ant178","Ant195","Ant207","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant356","Ant394","Ant395","Ant400","Ant437","Ant458","Ant492","Ant507","Ant527","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,10,11,9,3,1,4,12,5,7,10,13,12,4,16,0,9,30,0,17,4,32,2,6,31,5,7,20,2,14,6,5,3,10,6,5,9,3,0,16,14,0,0,9,18,1,13,4,0,9,6,4,19,7,12,17,10,13,3,0,8,1,7,7,4,1,2
"Ant52",10,0,11,7,0,0,2,2,13,1,9,4,5,0,17,0,20,3,3,6,0,9,6,0,13,17,0,4,0,10,23,0,0,11,0,6,0,2,0,1,9,0,0,2,1,0,5,2,0,10,5,2,7,20,7,0,0,4,1,0,4,0,0,5,1,0,1
"Ant540",11,11,0,19,14,7,3,13,7,18,7,8,6,14,29,18,9,9,15,21,16,22,11,16,25,10,27,9,12,8,10,11,11,9,37,25,20,11,16,23,21,10,0,5,15,10,22,23,10,23,11,6,9,10,16,21,12,15,8,15,7,15,11,17,12,21,16
"Ant6",9,7,19,0,1,7,4,0,14,2,6,2,3,6,6,0,9,11,0,7,0,9,7,0,13,1,3,2,0,5,7,0,0,0,0,3,3,0,0,1,17,2,0,4,7,1,0,10,0,0,17,6,10,1,2,2,1,12,0,0,1,2,4,14,4,0,1
"Ant7",3,0,14,1,0,1,7,3,2,16,1,2,4,13,8,0,1,4,0,8,2,12,2,3,3,1,6,5,12,2,5,16,1,2,5,4,8,0,0,3,18,0,0,2,4,1,4,19,0,6,10,1,1,1,1,5,28,5,6,3,11,9,3,7,0,6,51
"Ant14",1,0,7,7,1,0,4,0,2,6,4,3,1,26,6,23,1,0,7,3,6,2,1,21,6,0,9,0,4,2,1,5,13,0,22,3,15,3,25,29,3,9,17,2,41,4,1,11,8,1,3,2,1,1,1,13,2,4,6,12,0,14,3,0,1,21,8
"Ant19",4,2,3,4,7,4,0,12,1,4,3,4,2,9,23,1,3,1,0,14,1,8,4,5,5,0,5,0,1,0,1,11,4,0,6,5,9,2,5,4,15,0,0,4,2,0,9,9,2,4,9,3,1,7,0,12,10,12,8,4,2,12,8,7,16,0,10
"Ant26",12,2,13,0,3,0,12,0,1,7,1,24,8,4,14,0,9,3,0,8,6,6,14,0,5,2,1,3,0,3,2,3,2,0,2,5,3,0,2,1,2,0,0,2,5,2,0,4,0,6,8,7,3,1,9,0,1,0,7,0,1,0,2,11,0,0,3
"Ant30",5,13,7,14,2,2,1,1,0,11,1,9,7,13,12,0,22,3,2,10,11,11,6,3,45,5,10,15,7,2,15,2,2,3,3,2,9,3,0,5,7,2,0,7,8,3,3,1,0,3,8,3,2,5,3,11,6,9,10,2,4,0,0,6,3,2,6
"Ant38",7,1,18,2,16,6,4,7,11,0,7,5,12,25,29,0,3,21,0,20,11,36,5,5,34,1,26,12,2,1,1,6,1,8,9,4,29,0,0,3,3,0,0,11,36,0,15,18,4,1,9,2,9,10,32,21,14,18,15,4,9,1,2,3,11,0,21
"Ant60",10,9,7,6,1,4,3,1,1,7,0,7,7,6,29,0,22,19,1,3,3,81,7,0,7,8,5,8,1,6,15,2,1,7,2,1,2,0,0,3,23,0,0,6,1,0,8,10,0,25,13,7,9,1,16,3,3,18,2,3,11,3,0,1,2,0,20
"Ant76",13,4,8,2,2,3,4,24,9,5,7,0,4,2,12,1,4,7,3,24,2,10,15,1,17,7,6,5,0,7,20,3,2,3,4,2,10,0,0,2,7,0,0,7,7,2,9,6,4,4,4,5,7,3,1,4,0,4,8,2,9,2,6,11,3,5,0
"Ant148",12,5,6,3,4,1,2,8,7,12,7,4,0,3,19,0,14,17,0,8,1,40,21,0,21,8,8,9,3,5,8,1,1,3,3,1,9,0,0,0,16,0,0,5,10,0,14,4,0,1,14,12,6,1,13,8,3,14,6,4,4,0,0,7,2,0,3
"Ant158",4,0,14,6,13,26,9,4,13,25,6,2,3,0,10,1,2,0,18,11,7,11,3,9,7,0,17,3,5,0,4,8,8,0,15,0,5,33,9,5,2,5,10,5,11,12,28,27,13,2,15,1,7,0,1,38,0,27,1,9,3,5,6,0,3,23,6
