"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,0,1,3,13,2,9,2,17,8,3,4,14,0,0,8,14,6,13,2,6,6,5,8,8,3,2,0,11,15,0,0,19,18,11,1,13,2,5,8,5,3,9,3,11,10,12,3,31,6,2,2,3,6,8
"Ant52",0,0,0,2,1,0,2,1,6,3,10,3,1,0,4,2,10,0,11,4,0,2,7,0,3,2,5,6,1,0,0,0,13,0,0,1,1,0,2,0,0,3,5,10,0,12,1,1,0,7,0,7,2,0,4
"Ant540",1,0,0,0,15,16,0,0,0,0,0,0,0,7,0,19,5,1,0,0,10,0,0,13,0,0,0,0,0,0,12,5,0,41,1,0,0,1,0,10,24,0,0,0,0,0,0,0,0,0,22,0,0,7,0
"Ant6",3,2,0,0,1,0,5,3,17,4,2,2,9,0,0,5,2,4,0,0,1,10,0,0,4,13,7,1,7,4,0,0,14,3,0,7,18,0,7,4,1,19,5,4,10,2,4,4,1,0,0,0,4,6,30
"Ant7",13,1,15,1,0,9,7,3,10,0,1,0,18,1,0,23,24,8,7,0,4,2,7,16,1,0,2,1,4,8,5,3,13,19,5,0,11,12,7,20,16,3,2,5,3,2,7,1,14,4,5,0,1,14,2
"Ant14",2,0,16,0,9,0,0,0,0,0,0,0,0,10,0,31,3,0,0,0,14,0,0,33,0,0,0,0,0,0,8,11,0,48,27,0,0,22,0,27,10,0,0,0,0,0,0,0,0,0,23,0,0,10,0
"Ant19",9,2,0,5,7,0,0,6,4,10,9,3,9,0,1,1,5,5,30,3,0,23,11,0,2,3,6,9,10,5,1,0,12,1,0,4,19,0,13,3,1,7,17,11,28,5,3,19,6,3,0,12,10,2,6
"Ant26",2,1,0,3,3,0,6,0,21,2,0,2,6,0,1,0,9,0,8,0,0,5,1,0,6,0,2,3,0,6,0,0,3,3,0,0,1,0,4,0,0,1,2,4,5,2,6,29,4,3,0,6,7,0,2
"Ant30",17,6,0,17,10,0,4,21,0,7,1,9,11,0,1,0,36,7,35,7,1,20,15,3,9,5,2,1,6,9,1,0,17,10,0,1,26,0,5,3,0,15,17,45,21,19,27,54,29,9,0,10,16,0,4
"Ant38",8,3,0,4,0,0,10,2,7,0,5,3,8,0,10,0,4,7,35,5,0,7,4,1,5,0,4,22,10,5,0,0,7,0,0,1,6,0,15,6,0,2,3,0,1,12,1,7,0,4,0,2,1,2,16
"Ant60",3,10,0,2,1,0,9,0,1,5,0,3,0,0,2,2,4,0,6,14,0,14,2,0,2,2,12,8,11,8,0,0,0,0,0,16,7,0,0,0,0,41,0,12,0,3,0,3,0,0,0,2,5,0,0
"Ant148",4,3,0,2,0,0,3,2,9,3,3,0,2,0,1,0,9,2,13,3,0,8,0,1,6,1,3,3,6,3,0,0,8,0,0,1,7,0,6,2,1,15,4,10,1,0,2,3,0,8,0,1,13,0,9
"Ant158",14,1,0,9,18,0,9,6,11,8,0,2,0,1,2,10,6,4,16,4,8,0,3,1,7,2,7,0,27,2,3,0,13,9,1,4,5,1,9,9,1,5,10,8,11,1,5,1,22,19,1,0,1,0,5
"Ant202",0,0,7,0,1,10,0,0,0,0,0,0,1,0,0,44,1,2,0,0,12,0,0,12,0,0,0,0,0,0,7,6,0,48,52,0,0,29,0,20,29,0,0,0,0,0,0,0,0,0,38,0,0,8,0
