"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant252","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant137","Ant140","Ant142","Ant169","Ant176","Ant178","Ant195","Ant207","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant356","Ant394","Ant395","Ant400","Ant437","Ant458","Ant492","Ant507","Ant527","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,6,0,10,5,2,26,11,7,4,6,2,33,12,22,1,16,8,0,34,1,23,18,0,15,16,0,30,0,6,14,1,6,8,5,5,23,0,0,6,20,0,0,7,13,1,8,6,2,9,18,2,11,7,18,12,6,8,23,3,7,0,9,6,7,0,13
"Ant52",6,0,0,7,0,0,1,1,2,5,22,3,3,0,1,0,8,1,0,3,1,37,6,0,27,5,1,16,0,1,3,1,0,0,6,12,3,0,0,2,2,0,0,8,2,0,7,1,0,15,7,0,10,2,4,1,4,35,2,0,3,0,0,13,1,0,4
"Ant540",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,20,0,0,32,0,0,0,0,5,0,0,1,0,25,0,0,23,0,0,0,0,0,46,44,0,0,54,40,0,0,1,0,0,87,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,13,0
"Ant6",10,7,0,0,8,0,0,1,5,1,11,1,8,5,40,0,4,6,0,9,3,23,21,3,11,6,2,6,0,4,4,0,10,0,0,2,6,0,0,16,12,0,0,0,9,0,0,1,0,0,10,0,5,2,2,4,0,15,4,8,0,0,1,8,4,0,17
"Ant7",5,0,0,8,0,1,0,5,3,3,2,5,7,21,28,0,1,29,4,8,15,5,4,5,6,1,2,2,0,0,5,13,6,0,3,0,2,0,0,10,7,0,0,0,12,0,0,7,0,0,10,6,0,0,0,24,0,3,8,5,1,1,24,4,8,1,15
"Ant14",2,0,4,0,1,0,1,4,0,0,0,1,1,12,15,2,3,2,1,16,1,1,5,2,0,0,22,0,0,5,6,14,14,7,4,0,9,9,5,8,2,16,18,0,4,14,1,4,11,0,1,2,0,19,0,6,3,2,6,12,2,3,3,2,2,17,9
"Ant19",26,1,0,0,0,1,0,5,0,0,0,10,0,1,13,9,3,0,12,5,10,3,1,13,4,1,19,0,0,8,4,13,7,0,1,3,0,0,0,0,0,0,0,2,1,11,8,28,7,8,0,8,0,5,0,5,0,2,2,8,0,1,6,1,0,6,0
"Ant26",11,1,0,1,5,4,5,0,4,2,7,0,4,5,11,0,4,0,0,7,0,11,4,3,13,5,1,0,0,24,12,1,0,11,2,1,3,0,0,1,1,0,0,4,3,2,2,0,0,0,0,9,7,1,7,3,1,4,0,2,1,1,1,13,0,7,6
"Ant30",7,2,0,5,3,0,0,4,0,6,6,4,8,2,14,0,4,5,1,11,2,9,5,2,14,13,1,3,0,3,6,0,0,11,10,24,2,0,0,4,15,0,0,5,5,0,3,1,0,1,5,1,2,4,15,13,9,14,8,3,13,2,2,8,10,0,14
"Ant38",4,5,0,1,3,0,0,2,6,0,13,6,3,3,9,0,4,2,0,10,1,15,5,4,2,31,8,7,0,2,7,0,11,7,13,0,6,0,0,10,6,0,0,4,3,1,0,18,0,1,9,17,8,6,2,10,3,13,4,5,5,0,0,7,4,2,6
