"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,1,0,6,7,1,6,7,30,17,35,13,25,1,21,4,25,6,21,10,8,39,5,6,19,0,4,14,7,5,0,1,15,8,0,8,10,0,11,4,1,14,5,12,17,8,5,7,29,1,8,17,28,0,12
"Ant52",1,0,0,0,1,0,1,6,6,5,5,4,1,0,3,0,0,3,18,2,0,30,1,1,3,3,1,3,1,4,0,0,2,0,0,0,1,0,4,1,0,7,0,1,2,5,2,3,1,2,0,7,1,0,1
"Ant540",0,0,0,0,0,33,0,0,0,0,0,0,0,16,0,17,18,0,0,0,23,0,0,25,0,0,0,0,0,0,28,9,0,41,64,0,0,31,0,7,26,0,0,0,0,0,0,0,0,0,22,0,0,15,0
"Ant6",6,0,0,0,40,0,9,0,4,3,1,3,0,0,18,9,20,1,1,4,2,22,2,2,2,2,3,0,2,4,0,0,7,2,0,7,17,0,3,7,0,11,2,0,8,0,1,0,6,8,1,0,6,5,12
"Ant7",7,1,0,40,0,5,20,7,16,17,0,1,5,0,9,21,43,25,0,2,2,2,9,3,8,0,14,7,20,9,0,0,23,9,0,2,13,0,2,9,1,3,7,2,16,2,15,2,15,5,18,2,2,3,1
"Ant14",1,0,33,0,5,0,0,0,0,1,0,0,5,4,0,16,8,1,0,0,16,2,0,13,0,0,1,0,0,0,29,42,2,72,38,2,3,40,2,8,27,2,1,2,0,0,9,0,2,1,48,1,2,6,6
"Ant19",6,1,0,9,20,0,0,21,3,7,14,1,14,0,7,4,12,4,15,7,0,20,7,1,5,3,14,8,7,5,0,1,8,2,0,10,16,0,5,0,0,17,13,5,14,0,16,4,4,5,0,7,14,7,12
"Ant26",7,6,0,0,7,0,21,0,14,12,1,1,3,0,7,0,5,5,8,8,0,32,9,3,7,8,3,5,3,7,0,0,7,0,0,3,8,0,11,4,1,10,1,12,1,5,0,2,2,0,3,1,1,0,3
"Ant30",30,6,0,4,16,0,3,14,0,21,16,11,14,0,30,8,18,6,29,10,0,34,18,0,2,2,11,6,10,13,0,1,6,1,0,8,21,0,16,5,11,9,1,9,8,6,10,7,6,7,0,12,38,1,9
"Ant38",17,5,0,3,17,1,7,12,21,0,13,4,0,0,9,10,28,24,21,11,6,17,6,5,8,11,11,17,11,4,0,0,15,1,0,20,36,0,0,3,0,13,11,12,8,17,10,12,1,9,12,0,3,3,9
"Ant60",35,5,0,1,0,0,14,1,16,13,0,5,3,0,41,0,8,2,23,20,0,20,0,2,8,4,10,14,4,5,0,0,5,0,0,3,30,0,10,0,0,22,1,23,12,3,11,9,13,4,0,3,16,2,15
"Ant148",13,4,0,3,1,0,1,1,11,4,5,0,3,0,26,0,19,2,6,3,0,9,1,0,9,0,2,21,7,13,0,1,12,0,0,0,10,0,3,2,0,11,3,13,5,5,3,3,7,10,0,9,7,1,6
"Ant158",25,1,0,0,5,5,14,3,14,0,3,3,0,0,20,1,40,22,13,3,2,7,1,0,7,1,1,2,8,12,0,0,17,5,0,4,9,0,14,4,0,11,16,10,12,5,12,0,11,6,1,2,21,4,14
"Ant202",1,0,16,0,0,4,0,0,0,0,0,0,0,0,0,68,7,0,0,0,19,0,0,9,0,0,0,0,1,0,4,15,0,99,10,0,0,25,0,18,12,0,2,0,0,0,0,0,0,0,52,0,0,2,0
"Ant209",21,3,0,18,9,0,7,7,30,9,41,26,20,0,0,0,5,1,47,10,0,76,0,2,7,13,18,12,4,14,0,0,8,0,0,7,19,0,32,2,0,28,3,6,41,23,14,5,17,7,1,5,12,0,11
"Ant268",4,0,17,9,21,16,4,0,8,10,0,0,1,68,0,0,4,15,0,1,2,0,4,9,1,0,1,0,18,3,13,14,9,18,19,0,3,10,0,20,5,2,7,0,2,5,4,17,4,0,34,0,0,20,0
