"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant311",25,0,18,20,43,8,12,5,18,28,8,19,40,7,5,4,0,28,13,9,16,13,5,25,19,8,7,3,22,8,6,21,16,11,23,7,26,11,9,13,22,17,17,7,9,3,26,4,12,7,27,5,8,15,14
"Ant518",6,3,0,1,25,1,4,5,6,24,2,2,22,0,1,15,28,0,4,1,8,11,0,7,1,0,5,3,22,9,0,1,20,2,0,1,22,8,1,10,2,14,20,10,8,15,15,1,10,3,18,1,2,3,13
"Ant0",21,18,0,1,0,0,15,8,29,21,23,6,13,0,47,0,13,4,0,14,0,57,1,0,31,5,18,12,7,27,0,0,17,0,0,2,27,2,27,2,0,34,14,32,17,1,3,2,5,26,0,3,26,6,45
"Ant32",10,2,0,4,2,0,7,8,10,11,20,3,3,0,10,1,9,1,14,0,0,16,24,3,3,11,18,25,10,0,0,0,4,0,0,2,14,0,9,2,0,24,2,24,6,12,3,15,8,5,3,6,14,0,9
"Ant43",8,0,23,2,2,16,0,0,0,6,0,0,2,19,0,2,16,8,0,0,0,0,0,3,0,0,1,0,4,1,18,68,3,32,8,0,2,28,5,9,23,1,1,0,1,0,2,0,0,0,13,0,0,14,1
"Ant44",39,30,0,22,2,2,20,32,34,17,20,9,7,0,76,0,13,11,57,16,0,0,3,4,13,14,20,6,3,13,0,0,18,0,1,23,27,0,3,4,1,16,7,45,32,33,8,9,10,12,0,9,45,0,20
"Ant50",5,1,0,2,9,0,7,9,18,6,0,1,1,0,0,4,5,0,1,24,0,3,0,14,0,4,10,3,2,2,0,1,0,0,0,19,0,0,1,15,0,5,0,0,0,12,0,27,5,4,5,0,1,0,3
"Ant55",6,1,25,2,3,13,1,3,0,5,2,0,0,9,2,9,25,7,0,3,3,4,14,0,0,3,6,2,2,14,13,16,4,16,34,1,7,21,1,23,9,15,1,2,0,0,0,0,0,0,10,0,0,11,8
"Ant63",19,3,0,2,8,0,5,7,2,8,8,9,7,0,7,1,19,1,31,3,0,13,0,0,0,2,5,6,4,6,0,0,10,0,0,2,7,0,5,0,0,20,12,2,6,4,4,5,1,5,0,0,8,1,8
"Ant97",0,3,0,2,0,0,3,8,2,11,4,0,1,0,13,0,8,0,5,11,0,14,4,3,2,0,4,16,4,1,0,0,2,0,0,0,6,0,8,0,0,2,0,4,4,11,6,46,0,5,0,2,1,2,4
"Ant98",4,1,0,3,14,1,14,3,11,11,10,2,1,0,18,1,7,5,18,18,1,20,10,6,5,4,0,4,7,2,0,0,21,0,0,1,6,0,3,3,4,22,9,14,1,9,5,13,1,8,0,3,9,1,2
"Ant137",14,3,0,0,7,0,8,5,6,17,14,21,2,0,12,0,3,3,12,25,0,6,3,2,6,16,4,0,18,0,0,0,10,0,0,1,4,0,7,0,0,3,2,1,8,6,18,1,4,1,1,8,14,0,6
"Ant140",7,1,0,2,20,0,7,3,10,11,4,7,8,1,4,18,22,22,7,10,4,3,2,2,4,4,7,18,0,2,0,0,46,0,0,1,49,7,2,32,0,3,7,4,6,10,41,10,3,4,10,0,8,18,7
"Ant169",5,4,0,4,9,0,5,7,13,4,5,13,12,0,14,3,8,9,27,0,1,13,2,14,6,1,2,0,2,0,0,0,20,1,0,3,2,0,3,8,0,15,4,6,5,9,10,10,18,8,0,1,9,1,11
"Ant176",0,0,28,0,0,29,0,0,0,0,0,0,0,4,0,13,6,0,0,0,18,0,0,13,0,0,0,0,0,0,0,12,0,32,18,0,0,28,0,2,5,0,0,0,0,0,0,0,0,0,23,0,0,4,0
"Ant178",1,0,9,0,0,42,1,0,1,0,0,1,0,15,0,14,21,1,0,0,68,0,1,16,0,0,0,0,0,0,12,0,0,140,46,0,10,58,0,15,38,0,0,0,8,0,0,0,0,0,129,5,4,5,4
"Ant195",15,2,0,7,23,2,8,7,6,15,5,12,17,0,8,9,16,20,17,4,3,18,0,4,10,2,21,10,46,20,0,0,0,16,0,0,23,1,12,20,0,11,3,16,11,27,8,16,5,0,36,1,15,15,24
"Ant215",8,0,41,2,9,72,2,0,1,1,0,0,5,99,0,18,11,2,0,0,32,0,0,16,0,0,0,0,0,1,32,140,16,0,70,0,7,61,0,45,39,0,0,1,1,0,2,0,4,0,70,0,0,56,0
"Ant217",0,0,64,0,0,38,0,0,0,0,0,0,0,10,0,19,23,0,0,0,8,1,0,34,0,0,0,0,0,0,18,46,0,70,0,0,0,55,0,22,55,0,0,0,0,0,0,0,0,0,21,0,0,24,0
"Ant219",8,0,0,7,2,2,10,3,8,20,3,0,4,0,7,0,7,1,2,2,0,23,19,1,2,0,1,1,1,3,0,0,0,0,0,0,4,0,1,0,0,1,2,2,5,2,2,5,0,3,3,13,2,0,2
"Ant232",10,1,0,17,13,3,16,8,21,36,30,10,9,0,19,3,26,22,27,14,2,27,0,7,7,6,6,4,49,2,0,10,23,7,0,4,0,0,28,25,0,21,7,12,29,7,2,2,16,7,4,9,10,17,24
"Ant243",0,0,31,0,0,40,0,0,0,0,0,0,0,25,0,10,11,8,2,0,28,0,0,21,0,0,0,0,7,0,28,58,1,61,55,0,0,0,0,18,14,0,0,0,3,0,0,0,1,0,29,0,0,20,0
"Ant257",11,4,0,3,2,2,5,11,16,0,10,3,14,0,32,0,9,1,27,9,5,3,1,1,5,8,3,7,2,3,0,0,12,0,0,1,28,0,0,0,1,9,0,5,5,3,1,0,5,2,0,1,21,1,9
"Ant289",4,1,7,7,9,8,0,4,5,3,0,2,4,18,2,20,13,10,2,2,9,4,15,23,0,0,3,0,32,8,2,15,20,45,22,0,25,18,0,0,5,9,9,0,3,9,6,0,2,1,8,0,2,14,2
"Ant294",1,0,26,0,1,27,0,1,11,0,0,0,0,12,0,5,22,2,0,0,23,1,0,9,0,0,4,0,0,0,5,38,0,39,55,0,0,14,1,5,0,0,0,0,0,0,0,0,0,0,18,0,0,14,0
"Ant298",14,7,0,11,3,2,17,10,9,13,22,11,11,0,28,2,17,14,34,24,1,16,5,15,20,2,22,3,3,15,0,0,11,0,0,1,21,0,9,9,0,0,7,18,17,7,4,12,1,18,1,1,20,6,7
"Ant324",5,0,0,2,7,1,13,1,1,11,1,3,16,2,3,7,17,20,14,2,1,7,0,1,12,0,9,2,7,4,0,0,3,0,0,2,7,0,0,9,0,7,0,4,7,4,7,0,5,0,2,2,7,1,6
"Ant332",12,1,0,0,2,2,5,12,9,12,23,13,10,0,6,0,7,10,32,24,0,45,0,2,2,4,14,1,4,6,0,0,16,1,0,2,12,0,5,0,0,18,4,0,20,14,9,0,1,5,1,11,13,0,16
"Ant342",17,2,0,8,16,0,14,1,8,8,12,5,12,0,41,2,9,8,17,6,1,32,0,0,6,4,1,8,6,5,0,8,11,1,0,5,29,3,5,3,0,17,7,20,0,15,4,9,19,6,0,13,66,1,20
"Ant356",8,5,0,0,2,0,0,5,6,17,3,5,5,0,23,5,3,15,1,12,0,33,12,0,4,11,9,6,10,9,0,0,27,0,0,2,7,0,3,9,0,7,4,14,15,0,6,5,3,4,3,7,8,0,7
"Ant395",5,2,0,1,15,9,16,0,10,10,11,3,12,0,14,4,26,15,3,3,2,8,0,0,4,6,5,18,41,10,0,0,8,2,0,2,2,0,1,6,0,4,7,9,4,6,0,5,12,4,6,4,16,3,3
"Ant400",7,3,0,0,2,0,4,2,7,12,9,3,0,0,5,17,4,1,2,15,0,9,27,0,5,46,13,1,10,10,0,0,16,0,0,5,2,0,0,0,0,12,0,0,9,5,5,0,0,0,4,1,10,2,5
"Ant437",29,1,0,6,15,2,4,2,6,1,13,7,11,0,17,4,12,10,5,8,0,10,5,0,1,0,1,4,3,18,0,0,5,4,0,0,16,1,5,2,0,1,5,1,19,3,12,0,0,0,0,2,7,5,3
"Ant492",1,2,0,8,5,1,5,0,7,9,4,10,6,0,7,0,7,3,26,5,0,12,4,0,5,5,8,1,4,8,0,0,0,0,0,3,7,0,2,1,0,18,0,5,6,4,4,0,0,0,0,4,3,0,8
"Ant507",8,0,22,1,18,48,0,3,0,12,0,0,1,52,1,34,27,18,0,3,13,0,5,10,0,0,0,1,10,0,23,129,36,70,21,3,4,29,0,8,18,1,2,1,0,3,6,4,0,0,0,0,0,26,0
"Ant552",17,7,0,0,2,1,7,1,12,0,3,9,2,0,5,0,5,1,3,6,0,9,0,0,0,2,3,8,0,1,0,5,1,0,0,13,9,0,1,0,0,1,2,11,13,7,4,1,2,4,0,0,7,0,5
"Ant560",28,1,0,6,2,2,14,1,38,3,16,7,21,0,12,0,8,2,26,14,0,45,1,0,8,1,9,14,8,9,0,4,15,0,0,2,10,0,21,2,0,20,7,13,66,8,16,10,7,3,0,7,0,0,17
"Ant564",0,0,15,5,3,6,7,0,1,3,2,1,4,2,0,20,15,3,6,0,14,0,0,11,1,2,1,0,18,1,4,5,15,56,24,0,17,20,1,14,14,6,1,0,1,0,3,2,5,0,26,0,0,0,3
"Ant593",12,1,0,12,1,6,12,3,9,9,15,6,14,0,11,0,14,13,45,9,1,20,3,8,8,4,2,6,7,11,0,4,24,0,0,2,24,0,9,2,0,7,6,16,20,7,3,5,3,8,0,5,17,3,0
