"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant252","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant137","Ant140","Ant142","Ant169","Ant176","Ant178","Ant195","Ant207","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant356","Ant394","Ant395","Ant400","Ant437","Ant458","Ant492","Ant507","Ant527","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,7,0,10,6,2,4,13,12,11,27,18,5,13,11,0,9,4,0,23,3,41,25,2,24,11,2,17,2,13,15,2,9,16,27,9,11,1,2,8,11,1,1,16,12,1,4,13,0,36,28,3,4,1,4,7,8,24,8,4,11,2,7,15,9,7,25
"Ant52",7,0,0,2,0,0,2,5,2,14,11,4,2,1,6,0,24,1,0,5,1,22,4,0,17,23,0,13,0,8,36,0,0,1,3,31,0,1,1,0,6,0,0,7,2,0,2,1,0,7,13,1,8,0,8,0,2,7,0,1,3,0,0,13,5,0,3
"Ant540",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,33,0,0,4,3,0,0,36,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"Ant6",10,2,0,0,1,6,1,10,13,0,7,7,12,4,7,1,2,1,5,13,5,9,20,6,38,4,7,0,2,2,0,12,4,7,3,0,0,8,0,0,2,1,0,3,15,2,16,0,0,6,1,0,1,4,16,9,3,5,7,1,2,0,2,15,0,2,21
"Ant7",6,0,0,1,0,6,2,1,1,4,0,3,1,9,17,1,0,0,4,12,7,0,1,14,0,0,7,0,5,1,0,16,9,1,7,1,11,9,3,22,6,4,9,6,6,1,6,16,0,1,4,3,0,9,1,10,4,0,9,4,0,7,4,1,1,7,4
"Ant14",2,0,8,6,6,0,4,1,0,0,0,0,0,4,5,11,0,0,23,0,8,3,0,22,3,0,8,0,11,0,1,19,17,1,32,0,2,20,15,14,7,14,19,2,19,9,1,5,0,0,0,1,0,7,0,29,1,1,8,21,1,18,4,0,0,7,1
"Ant19",4,2,0,1,2,4,0,0,2,0,2,7,0,15,7,2,3,1,10,8,4,1,4,4,3,1,5,1,2,1,0,7,0,0,11,0,2,11,1,11,9,3,1,8,0,1,1,1,2,1,0,3,2,1,1,24,14,1,0,2,2,4,9,1,2,4,15
"Ant26",13,5,0,10,1,1,0,0,18,13,3,7,0,0,15,0,0,15,0,11,0,7,2,0,1,4,0,1,1,6,8,0,0,5,1,5,4,0,0,2,7,0,1,8,4,0,5,2,0,15,3,17,0,5,1,0,2,4,13,1,5,0,0,5,11,0,2
"Ant30",12,2,0,13,1,0,2,18,0,5,13,6,7,3,14,0,4,7,0,19,0,11,5,1,19,0,2,2,5,14,3,0,0,1,0,7,11,0,0,3,2,0,0,4,2,0,2,4,0,13,5,8,1,0,2,5,8,1,6,1,0,0,1,9,6,1,2
"Ant38",11,14,0,0,4,0,0,13,5,0,28,8,5,25,18,0,4,10,0,3,5,28,2,1,2,0,9,1,2,7,2,0,4,20,2,8,6,1,0,16,8,0,2,19,1,4,4,5,0,12,6,6,0,3,10,5,8,13,2,1,12,4,0,10,6,2,9
"Ant60",27,11,0,7,0,0,2,3,13,28,0,4,4,1,9,0,10,2,0,6,0,26,9,1,3,8,0,11,0,5,5,0,0,18,1,8,3,0,0,2,12,0,0,12,2,0,4,5,0,15,18,0,4,1,4,0,5,11,4,5,6,1,1,23,12,0,5
"Ant76",18,4,0,7,3,0,7,7,6,8,4,0,6,6,33,2,9,7,1,9,0,8,2,2,11,0,2,0,2,11,4,0,3,3,0,1,1,0,3,8,2,0,2,1,8,0,4,6,0,14,10,14,0,2,5,5,0,1,6,2,6,1,5,7,4,3,5
