"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,0,0,4,6,0,12,17,14,10,7,12,11,0,3,2,27,7,28,4,0,16,16,2,6,8,4,10,29,3,0,6,2,1,0,6,7,5,5,4,0,5,13,25,15,8,5,21,6,15,6,1,7,1,15
"Ant52",0,0,0,0,0,0,1,0,2,1,0,1,0,0,4,0,0,0,1,4,0,12,0,0,2,2,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,2,2,4,0,4,7,0,1
"Ant540",0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,0,3,9,0,0,13,0,15,31,0,0,0,0,0,0,0,0,0,4,0,0,2,0
"Ant6",4,0,0,0,4,0,1,2,7,11,1,2,0,0,4,35,6,3,9,13,0,5,2,2,0,2,9,7,1,7,5,2,0,8,0,1,16,0,1,8,2,2,1,32,1,15,0,10,0,9,2,1,13,3,8
"Ant7",6,0,0,4,0,2,21,1,3,1,0,2,13,0,1,9,45,3,3,3,3,3,0,2,2,0,1,8,0,3,0,0,11,10,0,8,5,2,3,17,13,0,1,1,16,1,1,2,4,8,9,0,8,0,6
"Ant14",0,0,3,0,2,0,2,4,0,0,0,0,3,24,0,0,11,1,0,0,13,0,0,30,0,0,0,0,6,0,11,16,5,18,28,0,0,16,0,10,18,0,1,0,0,0,0,0,0,1,12,0,0,18,0
"Ant19",12,1,0,1,21,2,0,6,7,14,0,5,10,0,2,3,17,5,8,0,0,14,4,5,0,0,2,0,4,10,3,0,3,4,0,2,11,0,7,2,1,0,12,0,13,1,16,8,7,3,2,10,1,3,6
"Ant26",17,0,0,2,1,4,6,0,2,6,2,3,6,0,1,0,18,2,22,1,0,39,3,0,6,0,2,0,5,0,0,1,5,0,0,10,4,0,2,0,0,1,22,4,2,0,0,2,0,1,2,3,1,0,6
"Ant30",14,2,0,7,3,0,7,2,0,2,3,8,8,0,11,1,10,2,43,10,0,13,4,0,5,20,11,2,8,3,0,2,4,1,0,4,0,1,5,5,1,29,5,7,5,5,10,3,7,2,0,9,8,0,7
"Ant38",10,1,0,11,1,0,14,6,2,0,18,2,8,0,2,0,19,30,6,16,0,17,4,0,0,0,5,19,3,24,3,0,5,0,0,7,3,0,5,7,0,10,1,1,8,17,8,3,1,14,0,14,4,2,2
"Ant60",7,0,0,1,0,0,0,2,3,18,0,7,0,0,5,2,0,0,43,5,0,2,5,1,5,1,5,16,3,9,0,0,0,1,0,4,4,0,0,3,0,0,3,0,4,1,1,2,0,2,0,0,3,1,2
"Ant148",12,1,0,2,2,0,5,3,8,2,7,0,2,0,7,0,13,1,14,7,0,12,6,1,0,1,0,2,0,6,0,0,7,0,0,5,0,0,4,2,5,22,1,7,2,0,2,2,1,3,1,7,12,0,1
"Ant158",11,0,0,0,13,3,10,6,8,8,0,2,0,0,1,13,26,6,6,3,3,2,8,0,0,0,6,16,50,4,0,0,7,0,0,6,16,2,2,6,7,0,8,8,2,3,10,2,9,3,13,3,3,14,19
"Ant202",0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,11,12,0,0,0,22,0,0,3,0,0,0,0,0,0,13,35,0,165,30,0,0,17,0,17,28,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"Ant209",3,4,0,4,1,0,2,1,11,2,5,7,1,0,0,0,2,1,7,5,0,17,9,0,16,13,2,1,8,2,0,0,0,0,0,2,0,0,6,2,0,30,0,6,7,17,2,2,1,7,0,6,21,0,13
"Ant268",2,0,3,35,9,0,3,0,1,0,2,0,13,11,0,0,26,2,4,3,12,0,4,6,0,0,0,10,6,4,2,11,4,53,6,0,84,2,2,6,8,9,3,3,6,0,1,16,5,0,11,0,0,24,4
"Ant311",27,0,2,6,45,11,17,18,10,19,0,13,26,12,2,26,0,15,8,14,4,10,18,15,5,5,7,4,18,15,6,8,23,23,7,16,19,17,13,38,10,5,13,20,11,8,19,7,33,14,14,14,18,22,20
"Ant518",7,0,0,3,3,1,5,2,2,30,0,1,6,0,1,2,15,0,0,1,1,3,3,0,0,3,0,2,6,0,1,18,30,6,0,6,5,6,1,6,3,4,1,0,2,0,14,8,6,5,1,3,2,7,4
"Ant0",28,1,0,9,3,0,8,22,43,6,43,14,6,0,7,4,8,0,0,9,1,38,33,3,11,11,41,6,3,23,0,0,6,0,0,13,10,2,16,13,0,11,6,22,7,18,2,30,9,5,3,7,15,3,35
"Ant32",4,4,0,13,3,0,0,1,10,16,5,7,3,0,5,3,14,1,9,0,3,4,7,1,5,42,1,22,17,19,0,3,2,8,0,1,9,0,0,7,0,11,3,26,17,16,0,6,0,10,0,3,12,0,20
"Ant43",0,0,0,0,3,13,0,0,0,0,0,0,3,22,0,12,4,1,1,3,0,0,0,22,0,0,0,0,3,0,4,28,1,45,32,0,20,4,1,5,10,0,0,2,0,0,1,0,0,0,11,0,0,6,0
"Ant44",16,12,0,5,3,0,14,39,13,17,2,12,2,0,17,0,10,3,38,4,0,0,5,3,4,2,18,5,4,3,0,0,3,0,0,12,5,0,21,6,0,3,1,19,12,25,3,23,6,9,1,6,2,1,17
"Ant50",16,0,0,2,0,0,4,3,4,4,5,6,8,0,9,4,18,3,33,7,0,5,0,1,2,10,4,2,21,5,0,0,1,0,0,27,5,0,5,3,0,13,0,1,2,7,4,3,0,10,0,11,3,0,14
"Ant55",2,0,2,2,2,30,5,0,0,0,1,1,0,3,0,6,15,0,3,1,22,3,1,0,0,0,1,0,0,1,9,1,0,21,17,3,0,11,2,15,13,1,5,0,0,0,0,0,0,0,22,0,1,2,0
"Ant63",6,2,0,0,2,0,0,6,5,0,5,0,0,0,16,0,5,0,11,5,0,4,2,0,0,4,3,1,1,0,0,1,0,0,0,0,13,0,0,0,0,7,0,12,5,15,0,1,0,0,0,2,4,0,1
"Ant97",8,2,0,2,0,0,0,0,20,0,1,1,0,0,13,0,5,3,11,42,0,2,10,0,4,0,0,1,3,0,0,1,0,3,0,4,0,0,0,0,0,21,1,0,1,4,0,10,0,1,3,2,4,1,16
"Ant98",4,0,0,9,1,0,2,2,11,5,5,0,6,0,2,0,7,0,41,1,0,18,4,1,3,0,0,1,0,7,0,0,2,0,0,19,0,1,6,3,1,4,1,10,5,0,5,0,1,3,1,2,9,1,2
"Ant137",10,1,0,7,8,0,0,0,2,19,16,2,16,0,1,10,4,2,6,22,0,5,2,0,1,1,1,0,10,5,0,3,1,0,0,0,23,0,1,3,1,9,0,10,5,11,3,13,0,2,0,0,6,1,0
"Ant140",29,2,0,1,0,6,4,5,8,3,3,0,50,0,8,6,18,6,3,17,3,4,21,0,1,3,0,10,0,1,0,0,8,1,0,6,3,5,0,1,0,6,4,1,6,4,2,1,0,1,16,2,8,17,8
"Ant169",3,1,0,7,3,0,10,0,3,24,9,6,4,0,2,4,15,0,23,19,0,3,5,1,0,0,7,5,1,0,1,3,9,1,0,9,20,0,9,3,3,22,3,10,22,7,4,4,1,3,0,9,0,4,1
