"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant252","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant137","Ant140","Ant142","Ant169","Ant176","Ant178","Ant195","Ant207","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant356","Ant394","Ant395","Ant400","Ant437","Ant458","Ant492","Ant507","Ant527","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,11,0,17,9,1,4,0,16,6,6,6,1,3,3,0,1,7,2,8,1,34,29,1,4,4,1,3,0,3,3,0,4,9,3,21,3,4,5,5,15,0,0,2,13,0,3,2,0,7,4,6,7,4,3,17,6,28,7,9,3,0,0,8,27,1,5
"Ant52",11,0,0,2,1,1,1,1,0,3,5,10,4,1,2,0,27,3,0,8,0,12,19,0,9,15,1,24,0,2,19,0,2,5,2,8,4,2,0,1,1,0,0,4,3,0,6,3,0,25,10,2,14,2,8,0,5,8,1,0,4,2,0,13,5,0,6
"Ant540",0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,3,0,0,21,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,79,0,0,0,20,0,0,35,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
"Ant6",17,2,0,0,0,2,4,3,7,10,11,11,3,0,8,0,17,44,1,2,4,30,4,10,6,6,0,2,0,0,1,0,9,23,1,0,8,0,0,0,5,0,0,3,1,1,2,4,0,19,2,10,5,9,10,10,6,1,15,0,3,0,1,19,2,2,1
"Ant7",9,1,0,0,0,13,0,1,3,13,1,5,1,18,11,0,1,3,6,5,12,7,0,2,3,0,4,1,3,2,2,2,22,4,11,2,22,22,5,4,0,0,2,2,2,7,3,3,0,3,0,2,0,0,0,1,2,2,7,6,12,41,11,0,11,2,7
"Ant14",1,1,1,2,13,0,3,0,3,6,0,0,2,16,16,9,2,2,17,2,11,5,0,33,1,0,13,0,3,3,0,11,7,1,1,0,3,11,24,19,0,12,2,0,18,0,0,12,13,7,0,6,0,1,0,9,7,15,3,16,2,1,13,0,4,22,6
"Ant19",4,1,0,4,0,3,0,1,2,0,0,3,10,1,8,1,3,8,2,12,10,7,0,3,1,8,23,0,14,0,1,2,4,0,5,7,3,17,7,26,11,16,0,3,8,9,1,4,2,0,6,0,0,29,0,3,4,9,7,2,0,4,21,0,6,2,2
"Ant26",0,1,0,3,1,0,1,0,1,3,3,1,5,0,2,0,3,2,0,17,0,3,13,0,10,7,0,0,0,9,6,0,0,12,0,0,4,0,0,0,13,0,0,9,0,0,4,1,0,17,3,0,8,1,0,0,0,4,2,0,0,0,0,1,6,1,1
"Ant30",16,0,0,7,3,3,2,1,0,3,4,7,4,3,18,0,4,6,0,16,4,19,0,2,1,0,5,0,0,1,4,1,5,9,2,0,7,2,19,3,12,1,0,4,4,2,11,2,0,17,1,1,5,1,0,8,10,6,4,2,9,0,6,26,13,6,19
"Ant38",6,3,0,10,13,6,0,3,3,0,17,14,3,6,21,0,5,7,3,11,4,31,11,0,7,14,17,0,0,8,10,0,12,10,13,0,8,0,0,1,6,0,0,10,6,0,18,9,0,11,5,7,5,2,4,28,5,7,11,11,26,0,0,14,19,3,9
