"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant252","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant137","Ant140","Ant142","Ant169","Ant176","Ant178","Ant195","Ant207","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant356","Ant394","Ant395","Ant400","Ant437","Ant458","Ant492","Ant507","Ant527","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,10,0,4,3,1,6,19,4,12,14,10,20,1,27,0,9,1,0,5,10,42,7,2,21,9,4,11,0,6,10,4,4,5,4,2,20,1,0,18,13,0,0,8,4,1,1,3,0,4,7,10,30,8,1,11,1,1,4,3,18,0,3,12,16,0,9
"Ant52",10,0,0,1,0,0,0,1,2,0,2,1,1,1,2,0,8,0,1,1,0,4,0,0,16,2,1,3,0,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,5,8,1,3,1,9,0,0,7,1,0,1,0,1,12,2,0,0
"Ant540",0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,15,0,0,0,0,0,6,17,0,0,46,30,0,0,5,0,0,95,0,0,0,0,0,0,0,0,0,0,21,0,4,0,0,0,0,0
"Ant6",4,1,0,0,1,10,11,0,3,11,11,7,0,7,16,0,6,1,1,4,2,3,6,1,5,22,0,1,0,0,2,2,1,1,5,9,6,1,0,1,6,0,0,11,18,0,3,9,0,18,4,2,8,3,0,10,7,4,5,5,5,1,1,6,3,11,12
"Ant7",3,0,0,1,0,1,8,0,4,4,0,6,0,11,20,0,0,9,0,7,9,3,10,6,2,1,3,0,0,0,0,5,1,2,15,5,7,2,6,19,1,0,1,3,4,2,2,3,0,21,0,3,2,8,0,11,6,0,3,4,4,1,0,2,1,14,3
"Ant14",1,0,50,10,1,0,3,1,2,5,2,0,0,4,2,15,1,1,1,0,1,0,3,8,7,0,28,1,0,2,0,22,12,0,5,10,8,19,13,7,8,24,1,1,21,28,2,15,50,1,3,2,1,0,1,7,2,0,0,16,1,5,1,2,4,10,5
"Ant19",6,0,0,11,8,3,0,0,0,11,0,1,0,15,18,0,0,5,2,9,9,0,7,8,3,3,5,2,0,0,3,2,0,3,9,4,2,2,11,21,1,0,3,5,2,2,7,13,0,0,0,3,0,3,1,7,3,1,0,7,2,8,0,2,0,4,17
"Ant26",19,1,0,0,0,1,0,0,0,0,16,8,2,1,5,0,5,6,0,0,0,0,5,0,6,2,2,7,0,2,6,1,13,4,0,0,0,0,2,1,0,0,0,1,5,1,0,1,0,13,0,0,5,19,0,0,0,0,0,0,1,3,0,16,1,0,1
"Ant30",4,2,0,3,4,2,0,0,0,11,12,6,7,1,12,0,1,0,0,7,0,12,2,0,18,4,4,2,1,6,22,1,5,3,6,0,3,1,14,6,2,0,2,4,5,0,1,3,0,5,19,0,4,4,9,8,7,11,5,7,6,1,2,5,5,9,6
"Ant38",12,0,0,11,4,5,11,0,11,0,13,6,5,2,40,0,15,0,0,18,1,15,9,0,13,32,3,12,0,2,3,2,10,10,29,9,8,3,0,0,6,0,0,4,3,1,3,13,0,10,0,7,0,0,0,29,4,1,7,1,9,2,1,24,8,14,14
