"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant252","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant137","Ant140","Ant142","Ant169","Ant176","Ant178","Ant195","Ant207","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant356","Ant394","Ant395","Ant400","Ant437","Ant458","Ant492","Ant507","Ant527","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,3,13,20,20,0,11,19,18,17,34,27,11,11,39,0,20,7,0,44,5,24,22,15,41,2,3,24,3,13,3,3,7,7,1,10,2,0,3,11,15,1,0,10,10,0,5,13,0,25,5,8,34,19,3,16,3,5,30,5,15,4,2,13,41,4,14
"Ant52",3,0,7,2,1,0,0,4,21,3,1,8,4,1,1,0,13,5,0,3,0,10,0,0,15,7,0,6,0,2,1,0,1,2,0,5,0,0,0,4,3,0,0,8,3,0,3,2,0,4,1,0,19,0,6,2,1,2,4,0,6,0,0,3,9,0,1
"Ant540",13,7,0,31,32,15,15,4,28,21,13,18,28,24,17,9,13,31,23,25,14,37,20,11,22,11,27,20,24,15,16,24,41,20,58,36,32,0,26,42,11,9,9,24,28,13,11,27,3,29,15,9,13,30,14,62,24,55,18,30,12,36,11,16,14,55,32
"Ant6",20,2,31,0,35,1,0,0,13,9,6,19,10,11,6,3,3,20,2,19,17,7,13,15,8,6,13,5,2,1,0,3,27,1,19,0,0,0,0,14,0,4,0,1,14,2,0,11,7,6,10,2,2,8,3,17,6,6,28,6,1,16,13,10,4,5,24
"Ant7",20,1,32,35,0,6,4,1,5,8,6,5,0,20,17,1,2,8,2,13,11,11,10,1,5,0,14,1,0,3,0,12,7,3,1,0,10,0,0,5,2,0,2,2,12,0,7,11,0,1,3,2,3,11,0,2,12,3,20,12,0,2,10,4,7,6,16
"Ant14",0,0,15,1,6,0,6,1,1,3,2,0,0,16,10,16,2,9,19,4,10,2,4,16,1,1,10,1,12,1,4,18,19,0,4,2,4,7,2,21,1,22,14,0,8,8,0,14,5,4,0,1,0,6,0,0,3,0,1,13,1,13,8,2,5,14,10
"Ant19",11,0,15,0,4,6,0,0,4,1,0,0,0,12,4,1,5,4,8,11,0,1,6,27,1,0,12,1,11,9,2,1,9,1,28,10,5,0,12,5,19,4,12,0,28,1,2,30,2,24,28,26,4,4,0,53,0,6,3,17,2,15,9,0,5,31,13
"Ant26",19,4,4,0,1,1,0,0,8,19,1,3,2,2,10,0,4,8,0,7,0,6,11,0,10,0,0,0,1,0,0,0,0,1,0,0,3,0,0,1,11,0,0,10,0,0,4,2,0,31,2,3,0,7,6,0,1,2,0,3,4,1,0,8,31,0,5
"Ant30",18,21,28,13,5,1,4,8,0,30,17,49,4,10,21,0,32,23,2,18,0,50,15,4,18,0,4,3,4,15,2,3,5,6,10,10,4,0,7,7,11,0,0,12,11,0,2,4,0,4,8,9,0,29,2,3,8,2,5,8,0,4,8,15,13,5,12
"Ant38",17,3,21,9,8,3,1,19,30,0,9,7,8,22,11,1,15,12,2,21,1,53,6,8,20,3,4,9,1,12,3,2,3,18,1,2,20,0,0,16,5,0,1,8,23,4,2,14,1,8,8,5,1,10,2,1,6,24,16,9,20,0,6,25,28,4,28
