"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,0,2,7,12,6,2,0,5,7,0,0,9,3,3,8,29,2,17,1,0,2,0,4,2,0,5,2,22,3,1,10,8,20,4,2,9,5,14,4,4,0,7,2,8,3,6,11,8,3,7,1,0,6,14
"Ant52",0,0,0,1,0,0,4,1,3,3,6,5,1,0,16,0,0,2,11,9,0,1,13,0,1,3,5,3,2,3,0,0,1,1,0,1,7,0,0,0,0,12,1,2,1,5,0,0,0,9,0,2,3,0,1
"Ant540",2,0,0,0,0,6,0,0,0,0,0,0,1,19,0,7,13,2,0,0,32,0,0,17,0,0,0,0,0,0,16,0,0,35,21,0,0,3,0,8,14,0,0,0,0,0,0,0,0,0,20,0,0,16,0
"Ant6",7,1,0,0,3,1,2,1,6,2,0,0,0,0,0,11,8,3,25,12,0,2,6,3,6,0,5,6,1,1,0,1,6,7,0,9,0,0,11,1,0,7,0,7,1,6,5,32,1,0,0,0,4,1,10
"Ant7",12,0,0,3,0,4,4,4,9,4,1,0,0,0,0,10,8,15,5,2,1,6,0,20,1,0,3,2,4,2,4,10,10,12,0,1,3,3,3,1,2,10,1,1,3,2,9,6,1,2,7,1,2,2,7
"Ant14",6,0,6,1,4,0,1,0,0,0,0,0,19,8,1,15,12,1,0,0,36,2,0,11,1,0,0,0,0,2,31,9,3,62,26,0,1,16,1,8,17,1,2,0,0,0,0,0,1,0,36,0,1,4,0
"Ant19",2,4,0,2,4,1,0,3,9,11,8,13,2,0,8,2,13,0,22,1,0,14,6,4,10,14,5,4,6,0,0,0,4,0,0,6,16,0,9,0,0,15,3,12,5,11,7,5,4,10,0,4,13,0,10
"Ant26",0,1,0,1,4,0,3,0,7,0,5,8,1,0,3,0,17,2,8,4,0,7,2,0,1,1,2,0,0,2,0,0,6,0,0,0,8,0,1,0,0,7,6,1,1,0,7,0,0,9,2,2,0,0,6
"Ant30",5,3,0,6,9,0,9,7,0,18,6,5,3,0,4,0,18,9,15,1,0,22,9,2,15,0,3,0,4,13,1,7,15,0,0,11,6,1,9,3,0,7,14,10,15,11,4,4,12,6,2,4,3,3,12
"Ant38",7,3,0,2,4,0,11,0,18,0,4,0,0,0,5,0,15,19,22,7,0,28,4,3,27,14,14,5,4,4,4,0,19,1,0,1,32,0,2,0,0,15,5,7,0,0,2,4,2,0,0,0,13,0,1
"Ant60",0,6,0,0,1,0,8,5,6,4,0,10,0,0,8,0,8,0,30,14,0,7,10,0,13,32,21,13,0,2,0,0,4,0,0,1,0,0,2,4,0,42,1,7,0,2,1,6,0,2,0,1,3,0,2
"Ant148",0,5,0,0,0,0,13,8,5,0,10,0,3,0,0,1,10,3,27,1,0,4,3,0,9,3,5,0,5,2,0,0,5,1,0,1,7,0,1,1,0,17,0,13,4,5,0,0,1,8,0,15,0,0,2
"Ant158",9,1,1,0,0,19,2,1,3,0,0,3,0,0,2,2,10,8,3,0,0,1,1,16,0,0,0,0,1,4,0,1,6,49,3,0,1,2,0,6,17,0,5,1,2,0,15,14,8,1,6,0,2,0,2
"Ant202",3,0,19,0,0,8,0,0,0,0,0,0,0,0,0,84,2,0,0,0,18,0,0,15,0,0,0,0,0,0,2,13,0,53,46,0,0,18,0,15,37,0,0,0,0,0,0,0,0,0,50,0,0,9,0
"Ant209",3,16,0,0,0,1,8,3,4,5,8,0,2,0,0,0,5,2,15,6,0,7,16,0,13,16,2,0,1,7,0,1,9,0,0,4,6,0,3,0,0,39,1,10,4,1,6,8,1,2,0,6,5,1,5
"Ant268",8,0,7,11,10,15,2,0,0,0,0,1,2,84,0,0,9,9,0,0,13,0,0,19,0,0,1,0,0,8,19,40,4,62,41,0,1,38,0,5,46,0,0,0,1,0,0,1,2,0,40,1,1,80,1
