"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant252","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant137","Ant140","Ant142","Ant169","Ant176","Ant178","Ant195","Ant207","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant356","Ant394","Ant395","Ant400","Ant437","Ant458","Ant492","Ant507","Ant527","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,21,0,5,18,2,8,3,11,12,20,20,2,7,19,0,14,3,4,14,4,33,11,1,11,7,17,13,3,17,6,4,2,13,9,18,19,3,1,11,9,1,0,12,16,0,10,10,0,12,13,6,12,2,9,16,7,17,13,5,16,6,13,5,11,1,31
"Ant52",21,0,0,0,0,0,2,5,3,6,9,8,9,0,7,0,2,2,1,5,0,12,13,0,15,19,1,10,0,21,23,0,2,7,1,4,2,1,0,5,5,0,0,2,1,0,1,0,0,13,2,4,19,8,5,5,9,4,1,0,12,0,1,17,0,0,2
"Ant540",0,0,0,0,1,5,1,2,0,1,0,0,0,12,0,13,0,0,0,1,1,0,0,10,1,0,0,0,0,0,1,1,0,0,0,0,0,6,5,1,0,0,61,0,0,8,0,1,30,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,11,0
"Ant6",5,0,0,0,1,1,11,1,25,15,8,2,10,2,21,1,21,8,1,19,7,33,16,1,29,10,8,3,1,7,10,1,4,11,3,4,6,1,1,3,4,0,1,6,3,0,8,5,0,32,10,5,21,1,25,11,0,8,4,4,13,4,9,17,3,0,9
"Ant7",18,0,1,1,0,2,7,3,0,3,0,5,2,15,26,0,3,8,20,11,2,0,1,3,10,0,2,0,5,1,4,0,2,0,8,0,9,3,0,24,8,0,0,1,5,0,1,6,0,0,1,0,2,0,8,6,6,5,12,7,4,3,0,4,5,1,13
"Ant14",2,0,5,1,2,0,0,3,7,10,1,4,2,4,10,15,1,4,15,2,15,1,1,23,0,0,14,0,10,0,0,11,15,1,6,5,2,7,23,25,1,12,3,5,16,28,5,9,9,0,2,5,2,1,1,7,2,3,10,5,1,18,13,1,1,27,6
"Ant19",8,2,1,11,7,0,0,2,1,3,5,3,1,1,25,0,1,16,7,25,8,0,0,4,12,3,11,2,1,1,1,9,8,3,0,2,1,5,8,6,0,5,0,1,5,0,3,3,0,8,1,4,4,4,1,9,2,6,0,12,0,13,8,2,12,1,7
"Ant26",3,5,2,1,3,3,2,0,17,2,0,12,1,0,7,0,15,2,0,5,5,9,22,1,18,0,1,5,0,2,23,1,2,1,1,2,0,0,0,0,4,0,0,7,9,3,2,2,0,20,1,3,0,1,7,1,2,1,1,3,2,4,0,3,7,0,5
"Ant30",11,3,0,25,0,7,1,17,0,7,11,2,0,7,7,0,6,0,6,16,7,12,19,0,8,0,15,0,5,2,15,2,4,6,3,12,0,0,1,0,15,0,0,7,13,0,4,6,0,17,10,2,7,12,5,1,6,10,2,3,13,1,7,7,9,0,3
"Ant38",12,6,1,15,3,10,3,2,7,0,2,1,1,2,22,0,18,8,1,23,9,16,2,0,5,7,3,0,0,6,15,6,3,14,27,5,16,3,5,17,3,1,0,15,23,5,2,0,0,1,5,7,4,3,15,14,11,8,4,11,6,5,8,7,8,8,20
"Ant60",20,9,0,8,0,1,5,0,11,2,0,14,8,2,17,0,5,3,0,14,5,46,11,0,17,17,2,5,0,15,11,1,4,13,6,3,20,0,0,2,18,2,0,4,2,0,3,1,0,12,5,8,19,1,10,2,9,10,6,1,24,1,4,14,8,0,7
"Ant76",20,8,0,2,5,4,3,12,2,1,14,0,1,1,11,0,2,9,16,14,15,39,11,0,38,1,7,0,2,11,14,1,2,7,8,11,9,1,0,4,12,0,0,4,5,0,0,1,2,16,13,4,10,1,5,1,12,13,8,1,9,1,0,11,17,0,15
"Ant148",2,9,0,10,2,2,1,1,0,1,8,1,0,1,7,0,24,3,2,5,2,33,17,5,17,3,0,0,0,26,14,0,2,22,9,2,12,0,0,5,17,0,0,7,9,2,5,0,0,11,0,0,7,0,6,12,8,9,5,1,13,3,0,29,6,2,6
"Ant158",7,0,12,2,15,4,1,0,7,2,2,1,1,0,10,5,3,7,6,2,9,10,3,10,3,0,23,1,3,1,0,20,11,1,6,3,19,1,6,10,5,4,11,1,7,7,3,8,3,2,0,1,0,2,2,2,4,5,3,16,3,24,8,1,3,2,32
"Ant191",19,7,0,21,26,10,25,7,7,22,17,11,7,10,0,0,8,11,19,45,10,17,8,4,9,4,51,5,12,13,18,23,20,11,30,5,35,20,12,19,6,0,0,9,19,0,19,19,0,11,9,10,8,18,10,23,9,12,20,15,16,15,18,9,26,1,29
