"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant252","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant137","Ant140","Ant142","Ant169","Ant176","Ant178","Ant195","Ant207","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant356","Ant394","Ant395","Ant400","Ant437","Ant458","Ant492","Ant507","Ant527","Ant552","Ant560","Ant564","Ant593"
"Ant169",3,4,39,3,2,5,0,0,22,12,2,4,6,3,13,0,3,4,1,9,2,10,1,1,5,0,5,1,2,3,3,1,10,4,11,8,0,1,1,4,7,0,9,10,9,15,1,9,0,4,2,10,3,3,6,18,4,6,5,12,5,1,4,7,15,5,8
"Ant176",0,0,27,3,1,19,15,4,1,1,1,3,0,3,13,16,1,5,17,4,10,1,0,15,0,0,3,0,11,0,8,9,9,1,2,11,1,0,4,10,0,5,8,1,3,3,0,6,0,0,6,6,0,3,0,23,6,2,8,13,0,14,8,1,1,17,0
"Ant178",0,0,22,0,3,22,3,0,1,0,0,0,0,4,6,20,0,1,29,2,0,0,0,48,0,0,7,0,3,0,0,28,6,0,15,0,1,4,0,6,0,30,37,0,5,35,0,0,5,0,0,0,0,0,0,12,0,0,1,4,0,25,5,0,0,19,0
"Ant195",9,0,53,12,14,14,2,4,6,23,8,0,5,17,22,12,3,0,10,5,6,11,8,9,6,1,22,12,4,1,1,9,5,9,44,3,4,10,6,0,0,0,1,2,15,5,4,25,0,4,2,4,0,2,0,8,8,11,5,11,7,7,2,3,9,12,7
"Ant207",8,4,29,7,13,2,9,5,24,6,4,2,4,22,10,0,3,16,2,13,18,17,0,1,9,0,9,10,8,1,2,0,1,15,10,6,7,0,0,0,0,0,1,4,8,0,11,4,0,4,0,9,3,9,6,5,3,3,6,18,6,12,3,3,0,1,9
"Ant215",2,0,7,0,2,31,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,26,0,0,6,0,2,0,0,20,2,0,9,0,0,5,30,0,0,0,0,1,0,13,1,0,0,0,0,0,0,0,0,2,0,0,3,12,0,3,1,0,0,3,0
"Ant217",0,0,1,0,9,9,0,1,1,0,0,0,2,1,10,12,0,0,6,6,8,0,0,6,0,0,18,0,0,0,0,15,0,0,2,0,9,8,37,1,1,0,0,0,6,10,0,4,5,0,0,0,0,0,0,1,0,0,0,4,0,14,0,0,0,11,0
"Ant219",6,4,29,9,1,2,0,5,3,5,10,1,0,1,12,0,2,1,0,5,7,10,5,0,8,1,7,5,1,1,2,0,13,9,3,6,10,1,0,2,4,1,0,0,1,0,1,2,0,6,4,4,6,1,7,0,3,9,6,0,4,0,5,9,6,2,0
"Ant232",7,0,43,2,1,22,13,1,5,14,10,4,2,8,18,0,5,6,30,5,19,12,9,10,11,3,12,2,13,6,0,12,12,0,25,5,9,3,5,15,8,0,6,1,0,1,0,19,0,3,1,7,5,4,3,16,6,5,12,19,7,1,2,2,11,24,6
"Ant243",3,1,21,14,7,27,0,0,8,0,0,0,0,0,4,11,0,4,34,0,0,0,0,15,1,0,14,0,4,0,0,20,13,0,24,0,15,3,35,5,0,13,10,0,1,0,0,4,12,0,0,0,0,2,0,5,0,0,0,4,0,15,3,0,0,16,0
