"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant298",1,13,0,11,4,0,12,4,10,4,5,5,0,0,3,0,0,0,17,20,0,32,0,1,12,7,10,5,4,9,0,0,1,0,0,21,2,0,2,2,0,0,5,11,6,15,5,24,0,17,0,4,38,2,3
"Ant324",9,1,0,0,3,0,23,2,7,1,3,1,0,0,1,2,16,16,7,0,0,2,4,2,2,2,3,1,3,11,1,0,2,4,0,9,8,0,0,3,0,5,0,2,1,1,4,1,16,0,3,0,1,0,2
"Ant332",5,3,0,13,6,0,8,7,6,0,13,6,0,0,1,0,4,2,38,23,2,31,18,0,0,2,19,44,2,6,1,2,2,0,0,7,0,0,10,0,0,11,2,0,12,14,4,7,0,0,0,21,0,0,4
"Ant342",18,1,0,1,21,0,11,1,14,1,7,4,1,0,1,0,4,2,15,0,0,12,4,0,0,1,0,0,7,2,0,2,7,1,0,11,5,0,13,11,0,6,1,12,0,4,6,2,2,1,0,0,2,0,5
"Ant356",1,7,0,2,1,0,2,2,0,4,18,7,0,0,0,0,4,0,35,15,0,12,3,1,9,7,9,11,9,2,0,0,5,0,0,0,3,0,1,0,0,15,1,14,4,0,1,2,0,11,0,2,1,0,4
"Ant395",5,0,0,1,2,0,3,0,9,0,0,1,0,0,2,0,2,9,2,0,5,3,1,0,0,0,0,0,3,1,0,5,7,0,0,6,3,0,4,2,0,5,4,4,6,1,0,3,6,0,0,1,0,1,11
"Ant400",4,0,0,1,1,0,4,5,6,5,10,1,0,0,10,0,2,0,16,8,0,15,9,0,5,0,3,2,0,3,0,2,0,2,0,11,6,0,6,1,2,24,1,7,2,2,3,0,0,4,0,2,3,6,5
"Ant437",7,0,0,20,1,0,4,5,10,0,2,1,0,0,1,4,2,3,2,4,4,1,0,9,4,4,9,1,1,1,0,10,11,0,0,4,10,0,3,10,1,0,16,0,2,0,6,0,0,8,7,0,2,0,6
"Ant492",4,3,0,5,0,0,4,1,7,6,2,1,0,0,22,0,2,4,5,8,0,1,5,0,16,6,3,3,12,3,0,3,1,0,0,7,6,0,4,4,0,17,0,0,1,11,0,4,8,0,0,4,6,2,9
"Ant507",4,0,13,10,2,19,3,0,0,0,0,1,17,34,0,9,20,21,0,1,19,0,0,10,0,6,9,28,1,2,3,23,19,28,31,0,1,7,0,13,21,0,3,0,0,0,0,0,7,0,0,0,2,61,0
"Ant552",1,0,0,11,1,0,10,19,11,1,5,1,0,0,1,0,4,2,9,6,0,4,3,2,6,0,1,1,9,4,0,4,9,0,0,0,24,0,4,0,0,4,0,21,0,2,1,2,0,4,0,0,0,0,11
"Ant560",5,5,0,2,4,1,7,3,4,4,4,2,0,0,0,4,1,2,8,0,2,12,4,1,6,1,9,1,15,3,1,2,3,0,0,7,6,0,0,0,2,38,1,0,2,1,0,3,2,6,2,0,0,0,14
"Ant564",10,0,15,1,0,10,0,1,6,5,0,1,27,4,0,56,2,2,2,3,3,2,0,15,1,0,2,0,0,1,1,12,1,109,14,0,3,13,1,3,10,2,0,0,0,0,1,6,0,2,61,0,0,0,3
"Ant593",7,13,0,5,3,2,12,15,6,6,3,0,1,0,2,5,19,10,36,3,2,3,18,0,1,7,13,4,4,2,0,4,4,2,3,22,23,0,17,5,2,3,2,4,5,4,11,5,6,9,0,11,14,3,0
