"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant148","Ant158","Ant202","Ant209","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant97","Ant98","Ant137","Ant140","Ant169","Ant176","Ant178","Ant195","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant324","Ant332","Ant342","Ant356","Ant395","Ant400","Ant437","Ant492","Ant507","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,1,9,10,5,11,6,6,4,4,0,0,4,0,8,7,6,4,5,1,3,2,2,3,2,0,8,4,4,4,6,2,16,9,1,1,10,3,1,8,0,1,8,9,9,0,4,3,14,4,7,3,3,16,5
"Ant52",1,0,0,1,0,2,2,1,4,3,12,0,0,0,22,0,0,0,15,3,0,5,11,0,1,5,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,14,0,2,0,0,0,1,0,0,0,0,19,0,7
"Ant540",9,0,0,0,0,11,0,0,0,0,0,0,2,18,0,20,4,6,0,0,7,0,0,26,0,0,0,0,0,0,1,3,0,37,12,0,0,10,0,9,8,0,0,0,0,0,0,0,0,0,28,0,0,13,0
"Ant6",10,1,0,0,13,8,17,0,10,29,5,5,3,0,8,5,5,0,37,15,0,38,8,0,9,0,3,5,7,9,1,0,5,5,0,19,5,0,6,2,0,5,5,15,19,15,2,23,6,1,0,5,2,6,14
"Ant7",5,0,0,13,0,5,11,2,8,1,6,1,4,0,0,11,8,3,5,5,2,5,6,10,2,0,0,0,1,2,8,0,4,4,0,10,42,0,0,13,0,2,0,7,5,1,2,2,7,0,14,1,0,7,0
"Ant14",11,2,11,8,5,0,1,4,5,6,0,1,10,8,2,18,4,14,10,0,2,2,0,20,2,0,0,1,16,1,9,30,26,72,8,0,24,22,4,7,19,0,2,0,0,0,7,0,2,0,17,0,1,6,0
"Ant19",6,2,0,17,11,1,0,8,15,3,8,8,2,0,10,4,6,3,13,21,3,12,5,8,4,5,10,7,19,7,3,0,4,0,0,21,18,0,6,4,0,11,7,6,10,8,5,10,6,5,4,3,6,1,7
"Ant26",6,1,0,0,2,4,8,0,4,0,0,0,10,0,11,0,5,2,12,3,0,10,0,2,0,5,1,0,7,11,2,0,4,0,0,0,1,0,0,0,0,1,7,1,0,1,0,3,8,2,0,1,6,0,1
"Ant30",4,4,0,10,8,5,15,4,0,5,9,16,4,0,12,1,10,5,15,20,2,5,4,2,18,1,7,4,10,7,1,0,7,2,0,10,5,0,2,2,0,10,4,6,11,8,11,6,6,6,0,1,9,5,13
"Ant38",4,3,0,29,1,6,3,0,5,0,9,3,4,0,10,1,5,2,13,4,0,17,14,2,0,0,0,2,8,10,0,0,1,9,0,7,12,0,6,5,0,9,7,12,4,19,0,13,2,1,2,13,2,0,10
"Ant60",0,12,0,5,6,0,8,0,9,9,0,0,1,0,3,0,2,0,27,13,5,8,6,1,3,10,9,6,7,1,1,0,2,3,0,1,2,0,2,0,0,3,1,5,9,20,2,4,2,3,0,0,0,0,3
"Ant148",0,0,0,5,1,1,8,0,16,3,0,0,2,0,2,0,1,11,6,0,0,0,1,0,13,24,7,0,16,5,2,0,11,1,0,1,4,0,8,0,0,0,2,4,12,4,5,2,4,4,4,1,1,0,6
"Ant158",4,0,2,3,4,10,2,10,4,4,1,2,0,2,1,18,5,8,6,2,3,3,2,1,10,0,2,0,22,14,34,0,6,40,1,4,1,2,5,7,10,0,4,16,15,0,4,0,9,5,0,3,1,16,18
"Ant202",0,0,18,0,0,8,0,0,0,0,0,0,2,0,0,60,2,1,0,0,10,0,0,23,0,0,0,0,0,0,11,3,0,57,62,0,0,20,0,46,53,0,0,0,0,0,0,0,0,0,63,0,0,7,0
"Ant209",8,22,0,8,0,2,10,11,12,10,3,2,1,0,0,0,2,0,38,6,0,1,17,0,5,1,2,17,8,7,0,0,1,0,0,5,2,0,3,0,0,1,1,6,7,9,1,8,0,2,0,4,1,0,5
"Ant268",7,0,20,5,11,18,4,0,1,1,0,0,18,60,0,0,15,1,0,2,34,1,2,12,2,0,3,0,0,3,9,15,1,43,40,0,1,24,0,39,15,0,0,0,2,5,0,1,0,0,43,0,3,35,0
"Ant311",6,0,4,5,8,4,6,5,10,5,2,1,5,2,2,15,0,18,15,4,4,0,2,19,3,0,2,4,8,3,5,9,8,33,2,0,7,1,0,13,13,2,4,15,1,0,10,2,7,5,19,0,1,4,13
"Ant518",4,0,6,0,3,14,3,2,5,2,0,11,8,1,0,1,18,0,2,4,2,0,0,20,11,0,4,0,9,7,6,5,7,18,16,3,20,1,0,2,2,0,2,1,0,1,12,0,2,4,10,1,0,4,0
"Ant0",5,15,0,37,5,10,13,12,15,13,27,6,6,0,38,0,15,2,0,9,5,33,12,11,8,17,5,28,20,1,2,0,2,1,0,9,18,0,14,0,0,10,21,27,10,28,7,8,5,37,4,18,12,2,37
"Ant32",1,3,0,15,5,0,21,3,20,4,13,0,2,0,6,2,4,4,9,0,0,2,9,0,0,20,7,1,0,0,0,0,2,3,0,0,8,0,5,2,0,17,7,3,5,10,2,19,2,0,2,1,11,0,0
"Ant43",3,0,7,0,2,2,3,0,2,0,5,0,3,10,0,34,4,2,5,0,0,0,2,18,0,0,0,0,0,3,7,9,0,29,38,1,2,12,0,11,27,0,0,0,1,0,5,0,2,2,16,0,1,3,0
"Ant44",2,5,0,38,5,2,12,10,5,17,8,0,3,0,1,1,0,0,33,2,0,0,12,1,5,13,3,13,10,6,1,0,6,2,0,23,2,0,1,1,0,16,3,16,17,6,0,22,0,6,0,11,2,0,5
"Ant50",2,11,0,8,6,0,5,0,4,14,6,1,2,0,17,2,2,0,12,9,2,12,0,0,7,0,10,7,0,2,0,0,10,1,0,9,2,0,0,0,0,0,0,6,0,4,2,6,0,16,0,0,1,0,13
"Ant55",3,0,26,0,10,20,8,2,2,2,1,0,1,23,0,12,19,20,11,0,18,1,0,0,0,1,0,0,2,8,8,14,3,43,19,0,8,4,2,5,9,2,0,2,0,0,7,9,2,0,34,3,1,17,0
