"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant252","Ant268","Ant311","Ant518","Ant0","Ant32","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant137","Ant140","Ant142","Ant169","Ant176","Ant178","Ant195","Ant207","Ant215","Ant217","Ant219","Ant232","Ant243","Ant257","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant356","Ant394","Ant395","Ant400","Ant437","Ant458","Ant492","Ant507","Ant527","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,6,24,2,8,1,18,8,8,26,5,8,13,10,28,1,6,2,2,7,3,29,10,0,12,8,5,18,5,4,11,3,0,4,3,8,7,0,2,8,4,0,0,16,20,4,6,14,0,38,9,6,2,9,9,8,4,8,7,4,20,5,4,31,7,1,11
"Ant52",6,0,15,0,0,0,0,0,5,0,1,2,0,0,0,0,1,0,0,1,0,12,2,0,13,16,0,1,4,5,2,0,0,0,1,5,0,0,0,0,6,0,0,1,0,0,0,1,0,14,0,0,23,0,3,0,0,3,1,1,2,0,1,2,6,0,0
"Ant540",24,15,0,39,47,22,14,24,22,30,25,34,16,36,52,16,18,30,24,26,32,39,24,0,41,28,14,15,16,20,14,25,25,14,66,15,25,18,8,38,22,10,0,22,56,7,13,26,7,31,43,16,22,22,7,17,15,17,18,20,29,19,21,34,23,58,39
"Ant6",2,0,39,0,1,1,0,0,6,13,4,11,4,8,26,0,0,8,0,23,13,12,7,1,31,0,8,6,0,5,17,0,0,5,8,6,14,0,0,7,11,3,0,2,11,1,7,23,0,16,11,2,4,7,7,1,21,11,15,8,12,1,4,32,15,2,2
"Ant7",8,0,47,1,0,3,6,3,10,4,1,0,2,10,7,0,0,6,7,9,3,8,6,0,2,3,2,3,8,0,1,7,5,6,7,0,16,3,0,2,3,0,0,3,7,0,0,23,0,0,12,0,0,10,1,7,3,5,7,12,4,6,5,1,1,1,20
"Ant14",1,0,22,1,3,0,8,0,2,0,0,0,2,0,5,30,1,6,25,8,0,4,0,8,2,0,19,0,31,1,0,11,14,0,6,0,1,42,48,3,1,41,15,0,12,9,0,13,0,0,3,0,1,5,2,15,3,7,3,30,1,7,7,3,1,29,2
"Ant19",18,0,14,0,6,8,0,0,7,21,0,1,1,7,7,3,0,0,18,10,8,0,0,0,3,0,14,0,22,0,2,10,40,0,3,2,5,6,1,6,23,1,4,0,1,17,0,3,0,2,0,10,1,0,3,1,2,8,0,16,4,24,13,2,8,7,0
"Ant26",8,0,24,0,3,0,0,0,1,16,0,2,8,1,3,0,1,4,0,1,3,15,27,0,15,6,0,9,0,0,2,0,0,20,0,0,2,0,0,5,0,0,0,1,3,0,1,4,0,8,18,3,7,14,2,30,2,0,7,0,2,0,0,10,16,0,3
"Ant30",8,5,22,6,10,2,7,1,0,6,6,10,4,8,4,0,3,18,0,26,3,34,10,0,39,15,6,8,0,11,9,2,2,4,4,4,6,3,0,6,2,0,0,8,6,0,5,7,0,23,3,11,10,6,23,7,5,4,6,10,12,4,2,7,3,0,11
"Ant38",26,0,30,13,4,0,21,16,6,0,17,7,28,5,14,0,3,11,0,19,4,47,21,0,12,0,7,14,2,12,11,0,0,10,19,13,15,0,0,16,10,0,0,20,62,2,25,15,0,34,9,18,1,0,23,4,10,23,12,8,11,5,7,18,19,0,6
"Ant60",5,1,25,4,1,0,0,0,6,17,0,3,10,1,6,0,17,0,0,8,3,26,29,0,28,4,0,11,0,7,4,0,1,20,9,3,8,0,0,1,0,0,0,16,11,0,5,12,0,17,11,1,6,0,3,28,5,3,6,1,6,0,3,19,26,0,5
"Ant76",8,2,34,11,0,0,1,2,10,7,3,0,3,5,11,0,1,9,0,9,11,24,10,0,17,8,1,8,1,19,12,0,0,3,2,2,4,1,3,7,1,0,0,1,3,0,10,3,0,22,3,1,2,11,4,29,1,5,5,3,11,2,1,7,8,2,10
"Ant148",13,0,16,4,2,2,1,8,4,28,10,3,0,13,11,0,7,0,0,2,0,14,4,0,8,0,0,9,0,2,1,0,0,17,2,12,4,0,0,7,4,0,0,0,3,0,7,0,0,10,8,13,0,0,13,2,8,3,4,1,5,0,6,28,7,0,1
"Ant158",10,0,36,8,10,0,7,1,8,5,1,5,13,0,16,0,0,22,3,4,11,4,6,3,9,1,32,2,7,0,1,15,17,10,8,7,12,14,3,9,2,4,0,1,1,9,4,28,0,7,9,9,0,8,7,27,4,5,8,22,3,1,7,3,3,9,2
"Ant191",28,0,52,26,7,5,7,3,4,14,6,11,11,16,0,0,12,9,26,12,17,60,15,8,34,3,15,8,6,7,8,12,23,8,27,11,39,0,4,10,13,1,0,16,24,6,6,39,6,25,19,3,5,8,10,12,20,10,19,15,6,20,19,3,12,11,16
"Ant202",1,0,16,0,0,30,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,0,0,5,0,4,0,0,24,11,0,0,0,0,6,13,0,0,7,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,2,0,0,14,0
"Ant209",6,1,18,0,0,1,0,1,3,3,17,1,7,0,12,0,0,0,0,4,0,5,21,0,6,3,0,7,1,24,11,0,0,2,3,6,0,0,0,2,4,0,0,4,4,0,0,2,0,6,2,2,1,0,0,3,0,1,2,0,6,1,2,4,0,0,1
"Ant252",2,0,30,8,6,6,0,4,18,11,0,9,0,22,9,0,0,0,0,34,9,9,2,0,1,3,10,4,0,0,1,0,0,0,3,10,4,0,1,0,3,0,0,4,36,0,5,9,0,1,2,5,1,42,3,4,13,15,14,1,1,1,3,4,0,1,10
"Ant268",2,0,24,0,7,25,18,0,0,0,0,0,0,3,26,10,0,0,0,4,9,0,0,14,0,0,31,0,14,0,7,47,69,0,2,0,1,25,20,10,2,12,6,0,4,22,2,9,0,0,0,0,0,1,0,3,0,0,0,17,0,43,1,0,2,26,0
"Ant311",7,1,26,23,9,8,10,1,26,19,8,9,2,4,12,0,4,34,4,0,15,12,3,0,30,7,26,6,8,2,8,11,7,0,16,2,10,14,3,9,12,0,0,1,15,9,4,18,0,15,9,9,2,19,8,1,7,10,2,4,0,14,0,2,18,12,3
"Ant518",3,0,32,13,3,0,8,3,3,4,3,11,0,11,17,0,0,9,9,15,0,10,0,10,24,3,7,4,0,2,2,8,8,22,3,1,4,6,0,24,17,2,0,5,13,14,3,7,0,1,12,2,0,3,0,1,6,0,0,10,1,4,2,2,4,4,9
"Ant0",29,12,39,12,8,4,0,15,34,47,26,24,14,4,60,0,5,9,0,12,10,0,19,0,79,1,2,42,0,53,14,0,0,6,8,5,10,2,0,3,0,0,0,28,28,0,9,4,0,12,19,10,0,7,25,11,5,21,11,1,15,0,9,38,14,3,6
"Ant32",10,2,24,7,6,0,0,27,10,21,29,10,4,6,15,0,21,2,0,3,0,19,0,0,37,20,1,7,0,29,2,0,0,18,4,3,9,0,0,13,0,0,0,16,11,0,2,8,0,11,18,15,8,0,4,25,7,0,12,0,22,0,0,12,16,0,13
"Ant43",0,0,0,1,0,8,0,0,0,0,0,0,0,3,8,8,0,0,14,0,10,0,0,0,0,0,7,0,0,0,0,5,10,0,0,0,1,1,20,7,0,9,13,0,1,18,0,2,2,0,0,0,0,1,0,0,0,0,0,10,0,10,1,0,1,7,0
"Ant44",12,13,41,31,2,2,3,15,39,12,28,17,8,9,34,0,6,1,0,30,24,79,37,0,0,17,5,22,1,44,2,1,1,13,13,10,20,1,2,22,8,1,0,10,9,9,6,8,0,17,16,14,8,4,2,18,2,11,3,13,5,2,12,20,21,0,5
"Ant50",8,16,28,0,3,0,0,6,15,0,4,8,0,1,3,0,3,3,0,7,3,1,20,0,17,0,0,6,0,4,10,0,0,4,3,3,12,0,0,1,1,0,0,7,3,0,11,3,0,20,0,0,18,12,4,25,2,1,1,0,18,0,1,25,1,0,6
"Ant55",5,0,14,8,2,19,14,0,6,7,0,1,0,32,15,5,0,10,31,26,7,2,1,7,5,0,0,1,12,0,0,19,23,3,8,3,11,29,16,25,3,5,5,0,15,6,2,13,4,2,3,13,0,10,13,2,5,10,13,12,10,9,10,4,1,21,5
"Ant63",18,1,15,6,3,0,0,9,8,14,11,8,9,2,8,0,7,4,0,6,4,42,7,0,22,6,1,0,6,7,0,0,0,10,13,4,9,1,0,2,0,0,0,13,1,0,8,6,0,8,0,3,0,8,23,3,4,14,3,1,7,1,5,17,14,0,3
"Ant91",5,4,16,0,8,31,22,0,0,2,0,1,0,7,6,4,1,0,14,8,0,0,0,0,1,0,12,6,0,0,1,18,25,0,0,6,0,15,7,0,26,6,10,0,3,16,0,18,0,0,1,2,0,4,4,1,0,5,0,11,2,52,12,0,1,11,0
"Ant97",4,5,20,5,0,1,0,0,11,12,7,19,2,0,7,0,24,0,0,2,2,53,29,0,44,4,0,7,0,0,2,0,0,7,7,0,5,0,0,2,0,0,0,13,13,0,4,8,0,16,6,2,8,1,5,5,13,4,0,0,2,0,0,30,3,0,5
"Ant98",11,2,14,17,1,0,2,2,9,11,4,12,1,1,8,0,11,1,7,8,2,14,2,0,2,10,0,0,1,2,0,0,0,0,7,8,3,1,0,0,3,0,0,4,4,0,1,5,0,0,8,1,15,4,3,9,1,16,4,1,8,0,1,8,0,5,18
"Ant100",3,0,25,0,7,11,10,0,2,0,0,0,0,15,12,24,0,0,47,11,8,0,0,5,1,0,19,0,18,0,0,0,18,2,6,1,1,8,22,12,2,6,26,0,1,23,0,16,4,0,2,0,0,0,0,1,0,3,6,14,0,38,25,3,0,22,1
"Ant109",0,0,25,0,5,14,40,0,2,0,1,0,0,17,23,11,0,0,69,7,8,0,0,10,1,0,23,0,25,0,0,18,0,0,4,2,0,7,18,21,11,0,0,0,11,14,1,19,46,1,0,3,0,1,1,11,2,16,2,11,3,38,6,3,2,25,0
"Ant137",4,0,14,5,6,0,0,20,4,10,20,3,17,10,8,0,2,0,0,0,22,6,18,0,13,4,3,10,0,7,0,2,0,0,24,11,12,0,0,8,0,0,0,11,11,0,2,8,0,18,6,6,4,4,0,30,1,0,1,0,2,0,4,6,4,4,2
