"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant347","Ant353","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant527","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant518",2,6,0,2,21,0,3,5,1,7,17,2,1,12,0,6,3,4,0,10,14,0,5,0,1,3,0,1,0,2,9,4,5,4,0,3,10,4,10,0,2,6,5,16,4,22,4,13,7,2,3,5,0,3,10,4,3,0,3,0,0,10,0,0,3,2,2,0,4,6,2,0,2,13,0,0,10,7,2,6,3,0,0,18,4,10,0,5,4,0,3,0,3,1,2,2,8,3,3,0,6,1,7,4,6,0,3,5,4,2
"Ant620",5,1,4,5,0,6,0,0,11,0,0,2,3,16,0,0,0,3,12,0,6,3,0,7,7,0,1,0,6,18,2,7,1,1,5,2,0,5,7,11,2,3,4,2,7,2,6,19,3,4,6,7,6,0,0,0,8,0,1,10,9,0,8,2,15,0,1,20,2,1,13,7,0,0,3,11,0,1,0,1,0,10,0,0,0,3,0,1,1,0,3,3,6,2,1,2,3,2,4,9,1,10,0,0,0,1,7,1,4,6
"Ant0",2,2,0,1,0,1,0,0,1,0,2,0,0,2,0,0,0,0,7,0,0,0,0,6,0,1,0,6,0,2,0,2,2,1,14,0,3,16,6,15,0,0,1,0,0,0,0,0,2,2,0,0,1,1,0,0,1,8,7,8,2,0,6,7,1,0,4,2,0,0,1,13,0,0,9,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,4,0,0,23,0,0,1,11,2,9,0,0,0,4,9,0,1,2
"Ant13",6,4,4,13,0,3,0,0,7,0,1,3,0,0,0,0,0,3,18,0,5,1,0,8,2,8,2,18,2,0,1,6,2,0,5,1,3,5,3,2,0,4,3,1,12,2,2,8,14,10,1,19,1,5,0,0,8,0,11,3,0,0,10,1,23,0,3,5,18,0,0,0,0,2,2,6,0,0,0,0,0,14,0,2,0,4,2,10,1,0,7,0,0,8,5,14,2,0,4,7,0,14,6,2,2,4,16,0,24,22
"Ant23",1,13,5,0,17,0,2,18,4,6,13,14,2,19,1,4,1,3,7,18,3,6,4,0,8,8,9,2,0,1,0,7,2,13,1,19,34,0,1,1,4,6,16,20,0,16,8,3,4,4,12,3,1,1,16,17,0,0,5,0,1,5,1,6,3,2,14,5,3,4,1,2,2,3,0,3,6,11,3,7,5,3,9,10,6,0,2,2,9,1,10,1,0,3,6,0,4,5,9,1,9,6,7,6,9,0,2,10,7,4
"Ant27",6,8,1,7,0,2,0,1,12,4,0,0,11,9,0,0,0,7,7,3,2,0,1,9,1,7,4,7,2,6,7,0,2,1,3,1,10,1,7,5,1,11,5,7,1,1,10,17,7,7,12,8,3,0,7,2,11,1,7,2,2,3,9,8,10,0,1,16,4,2,6,0,5,1,1,9,2,3,0,4,0,14,0,4,0,3,6,6,0,2,12,5,5,2,5,4,0,0,1,5,1,12,21,0,1,2,2,2,19,2
"Ant29",3,3,0,0,0,11,0,3,4,0,4,3,5,0,0,4,0,3,12,3,11,2,2,1,0,3,5,1,2,2,2,2,0,1,6,0,2,10,2,3,0,0,2,3,6,2,4,7,5,7,0,0,2,6,4,2,3,22,4,8,4,0,2,10,9,0,4,2,11,0,10,5,3,0,7,2,6,4,0,3,0,3,0,0,0,2,5,1,3,18,12,8,15,2,3,6,0,6,2,11,2,15,3,1,3,2,1,0,11,2
"Ant32",0,54,0,4,17,1,8,4,8,6,15,43,0,7,4,9,12,3,0,17,8,9,50,1,7,5,4,1,1,0,13,1,1,0,1,6,12,0,2,0,17,7,10,24,1,10,0,1,5,0,14,1,0,1,29,27,0,0,0,0,0,10,0,1,2,4,10,0,3,11,0,0,8,16,0,0,14,10,5,10,10,1,18,19,3,1,3,13,13,0,0,0,0,0,5,0,4,6,17,0,17,1,6,14,18,0,0,36,6,0
"Ant42",11,2,3,3,0,11,0,0,1,2,0,0,1,0,0,0,0,0,6,0,3,0,4,2,0,3,0,5,14,5,1,3,6,1,0,0,2,4,10,11,0,2,0,1,2,0,7,3,2,1,0,3,3,3,0,0,9,16,6,12,1,0,6,6,0,0,4,4,3,0,15,5,1,5,13,10,0,5,0,0,0,5,0,0,0,9,0,0,1,2,6,1,3,1,3,4,0,0,1,5,0,6,1,0,0,6,7,7,18,18
"Ant43",1,64,0,0,10,0,4,8,3,19,12,24,0,11,2,12,6,1,0,6,1,11,11,0,3,8,3,2,0,1,19,1,0,6,0,0,17,0,0,0,9,3,14,23,0,16,1,2,6,0,1,0,0,0,16,9,0,0,0,0,0,2,0,0,0,1,5,0,6,14,0,0,16,14,0,0,16,2,3,9,5,0,11,12,3,2,6,0,9,0,1,0,0,0,2,0,4,13,12,0,7,0,20,11,28,0,2,26,1,0
"Ant44",7,17,1,1,13,3,0,19,4,7,6,21,8,11,2,5,2,6,1,12,7,17,12,1,5,5,10,0,3,3,34,10,2,12,2,17,0,0,2,1,9,11,7,3,3,9,5,4,8,0,8,3,0,0,15,9,1,2,0,1,0,7,0,0,6,2,6,5,1,17,0,0,9,20,0,0,10,6,1,8,4,1,6,0,1,1,8,12,8,1,8,0,0,1,3,4,0,18,6,1,1,7,5,8,11,1,1,17,5,0
"Ant50",6,1,10,6,0,5,0,3,6,5,0,0,3,4,0,0,0,3,28,0,0,0,0,3,0,4,4,5,16,5,0,1,10,0,4,0,0,0,2,12,0,1,2,0,0,2,0,3,6,9,2,9,2,4,0,0,4,12,1,19,25,0,8,4,11,0,0,3,0,0,5,36,2,0,15,9,1,0,0,0,0,2,0,0,0,1,2,0,1,5,3,11,4,4,0,6,1,0,3,8,2,5,0,0,0,35,6,4,3,2
