"","Ant4","Ant260","Ant52","Ant540","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant518","Ant0","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant115","Ant117","Ant127","Ant137","Ant139","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant492","Ant501","Ant507","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant394",3,5,2,0,1,2,5,0,3,4,5,0,1,0,2,1,1,0,5,1,3,2,3,5,2,1,1,0,8,5,0,7,1,0,2,2,9,1,3,3,3,3,0,3,3,0,1,13,6,1,1,4,0,1,9,0,3,0,0,3,0,0,7,2,3,0,0,2,5,0,11,3,2,7,2,2,7
"Ant400",6,21,3,0,0,5,0,0,10,18,10,0,6,0,4,1,3,17,0,11,1,1,1,5,1,6,7,0,6,9,0,15,21,3,3,7,0,3,3,0,6,3,1,0,1,3,5,1,1,0,2,0,0,2,0,0,10,1,0,5,5,6,1,0,8,0,2,0,5,4,5,3,2,4,1,8,7
"Ant482",4,3,7,7,3,3,2,0,3,0,5,0,0,0,2,1,6,1,3,0,0,1,1,1,8,1,8,2,2,6,4,6,4,0,2,0,3,2,7,4,4,12,1,6,5,0,5,11,11,7,5,4,0,5,1,0,4,0,0,2,0,2,3,4,1,4,5,5,0,0,3,4,4,6,0,3,5
"Ant492",5,18,0,0,3,1,8,3,10,14,3,7,9,21,11,0,0,2,2,18,7,0,6,4,1,8,14,22,13,10,0,7,18,29,3,8,0,0,0,2,1,0,0,3,1,14,0,0,2,0,0,0,16,1,3,4,3,0,16,5,23,21,7,0,4,0,0,4,0,0,2,28,0,1,14,12,1
"Ant501",8,2,6,2,6,4,7,0,5,11,0,0,2,0,0,2,2,8,16,15,23,0,1,3,2,0,3,0,0,11,5,4,7,1,5,1,6,3,2,20,6,3,7,0,1,6,1,4,5,0,8,0,0,3,6,0,5,6,0,14,0,5,7,0,4,0,11,5,3,2,0,12,2,9,1,2,9
"Ant507",0,10,0,1,0,5,7,9,21,31,5,10,11,11,2,0,1,21,0,26,6,0,10,2,1,5,2,6,1,9,1,10,11,19,8,22,16,1,6,1,0,0,2,2,2,35,0,1,1,0,1,0,18,0,13,16,6,8,4,13,4,18,25,0,3,1,3,3,4,28,12,0,2,2,3,9,1
"Ant538",1,5,2,1,0,1,2,0,2,4,7,0,0,0,0,14,0,2,0,1,2,13,2,1,2,0,1,0,1,2,6,1,1,0,0,0,1,2,5,14,5,6,10,3,57,0,1,0,8,6,0,5,0,2,3,0,1,2,0,0,0,2,2,5,2,0,2,2,4,0,2,2,0,11,0,1,3
"Ant552",15,7,25,90,19,9,6,0,3,0,3,0,1,0,1,17,79,0,21,0,10,8,4,8,25,0,8,0,9,8,22,40,4,4,2,0,10,58,39,14,15,19,7,4,12,0,15,13,15,2,11,11,0,9,8,0,2,4,0,1,0,2,6,0,20,4,7,4,6,1,9,2,11,0,3,4,17
"Ant560",9,24,3,5,13,11,8,0,15,5,12,0,12,0,11,5,4,51,2,28,13,1,6,4,12,4,14,0,9,4,6,5,18,1,4,25,15,1,3,1,8,4,1,8,2,0,0,1,8,0,0,8,0,3,6,0,9,1,0,11,6,2,29,4,2,0,2,1,0,14,1,3,0,3,0,16,2
"Ant564",10,17,11,2,8,10,4,0,22,4,16,1,3,0,6,3,6,17,1,18,14,1,20,9,8,1,14,4,5,24,5,10,14,15,4,9,19,4,1,1,9,0,1,7,0,2,4,2,3,3,5,0,0,7,10,0,13,1,1,13,1,4,17,2,6,3,2,8,3,12,2,9,1,4,16,0,5
"Ant593",10,3,8,6,8,4,13,0,3,1,6,0,2,0,0,0,13,0,1,1,3,0,8,5,6,1,17,0,22,9,12,7,3,7,3,0,12,1,20,0,4,2,2,1,1,0,10,5,3,2,15,0,0,2,4,0,0,0,0,4,0,6,6,0,5,0,7,7,5,1,9,1,3,17,2,5,0
