"","Ant4","Ant260","Ant52","Ant540","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant518","Ant0","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant115","Ant117","Ant127","Ant137","Ant139","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant492","Ant501","Ant507","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,10,4,3,8,4,3,0,8,0,7,0,0,0,4,4,11,2,4,1,0,2,6,14,2,0,10,0,8,7,5,9,9,0,1,0,6,3,7,4,6,1,8,6,1,0,4,9,6,17,13,2,0,2,10,2,3,7,0,13,0,0,4,0,10,2,6,6,1,0,7,0,0,4,1,7,3
"Ant260",10,0,1,10,8,13,17,11,25,10,11,0,0,0,11,5,9,52,0,47,15,3,19,11,4,2,11,9,11,14,5,19,35,0,20,82,30,8,5,3,7,3,8,2,1,13,4,2,11,8,9,3,0,8,11,105,49,47,0,32,0,25,30,6,11,7,9,5,10,4,13,4,5,9,18,24,6
"Ant52",4,1,0,3,0,2,2,0,0,4,17,0,0,0,0,2,4,0,16,1,1,1,1,1,5,0,4,0,8,3,3,0,2,0,7,0,5,0,4,2,1,9,10,7,7,1,3,0,4,14,2,10,0,2,12,1,0,0,0,2,0,0,0,10,0,11,0,0,7,0,8,0,13,6,0,5,8
"Ant540",3,10,3,0,0,6,1,0,4,1,3,0,0,0,0,15,6,0,1,0,0,3,0,1,4,0,3,0,0,1,7,1,0,0,0,0,3,0,2,16,6,11,2,0,13,0,6,14,14,1,0,10,0,10,9,0,0,0,0,0,0,0,6,1,1,2,0,4,7,0,0,0,1,14,0,1,0
"Ant7",8,8,0,0,0,19,13,1,1,3,3,1,0,0,6,0,8,2,1,9,1,0,7,3,0,0,1,0,3,4,0,3,0,0,4,7,9,1,2,2,2,1,0,0,1,0,0,2,2,1,1,1,0,1,2,2,5,4,0,2,0,4,4,1,2,1,0,13,2,0,7,0,0,1,1,4,7
"Ant19",4,13,2,6,19,0,12,6,7,14,5,0,0,0,2,1,13,8,0,4,4,0,6,10,8,0,12,0,17,8,7,7,9,0,5,1,8,15,1,0,1,2,0,2,1,5,6,0,6,0,0,0,0,0,7,6,12,10,0,7,0,3,8,3,5,2,2,10,11,6,8,0,0,5,0,10,1
"Ant26",3,17,2,1,13,12,0,19,6,0,2,0,0,0,7,1,0,6,1,11,2,1,7,8,2,0,4,0,0,1,0,29,9,0,6,15,9,1,2,0,0,1,0,0,0,5,3,0,0,1,2,0,0,0,1,13,1,16,0,8,0,17,13,2,3,0,1,7,1,9,9,1,0,4,6,9,4
"Ant30",0,11,0,0,1,6,19,0,20,13,0,1,20,0,19,1,2,51,1,41,2,0,1,18,0,15,2,21,12,1,1,5,12,39,1,8,4,0,0,0,3,0,0,0,0,20,1,1,0,0,2,0,7,0,0,7,3,3,94,0,31,17,90,0,2,0,2,2,0,28,8,45,0,0,12,3,0
"Ant38",8,25,0,4,1,7,6,20,0,6,10,10,7,33,10,4,12,33,1,21,17,3,36,35,11,5,18,1,19,15,4,15,44,13,9,23,28,13,2,4,10,2,6,1,0,22,9,4,10,1,8,4,8,5,14,16,16,20,3,16,4,22,61,0,15,0,5,8,2,18,5,10,1,3,25,21,15
"Ant60",0,10,4,1,3,14,0,13,6,0,2,1,0,0,3,1,9,8,2,14,15,1,10,7,0,0,2,0,3,2,1,1,4,0,12,7,4,0,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,21,5,7,0,4,0,4,3,1,2,0,4,0,0,0,18,0,0,2,3,6,8
"Ant64",7,11,17,3,3,5,2,0,10,2,0,1,0,0,0,7,14,12,6,8,10,1,11,12,7,0,4,0,16,6,3,4,15,0,7,12,8,2,1,2,3,0,3,0,23,0,6,6,2,2,2,2,0,5,9,13,27,5,0,11,0,1,10,2,7,3,5,6,2,5,4,7,0,10,13,4,25
"Ant73",0,0,0,0,1,0,0,1,10,1,1,0,30,8,2,0,0,2,0,2,4,0,8,1,0,19,0,4,2,0,0,0,4,21,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,2,0,26,0,10,5,10,0,0,0,0,0,0,23,0,8,0,0,0,0,1
"Ant76",0,0,0,0,0,0,0,20,7,0,0,30,0,9,11,0,0,4,0,1,3,0,0,0,0,37,0,31,2,0,0,0,4,34,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,0,0,0,0,0,33,0,35,19,0,0,0,0,0,0,0,20,0,27,0,0,0,0,0
"Ant148",0,0,0,0,0,0,0,0,33,0,0,8,9,0,21,0,0,0,0,0,4,0,11,12,0,4,0,0,3,0,0,0,6,24,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,15,0,3,13,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0
