"","Ant4","Ant260","Ant52","Ant540","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant518","Ant0","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant115","Ant117","Ant127","Ant137","Ant139","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant492","Ant501","Ant507","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,3,11,0,3,9,2,2,0,1,1,0,0,0,3,2,8,0,0,7,0,5,1,7,0,0,11,0,17,1,3,8,8,0,4,6,7,3,2,1,7,0,2,1,2,8,4,3,2,0,0,1,0,16,0,23,5,6,0,4,4,4,0,0,3,1,5,3,10,1,3,0,3,11,1,14,9
"Ant260",3,0,9,4,7,10,6,46,11,13,28,15,7,0,7,1,3,48,3,2,11,3,26,10,4,5,3,10,5,4,3,10,7,0,7,85,15,1,6,0,1,0,8,0,3,6,2,1,0,2,6,1,0,4,16,35,60,16,0,7,14,39,22,0,5,1,8,13,2,10,4,0,2,1,19,21,7
"Ant52",11,9,0,15,0,1,0,2,0,0,2,0,1,0,0,55,4,0,1,0,0,22,4,2,2,0,1,0,2,0,11,0,3,0,1,0,3,1,6,6,0,0,1,1,3,1,5,1,6,12,0,7,0,19,0,0,0,0,0,3,0,0,0,3,0,14,1,3,1,0,1,2,16,24,1,1,0
"Ant540",0,4,15,0,0,2,1,2,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,2,7,0,1,0,1,1,8,1,0,0,0,1,1,4,11,3,1,1,1,4,40,0,4,0,7,5,4,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,5,10,2,2,0
"Ant7",3,7,0,0,0,2,5,1,2,5,10,0,4,0,3,2,8,0,4,0,1,3,2,5,5,0,23,0,5,3,6,3,3,0,1,2,4,11,11,1,11,0,0,1,0,0,7,15,1,0,0,0,0,2,5,5,6,6,0,5,4,1,9,0,2,3,9,10,2,1,0,0,11,3,0,12,4
"Ant19",9,10,1,2,2,0,4,1,5,6,8,0,2,0,5,6,3,4,3,0,0,2,15,1,6,0,8,0,2,2,1,26,7,0,2,1,4,1,0,6,2,1,3,3,0,1,6,1,11,0,1,1,0,8,0,0,4,6,0,7,0,3,1,1,7,2,6,5,8,1,2,0,7,5,2,5,4
"Ant26",2,6,0,1,5,4,0,10,6,7,4,14,5,0,9,0,8,21,0,6,23,2,9,7,1,5,4,2,3,3,1,5,6,0,11,32,4,1,6,4,2,0,0,3,0,7,4,0,1,1,2,0,0,5,1,23,33,12,0,6,5,17,5,0,1,4,10,3,0,2,3,8,1,4,6,6,7
"Ant30",2,46,2,2,1,1,10,0,26,6,12,21,20,49,12,0,11,57,4,35,15,0,8,7,2,42,7,11,5,4,0,3,8,59,3,9,6,1,1,0,10,0,2,2,0,14,8,1,6,0,2,0,19,1,2,17,19,10,134,22,8,38,37,0,7,0,0,4,5,11,3,39,2,1,39,8,6
"Ant38",0,11,0,0,2,5,6,26,0,3,19,10,31,3,8,0,1,23,0,22,17,1,8,15,3,21,5,19,44,1,0,3,13,30,0,14,6,0,0,0,0,0,0,0,1,12,3,2,1,1,3,0,29,0,1,7,10,14,13,30,15,15,10,0,5,0,2,12,1,17,0,16,0,5,4,9,6
"Ant60",1,13,0,1,5,6,7,6,3,0,4,0,1,0,7,0,0,13,1,6,6,0,3,3,1,0,0,4,5,0,5,11,12,0,12,11,11,1,2,3,0,0,0,0,0,0,4,1,1,0,4,1,0,1,10,33,23,7,0,9,0,8,2,4,9,0,3,2,8,1,4,0,3,2,5,6,2
