"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant347","Ant353","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant527","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,5,6,5,8,9,0,0,6,10,2,3,0,9,1,6,0,6,7,9,8,1,0,3,2,9,6,7,2,11,4,11,10,5,6,11,8,0,6,1,6,11,3,4,8,14,8,15,11,3,6,0,1,4,3,5,6,0,1,12,0,19,4,6,4,0,15,12,0,1,10,1,13,1,3,4,9,9,1,13,0,6,0,0,6,2,7,3,1,5,15,3,3,2,2,5,2,9,0,7,10,24,19,0,6,3,4,3,9,7
"Ant260",5,0,0,0,31,0,0,23,5,11,22,41,3,9,27,34,5,4,4,11,8,8,0,3,2,8,19,2,1,2,4,11,4,107,0,25,35,0,5,0,37,3,8,7,3,7,6,2,9,0,15,3,1,4,18,14,1,0,0,1,0,11,0,7,1,0,2,7,5,26,2,0,6,8,0,0,50,8,2,13,29,2,17,0,24,1,12,9,7,0,3,4,3,4,0,2,1,6,34,2,6,4,15,27,36,1,1,33,4,1
"Ant52",6,0,0,2,0,12,0,0,5,1,0,0,5,3,0,1,0,1,27,2,2,0,0,4,1,3,0,20,14,1,1,4,32,0,16,0,1,23,2,10,0,1,0,0,5,2,1,4,11,11,0,35,21,0,0,0,6,33,16,7,15,0,7,7,15,0,2,11,7,0,6,41,1,0,20,15,0,2,0,0,0,11,0,0,0,4,3,1,0,3,1,25,8,7,22,14,10,0,0,14,0,12,0,0,0,39,28,0,6,23
"Ant540",5,0,2,0,0,3,0,0,1,5,1,4,2,9,6,3,0,9,6,8,0,6,0,5,6,9,1,10,3,2,1,6,7,0,5,6,9,1,7,2,2,14,0,1,13,10,7,13,6,4,2,1,3,3,0,0,7,8,7,6,3,0,3,0,4,0,3,6,19,0,6,1,5,0,2,11,1,2,1,2,0,3,0,0,0,1,2,7,0,4,11,5,7,8,2,4,5,1,1,14,0,12,6,1,0,4,5,2,7,5
"Ant6",8,31,0,0,0,3,23,8,4,9,10,17,3,1,19,5,30,1,1,14,1,15,56,0,1,8,3,1,0,1,12,0,1,23,0,10,17,0,0,1,32,5,2,32,3,2,0,0,0,0,16,0,0,0,30,27,0,0,0,0,0,5,0,0,0,10,3,0,0,13,0,0,8,8,0,0,10,5,1,13,18,8,43,5,10,3,0,2,11,0,0,0,0,0,0,1,4,5,19,1,9,0,4,13,4,0,2,13,0,0
"Ant7",9,0,12,3,3,0,0,2,0,3,0,2,2,6,0,0,0,6,8,1,0,2,0,5,1,0,2,7,4,5,2,0,9,0,10,2,1,7,4,3,0,1,0,1,7,3,1,3,4,8,2,6,0,1,0,1,3,5,0,5,10,0,2,5,8,0,2,4,0,1,13,2,3,0,7,1,1,3,2,1,0,5,0,0,0,1,3,0,0,5,3,3,11,1,7,5,8,0,0,2,4,8,4,0,0,9,6,0,9,13
"Ant9",0,0,0,0,23,0,0,8,0,0,5,2,0,0,0,9,28,0,0,27,0,0,120,0,0,0,5,0,0,0,5,0,0,0,0,21,9,0,0,0,34,0,5,87,0,0,0,0,0,0,5,0,0,0,32,34,0,0,0,0,0,6,0,0,0,34,0,0,0,11,0,0,0,10,0,0,0,0,0,0,36,0,78,37,13,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Ant14",0,23,0,0,8,2,8,0,1,9,10,13,0,1,8,12,1,2,0,11,5,6,19,1,2,2,11,1,0,0,16,0,0,20,0,12,14,0,0,0,3,0,9,7,1,3,0,0,3,0,13,0,0,3,23,11,0,0,0,0,1,9,0,1,0,2,0,1,0,19,0,0,17,26,0,0,7,2,27,3,8,0,13,8,6,6,2,9,9,0,3,0,0,0,1,0,3,5,8,1,9,1,21,12,6,0,1,17,2,0
"Ant19",6,5,5,1,4,0,0,1,0,13,6,4,2,1,4,1,2,7,6,1,1,5,0,6,1,9,6,1,0,6,1,6,2,5,1,5,3,6,13,1,1,4,1,9,0,8,12,9,3,1,4,2,4,1,1,5,1,0,1,4,3,1,3,2,3,0,9,7,12,1,5,4,5,0,5,1,0,5,11,8,0,3,2,0,0,1,10,5,2,2,6,1,4,4,0,5,5,1,2,2,3,12,3,5,0,0,0,7,4,4
"Ant26",10,11,1,5,9,3,0,9,13,0,11,13,6,5,33,3,7,4,2,4,42,5,0,0,3,5,16,2,0,7,7,4,0,9,1,20,15,1,1,1,12,18,19,2,0,9,4,4,6,3,7,0,0,14,3,3,2,0,0,3,1,0,5,1,0,0,19,6,0,12,0,3,35,3,3,3,11,19,4,7,0,1,0,0,0,0,27,18,0,2,1,1,0,1,0,3,2,7,2,0,7,1,31,8,6,0,1,7,2,0
"Ant30",2,22,0,1,10,0,5,10,6,11,0,18,0,12,7,5,11,5,3,10,2,6,11,2,11,7,7,2,0,0,15,4,2,13,2,9,6,1,3,0,13,3,8,13,1,7,0,2,1,0,16,0,0,3,22,19,1,0,0,0,0,15,1,0,0,2,7,0,0,7,0,0,5,0,0,0,7,10,2,4,11,2,21,8,3,3,1,20,5,0,3,0,0,0,1,0,5,10,10,2,13,0,13,3,8,0,1,8,11,1
"Ant38",3,41,0,4,17,2,2,13,4,13,18,0,5,15,2,6,6,0,4,7,0,8,4,1,4,9,15,4,0,0,16,5,4,31,0,12,25,0,2,0,26,2,2,1,3,11,4,1,19,2,25,0,0,5,11,16,3,0,2,0,1,9,1,0,0,1,0,6,0,25,2,2,3,7,1,1,21,5,5,5,6,5,4,0,2,6,5,3,10,1,8,2,4,0,1,4,3,12,11,1,15,5,29,5,4,2,0,17,2,2
