"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant347","Ant353","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant527","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,3,12,4,0,9,0,1,5,2,5,5,3,5,0,2,3,5,12,6,9,2,0,1,3,14,5,3,0,6,4,12,6,2,12,1,4,6,2,5,5,3,8,4,7,6,3,12,6,3,5,2,4,4,2,0,3,1,1,3,7,0,9,7,10,0,2,23,1,0,8,1,0,0,1,11,6,7,0,2,0,7,0,1,0,0,14,5,4,2,12,1,5,0,3,4,0,1,1,0,4,22,2,2,4,1,6,11,3,3
"Ant260",3,0,1,5,14,1,0,30,16,8,26,15,7,7,8,10,0,7,7,9,8,4,0,4,13,22,40,3,0,3,15,9,9,33,7,18,13,1,4,0,11,8,11,43,12,20,5,3,3,2,18,1,0,3,11,15,4,4,2,0,2,16,3,6,0,0,12,2,6,34,2,0,4,17,1,6,12,2,10,4,0,1,0,11,0,8,12,12,14,0,9,0,2,0,4,1,6,26,18,2,52,7,67,18,43,1,3,22,18,2
"Ant52",12,1,0,9,0,7,0,0,0,1,1,2,4,4,0,0,0,3,59,1,3,0,0,8,0,4,0,6,6,15,1,2,4,0,0,0,0,6,1,10,2,0,0,1,5,5,0,8,1,9,0,11,3,1,1,0,8,16,8,8,13,0,15,18,6,0,0,19,4,0,7,15,0,0,4,13,0,5,0,0,0,13,0,0,0,3,5,5,0,2,7,12,6,5,3,24,0,1,1,4,0,9,1,0,1,31,9,2,1,2
"Ant540",4,5,9,0,0,6,0,0,0,5,4,1,6,4,0,1,0,9,9,4,7,5,0,3,4,1,4,8,3,16,6,5,10,0,1,0,2,5,1,5,1,6,3,6,9,1,1,8,7,17,0,0,2,2,0,1,8,2,0,5,4,1,9,2,2,0,0,2,1,0,0,1,1,0,1,3,2,1,0,0,0,5,0,0,0,3,0,0,0,0,9,0,3,2,8,6,3,1,3,9,1,3,2,1,0,1,3,0,4,8
"Ant6",0,14,0,0,0,0,14,6,1,1,8,13,0,3,21,2,24,0,0,4,0,2,66,0,0,5,3,1,0,0,4,0,0,10,0,12,9,0,0,0,14,2,8,30,1,8,0,0,8,0,8,0,0,4,30,23,3,0,0,0,0,15,0,2,0,18,4,0,3,5,0,0,5,7,0,0,13,4,1,4,24,0,107,3,9,2,2,2,75,0,2,0,0,0,0,0,1,6,9,0,13,1,6,7,3,0,0,6,0,0
"Ant7",9,1,7,6,0,0,0,0,1,1,0,0,3,4,0,0,0,1,14,0,2,3,0,3,0,9,3,8,1,8,1,4,16,0,1,0,0,6,4,0,2,2,2,0,0,3,0,9,10,7,0,1,1,1,0,0,2,2,3,2,3,0,4,12,8,0,0,4,0,0,6,3,0,0,1,3,0,1,0,0,0,5,0,0,0,0,1,1,0,0,9,1,1,1,1,6,3,0,0,1,0,3,0,0,1,4,6,1,2,10
"Ant9",0,0,0,0,14,0,0,4,0,0,0,0,0,0,10,3,21,0,0,28,0,0,51,0,0,0,5,0,0,0,0,0,0,5,0,1,7,0,0,0,40,0,2,78,0,0,0,0,0,0,7,0,0,0,59,28,0,0,0,0,0,9,0,0,0,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,73,0,19,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Ant14",1,30,0,0,6,0,4,0,3,4,10,16,3,1,7,16,5,3,2,2,5,16,7,0,3,7,5,0,0,3,7,0,0,5,1,11,3,0,6,1,2,8,2,10,3,4,0,4,6,0,6,0,0,10,15,9,10,0,0,0,0,12,0,0,0,0,17,0,3,11,0,0,20,11,0,2,7,5,10,12,3,0,8,28,5,0,4,3,17,0,0,0,0,0,1,0,3,5,7,0,0,2,23,12,8,0,0,36,0,0
"Ant19",5,16,0,0,1,1,0,3,0,4,2,2,5,12,1,3,0,6,4,3,4,12,0,2,4,12,18,17,1,10,3,12,1,1,5,15,5,2,6,5,6,3,7,2,2,7,7,1,4,6,3,2,0,5,0,1,16,0,1,5,0,1,4,9,1,0,5,17,2,2,0,0,11,1,1,3,5,2,1,1,0,8,0,5,0,3,8,6,0,0,12,1,0,0,9,2,0,1,4,5,3,9,14,1,5,1,7,0,3,4
"Ant26",2,8,1,5,1,1,0,4,4,0,17,22,11,9,6,9,0,1,3,5,9,5,0,3,8,10,8,0,0,0,8,0,1,17,3,21,6,2,2,0,14,6,7,11,7,13,3,4,0,1,12,0,0,11,20,19,9,0,1,0,0,10,1,0,0,0,1,8,9,19,0,0,4,15,0,3,12,7,12,10,0,0,0,2,3,2,5,14,0,0,1,0,0,1,3,0,7,16,15,0,13,0,8,4,5,0,2,3,0,0
"Ant30",5,26,1,4,8,0,0,10,2,17,0,9,2,11,9,11,1,9,2,8,11,19,2,1,5,13,8,6,0,0,6,8,1,33,2,6,13,0,3,0,10,7,16,11,3,10,3,10,1,0,25,0,0,14,10,11,11,0,0,0,1,20,1,3,0,0,9,8,2,17,0,0,28,11,0,9,24,10,14,8,2,0,0,6,0,3,9,7,9,0,13,0,0,4,0,0,0,15,14,0,20,4,44,32,31,0,1,12,0,0
"Ant38",5,15,2,1,13,0,0,16,2,22,9,0,1,3,4,4,3,6,5,4,9,7,0,6,0,11,6,5,0,2,5,4,7,25,7,9,13,0,4,1,9,11,8,36,2,18,0,3,5,7,21,0,0,1,5,15,8,0,9,2,0,20,0,3,2,0,10,7,1,15,0,0,4,10,0,4,40,3,6,7,6,2,5,5,0,4,15,1,10,0,11,1,7,3,8,2,5,24,12,1,17,4,23,11,14,0,5,28,3,0
"Ant60",3,7,4,6,0,3,0,3,5,11,2,1,0,5,0,3,0,10,13,7,13,2,0,0,6,22,24,13,0,5,7,2,0,2,4,0,7,6,2,8,3,5,3,5,1,8,1,9,6,13,5,0,1,1,2,0,9,0,1,0,5,0,2,0,1,0,13,7,3,0,2,0,1,0,0,1,1,3,0,1,0,6,0,5,0,4,4,4,1,0,6,0,0,3,9,0,2,0,2,1,2,1,9,1,0,2,3,0,6,0
"Ant64",5,7,4,4,3,4,0,1,12,9,11,3,5,0,5,4,0,7,9,13,21,23,0,3,2,12,6,4,4,5,11,7,15,10,20,11,4,5,3,4,4,1,15,14,3,10,5,19,15,1,1,8,2,2,4,2,19,2,3,1,2,3,4,10,1,0,13,6,6,12,2,0,0,2,1,5,3,0,0,6,1,0,0,11,0,13,9,6,0,1,4,5,4,0,16,4,3,10,1,0,2,20,16,1,4,4,6,17,6,4
"Ant73",0,8,0,0,21,0,10,7,1,6,9,4,0,5,0,7,21,0,1,7,0,14,17,0,1,0,1,0,0,0,6,1,0,14,0,10,8,0,0,0,13,0,18,6,1,0,0,1,0,0,15,0,0,9,27,11,2,0,0,0,0,4,0,1,0,2,13,0,5,4,0,0,2,5,0,0,4,5,5,8,17,0,28,2,10,1,0,6,72,0,1,0,0,0,0,0,1,3,2,0,17,1,12,7,11,0,0,5,0,0
"Ant76",2,10,0,1,2,0,3,16,3,9,11,4,3,4,7,0,0,0,2,7,0,4,0,4,9,4,16,0,0,1,5,3,0,14,0,9,7,0,2,1,0,6,6,7,1,1,2,5,6,0,4,0,0,11,25,15,6,0,0,0,0,1,0,0,1,2,17,0,3,8,2,0,9,15,0,0,10,3,2,14,2,0,0,6,1,8,2,8,3,0,0,0,0,0,1,0,12,17,10,2,1,0,5,16,6,0,0,3,0,0
"Ant148",3,0,0,0,24,0,21,5,0,0,1,3,0,0,21,0,0,0,1,22,0,0,55,0,1,0,1,0,0,0,4,2,0,11,0,5,11,0,0,0,12,0,9,57,0,0,0,0,0,0,11,0,0,1,6,20,0,0,0,0,0,7,0,1,0,21,0,0,1,6,0,0,9,4,0,0,2,0,4,1,17,0,27,0,10,1,0,0,6,0,0,0,0,1,1,0,0,0,0,0,5,0,10,3,9,0,0,0,0,0
"Ant158",5,7,3,9,0,1,0,3,6,1,9,6,10,7,0,0,0,0,4,6,8,7,0,1,5,10,1,7,1,4,2,1,1,0,13,0,0,5,2,0,0,12,2,2,6,5,1,6,10,0,1,5,0,1,0,0,4,1,2,0,0,2,5,9,4,0,3,10,4,6,4,0,5,0,0,8,3,2,3,2,0,8,0,3,0,2,15,1,2,0,9,1,5,2,6,0,4,1,9,8,0,10,9,0,0,1,4,1,10,2
"Ant191",12,7,59,9,0,14,0,2,4,3,2,5,13,9,1,2,1,4,0,2,20,5,0,1,4,4,5,10,9,13,1,14,13,1,17,1,3,20,16,22,1,5,1,0,12,5,1,9,6,14,1,31,13,7,0,1,2,17,23,13,20,0,35,16,28,0,0,23,1,3,30,37,2,1,23,14,0,2,1,0,0,7,0,1,2,5,5,1,2,7,12,18,11,7,9,23,3,3,7,11,6,12,3,0,1,35,19,10,18,8
"Ant196",6,9,1,4,4,0,28,2,3,5,8,4,7,13,7,7,22,6,2,0,6,10,25,0,12,8,12,3,0,3,14,0,7,4,4,1,23,1,0,4,63,6,13,23,1,1,1,11,10,6,38,0,0,4,12,10,9,0,1,0,0,10,0,4,0,13,5,1,1,3,1,0,6,4,0,3,7,8,0,12,6,1,21,2,10,4,7,8,26,0,5,0,1,11,0,0,1,6,3,4,12,1,6,0,3,0,4,12,10,1
"Ant202",9,8,3,7,0,2,0,5,4,9,11,9,13,21,0,0,0,8,20,6,0,11,0,10,6,5,5,9,0,1,6,3,7,1,2,6,0,8,0,1,6,3,9,6,1,4,2,13,8,5,0,1,0,20,3,2,2,0,2,0,0,1,1,9,6,0,3,11,0,4,2,0,1,1,0,8,1,11,0,3,0,6,0,2,0,32,7,1,0,1,1,1,1,0,9,1,4,0,5,1,6,0,1,1,8,2,0,14,4,3
"Ant209",2,4,0,5,2,3,0,16,12,5,19,7,2,23,14,4,0,7,5,10,11,0,0,6,5,9,14,0,2,9,9,8,0,8,2,19,9,0,0,0,4,10,17,23,6,15,1,3,9,0,5,0,0,7,15,2,0,5,0,0,1,8,2,7,1,0,13,2,6,6,4,0,7,3,0,2,10,4,2,5,1,1,0,29,1,2,8,5,5,0,6,0,0,4,16,0,10,10,19,1,9,4,7,11,16,0,2,11,6,0
"Ant252",0,0,0,0,66,0,51,7,0,0,2,0,0,0,17,0,55,0,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,19,14,0,0,0,25,0,0,87,0,0,0,0,0,0,7,0,0,0,41,56,0,0,0,0,0,4,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,114,0,42,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Ant268",1,4,8,3,0,3,0,0,2,3,1,6,0,3,0,4,0,1,1,0,10,6,0,0,0,5,1,4,5,3,0,0,1,0,2,0,3,9,0,7,0,1,4,5,6,0,1,7,5,6,0,2,1,2,7,0,4,2,0,0,2,0,4,0,0,0,1,5,0,0,6,0,0,1,10,2,8,7,4,2,0,1,0,1,0,0,4,0,0,1,1,1,1,0,8,6,9,1,3,0,1,0,4,0,3,2,1,5,2,6
"Ant308",3,13,0,4,0,0,0,3,4,8,5,0,6,2,1,9,1,5,4,12,6,5,0,0,0,14,12,1,0,1,7,12,1,7,4,3,9,1,9,2,8,17,7,7,1,9,15,3,9,3,7,0,0,10,2,2,30,2,0,3,0,5,1,11,1,0,2,5,2,3,0,0,6,14,0,1,9,12,9,4,0,7,0,10,0,1,8,3,1,0,1,0,3,2,0,1,17,0,18,5,1,1,7,1,2,0,0,5,12,0
