"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant347","Ant353","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant527","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant311",14,22,4,1,5,9,0,7,12,10,13,11,22,12,0,4,0,10,4,8,5,9,0,5,14,0,17,12,1,13,6,4,2,5,4,4,15,3,7,2,7,13,10,8,8,6,14,13,10,2,5,1,0,4,6,1,8,1,2,5,6,6,8,4,10,0,4,8,2,8,4,1,17,9,0,17,9,8,7,7,0,3,0,3,0,1,8,3,0,1,4,1,4,1,3,3,7,4,9,9,0,4,12,2,3,1,1,3,7,3
"Ant518",5,40,0,4,3,3,5,5,18,8,8,6,24,6,1,16,1,1,5,12,5,14,2,1,12,17,0,5,0,4,11,7,3,3,11,1,5,0,0,1,2,4,8,16,6,14,2,10,11,0,6,0,0,14,15,10,12,0,3,0,0,8,2,21,0,0,5,4,6,7,3,0,7,14,1,1,16,2,9,1,6,2,2,9,0,1,14,4,7,0,1,0,0,1,1,2,11,13,12,4,9,7,14,2,8,1,1,12,2,5
"Ant620",3,3,6,8,1,8,0,0,17,0,6,5,13,4,0,0,0,7,10,3,9,0,0,4,1,12,5,0,4,20,2,5,16,0,10,0,0,4,5,1,2,7,0,0,0,6,0,13,8,3,0,8,11,0,0,0,0,7,11,3,7,1,10,10,6,0,0,10,0,0,14,5,0,0,6,4,0,3,0,1,0,17,0,3,0,0,8,0,0,0,6,0,4,6,9,6,3,1,1,3,1,1,6,0,1,8,2,0,6,19
"Ant0",0,0,6,3,0,1,0,0,1,0,0,0,0,4,0,0,0,1,9,0,0,2,0,5,0,1,0,4,0,8,0,1,10,0,6,0,0,4,0,4,0,0,0,0,0,0,0,3,0,1,0,2,0,6,0,0,5,6,7,12,6,0,3,3,5,0,1,2,6,0,10,7,0,0,4,4,0,0,0,0,0,2,0,0,1,0,0,0,0,1,3,14,4,0,0,7,3,0,0,3,0,10,0,0,0,7,4,0,3,2
"Ant13",6,3,15,16,0,8,0,3,10,0,0,2,5,5,0,1,0,4,13,3,1,9,0,3,1,13,4,20,8,0,0,8,18,0,3,4,20,4,15,2,1,9,1,0,6,3,8,24,5,6,3,5,4,1,1,0,4,1,31,2,3,1,3,16,0,0,8,9,5,0,14,0,4,0,2,6,2,2,7,1,0,5,0,0,0,1,9,5,0,1,12,1,6,1,8,5,8,1,2,4,1,21,5,0,3,8,3,1,4,21
"Ant23",4,15,1,6,4,1,0,7,3,8,6,5,7,11,6,5,4,2,1,14,6,9,0,0,7,6,11,2,0,0,0,0,3,5,6,3,8,0,3,0,1,1,6,9,5,2,15,3,5,0,4,2,0,6,11,22,6,1,0,0,1,10,1,3,1,4,5,5,1,9,0,0,6,7,1,7,15,9,1,4,1,4,0,9,0,4,12,10,13,0,4,0,0,1,3,3,1,3,5,2,23,5,2,5,8,1,4,13,12,3
"Ant27",12,9,2,5,0,4,0,0,12,0,8,4,2,7,1,3,2,1,14,0,3,8,0,0,12,4,7,5,1,8,0,0,9,1,10,1,0,1,13,2,4,15,4,4,1,8,4,8,5,3,1,6,9,4,0,3,4,6,3,4,2,2,5,19,8,0,1,24,4,1,6,11,5,0,3,16,2,5,0,1,0,2,0,1,0,0,1,1,4,2,11,2,1,1,3,6,3,7,7,5,1,9,9,2,1,2,10,2,7,2
"Ant29",6,9,4,10,0,16,0,0,1,1,1,7,0,15,0,0,0,1,13,7,7,0,0,1,1,2,3,16,10,18,3,9,0,2,4,0,3,5,7,3,2,2,0,1,6,5,2,10,4,8,1,23,1,0,0,0,6,4,13,11,2,1,14,21,11,0,0,4,6,0,38,1,0,1,3,23,0,10,0,3,0,7,0,0,0,0,23,4,0,2,20,2,8,5,4,0,0,1,3,2,0,12,8,0,0,8,6,0,11,9
"Ant32",2,33,0,0,10,0,5,5,1,17,33,25,2,10,14,14,11,0,1,4,1,8,4,0,7,5,3,0,0,0,5,1,2,0,2,7,7,0,0,0,2,6,20,17,3,9,2,13,2,2,18,0,0,5,21,10,9,0,1,0,0,5,0,2,0,0,13,15,3,10,0,0,16,14,0,0,13,4,8,13,8,0,16,5,1,5,2,8,53,0,2,0,0,1,0,0,1,17,20,0,14,0,16,19,24,0,0,59,0,0
"Ant42",12,7,0,1,0,1,0,1,5,3,2,7,4,20,0,0,0,13,17,4,2,2,0,2,4,4,11,10,6,3,6,10,4,2,0,0,7,1,8,3,2,10,4,4,5,9,3,12,3,9,2,0,10,2,6,2,4,3,4,5,2,3,2,3,5,0,1,2,6,1,7,5,4,2,3,10,1,7,1,4,0,4,0,0,0,0,11,0,2,3,9,2,9,6,4,10,7,1,5,1,0,7,3,2,2,6,6,1,9,6
"Ant43",1,18,0,0,12,0,1,11,15,21,6,9,0,11,10,9,5,0,1,1,6,19,19,0,3,4,1,0,0,4,3,1,0,7,0,0,9,0,0,0,5,2,7,12,2,12,1,1,1,0,16,0,0,2,10,28,1,0,0,0,0,3,0,3,0,6,3,9,5,6,0,0,10,1,0,1,6,1,4,16,4,1,17,13,5,7,5,6,25,0,2,0,0,0,4,0,5,9,14,0,1,1,21,11,6,0,0,29,2,0
"Ant44",4,13,0,2,9,0,7,3,5,6,13,13,7,4,8,7,11,0,3,23,0,9,14,3,9,15,5,0,0,20,8,0,3,7,7,9,0,2,1,2,10,5,11,6,1,4,8,16,1,2,5,0,0,4,20,15,1,0,0,0,2,2,1,3,2,3,6,3,4,6,1,0,5,18,1,3,13,8,5,11,7,0,8,5,0,4,12,3,18,0,3,0,1,3,3,0,4,3,7,1,14,2,7,2,8,0,1,12,2,3
"Ant50",6,1,6,5,0,6,0,0,2,2,0,0,6,5,0,0,0,5,20,1,8,0,0,9,1,3,0,4,4,4,0,1,5,0,1,0,2,0,2,10,0,0,1,0,0,0,5,0,5,9,0,6,8,0,0,0,0,7,4,6,6,0,15,4,4,0,0,8,7,0,6,8,0,0,6,3,1,1,0,0,0,2,0,0,0,0,1,2,0,3,10,8,10,5,3,15,5,0,2,4,0,5,0,0,2,9,6,0,6,7
"Ant55",2,4,1,1,0,4,0,6,6,2,3,4,2,3,0,2,0,2,16,0,0,0,0,0,9,7,0,5,0,15,3,13,7,0,8,0,1,2,0,4,3,5,2,5,1,2,7,26,10,0,2,3,3,0,0,2,6,1,10,1,1,2,4,1,13,0,8,1,0,0,5,0,1,0,1,2,2,9,0,0,0,9,0,0,0,0,8,7,2,0,13,2,2,3,3,2,0,3,2,1,6,13,4,1,0,0,0,10,11,2
"Ant63",5,0,10,5,0,0,0,1,5,0,0,1,8,4,0,1,0,0,22,4,1,0,0,7,2,2,1,1,4,2,0,2,3,0,3,0,2,10,4,0,0,2,2,0,2,1,3,1,7,1,0,9,1,0,0,0,4,4,14,6,8,0,4,2,17,0,0,6,2,1,4,0,0,0,14,5,1,0,0,0,0,4,0,2,0,0,2,0,0,0,4,14,3,1,5,3,0,1,1,3,0,0,1,0,0,21,8,4,3,5
"Ant91",5,11,2,1,14,2,40,2,6,14,10,9,3,4,13,0,12,0,1,63,6,4,25,0,8,7,2,2,0,1,1,4,2,2,2,5,10,0,3,0,0,2,6,31,0,7,1,4,2,0,22,0,1,0,31,11,2,0,0,0,0,11,5,3,1,9,2,1,2,4,0,0,2,1,0,1,3,9,0,0,13,2,42,3,3,11,4,3,23,0,3,0,2,1,5,0,1,6,3,1,29,4,7,1,4,0,1,5,4,1
"Ant97",3,8,0,6,2,2,0,8,3,6,7,11,5,1,0,6,0,12,5,6,3,10,0,1,17,13,4,7,0,9,1,15,2,6,10,2,5,0,5,2,2,0,6,14,2,17,4,24,11,1,6,2,4,10,8,0,26,0,0,1,3,1,9,12,3,0,3,35,1,14,4,0,28,1,1,2,12,5,6,7,0,10,0,10,0,4,9,1,0,0,5,0,1,3,10,2,4,10,17,7,8,0,1,1,8,2,2,20,2,2
"Ant98",8,11,0,3,8,2,2,2,7,7,16,8,3,15,18,6,9,2,1,13,9,17,0,4,7,10,8,0,0,1,6,4,0,20,4,7,11,1,2,2,6,6,0,21,3,10,5,4,5,6,9,1,0,0,17,13,1,0,0,0,0,6,2,5,1,1,7,5,1,26,0,0,5,5,0,3,7,4,4,8,3,2,3,4,0,2,9,15,14,0,5,2,1,1,4,0,1,5,8,1,9,0,8,14,8,0,0,22,2,1
"Ant100",4,43,1,6,30,0,78,10,2,11,11,36,5,14,6,7,57,2,0,23,6,23,87,5,7,8,16,0,0,0,9,4,1,17,4,12,6,0,5,0,31,14,21,0,8,11,5,7,13,1,5,0,0,5,40,20,13,1,0,0,0,14,0,5,1,53,22,3,3,30,0,0,17,22,0,3,9,19,22,12,29,0,118,11,16,6,7,3,25,2,2,1,2,0,2,0,9,18,22,1,19,0,29,33,22,0,0,97,3,0
"Ant109",7,12,5,9,1,0,0,3,2,7,3,2,1,3,1,1,0,6,12,1,1,6,0,6,1,8,6,0,0,6,5,1,6,3,5,2,1,0,1,2,0,2,3,8,0,1,1,3,2,0,4,7,0,10,4,4,0,2,0,0,1,1,1,5,0,0,3,2,2,4,1,0,2,0,2,7,7,3,12,3,0,1,0,0,0,1,3,8,0,3,6,0,0,0,2,0,7,1,3,1,2,0,3,1,2,1,2,2,7,1
"Ant113",6,20,5,1,8,3,0,4,7,13,10,18,8,10,0,1,0,5,5,1,4,15,0,0,9,6,14,6,0,3,2,8,5,9,9,12,4,0,2,1,7,17,10,11,1,0,5,12,12,1,4,3,2,10,0,1,6,2,0,2,1,3,0,6,1,0,13,9,2,16,11,0,18,11,0,8,10,9,19,15,1,3,1,23,0,2,3,5,4,0,5,0,7,0,6,0,2,8,12,1,14,2,16,10,15,0,1,27,1,0
"Ant115",3,5,0,1,0,0,0,0,7,3,3,0,1,5,0,2,0,1,1,1,2,1,0,1,15,14,2,0,0,8,15,4,2,2,3,1,8,5,7,3,1,4,5,5,1,5,0,9,3,1,1,0,1,0,3,2,4,0,2,0,0,0,0,2,0,0,0,13,1,1,0,0,0,0,0,6,1,0,1,1,0,2,0,0,0,11,7,0,0,0,6,0,1,0,6,0,6,0,0,2,2,7,4,0,0,0,0,2,10,1
"Ant117",12,3,8,8,0,9,0,4,1,4,10,3,9,19,1,5,0,6,9,11,13,3,0,7,3,13,10,13,3,24,3,8,10,13,12,1,16,0,26,1,4,24,4,7,3,12,9,0,6,5,3,3,4,0,2,1,7,3,2,4,11,1,4,6,3,0,2,8,4,2,15,11,3,2,4,8,0,2,11,16,0,9,0,13,0,9,6,3,1,0,16,3,5,6,5,9,0,1,15,8,9,6,9,3,8,3,7,2,5,13
"Ant124",6,3,1,7,8,10,0,6,4,0,1,5,6,15,0,6,0,10,6,10,8,9,0,5,9,10,11,8,0,5,5,5,4,2,3,1,1,5,10,7,2,11,5,13,2,12,3,6,0,2,7,0,2,17,0,0,5,0,5,3,1,3,6,1,4,0,5,14,3,10,1,2,7,1,0,16,3,10,7,0,0,2,0,8,0,4,6,2,3,4,7,1,10,1,9,7,11,2,5,4,7,5,4,3,1,2,5,5,8,2
"Ant127",3,2,9,17,0,7,0,0,6,1,0,7,13,1,0,0,0,0,14,6,5,0,0,6,3,2,0,3,1,6,0,3,8,2,9,0,2,9,0,1,0,1,6,1,0,1,1,5,2,0,0,0,2,0,0,0,3,1,1,3,2,2,0,0,0,0,1,11,1,0,2,4,0,0,5,4,0,2,0,1,0,1,0,0,0,2,3,2,0,0,6,4,0,4,0,2,1,0,2,10,4,5,1,0,0,15,3,0,10,0
"Ant131",5,18,0,0,8,0,7,6,3,12,25,21,5,1,15,4,11,1,1,38,0,5,7,0,7,5,6,0,0,3,4,1,1,18,2,16,5,0,2,0,22,6,9,5,4,4,1,3,7,0,0,0,0,3,7,24,2,0,0,0,2,5,1,1,0,4,0,2,2,4,0,0,7,14,0,3,21,0,1,9,6,2,9,9,17,2,4,9,12,0,3,0,0,0,3,0,0,9,7,1,11,9,4,4,7,0,0,12,2,0
"Ant137",2,1,11,0,0,1,0,0,2,0,0,0,0,8,0,0,0,5,31,0,1,0,0,2,0,1,0,8,2,5,2,6,23,0,0,0,0,6,3,9,0,2,1,0,7,3,0,3,0,0,0,0,7,4,0,0,7,9,8,6,4,0,10,9,15,0,1,6,4,0,11,0,0,0,1,3,0,0,0,2,0,6,0,0,0,1,9,3,0,1,3,4,0,1,11,3,0,0,0,11,0,3,0,0,2,2,6,6,8,2
"Ant139",4,0,3,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,13,0,0,0,0,1,0,0,0,11,0,4,0,9,1,0,10,0,0,8,3,1,1,4,0,0,0,2,1,4,2,2,0,7,0,0,0,0,0,15,5,4,8,0,6,13,6,0,0,4,0,0,8,14,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,4,0,1,0,0,0,0,0,0,0,0,0,15,3,0,2,2
"Ant140",4,3,1,2,4,1,0,10,5,11,14,1,1,2,9,11,1,1,7,4,20,7,0,2,10,4,14,0,6,1,6,4,0,5,2,2,4,0,0,0,0,10,0,5,10,10,0,0,17,0,3,4,0,0,8,3,16,4,0,0,0,2,0,27,0,0,6,9,8,4,4,1,10,14,0,14,15,6,7,25,0,1,0,14,0,2,5,13,7,2,2,0,0,0,0,0,3,6,9,2,8,0,18,22,11,1,0,1,3,0
"Ant142",2,11,1,0,30,0,59,15,0,20,10,5,2,4,27,25,6,0,0,12,3,15,41,7,2,6,15,0,0,1,11,0,0,21,6,10,20,0,0,0,31,8,17,40,4,0,3,2,0,0,7,0,0,8,0,34,0,0,1,0,2,7,0,1,4,34,3,1,1,18,0,0,22,32,0,0,41,6,5,18,21,1,32,6,13,2,0,1,24,0,0,0,0,0,1,0,4,16,10,1,7,1,27,22,21,0,0,11,0,0
"Ant149",0,15,0,1,23,0,28,9,1,19,11,15,0,2,11,15,20,0,1,10,2,2,56,0,2,1,10,0,0,0,22,3,0,10,2,28,15,0,2,0,11,0,13,20,4,1,2,1,0,0,24,0,0,3,34,0,0,0,0,0,0,6,5,0,0,32,1,0,1,6,0,0,1,14,0,4,15,1,3,9,21,0,65,14,21,6,6,6,42,0,0,0,0,0,1,0,0,7,5,1,16,0,8,1,11,0,0,2,0,0
"Ant153",3,4,8,8,3,2,0,10,16,9,11,8,9,19,2,6,0,4,2,9,2,0,0,4,30,8,12,0,5,4,6,4,6,9,4,1,1,0,6,4,2,26,1,13,0,6,4,7,5,3,2,7,0,16,0,0,0,0,1,1,1,5,6,0,0,0,1,2,2,4,10,0,7,14,2,3,8,12,6,3,0,1,0,3,0,5,4,3,1,0,6,0,0,0,0,1,15,1,17,2,6,1,11,0,2,0,3,31,12,2
