"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant347","Ant353","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant527","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,11,2,10,10,1,0,7,6,0,3,2,3,2,0,8,2,3,4,10,13,6,0,5,6,7,6,5,2,16,9,32,9,8,1,6,5,0,5,2,0,5,6,3,0,15,12,14,6,0,2,9,4,3,5,4,3,0,1,0,0,0,0,2,1,0,2,14,0,9,4,0,1,2,1,0,5,2,2,1,0,8,0,8,2,6,4,14,1,0,5,6,2,0,7,0,11,2,9,6,8,4,1,4,2,2,8,2,3,5
"Ant260",11,0,0,2,69,1,6,28,3,8,140,35,4,21,28,44,31,10,2,15,10,3,33,0,15,12,8,2,0,0,9,5,2,41,0,20,22,0,10,0,48,0,16,12,6,49,1,5,5,0,22,0,0,0,52,18,2,0,0,0,0,19,0,5,2,0,1,1,6,9,0,0,5,22,0,1,68,7,6,15,15,10,31,18,0,2,7,121,0,0,3,0,1,1,0,1,12,50,9,5,43,11,18,27,35,0,3,79,0,0
"Ant52",2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,1,0,0,0,1,0,1,3,0,0,8,13,0,5,0,4,13,0,2,0,0,0,0,2,0,1,0,1,22,0,2,10,0,0,0,0,5,6,10,15,0,14,0,0,0,0,3,0,0,5,15,0,0,5,3,0,0,0,0,0,10,0,0,0,2,0,0,0,4,3,5,3,2,0,5,9,0,2,0,0,7,0,0,0,25,4,0,3,4
"Ant540",10,2,6,0,0,0,0,0,4,4,0,1,2,0,0,1,0,1,3,2,7,3,0,3,0,1,6,5,0,15,0,9,6,0,0,1,3,2,4,3,0,7,8,0,5,0,1,3,0,1,0,2,4,0,0,0,9,5,0,0,0,0,0,3,1,0,0,2,0,0,1,3,1,0,5,1,0,1,0,0,0,8,0,1,0,4,3,3,0,0,13,1,0,2,3,3,5,0,4,7,1,1,1,1,3,0,1,0,3,10
"Ant6",10,69,0,0,0,0,13,19,0,0,36,15,1,40,2,11,8,3,0,27,0,2,9,0,6,19,0,0,0,0,10,0,0,20,1,25,12,0,0,0,25,3,3,52,0,11,6,4,4,0,22,0,0,0,25,29,0,0,0,0,0,7,0,1,0,22,13,1,0,15,0,0,1,6,0,0,7,1,3,2,51,0,28,4,2,0,4,8,38,0,4,0,0,0,1,0,0,11,6,2,23,3,5,7,9,0,0,16,0,0
"Ant7",1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,2,1,0,0,0,1,1,0,2,0,1,3,0,0,0,2,0,0,1,5,0,5,0,1,0,11,2,0,0,1,2,6,0,0,0,0,4,0,11,0,1,0,0,0,4,0,0,1,5,4,0,1,0,0,0,0,0,3,0,4,2,0,0,2,0,6,0,1,1,0,3,0,0,0,0,2,0,0,0,5,10,0,6,1
"Ant9",0,6,0,0,13,0,0,4,1,4,1,3,0,7,28,0,23,5,0,19,1,1,3,0,5,0,7,0,0,1,7,0,0,3,1,1,10,0,0,0,31,0,2,68,0,10,1,0,0,0,8,0,0,2,43,38,1,1,0,0,0,8,0,8,0,15,11,5,0,1,0,0,10,0,0,0,1,4,11,6,7,0,26,2,2,2,5,3,16,0,1,0,0,0,0,1,0,1,0,0,2,0,0,6,12,0,1,9,0,0
"Ant14",7,28,0,0,19,0,4,0,3,3,43,20,2,39,2,10,15,1,0,16,3,5,33,1,6,9,7,1,0,0,10,6,0,3,0,9,15,0,0,0,9,4,9,19,0,5,0,5,12,0,13,0,0,3,27,11,0,0,0,0,0,6,0,0,3,5,3,3,0,15,0,0,11,10,1,0,14,5,22,6,13,0,8,15,13,3,6,16,16,0,0,0,0,1,1,0,5,13,7,1,18,0,11,11,4,0,0,23,2,0
"Ant19",6,3,0,4,0,4,1,3,0,14,9,13,28,0,0,1,5,0,3,5,6,2,4,0,9,2,4,6,1,0,3,14,0,14,0,11,2,0,0,2,9,5,14,8,1,7,0,14,7,1,2,1,0,7,7,9,1,1,0,0,0,2,1,3,10,0,0,0,0,2,0,0,4,1,4,1,9,14,3,10,0,4,0,11,0,10,6,7,21,0,1,0,8,0,9,9,0,5,4,1,15,7,6,7,5,0,2,2,5,5
"Ant26",0,8,0,4,0,0,4,3,14,0,5,5,9,0,1,5,6,2,3,11,6,3,14,2,9,13,8,1,0,0,5,7,2,7,2,0,3,1,3,0,2,0,12,14,0,9,3,3,3,0,10,0,0,2,6,1,4,1,0,0,0,2,0,11,3,0,0,0,0,15,0,0,7,12,1,0,24,16,6,1,0,9,4,5,0,1,4,28,14,1,13,0,3,2,2,0,5,15,0,2,17,0,3,1,1,0,10,4,1,4
