"","Ant4","Ant260","Ant52","Ant540","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant518","Ant0","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant115","Ant117","Ant127","Ant137","Ant139","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant492","Ant501","Ant507","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,1,0,3,8,5,3,0,2,8,4,0,0,0,0,3,11,0,2,0,1,5,1,5,8,0,8,0,3,9,6,5,3,6,8,0,26,1,15,4,0,3,1,12,4,0,8,2,10,5,3,1,0,6,0,3,5,1,0,2,2,0,7,2,12,1,6,2,3,1,4,0,7,12,1,14,5
"Ant260",1,0,2,1,2,12,4,0,19,12,20,19,19,0,7,4,5,55,5,56,14,0,17,12,9,17,8,5,7,3,2,21,28,8,8,57,4,3,4,2,8,2,1,3,4,6,2,0,2,2,0,0,0,2,5,2,40,3,0,16,43,18,26,3,14,0,9,12,5,19,3,0,1,14,29,20,0
"Ant52",0,2,0,17,2,2,0,0,0,1,1,2,2,0,0,5,6,0,4,0,3,3,3,8,11,0,1,0,2,5,13,8,2,1,1,1,8,8,14,7,16,3,13,16,14,0,6,7,9,15,6,15,0,7,2,0,0,0,0,2,0,3,2,7,13,18,6,2,10,2,8,0,12,26,4,1,3
"Ant540",3,1,17,0,1,2,0,0,0,2,6,0,0,0,0,6,3,0,2,1,0,6,0,2,7,1,1,0,0,0,1,0,0,0,3,0,9,0,4,3,0,4,9,12,5,0,6,0,1,5,1,23,0,1,0,0,0,1,0,1,0,1,0,1,2,3,1,0,5,2,0,0,3,3,0,1,2
"Ant7",8,2,2,1,0,3,2,0,0,2,2,0,1,0,0,9,21,3,0,0,7,3,2,4,1,0,17,0,9,2,5,3,2,3,11,0,5,5,3,1,4,4,0,7,0,0,6,1,8,2,10,0,0,3,3,0,4,1,0,3,0,2,0,0,5,1,5,8,7,6,5,0,0,24,4,3,14
"Ant19",5,12,2,2,3,0,11,0,10,25,0,0,1,0,3,3,6,1,9,4,4,1,6,8,5,11,20,0,4,10,11,12,6,3,14,0,32,1,4,0,4,1,0,4,3,8,9,4,4,0,0,0,0,3,6,1,15,0,0,1,7,15,2,0,1,1,2,2,2,7,11,0,1,6,5,7,3
"Ant26",3,4,0,0,2,11,0,0,4,3,5,6,6,0,3,1,0,18,0,5,5,0,15,8,7,12,5,1,1,8,4,12,6,18,12,12,11,13,6,0,1,0,0,0,1,3,4,0,0,1,3,0,0,7,6,10,15,3,0,7,1,5,7,0,5,2,4,14,3,11,6,0,1,10,6,6,3
"Ant30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
"Ant38",2,19,0,0,0,10,4,0,0,4,11,11,43,6,15,0,4,42,1,48,11,1,17,17,2,11,2,6,14,6,3,10,32,7,10,17,3,0,2,1,8,2,0,4,0,16,5,0,4,1,1,0,5,2,2,20,15,0,9,5,16,2,30,0,5,1,2,2,2,12,0,7,0,4,7,20,5
"Ant60",8,12,1,2,2,25,3,0,4,0,6,0,9,0,1,0,0,12,2,0,23,2,21,0,2,8,0,12,5,3,6,11,8,20,4,7,26,4,2,1,1,0,0,1,1,0,2,1,1,3,0,0,0,3,6,0,9,4,0,8,15,4,6,2,3,1,4,2,0,6,10,0,0,6,8,5,0
"Ant64",4,20,1,6,2,0,5,0,11,6,0,36,8,0,1,0,12,58,1,27,9,1,1,5,10,23,2,7,4,12,4,9,7,12,3,24,6,3,11,2,5,5,2,5,1,3,3,0,2,1,1,1,0,7,13,13,23,0,0,14,9,5,14,2,1,8,7,16,3,8,7,0,6,17,13,18,9
"Ant73",0,19,2,0,0,0,6,0,11,0,36,0,17,13,19,0,1,15,0,14,4,0,0,2,0,3,0,5,1,0,0,0,12,12,2,6,3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,23,6,2,21,0,7,14,7,1,0,0,0,1,1,13,0,7,1,0,19,1,0
"Ant76",0,19,2,0,1,1,6,0,43,9,8,17,0,6,17,0,0,41,1,29,13,0,9,1,2,5,0,6,1,4,2,4,4,14,1,14,2,0,4,0,1,0,0,1,0,12,2,1,0,0,0,0,19,0,0,14,19,5,21,6,7,12,17,1,5,0,0,4,1,17,2,24,0,5,10,10,1
"Ant148",0,0,0,0,0,0,0,0,6,0,0,13,6,0,30,0,0,16,0,12,1,0,6,1,0,6,0,6,0,0,0,0,22,46,0,6,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,19,0,0,26,0,0,21,11,48,2,0,0,0,0,0,0,0,28,0,19,0,0,0,0,0
"Ant158",0,7,0,0,0,3,3,0,15,1,1,19,17,30,0,0,0,13,1,21,2,0,4,5,0,3,0,24,4,0,0,0,19,18,1,6,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,4,0,0,44,0,0,22,1,2,6,4,2,3,0,1,2,3,25,3,26,0,0,0,3,0
"Ant191",3,4,5,6,9,3,1,0,0,0,0,0,0,0,0,0,4,0,8,1,0,5,1,3,4,0,5,0,1,0,3,4,2,0,0,0,9,0,4,9,4,24,1,4,13,0,3,1,10,1,4,4,0,1,0,0,2,8,0,1,0,0,0,2,2,2,1,1,6,0,0,0,5,10,2,0,0
"Ant202",11,5,6,3,21,6,0,0,4,0,12,1,0,0,0,4,0,2,9,0,6,1,4,16,3,0,38,1,5,7,3,0,0,12,1,0,8,14,8,1,9,3,0,7,4,0,4,4,3,0,19,1,0,4,3,0,2,0,0,6,0,2,18,0,5,4,6,16,4,3,1,0,2,78,8,5,17
"Ant209",0,55,0,0,3,1,18,0,42,12,58,15,41,16,13,0,2,0,0,123,16,1,6,6,2,18,1,13,2,11,5,17,35,66,7,13,3,0,2,0,0,0,0,2,2,5,0,0,0,1,1,0,7,2,1,34,28,0,8,35,65,5,37,1,2,0,5,12,0,15,3,3,1,3,63,16,0
"Ant268",2,5,4,2,0,9,0,0,1,2,1,0,1,0,1,8,9,0,0,0,0,1,4,6,5,1,3,0,6,2,6,3,0,1,0,0,15,7,1,1,1,4,0,9,3,1,12,2,10,5,6,2,0,6,1,0,4,1,0,1,0,0,0,4,1,0,0,0,1,1,10,0,3,21,4,6,3
"Ant308",0,56,0,1,0,4,5,0,48,0,27,14,29,12,21,1,0,123,0,0,25,0,5,9,1,22,1,23,4,3,0,1,33,34,2,23,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,1,0,2,27,27,0,25,15,21,6,51,0,1,0,2,7,0,15,1,25,0,1,32,8,0
"Ant518",1,14,3,0,7,4,5,0,11,23,9,4,13,1,2,0,6,16,0,25,0,1,15,11,1,5,15,1,8,5,3,5,2,11,2,5,10,0,4,1,2,3,0,3,2,4,6,0,1,2,1,0,0,5,7,1,12,1,0,3,4,12,7,0,6,1,2,5,2,31,0,1,0,10,17,7,4
"Ant0",5,0,3,6,3,1,0,0,1,2,1,0,0,0,0,5,1,1,1,0,1,0,0,0,1,0,2,0,1,9,4,3,0,0,4,0,7,1,3,2,0,2,1,2,4,0,1,10,4,0,2,12,0,5,3,1,0,1,0,0,0,0,1,1,4,15,2,1,3,0,1,0,2,28,0,2,2
"Ant23",1,17,3,0,2,6,15,0,17,21,1,0,9,6,4,1,4,6,4,5,15,0,0,19,9,2,9,1,8,6,3,14,7,9,4,0,11,1,0,2,2,0,1,5,0,4,1,8,0,5,2,0,0,4,2,10,8,0,10,6,2,1,21,1,20,1,2,10,0,14,9,11,0,6,18,3,9
"Ant27",5,12,8,2,4,8,8,0,17,0,5,2,1,1,5,3,16,6,6,9,11,0,19,0,2,0,17,3,22,10,2,19,6,4,0,1,11,7,8,3,7,0,2,3,0,1,4,2,2,2,8,0,5,4,0,11,7,2,5,13,5,4,11,1,12,1,3,1,1,5,9,2,1,16,7,3,9
"Ant29",8,9,11,7,1,5,7,0,2,2,10,0,2,0,0,4,3,2,5,1,1,1,9,2,0,5,5,0,4,2,10,7,2,4,2,0,12,2,8,3,13,5,11,6,16,0,1,15,18,3,6,1,0,16,8,0,5,4,0,9,5,4,4,1,4,3,0,0,4,5,8,0,11,13,1,4,8
