"","Ant4","Ant260","Ant52","Ant540","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant518","Ant0","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant115","Ant117","Ant127","Ant137","Ant139","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant492","Ant501","Ant507","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant218",0,10,3,2,1,7,6,19,11,3,22,4,19,4,3,2,10,8,0,0,3,0,23,6,3,2,15,3,6,2,3,6,3,16,4,16,9,9,1,1,2,0,4,0,0,3,4,6,2,7,0,0,0,1,2,10,2,3,0,9,1,3,2,1,4,0,1,4,5,6,5,2,1,5,4,6,5
"Ant219",0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,2,0,0,1,36,3,1,0,0,0,1,0,6,0,0,2,2,8,25,0,0,0,9,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,7,40,0,0,1
"Ant238",0,0,0,0,0,0,0,16,1,0,0,25,0,15,19,0,0,14,0,20,2,0,2,2,0,15,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,40,1,1,7,2,0,0,0,0,0,0,9,0,6,0,0,0,0,0
"Ant242",0,4,15,7,1,5,0,0,1,8,0,0,3,1,0,10,2,1,2,4,0,4,1,0,3,0,8,0,2,0,7,5,1,0,6,0,1,1,7,5,6,3,2,13,6,3,9,9,8,0,1,5,0,0,3,0,1,2,0,2,0,0,0,10,1,0,2,2,9,1,6,0,4,3,0,4,1
"Ant243",10,19,12,11,7,6,14,4,3,2,7,0,1,1,0,2,5,3,7,0,3,5,5,2,7,0,10,3,7,13,2,14,6,7,4,2,12,9,15,4,3,0,1,1,0,0,8,4,16,2,2,0,0,3,0,0,9,5,0,8,0,3,0,1,6,1,4,5,5,0,2,0,3,4,0,9,1
"Ant255",0,19,0,0,1,8,6,40,22,18,41,14,34,10,18,1,12,51,0,19,15,1,19,4,1,2,2,11,9,11,0,4,38,40,4,21,21,4,5,0,0,0,0,5,0,12,0,0,0,7,10,0,0,0,0,0,14,15,0,24,13,6,50,1,2,7,3,10,6,27,2,10,0,0,32,14,3
"Ant257",13,16,3,2,2,5,7,15,1,20,2,1,8,3,8,2,2,16,1,1,5,3,8,5,5,0,6,9,4,11,0,5,17,9,2,4,13,2,1,1,5,2,2,3,0,12,7,2,5,6,2,1,0,1,9,14,0,8,0,8,1,5,0,2,7,9,9,4,3,0,4,0,1,2,3,13,5
"Ant289",2,24,1,1,6,12,4,12,9,13,12,3,10,20,6,1,9,26,0,12,8,5,9,1,3,8,2,4,2,9,0,7,6,7,1,11,13,6,4,3,10,4,3,0,0,5,3,1,6,4,3,0,0,2,5,15,8,0,0,7,3,3,6,1,4,1,3,1,12,3,11,0,0,5,11,10,0
"Ant294",0,0,0,0,0,0,0,116,40,0,0,42,12,21,15,0,0,31,0,26,13,0,8,6,0,46,0,20,11,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,40,0,0,0,0,0,0,3,18,22,1,0,0,0,0,0,0,30,0,57,0,0,0,3,0
"Ant298",7,34,0,4,3,4,6,17,16,4,16,5,4,12,5,0,12,18,6,8,4,1,5,2,7,9,8,2,8,15,0,12,10,5,6,6,8,4,2,5,9,2,0,3,0,10,2,7,4,5,9,0,1,2,8,24,8,7,3,0,3,6,18,0,16,1,0,7,0,9,7,4,3,1,13,10,5
"Ant324",0,8,0,0,0,0,0,17,32,1,18,18,15,0,2,0,0,13,0,3,6,0,7,7,0,22,4,6,12,2,0,1,13,3,0,8,20,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,13,1,3,18,3,0,30,13,0,0,0,0,2,0,10,2,8,0,0,5,2,6
"Ant347",2,21,1,0,1,2,1,13,15,13,5,11,16,8,1,0,8,10,1,7,21,3,19,11,0,16,1,4,9,10,0,1,17,2,4,5,4,1,0,0,10,0,0,3,0,5,0,0,2,1,3,0,7,0,3,6,5,3,22,6,30,0,34,0,6,0,1,1,1,13,3,11,0,1,16,3,1
"Ant356",1,6,0,0,0,3,0,160,50,2,3,36,30,8,14,0,2,57,0,5,10,0,22,13,2,8,6,11,6,9,0,3,34,17,4,96,5,0,0,6,0,0,0,1,0,5,0,0,1,1,2,0,2,0,0,50,0,6,1,18,13,34,0,0,0,0,1,0,0,27,1,50,0,0,18,6,1
"Ant380",2,2,7,3,3,1,3,0,2,0,1,1,0,0,1,3,0,6,1,0,0,3,0,1,2,0,1,0,1,1,0,5,0,1,0,0,3,2,3,3,0,2,0,2,9,0,3,5,4,3,1,1,0,10,1,1,2,1,0,0,0,0,0,0,1,2,2,0,1,1,1,0,2,2,0,1,0
"Ant387",16,17,3,1,1,3,6,4,3,3,5,0,3,12,4,5,8,7,7,1,6,7,7,3,10,0,19,2,3,12,3,31,11,18,3,5,8,4,4,6,2,6,1,2,1,0,15,6,5,4,4,1,0,1,6,2,7,4,0,16,0,6,0,1,0,1,5,9,4,1,0,2,2,5,1,20,5
"Ant390",3,2,9,0,1,4,0,0,1,3,2,0,1,0,2,4,2,0,2,0,0,4,0,0,2,0,3,0,0,0,0,2,2,1,2,0,2,1,3,1,0,2,3,5,3,0,3,3,5,1,0,0,0,0,1,7,9,1,0,1,0,0,0,2,1,0,0,0,0,0,8,0,2,7,0,1,1
"Ant394",2,9,5,0,0,0,0,1,0,4,4,0,0,3,3,2,4,1,3,0,3,0,1,3,3,0,3,0,0,2,3,4,8,7,1,3,10,1,6,0,3,1,0,2,2,1,10,0,7,2,1,1,0,2,4,3,9,3,0,0,0,1,1,2,5,0,0,1,4,0,10,0,0,1,3,6,1
"Ant400",4,12,2,0,2,7,6,7,3,6,13,1,3,3,3,1,24,7,0,2,12,0,11,1,10,0,7,2,3,7,0,3,6,14,0,4,7,2,3,2,8,1,0,1,0,1,8,0,2,5,4,0,0,2,5,10,4,1,0,7,2,1,0,0,9,0,1,0,1,7,7,0,1,12,4,5,6
"Ant482",4,2,2,0,10,1,5,1,0,0,6,0,2,2,5,1,6,0,5,3,3,1,2,1,6,0,8,4,1,6,11,5,1,4,12,2,12,1,2,0,4,5,5,8,1,6,16,11,1,2,5,0,0,9,5,6,3,12,0,0,0,1,0,1,4,0,4,1,0,4,7,0,0,18,1,2,3
"Ant492",6,12,0,0,2,3,4,41,29,9,15,13,3,14,26,0,3,42,0,11,1,0,8,8,0,18,3,20,7,2,0,10,13,3,6,17,3,0,0,0,3,0,0,1,0,51,1,0,0,5,6,0,9,1,0,27,0,3,30,9,10,13,27,1,1,0,0,7,4,0,2,16,0,1,10,1,0
"Ant501",8,11,9,4,3,9,4,1,4,2,8,4,5,16,12,1,4,15,1,9,2,1,4,3,4,0,2,0,2,0,1,1,4,15,10,7,14,3,2,1,0,1,1,1,5,0,7,0,16,0,5,2,0,6,2,2,4,11,0,7,2,3,1,1,0,8,10,7,7,2,0,0,1,5,0,15,3
"Ant507",0,1,0,0,0,0,0,44,20,0,0,18,22,7,25,0,0,23,0,12,4,0,10,7,0,22,0,19,3,0,0,5,15,25,0,16,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,6,0,0,10,0,0,57,4,8,11,50,0,2,0,0,0,0,16,0,0,0,1,20,1,0
"Ant538",2,3,8,8,0,0,0,1,1,1,1,0,0,0,1,13,4,2,6,3,0,8,2,1,2,0,6,0,0,1,4,2,1,1,11,0,2,2,0,1,2,11,5,7,12,0,3,5,9,0,1,7,0,4,3,0,1,0,0,3,0,0,0,2,2,2,0,1,0,0,1,0,0,9,0,2,3
"Ant552",17,8,17,14,8,4,3,0,3,2,1,0,1,4,4,6,7,1,13,0,6,7,1,4,8,0,26,2,0,1,18,4,7,4,1,1,13,5,11,10,6,10,8,11,7,4,11,10,10,6,5,40,0,3,4,0,2,5,0,1,0,1,0,2,5,7,1,12,18,1,5,1,9,0,0,6,7
"Ant560",2,16,0,0,2,0,5,52,38,11,23,20,37,18,20,1,7,109,0,6,12,0,10,2,0,6,3,11,0,1,0,13,30,25,0,46,4,1,3,1,2,0,0,0,0,3,1,0,0,1,4,0,0,0,0,32,3,11,0,13,5,16,18,0,1,0,3,4,1,10,0,20,0,0,0,20,5
"Ant564",12,14,5,4,14,22,3,12,9,2,11,0,5,9,2,1,9,4,4,5,5,5,11,5,14,0,7,3,3,18,4,16,9,14,11,6,15,12,4,6,11,2,3,2,1,4,5,12,5,3,6,0,0,4,9,14,13,10,3,10,2,3,6,1,20,1,6,5,2,1,15,1,2,6,20,0,12
"Ant593",17,14,4,0,2,3,6,9,3,1,5,0,2,3,1,3,19,11,6,5,7,1,4,9,3,1,27,7,2,4,1,5,13,7,2,9,8,3,1,7,6,1,2,1,0,3,11,3,5,3,5,1,0,1,1,3,5,0,0,5,6,1,1,0,5,1,1,6,3,0,3,0,3,7,5,12,0
