"","Ant4","Ant260","Ant52","Ant540","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant518","Ant0","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant115","Ant117","Ant127","Ant137","Ant139","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant492","Ant501","Ant507","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,13,4,2,9,11,5,2,3,3,2,0,2,6,0,7,8,5,3,0,5,2,7,3,15,0,10,4,1,4,5,10,3,6,3,2,8,5,19,3,9,3,4,1,1,4,8,5,9,4,0,0,0,0,10,0,13,2,0,7,0,2,1,2,16,3,2,4,4,6,8,0,2,17,2,12,17
"Ant260",13,0,3,4,4,13,11,65,28,14,13,7,30,5,3,2,13,48,8,3,21,3,24,10,11,0,18,5,13,11,3,21,23,22,8,42,8,12,2,0,4,0,10,1,2,16,5,4,3,10,10,0,0,4,19,19,16,24,0,34,8,21,6,2,17,2,9,12,2,12,11,1,3,8,16,14,14
"Ant52",4,3,0,2,8,5,8,3,2,3,2,0,0,2,1,23,3,0,9,0,0,13,0,0,3,0,3,1,0,0,5,3,5,0,0,0,5,1,10,11,1,8,8,3,12,5,5,5,4,7,3,3,0,15,12,0,3,1,0,0,0,1,0,7,3,9,5,2,2,0,9,0,8,17,0,5,4
"Ant540",2,4,2,0,1,1,1,1,3,0,0,0,5,3,2,10,5,1,7,0,2,5,3,1,5,0,0,0,0,0,2,4,1,0,2,0,3,9,6,0,6,4,3,0,1,1,12,8,12,1,2,2,0,7,11,0,2,1,0,4,0,0,0,3,1,0,0,0,0,0,4,0,8,14,0,4,0
"Ant7",9,4,8,1,0,0,6,1,4,5,2,0,0,2,2,2,4,2,5,1,0,4,4,0,13,0,3,2,7,1,2,9,3,8,3,5,5,2,6,0,2,2,9,0,2,0,8,7,18,3,1,1,0,1,7,1,2,6,0,3,0,1,0,3,1,1,0,2,10,2,3,0,0,8,2,14,2
"Ant19",11,13,5,1,0,0,1,5,3,5,16,0,6,3,5,0,9,9,1,6,4,1,5,3,8,0,5,0,10,6,1,2,4,8,6,3,5,9,7,2,4,0,3,0,0,3,12,0,0,9,7,0,0,5,6,8,5,12,0,4,0,2,3,1,3,4,0,7,1,3,9,0,0,4,0,22,3
"Ant26",5,11,8,1,6,1,0,16,7,1,3,0,2,2,3,4,26,10,1,1,0,0,1,13,13,0,12,5,2,10,2,22,16,9,2,9,1,3,4,0,3,0,2,3,0,6,2,3,4,6,6,0,0,0,14,6,7,4,0,6,0,1,0,3,6,0,0,6,5,4,4,0,0,3,5,3,6
"Ant30",2,65,3,1,1,5,16,0,42,1,34,40,32,40,18,0,6,80,2,30,9,0,43,24,5,20,5,22,14,11,5,3,44,40,1,53,7,5,3,2,24,0,1,0,0,24,4,0,6,6,19,0,16,0,4,40,15,12,116,17,17,13,160,0,4,0,1,7,1,41,1,44,1,0,52,12,9
"Ant38",3,28,2,3,4,3,7,42,0,6,20,16,23,9,33,0,2,49,3,14,17,0,14,29,3,11,7,4,27,5,0,6,34,13,1,21,9,0,2,0,3,0,2,0,1,6,5,3,0,3,11,1,1,1,3,22,1,9,40,16,32,15,50,2,3,1,0,3,0,29,4,20,1,3,38,9,3
"Ant60",3,14,3,0,5,5,1,1,6,0,9,1,10,11,8,0,10,5,3,0,4,2,6,14,4,0,4,2,18,3,0,6,4,14,18,16,29,1,1,0,9,0,0,0,0,12,4,1,3,6,3,0,0,8,2,18,20,13,0,4,1,13,2,0,3,3,4,6,0,9,2,0,1,2,11,2,1
"Ant64",2,13,2,0,2,16,3,34,20,9,0,20,19,8,15,6,18,30,2,1,13,2,2,3,4,0,8,1,0,12,2,23,16,15,7,41,6,5,11,3,11,3,4,6,4,5,1,3,1,9,22,0,0,0,7,41,2,12,0,16,18,5,3,1,5,2,4,13,6,15,8,0,1,1,23,11,5
"Ant73",0,7,0,0,0,0,0,40,16,1,20,0,16,8,9,0,0,33,0,14,2,1,7,1,0,29,0,17,7,0,2,0,0,4,1,6,1,2,0,0,0,0,0,0,0,17,0,0,0,1,4,0,25,0,0,14,1,3,42,5,18,11,36,1,0,0,0,1,0,13,4,18,0,0,20,0,0
"Ant76",2,30,0,5,0,6,2,32,23,10,19,16,0,19,15,0,4,37,0,10,6,1,25,3,4,6,1,8,5,13,1,1,32,26,3,6,6,1,3,1,0,0,1,0,0,1,1,0,0,3,19,0,0,3,1,34,8,10,12,4,15,16,30,0,3,1,0,3,2,3,5,22,0,1,37,5,2
"Ant148",6,5,2,3,2,3,2,40,9,11,8,8,19,0,37,0,5,64,0,8,7,1,6,1,0,4,7,14,2,9,0,12,31,21,5,16,7,0,4,2,0,0,0,0,1,12,0,0,0,7,4,0,15,1,1,10,3,20,21,12,0,8,8,0,12,0,3,3,2,14,16,7,0,4,18,9,3
"Ant158",0,3,1,2,2,5,3,18,33,8,15,9,15,37,0,1,2,93,0,25,9,0,1,0,1,33,2,20,0,9,0,3,10,1,0,8,3,0,1,0,5,1,0,1,0,37,2,0,2,6,3,0,19,0,0,18,8,6,15,5,2,1,14,1,4,2,3,3,5,26,12,25,1,4,20,2,1
"Ant191",7,2,23,10,2,0,4,0,0,0,6,0,0,0,1,0,11,0,4,0,0,8,1,4,8,0,1,0,0,0,4,1,1,2,1,0,0,11,0,8,3,9,12,5,13,0,1,3,7,0,2,16,0,10,2,1,2,1,0,0,0,0,0,3,5,4,2,1,1,0,1,0,13,6,1,1,3
"Ant202",8,13,3,5,4,9,26,6,2,10,18,0,4,5,2,11,0,5,5,2,10,10,4,8,14,1,36,2,2,8,2,16,13,15,3,6,16,17,10,5,18,13,3,1,1,9,9,9,10,9,10,0,0,2,5,12,2,9,0,12,0,8,2,0,8,2,4,24,6,3,4,0,4,7,7,9,19
"Ant209",5,48,0,1,2,9,10,80,49,5,30,33,37,64,93,0,5,0,0,25,18,0,14,4,1,38,6,33,1,20,0,18,64,13,2,36,9,1,5,1,2,0,0,0,0,55,0,2,3,15,8,0,14,1,3,51,16,26,31,18,13,10,57,6,7,0,1,7,0,42,15,23,2,1,109,4,11
"Ant268",3,8,9,7,5,1,1,2,3,3,2,0,0,0,0,4,5,0,0,0,1,2,0,3,8,0,12,0,0,2,3,7,1,1,1,0,2,3,7,1,2,4,0,3,3,1,21,0,6,4,0,0,0,2,7,0,1,0,0,6,0,1,0,1,7,2,3,0,5,0,1,0,6,13,0,4,6
"Ant308",0,3,0,0,1,6,1,30,14,0,1,14,10,8,25,0,2,25,0,0,1,2,4,13,0,4,0,31,4,5,0,1,8,1,0,10,4,1,1,1,2,0,0,1,0,14,3,0,0,3,0,0,20,4,0,19,1,12,26,8,3,7,5,0,1,0,0,2,3,11,9,12,3,0,6,5,5
"Ant518",5,21,0,2,0,4,0,9,17,4,13,2,6,7,9,0,10,18,1,1,0,1,7,4,3,2,4,8,11,7,1,5,5,12,5,3,3,1,1,0,5,0,1,2,1,1,1,0,0,0,3,0,2,0,3,15,5,8,13,4,6,21,10,0,6,0,3,12,3,1,2,4,0,6,12,5,7
"Ant0",2,3,13,5,4,1,0,0,0,2,2,1,1,1,0,8,10,0,2,2,1,0,1,0,3,0,1,0,1,4,0,2,2,1,2,1,5,0,0,6,7,12,3,5,9,1,2,5,1,1,0,1,0,4,5,1,3,5,0,1,0,3,0,3,7,4,0,0,1,0,1,0,8,7,0,5,1
"Ant23",7,24,0,3,4,5,1,43,14,6,2,7,25,6,1,1,4,14,0,4,7,1,0,7,1,5,6,4,11,9,0,8,9,4,4,5,8,1,1,3,5,0,1,0,0,4,3,3,5,5,23,0,2,1,5,19,8,9,8,5,7,19,22,0,7,0,1,11,2,8,4,10,2,1,10,11,4
"Ant27",3,10,0,1,0,3,13,24,29,14,3,1,3,1,0,4,8,4,3,13,4,0,7,0,5,4,2,2,15,6,0,12,5,7,2,2,6,8,1,2,6,0,0,0,1,3,1,0,2,5,6,0,2,0,2,4,5,1,6,2,7,11,13,1,3,0,3,1,1,8,3,7,1,4,2,5,9
"Ant29",15,11,3,5,13,8,13,5,3,4,4,0,4,0,1,8,14,1,8,0,3,3,1,5,0,0,3,2,5,3,3,16,6,3,8,2,3,36,15,5,12,0,7,0,1,0,10,8,5,4,3,0,0,3,7,1,5,3,0,7,0,0,2,2,10,2,3,10,6,0,4,0,2,8,0,14,3
"Ant32",0,0,0,0,0,0,0,20,11,0,0,29,6,4,33,0,1,38,0,4,2,0,5,4,0,0,1,17,4,0,0,5,4,2,0,1,0,2,0,1,3,0,1,0,0,11,1,1,2,0,2,0,15,0,0,2,0,8,46,9,22,16,8,0,0,0,0,0,0,18,0,22,0,0,6,0,1
"Ant42",10,18,3,0,3,5,12,5,7,4,8,0,1,7,2,1,36,6,12,0,4,1,6,2,3,1,0,10,14,5,0,37,12,22,4,7,5,6,5,3,12,0,0,8,0,3,6,6,7,5,15,2,0,8,10,2,6,2,0,8,4,1,6,1,19,3,3,7,8,3,2,0,6,26,3,7,27
"Ant43",4,5,1,0,2,0,5,22,4,2,1,17,8,14,20,0,2,33,0,31,8,0,4,2,2,17,10,0,2,0,0,4,5,4,0,0,2,1,0,0,8,0,0,0,0,8,2,0,1,1,3,0,1,0,3,11,9,4,20,2,6,4,11,0,2,0,0,2,4,20,0,19,0,2,11,3,7
"Ant44",1,13,0,0,7,10,2,14,27,18,0,7,5,2,0,0,2,1,0,4,11,1,11,15,5,4,14,2,0,5,0,10,6,15,2,8,4,4,1,3,0,1,0,0,1,1,0,5,13,4,6,0,1,2,7,9,4,2,11,8,12,9,6,1,3,0,0,3,1,7,2,3,0,0,0,3,2
"Ant55",4,11,0,0,1,6,10,11,5,3,12,0,13,9,9,0,8,20,2,5,7,4,9,6,3,0,5,0,5,0,2,5,10,7,7,3,23,2,14,0,4,6,0,1,2,9,12,1,3,8,2,1,0,0,13,11,11,9,0,15,2,10,9,1,12,0,2,7,6,2,0,0,1,1,1,18,4
"Ant63",5,3,5,2,2,1,2,5,0,0,2,2,1,0,0,4,2,0,3,0,1,0,0,0,3,0,0,0,0,2,0,4,3,4,5,0,6,1,7,4,2,9,5,0,4,0,1,13,0,0,3,36,0,7,2,0,0,0,0,0,0,0,0,0,3,0,3,0,11,0,1,0,4,18,0,4,1
"Ant97",10,21,3,4,9,2,22,3,6,6,23,0,1,12,3,1,16,18,7,1,5,2,8,12,16,5,37,4,10,5,4,0,29,17,9,18,12,14,7,5,3,0,2,3,0,7,7,8,3,5,6,3,0,5,14,4,5,7,0,12,1,1,3,5,31,2,4,3,5,10,1,5,2,4,13,16,5
"Ant98",3,23,5,1,3,4,16,44,34,4,16,0,32,31,10,1,13,64,1,8,5,2,9,5,6,4,12,5,6,10,3,29,0,13,1,8,8,7,3,3,6,4,3,0,0,14,6,0,10,6,3,1,1,1,6,38,17,6,5,10,13,17,34,0,11,2,8,6,1,13,4,15,1,7,30,9,13
"Ant100",6,22,0,0,8,8,9,40,13,14,15,4,26,21,1,2,15,13,1,1,12,1,4,7,3,2,22,4,15,7,4,17,13,0,5,10,15,3,1,2,14,1,0,1,0,8,6,7,5,6,16,0,0,0,7,40,9,7,0,5,3,2,17,1,18,1,7,14,4,3,15,25,1,4,25,14,7
"Ant109",3,8,0,2,3,6,2,1,1,18,7,1,3,5,0,1,3,2,1,0,5,2,4,2,8,0,4,0,2,7,5,9,1,5,0,0,22,3,3,1,5,4,1,8,2,0,7,2,4,5,4,0,0,6,4,4,2,1,0,6,0,4,4,0,3,2,1,0,12,6,10,0,11,1,0,11,2
"Ant115",2,42,0,0,5,3,9,53,21,16,41,6,6,16,8,0,6,36,0,10,3,1,5,2,2,1,7,0,8,3,0,18,8,10,0,0,9,2,0,1,2,0,4,1,0,5,1,3,5,5,16,0,1,0,2,21,4,11,9,6,8,5,96,0,5,0,3,4,2,17,7,16,0,1,46,6,9
"Ant117",8,8,5,3,5,5,1,7,9,29,6,1,6,7,3,0,16,9,2,4,3,5,8,6,3,0,5,2,4,23,6,12,8,15,22,9,0,9,3,2,7,8,4,3,8,9,9,2,0,5,9,1,0,1,12,21,13,13,0,8,20,4,5,3,8,2,10,7,12,3,14,0,2,13,4,15,8
"Ant127",5,12,1,9,2,9,3,5,0,1,5,2,1,0,0,11,17,1,3,1,1,0,1,8,36,2,6,1,4,2,1,14,7,3,3,2,9,0,0,3,10,0,2,3,0,1,20,5,3,1,9,0,0,1,9,4,2,6,0,4,1,1,0,2,4,1,1,2,1,0,3,0,2,5,1,12,3
"Ant137",19,2,10,6,6,7,4,3,2,1,11,0,3,4,1,0,10,5,7,1,1,0,1,1,15,0,5,0,1,14,7,7,3,1,3,0,3,0,0,2,8,4,12,1,0,0,10,8,12,3,1,6,0,7,15,5,1,4,0,2,0,0,0,3,4,3,6,3,2,0,2,0,0,11,3,4,1
"Ant139",3,0,11,0,0,2,0,2,0,0,3,0,1,2,0,8,5,1,1,1,0,6,3,2,5,1,3,0,3,0,4,5,3,2,1,1,2,3,2,0,2,7,2,0,7,1,15,7,4,3,1,0,0,5,4,0,1,3,0,5,0,0,6,3,6,1,0,2,0,0,1,0,1,10,1,6,7
"Ant153",9,4,1,6,2,4,3,24,3,9,11,0,0,0,5,3,18,2,2,2,5,7,5,6,12,3,12,8,0,4,2,3,6,14,5,2,7,10,8,2,0,0,1,2,1,1,8,1,1,4,2,0,0,6,3,0,5,10,0,9,0,10,0,0,2,0,3,8,4,3,0,0,2,6,2,11,6
"Ant156",3,0,8,4,2,0,0,0,0,0,3,0,0,0,1,9,13,0,4,0,0,12,0,0,0,0,0,0,1,6,9,0,4,1,4,0,8,0,4,7,0,0,1,1,11,0,0,4,7,3,0,2,0,3,0,0,2,4,0,2,0,0,0,2,6,2,1,1,5,0,1,0,11,10,0,2,1
"Ant159",4,10,8,3,9,3,2,1,2,0,4,0,1,0,0,12,3,0,0,0,1,3,1,0,7,1,0,0,0,0,5,2,3,0,1,4,4,2,12,2,1,1,0,0,2,0,4,3,6,1,4,2,0,2,1,0,2,3,0,0,0,0,0,0,1,3,0,0,5,0,1,0,5,8,0,3,2
"Ant169",1,1,3,0,0,0,3,0,0,0,6,0,0,0,1,5,1,0,3,1,2,5,0,0,0,0,8,0,0,1,0,3,0,1,8,1,3,3,1,0,2,1,0,0,8,0,7,2,3,0,0,8,0,13,1,5,3,0,0,3,1,3,1,2,2,5,2,1,8,1,1,0,7,11,0,2,1
"Ant173",1,2,12,1,2,0,0,0,1,0,4,0,0,1,0,13,1,0,3,0,1,9,0,1,1,0,0,0,1,2,4,0,0,0,2,0,8,0,0,7,1,11,2,8,0,0,1,5,4,0,0,25,0,6,0,0,0,0,0,0,0,0,0,9,1,3,2,0,1,0,5,0,12,7,0,1,0
"Ant176",4,16,5,1,0,3,6,24,6,12,5,17,1,12,37,0,9,55,1,14,1,1,4,3,0,11,3,8,1,9,0,7,14,8,0,5,9,1,0,1,1,0,0,0,0,0,0,0,0,1,3,0,12,3,0,12,12,5,13,10,1,5,5,0,0,0,1,1,6,51,0,3,0,4,3,4,3
"Ant178",8,5,5,12,8,12,2,4,5,4,1,0,1,0,2,1,9,0,21,3,1,2,3,1,10,1,6,2,0,12,1,7,6,6,7,1,9,20,10,15,8,0,4,7,1,0,0,0,14,3,4,0,0,9,8,0,7,3,0,2,0,0,0,3,15,3,10,8,16,1,7,0,3,11,1,5,11
"Ant190",5,4,5,8,7,0,3,0,3,1,3,0,0,0,0,3,9,2,0,0,0,5,3,0,8,1,6,0,5,1,13,8,0,7,2,3,2,5,8,7,1,4,3,2,5,0,0,0,7,1,6,0,0,9,4,0,2,1,0,7,0,0,0,5,6,3,0,0,11,0,0,1,5,10,0,12,3
"Ant207",9,3,4,12,18,0,4,6,0,3,1,0,0,0,2,7,10,3,6,0,0,1,5,2,5,2,7,1,13,3,0,3,10,5,4,5,0,3,12,4,1,7,6,3,4,0,14,7,0,4,2,9,0,8,16,0,5,6,0,4,0,2,1,4,5,5,7,2,1,0,16,0,9,10,0,5,5
"Ant215",4,10,7,1,3,9,6,6,3,6,9,1,3,7,6,0,9,15,4,3,0,1,5,5,4,0,5,1,4,8,0,5,6,6,5,5,5,1,3,3,4,3,1,0,0,1,3,1,4,0,7,0,0,0,2,7,6,4,0,5,1,1,1,3,4,1,2,5,2,5,0,0,0,6,1,3,3
