"","Ant4","Ant540","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant76","Ant191","Ant202","Ant268","Ant518","Ant0","Ant23","Ant29","Ant32","Ant42","Ant44","Ant55","Ant63","Ant97","Ant109","Ant115","Ant117","Ant127","Ant139","Ant153","Ant156","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant242","Ant243","Ant255","Ant294","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant501","Ant538","Ant560","Ant564","Ant593"
"Ant4",0,6,12,1,0,4,1,7,2,5,9,5,1,0,8,4,2,5,2,7,8,33,0,3,11,14,1,11,0,0,4,3,13,17,0,1,1,2,0,0,0,5,1,2,27,2,4,14,5,10,16,3,15,5
"Ant540",6,0,1,2,1,0,1,1,0,13,1,2,0,8,0,4,2,3,1,1,1,2,1,0,0,0,8,1,6,2,0,8,5,1,0,0,1,16,0,0,0,0,0,0,1,16,0,2,2,1,6,0,2,1
"Ant19",12,1,0,8,0,5,30,13,9,0,30,2,28,6,7,12,16,27,32,28,3,6,18,14,18,4,1,7,0,0,12,0,3,8,1,2,0,8,9,2,1,10,11,0,17,1,5,5,2,13,5,41,17,9
"Ant26",1,2,8,0,0,31,21,11,21,2,31,0,15,0,26,0,8,8,5,17,2,1,26,50,17,3,0,0,1,1,42,1,0,0,0,0,0,1,9,0,0,42,19,6,2,4,0,9,0,2,0,6,18,17
"Ant30",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant38",4,0,5,31,0,0,21,11,23,0,9,4,17,2,46,3,29,37,7,11,1,14,5,13,9,3,0,5,0,0,25,1,0,4,0,1,1,2,9,17,35,38,24,1,1,1,5,11,3,1,1,34,24,6
"Ant60",1,1,30,21,0,21,0,20,18,1,15,0,9,0,3,8,12,21,10,21,18,5,16,10,36,5,1,0,0,0,39,2,10,0,9,5,0,2,9,0,0,37,31,0,1,7,0,3,1,4,1,13,20,4
"Ant64",7,1,13,11,0,11,20,0,8,13,18,1,10,4,13,11,10,12,5,3,10,12,11,18,18,4,6,0,3,2,19,3,6,15,3,15,1,13,11,0,0,5,19,1,19,5,0,18,10,6,2,4,21,17
"Ant76",2,0,9,21,0,23,18,8,0,2,18,0,13,0,6,2,13,2,2,2,2,0,5,7,5,0,0,1,0,0,7,1,0,1,1,3,0,1,1,3,22,6,7,0,2,0,0,0,0,2,0,6,6,2
"Ant191",5,13,0,2,0,0,1,13,2,0,2,7,0,11,0,4,0,1,4,0,3,1,4,1,2,6,5,6,13,35,7,4,2,9,4,5,35,11,1,0,0,0,2,1,2,5,2,2,2,0,4,0,0,2
