"","Ant4","Ant540","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant76","Ant191","Ant202","Ant268","Ant518","Ant0","Ant23","Ant29","Ant32","Ant42","Ant44","Ant55","Ant63","Ant97","Ant109","Ant115","Ant117","Ant127","Ant139","Ant153","Ant156","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant242","Ant243","Ant255","Ant294","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant501","Ant538","Ant560","Ant564","Ant593"
"Ant4",0,1,6,2,0,8,2,3,2,1,3,4,2,1,5,8,1,1,4,0,5,11,1,0,9,4,1,5,2,1,6,4,0,7,4,4,1,3,0,0,0,1,1,1,30,3,8,7,4,10,0,1,7,6
"Ant540",1,0,2,3,0,2,0,3,1,4,2,1,1,20,0,3,0,1,0,0,3,3,0,0,3,0,21,6,18,4,0,6,3,7,2,4,4,16,0,0,0,0,0,0,0,24,0,0,16,3,9,1,0,0
"Ant19",6,2,0,16,0,14,1,18,4,4,14,2,4,1,15,4,18,9,20,0,7,7,20,2,12,0,5,7,0,2,24,1,5,3,7,3,0,3,9,0,0,5,27,0,7,3,4,10,4,6,0,11,7,6
"Ant26",2,3,16,0,0,7,2,8,3,1,4,2,7,0,17,8,7,9,28,0,3,0,7,9,17,1,1,2,0,0,22,1,14,13,3,1,0,2,2,0,0,6,15,1,5,2,1,3,1,3,0,14,9,9
"Ant30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant38",8,2,14,7,0,0,2,24,6,2,14,7,28,0,26,1,13,6,21,10,2,6,33,3,13,2,4,7,0,2,10,1,0,2,3,0,0,8,2,2,5,10,49,0,10,0,6,21,1,4,2,16,16,15
"Ant60",2,0,1,2,0,2,0,6,3,1,0,0,3,0,3,0,18,0,0,36,0,0,1,16,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18,21,68,17,0,0,0,4,0,0,0,0,0,1,1
"Ant64",3,3,18,8,0,24,6,0,5,2,12,0,10,0,26,2,5,21,13,0,9,34,11,11,19,2,8,4,1,5,47,2,2,6,5,18,1,10,3,0,0,0,20,3,7,0,6,33,1,3,10,13,12,16
"Ant76",2,1,4,3,0,6,3,5,0,0,1,10,20,0,11,1,5,5,9,7,0,0,4,17,9,0,0,0,0,0,16,0,3,1,0,0,0,0,2,3,10,3,11,0,3,0,1,3,0,0,0,0,13,11
"Ant191",1,4,4,1,0,2,1,2,0,0,2,5,0,13,2,1,0,1,0,0,7,0,0,0,2,2,21,3,25,8,1,7,2,4,1,8,22,4,0,0,0,1,2,9,0,14,1,2,9,2,4,2,2,0
