"","Ant4","Ant260","Ant52","Ant540","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant518","Ant0","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant115","Ant117","Ant127","Ant137","Ant139","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant492","Ant501","Ant507","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,9,4,1,2,10,4,0,7,8,3,0,5,0,5,5,3,2,3,5,8,3,11,7,1,0,3,0,21,5,3,5,0,0,5,0,3,0,6,1,4,1,5,5,3,3,2,13,3,9,0,1,0,1,1,14,7,11,0,4,0,8,0,2,22,1,2,10,3,7,6,0,5,8,2,9,5
"Ant260",9,0,1,2,2,25,17,0,37,5,15,5,30,0,3,1,14,35,0,0,22,0,30,18,6,10,7,4,27,7,1,17,22,0,14,105,12,6,7,1,1,0,0,7,4,10,3,7,9,4,3,6,0,4,15,87,24,1,0,14,14,7,13,0,13,1,10,9,4,8,0,0,4,8,18,16,14
"Ant52",4,1,0,5,1,0,0,0,0,0,0,0,0,0,0,10,6,0,21,0,0,27,3,1,4,0,1,0,4,0,8,2,0,0,3,0,4,3,3,3,0,24,13,9,10,1,1,7,3,12,0,0,0,7,0,0,0,3,0,1,0,0,0,6,2,6,3,2,1,0,29,0,13,47,0,1,2
"Ant540",1,2,5,0,0,0,1,0,0,0,1,1,0,0,0,2,1,0,6,0,1,3,2,1,1,0,1,0,2,3,8,0,1,0,0,1,1,2,22,15,3,2,0,7,5,0,5,13,4,2,25,21,0,4,2,0,0,3,0,0,2,2,0,3,2,7,2,1,0,0,2,0,1,10,0,1,1
"Ant7",2,2,1,0,0,0,3,0,2,0,2,0,2,0,4,4,1,1,1,0,1,5,7,3,3,1,6,0,2,3,0,4,4,0,0,0,4,1,2,1,3,3,2,10,0,2,3,5,2,4,0,7,0,6,2,0,9,3,0,1,4,1,0,3,4,1,9,2,2,0,12,2,2,3,3,1,4
"Ant19",10,25,0,0,0,0,30,0,8,14,1,4,10,0,10,9,1,11,1,7,5,1,5,0,2,1,8,2,12,12,2,1,4,0,2,3,11,9,7,3,3,3,8,6,0,11,3,12,4,5,0,0,0,1,3,8,4,5,0,1,13,5,0,0,5,1,5,5,3,5,12,0,0,5,2,3,2
"Ant26",4,17,0,1,3,30,0,0,13,15,17,2,13,0,13,5,1,8,1,7,1,0,7,1,8,1,4,2,9,4,5,16,6,0,9,17,3,5,1,0,0,0,3,2,1,18,2,2,2,10,1,0,0,0,3,8,6,8,0,8,12,5,5,0,4,0,3,6,1,5,2,5,3,10,4,4,4
"Ant30",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,24,48,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Ant38",7,37,0,0,2,8,13,0,0,15,15,6,35,0,15,4,9,102,1,17,3,0,12,3,0,7,2,5,11,7,0,9,20,0,3,17,5,0,2,0,1,0,0,6,1,15,0,2,0,0,3,0,0,3,2,46,18,4,0,6,6,7,32,2,3,2,3,10,0,15,0,2,1,5,26,13,12
"Ant60",8,5,0,0,0,14,15,0,15,0,8,10,19,0,16,3,0,5,0,4,6,0,4,8,6,6,3,0,2,3,1,4,16,0,3,5,5,0,1,0,0,0,2,0,2,5,0,0,1,5,2,0,0,0,2,21,3,28,0,4,13,29,4,0,1,0,2,6,0,11,3,0,2,1,3,12,2
