"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant347","Ant353","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant527","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,0,5,10,0,0,0,0,6,0,1,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,2,2,9,0,14,2,1,5,0,0,0,0,2,0,5,1,15,4,0,6,2,2,0,0,26,5,0,0,2,0,1,0,5,0,0,2,3,0,3,4,0,0,1,4,0,0,1,0,0,2,0,1,0,3,1,0,0,2,3,1,3,1,1,0,1,0,10,3,0,24,10,0,1,2,0,1,2,2
"Ant260",0,0,2,2,50,1,0,42,8,9,95,41,11,9,0,27,0,5,1,19,7,10,8,2,14,29,18,2,0,3,16,1,8,34,2,32,8,0,7,3,14,12,25,16,6,30,9,7,11,3,34,3,0,3,5,42,1,0,0,4,0,8,1,0,0,0,17,1,8,26,0,0,6,28,0,4,15,8,10,8,2,1,11,11,20,3,13,27,29,0,1,0,1,2,11,1,2,29,7,0,46,2,67,27,63,0,3,31,6,1
"Ant52",5,2,0,2,0,2,0,0,0,8,0,7,0,1,0,0,0,3,19,0,0,1,0,12,0,3,0,2,11,2,0,4,5,0,0,0,2,19,8,8,0,0,1,0,1,1,0,1,2,2,0,4,12,10,0,0,5,30,9,8,6,0,6,3,4,0,0,7,3,0,4,11,0,0,13,10,0,0,0,0,0,5,0,0,0,1,0,0,0,3,1,3,9,12,2,1,0,1,7,0,0,7,0,0,0,7,19,1,0,10
"Ant540",10,2,2,0,0,2,0,1,2,6,7,2,2,5,0,3,0,1,7,1,7,1,1,0,4,4,1,0,6,6,0,3,5,0,5,1,5,2,4,0,3,12,4,0,0,2,1,8,0,0,0,3,4,1,0,3,3,9,3,2,5,0,0,9,1,0,0,2,1,0,1,0,1,1,0,1,0,0,1,0,0,12,0,3,0,6,0,7,1,2,2,1,1,1,3,2,11,3,4,1,0,6,7,0,1,2,1,2,0,3
"Ant6",0,50,0,0,0,0,33,15,0,3,30,30,2,9,26,8,28,0,0,28,0,3,19,1,0,2,21,0,0,2,6,0,0,14,0,22,8,0,3,0,22,2,6,54,0,14,0,0,2,0,16,0,0,5,21,28,1,0,0,0,0,18,0,3,0,22,3,0,0,4,0,0,10,4,0,0,14,5,1,3,48,0,80,5,1,0,0,7,117,0,0,0,0,0,0,0,0,21,0,1,28,0,14,4,17,0,0,11,1,0
"Ant7",0,1,2,2,0,0,0,1,0,1,0,1,1,0,0,0,0,2,4,0,3,0,0,1,0,5,1,4,0,8,2,0,4,0,4,0,1,1,3,1,0,1,2,0,0,0,0,6,1,4,0,5,0,0,4,1,0,0,0,2,0,0,0,0,0,0,2,6,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,1,2,4,2,0,2,0,11,0,0,1,2,0,1,0,0,0,3,11,0,3,10
"Ant9",0,0,0,0,33,0,0,0,0,0,9,1,0,0,44,0,61,0,0,15,0,0,41,0,0,0,6,0,0,0,6,0,0,11,0,2,0,0,0,0,12,0,3,112,0,0,0,0,0,0,7,0,0,0,23,27,0,0,0,0,0,10,0,0,0,40,0,0,0,2,0,0,0,1,0,0,0,0,0,0,18,0,42,0,1,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0
"Ant14",0,42,0,1,15,1,0,0,3,4,12,19,0,23,0,7,0,6,0,5,3,10,25,0,19,6,14,0,0,2,15,6,3,7,1,22,23,0,0,1,7,11,10,14,0,22,0,3,7,0,7,2,0,1,10,7,1,0,0,0,0,21,0,14,0,1,15,15,0,12,0,0,20,16,0,2,9,8,18,5,13,3,17,8,3,0,7,9,14,0,0,0,0,1,1,2,1,8,2,1,17,0,17,7,20,0,1,19,1,0
"Ant19",6,8,0,2,0,0,0,3,0,4,2,4,3,5,0,6,0,12,8,0,6,4,0,4,3,13,0,8,2,1,0,18,13,2,3,0,4,4,0,2,1,6,0,0,8,2,5,4,2,1,5,13,1,11,0,2,6,1,2,0,7,1,6,5,2,0,2,5,2,10,4,0,2,0,0,3,2,9,0,3,0,1,0,2,0,3,4,4,0,0,2,1,3,0,2,3,3,5,7,4,1,7,11,2,1,0,3,0,15,5
"Ant26",0,9,8,6,3,1,0,4,4,0,32,16,1,5,0,4,0,5,1,10,0,8,8,7,12,4,8,0,0,2,5,7,5,1,0,11,12,0,1,0,3,1,8,0,1,5,0,5,6,1,4,0,0,0,3,3,1,1,0,5,1,5,0,13,0,0,18,0,0,1,0,0,15,20,0,6,19,10,1,13,0,9,0,9,0,4,11,7,3,1,25,2,0,1,6,0,7,1,5,1,0,0,42,4,9,6,4,0,8,0
