"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant347","Ant353","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant527","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,1,2,0,0,4,0,0,7,2,0,7,6,1,3,0,0,4,5,0,2,0,0,2,1,3,0,1,3,10,0,21,3,0,6,0,1,2,3,3,0,11,0,1,0,17,6,0,10,3,0,0,0,0,2,0,10,2,3,0,0,0,0,0,6,0,1,14,6,0,11,3,0,0,2,5,0,8,1,0,0,3,0,0,0,3,8,0,4,1,5,2,2,6,3,2,0,0,1,5,6,9,1,1,0,1,2,1,4,2
"Ant260",1,0,2,0,27,6,0,22,4,25,26,24,5,52,107,12,2,5,5,13,12,18,0,1,4,5,20,3,0,2,20,6,0,95,3,10,25,2,8,0,42,19,17,45,3,9,2,6,2,0,12,1,1,0,18,12,4,4,0,2,0,2,2,6,1,0,11,6,4,14,4,0,4,7,0,1,0,13,9,6,11,7,9,6,2,0,10,20,3,0,7,0,0,0,0,1,9,8,17,0,8,5,55,44,30,1,0,38,10,0
"Ant52",2,2,0,6,0,6,0,0,6,1,0,0,1,1,0,0,0,1,13,0,0,0,0,1,0,1,0,4,7,3,0,6,4,0,3,0,0,7,18,15,0,1,0,2,15,0,0,10,1,8,0,7,7,4,0,0,6,16,5,13,14,0,1,0,22,0,0,3,16,0,2,23,0,0,18,2,0,3,0,0,0,1,0,0,0,1,0,0,1,8,1,11,20,2,2,4,1,2,1,10,0,6,0,0,1,18,10,2,12,7
"Ant540",0,0,6,0,0,1,0,4,1,3,0,1,5,5,1,2,0,0,9,1,3,1,0,6,1,6,5,5,1,12,1,4,4,0,6,3,2,3,0,2,0,4,1,1,0,1,0,8,4,0,0,0,3,2,1,0,0,12,6,2,4,4,2,2,7,0,1,0,7,2,4,0,2,1,2,5,0,3,3,0,0,2,0,0,0,1,0,1,0,4,5,3,1,3,2,2,9,1,7,1,1,3,0,0,1,2,10,0,2,2
"Ant6",0,27,0,0,0,0,17,1,1,2,15,10,1,4,9,17,15,0,0,10,4,13,62,0,5,1,2,0,0,1,8,0,0,18,4,19,5,0,0,0,31,2,9,25,1,2,0,1,1,0,12,0,0,0,34,16,0,0,0,0,0,19,0,9,0,7,6,0,0,10,0,0,2,13,0,0,23,0,1,2,40,0,50,4,5,0,5,3,25,0,4,0,1,0,0,0,0,15,22,2,16,3,13,3,6,0,0,22,2,0
"Ant7",4,6,6,1,0,0,0,0,6,0,0,1,7,1,0,2,0,0,14,3,0,0,0,0,0,4,0,3,4,1,2,3,3,1,9,1,0,8,1,7,0,0,0,1,3,3,8,3,1,0,0,3,1,0,1,0,5,4,1,2,3,0,4,0,5,0,0,1,4,0,4,0,0,0,7,4,0,8,3,0,0,1,0,0,0,0,3,0,0,1,6,3,2,1,0,6,4,0,4,6,2,8,4,0,0,2,1,1,14,14
"Ant9",0,0,0,0,17,0,0,0,0,0,15,3,0,0,0,36,22,0,0,9,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,23,0,0,5,0,0,0,0,1,0,1,0,0,0,20,19,0,0,0,0,0,3,0,0,0,38,0,0,0,10,0,0,0,5,0,0,34,0,0,0,21,0,38,13,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"Ant14",0,22,0,4,1,0,0,0,1,1,9,5,0,14,11,3,3,11,3,7,13,9,3,1,4,9,12,0,0,0,6,0,0,7,4,11,6,0,2,0,11,11,10,27,0,8,0,0,11,0,11,0,0,2,6,18,0,0,0,0,0,18,0,20,0,2,8,0,1,10,0,0,48,12,0,0,14,6,11,6,15,0,21,4,32,0,11,4,11,0,3,0,0,0,0,0,2,9,7,1,11,2,36,9,16,0,0,20,2,0
"Ant19",7,4,6,1,1,6,0,1,0,4,5,1,1,9,2,0,0,4,1,2,7,22,0,3,17,7,4,2,2,10,7,7,12,1,10,3,6,0,6,0,0,7,0,16,5,9,1,6,5,0,1,3,2,1,0,0,4,2,2,2,3,1,1,6,6,0,3,21,4,0,5,0,9,13,0,0,0,11,4,7,0,1,0,2,0,9,6,4,0,0,0,0,1,0,1,1,2,3,8,7,4,5,7,1,5,1,1,2,15,0
"Ant26",2,25,1,3,2,0,0,1,4,0,9,5,1,9,13,3,0,6,12,18,3,27,0,2,2,18,2,1,0,0,15,3,3,11,5,8,10,1,4,6,9,10,14,12,4,10,2,6,9,6,3,0,3,1,0,0,1,0,0,0,2,2,2,0,0,0,6,7,2,5,1,0,8,9,1,0,0,4,2,2,0,1,1,8,0,2,10,13,0,1,2,1,0,2,3,0,8,7,3,5,13,3,18,3,0,2,0,11,13,14
"Ant30",0,26,0,0,15,0,15,9,5,9,0,12,2,6,16,5,10,1,2,7,5,13,3,0,3,1,19,0,0,0,14,1,1,20,1,31,7,0,0,0,24,17,10,22,2,3,0,5,0,0,28,0,0,2,16,3,0,0,0,1,0,20,2,14,0,7,9,1,0,16,0,0,9,5,0,0,18,0,6,7,22,2,27,8,3,4,2,5,4,0,1,0,0,0,0,0,2,13,23,2,8,0,23,9,5,0,0,6,0,0
"Ant38",7,24,0,1,10,1,3,5,1,5,12,0,12,18,6,6,6,5,1,13,8,4,8,0,1,9,18,2,2,3,11,1,4,30,4,19,10,1,6,0,23,7,20,34,2,5,1,2,6,0,14,2,0,0,17,5,3,1,0,2,1,8,3,2,2,1,1,6,2,11,2,3,0,5,1,3,17,7,3,8,23,5,25,3,7,4,13,1,9,1,6,0,0,1,2,2,1,22,1,5,3,3,15,10,5,1,1,20,4,3
"Ant60",6,5,1,5,1,7,0,0,1,1,2,12,0,2,3,2,8,2,4,1,6,6,0,2,8,6,0,6,1,4,7,5,26,5,9,3,5,2,20,2,4,14,6,6,5,22,1,9,6,0,0,3,0,6,1,0,14,0,0,1,6,0,0,0,4,0,9,2,9,0,1,0,5,4,0,2,0,6,2,7,0,0,0,1,0,4,5,2,0,1,6,2,0,2,3,1,18,1,5,7,1,6,6,2,4,1,10,5,5,1
"Ant64",1,52,1,5,4,1,0,14,9,9,6,18,2,0,52,17,2,1,1,16,3,4,0,1,4,15,3,1,0,1,21,6,9,38,2,4,10,0,3,0,19,5,20,20,3,3,0,6,6,0,8,1,0,9,3,5,29,4,2,8,0,7,3,11,0,0,7,1,2,9,5,0,11,3,5,5,4,9,2,17,0,2,4,1,11,4,14,3,9,0,4,3,3,1,2,0,8,11,11,0,13,4,14,15,15,0,1,3,10,3
"Ant73",3,107,0,1,9,0,0,11,2,13,16,6,3,52,0,3,1,8,2,5,5,11,0,0,14,0,9,0,0,0,5,2,0,13,1,11,10,0,0,2,7,2,24,20,0,9,3,4,1,1,15,0,0,1,28,12,5,0,0,0,0,5,0,14,7,0,12,11,0,11,0,0,11,28,0,3,8,8,12,22,11,0,22,3,9,3,4,15,17,0,8,0,0,0,0,1,3,3,74,2,12,2,25,11,17,0,0,23,4,0
"Ant76",0,12,0,2,17,2,36,3,0,3,5,6,2,17,3,0,28,1,0,14,8,8,79,1,1,6,6,0,0,0,5,1,3,7,0,1,16,0,0,1,7,3,5,9,2,6,1,4,1,0,4,0,0,6,20,9,0,0,0,0,0,7,0,0,1,18,0,1,7,2,0,0,4,9,0,0,41,1,7,4,6,2,30,14,2,1,2,6,10,0,5,0,0,0,0,0,6,5,8,0,2,0,6,5,2,1,0,3,1,0
"Ant148",0,2,0,0,15,0,22,3,0,0,10,6,8,2,1,28,0,0,0,16,5,3,41,0,0,0,1,0,0,0,4,0,0,3,0,12,3,0,2,0,16,0,6,24,0,3,1,0,0,1,9,0,0,0,11,14,0,0,0,0,0,11,0,3,0,18,1,0,0,0,0,0,0,1,0,0,48,0,2,3,7,0,32,6,7,3,2,0,1,0,0,0,0,0,0,0,4,5,0,0,6,0,7,8,1,0,0,7,0,0
"Ant158",4,5,1,0,0,0,0,11,4,6,1,5,2,1,8,1,0,0,5,2,11,2,0,3,3,5,2,8,0,1,6,1,3,4,1,9,8,0,16,0,0,5,4,6,6,4,0,4,8,1,1,2,0,3,0,2,2,3,1,0,1,4,3,9,3,0,6,3,1,3,2,0,7,7,0,3,0,1,3,6,0,0,0,3,0,4,5,5,0,1,9,1,4,1,7,2,6,7,2,4,4,17,6,3,6,4,0,1,2,9
"Ant191",5,5,13,9,0,14,0,3,1,12,2,1,4,1,2,0,0,5,0,0,3,3,0,8,0,5,0,11,16,20,1,7,9,0,8,0,3,27,5,17,3,6,2,1,2,6,5,13,13,19,0,14,32,11,0,2,6,26,16,23,23,2,20,2,18,0,1,6,6,3,8,41,2,0,36,5,0,7,1,2,0,5,0,0,0,6,2,3,0,27,6,11,6,7,9,10,31,1,2,8,4,5,4,4,2,33,13,5,23,8
"Ant196",0,13,0,1,10,3,9,7,2,18,7,13,1,16,5,14,16,2,0,0,14,1,5,6,2,23,5,0,0,0,14,1,2,4,5,2,12,0,1,1,17,4,1,23,2,2,0,4,5,0,21,0,0,0,35,3,0,0,1,0,0,16,0,1,3,4,1,1,0,5,0,0,0,1,0,1,2,8,5,0,7,1,26,0,2,5,4,3,12,1,0,0,0,2,3,0,2,7,4,2,15,0,0,8,5,0,0,11,2,2
"Ant202",2,12,0,3,4,0,0,13,7,3,5,8,6,3,5,8,5,11,3,14,0,4,0,6,6,15,0,4,0,3,5,4,4,0,4,5,7,1,21,0,5,3,2,7,0,3,1,2,1,1,7,1,2,14,3,0,3,4,0,1,1,2,2,16,4,0,5,5,2,3,0,0,14,10,0,5,0,9,8,16,0,13,1,8,0,4,10,2,9,0,2,0,3,3,3,0,10,5,13,25,10,8,6,1,6,1,5,17,9,0
"Ant209",0,18,0,1,13,0,0,9,22,27,13,4,6,4,11,8,3,2,3,1,4,0,0,2,28,2,9,0,0,3,10,0,1,19,1,14,4,0,0,0,12,18,19,21,0,4,0,2,13,0,1,1,1,0,9,5,1,0,2,0,0,2,0,24,5,0,16,0,2,6,2,0,15,6,1,0,0,0,10,14,0,0,0,13,9,7,7,17,0,0,1,0,2,0,0,0,18,12,12,9,17,0,40,7,10,1,0,3,2,0
"Ant252",0,0,0,0,62,0,72,3,0,0,3,8,0,0,0,79,41,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,24,0,1,14,0,0,0,0,1,0,11,0,0,0,20,66,0,0,0,0,0,2,0,0,0,141,0,0,0,15,0,0,0,5,0,0,60,0,0,0,18,0,87,25,34,0,0,0,22,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
"Ant268",2,1,1,6,0,0,0,1,3,2,0,0,2,1,0,1,0,3,8,6,6,2,0,0,1,10,4,2,1,2,6,5,9,1,3,1,4,4,0,4,2,2,1,2,4,1,1,3,3,0,0,0,4,11,0,0,0,0,3,1,0,1,0,4,1,0,1,4,1,0,2,0,0,0,7,0,0,7,2,0,0,5,0,1,0,2,3,1,2,4,4,2,0,3,0,0,6,3,1,6,1,2,0,0,1,11,11,0,15,3
"Ant308",1,4,0,1,5,0,0,4,17,2,3,1,8,4,14,1,0,3,0,2,6,28,0,1,0,0,2,0,1,1,7,3,0,3,0,7,4,0,5,1,5,4,10,13,1,8,0,19,0,0,1,0,1,1,24,3,0,1,2,0,0,2,0,19,0,0,8,1,0,5,0,0,20,24,0,0,0,1,32,22,0,0,2,5,4,4,16,15,4,0,6,0,2,1,2,0,2,5,3,0,11,4,24,3,15,0,1,4,6,4
"Ant311",3,5,1,6,1,4,0,9,7,18,1,9,6,15,0,6,0,5,5,23,15,2,0,10,0,0,10,4,0,4,11,6,9,9,13,3,5,1,9,4,0,22,14,12,4,17,6,11,9,0,9,2,1,0,0,0,2,1,0,1,4,0,1,4,2,0,6,7,3,2,3,0,4,4,2,6,0,12,2,1,0,18,2,3,0,5,6,4,1,2,7,1,2,8,4,2,5,5,4,1,7,6,12,10,1,3,4,7,14,4
"Ant518",0,20,0,5,2,0,0,12,4,2,19,18,0,3,9,6,1,2,0,5,0,9,0,4,2,10,0,0,0,0,7,2,1,23,2,7,10,1,2,0,21,5,7,19,0,5,0,0,6,0,4,1,0,1,7,10,2,1,1,0,0,7,1,3,0,0,21,0,2,4,0,0,10,6,1,1,1,10,7,7,2,1,0,2,5,1,7,9,5,0,1,1,2,1,0,1,5,18,13,0,11,3,16,10,13,0,0,17,7,0
"Ant620",1,3,4,5,0,3,0,0,2,1,0,2,6,1,0,0,0,8,11,0,4,0,0,2,0,4,0,0,3,11,1,9,4,1,8,0,0,1,4,2,1,5,2,0,4,2,6,1,5,2,0,3,1,6,1,1,5,13,13,8,3,0,17,0,8,0,3,17,5,0,11,0,0,0,8,16,0,7,1,0,0,15,0,0,0,1,2,0,0,5,7,4,13,0,1,12,0,0,1,5,0,4,0,0,1,2,15,2,2,2
"Ant0",3,0,7,1,0,4,0,0,2,0,0,2,1,0,0,0,0,0,16,0,0,0,0,1,1,0,0,3,0,5,0,5,4,0,0,0,1,18,0,14,0,3,0,0,2,0,0,1,0,0,0,6,5,2,0,0,0,14,1,9,12,0,2,0,0,0,1,2,6,0,5,5,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,5,3,7,0,0,0,3,0,0,0,0,0,0,10,1,2,1
