"","Ant4","Ant260","Ant52","Ant540","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant518","Ant0","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant115","Ant117","Ant127","Ant137","Ant139","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant492","Ant501","Ant507","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,8,0,1,0,2,5,1,4,0,1,0,8,0,0,6,2,0,1,15,4,1,6,1,6,4,2,2,7,1,5,0,3,3,1,6,12,4,11,0,2,0,0,2,0,1,0,4,1,10,1,0,1,2,0,0,9,2,0,5,3,8,3,2,16,1,0,7,12,7,6,0,8,7,1,2,8
"Ant260",8,0,1,4,8,18,32,31,21,24,11,45,12,0,19,1,11,6,0,21,17,0,12,11,3,2,6,1,6,7,1,22,22,33,7,29,12,3,8,0,9,1,1,3,0,4,0,6,2,1,16,0,3,2,2,24,37,14,0,21,5,33,14,3,13,0,3,13,2,41,1,4,3,4,6,18,16
"Ant52",0,1,0,0,0,10,0,0,1,2,3,0,0,0,0,3,0,0,5,2,1,7,1,2,11,0,6,0,0,0,10,0,1,0,3,0,3,2,10,9,1,4,6,8,0,0,0,4,6,10,0,2,0,9,2,0,0,0,0,2,2,1,0,3,4,6,1,6,5,0,3,0,10,12,0,0,1
"Ant540",1,4,0,0,1,8,2,0,3,2,6,0,0,0,2,2,5,1,9,2,0,3,6,3,9,0,6,0,1,3,1,0,2,5,2,0,0,0,7,0,4,4,4,1,0,2,2,3,5,4,1,0,0,4,1,0,0,0,0,3,0,0,0,1,1,0,7,3,8,1,2,0,17,3,0,3,0
"Ant7",0,8,0,1,0,1,0,1,0,0,8,0,1,0,3,6,8,0,2,1,1,9,1,2,4,1,7,4,5,0,4,3,2,5,1,0,9,7,4,3,9,1,3,0,1,1,0,13,0,0,2,0,0,3,10,1,1,1,0,3,0,0,0,2,10,4,3,0,10,0,2,0,11,8,2,7,5
"Ant19",2,18,10,8,1,0,7,0,8,7,0,2,4,0,6,1,3,4,5,4,3,0,5,3,6,0,3,0,0,1,4,6,5,5,23,4,6,0,2,1,16,0,0,4,1,4,0,1,3,2,1,0,7,1,18,5,9,1,0,8,5,2,5,0,10,6,3,2,1,9,0,1,2,11,3,12,2
"Ant26",5,32,0,2,0,7,0,3,6,0,3,0,9,0,3,0,10,0,5,3,3,1,14,10,5,4,11,0,14,2,5,2,8,10,6,9,8,1,4,1,12,1,4,4,0,2,0,9,1,4,0,0,0,4,7,7,1,9,0,7,0,9,1,1,9,3,6,6,10,28,1,0,0,6,7,13,11
"Ant30",1,31,0,0,1,0,3,0,18,11,74,20,9,53,29,0,1,104,0,33,9,0,40,10,0,6,0,28,6,3,0,4,37,27,1,18,4,0,0,0,3,1,0,0,0,22,0,0,3,0,1,0,25,3,0,13,17,40,91,10,25,31,28,0,0,0,0,6,0,62,0,68,0,0,62,4,1
"Ant38",4,21,1,3,0,8,6,18,0,10,58,5,16,13,9,3,7,36,4,41,18,1,11,15,4,8,8,4,23,4,0,18,19,29,5,29,6,5,3,2,10,0,2,3,0,14,1,4,7,1,5,4,19,4,7,38,5,33,26,31,21,29,55,0,25,3,0,3,1,20,0,15,2,7,24,12,7
"Ant60",0,24,2,2,0,7,0,11,10,0,10,6,6,0,11,0,3,7,4,6,15,0,2,3,2,1,10,3,4,4,3,0,8,1,3,10,6,1,5,0,2,1,0,0,1,0,0,6,11,3,2,0,2,1,5,20,5,20,0,9,18,7,12,0,4,1,0,12,0,9,2,7,0,5,1,1,2
"Ant64",1,11,3,6,8,0,3,74,58,10,0,72,10,0,12,11,3,6,1,30,15,1,12,5,6,9,3,0,20,3,0,7,24,25,9,40,2,2,0,0,2,0,3,7,0,2,0,1,4,1,5,0,4,3,7,14,30,47,0,18,4,43,41,0,4,0,9,4,1,51,1,16,2,5,25,3,0
"Ant73",0,45,0,0,0,2,0,20,5,6,72,0,21,15,9,0,3,30,0,14,9,0,16,3,0,6,1,10,4,1,0,6,11,20,0,4,1,0,0,0,0,0,0,3,0,7,0,0,0,0,8,0,20,1,2,11,5,6,13,1,3,32,29,0,1,0,1,0,0,6,0,12,0,0,15,1,0
"Ant76",8,12,0,0,1,4,9,9,16,6,10,21,0,14,15,0,1,28,3,16,12,0,24,10,0,7,1,14,12,2,2,10,14,19,0,4,4,1,2,1,0,0,1,1,0,17,1,2,8,2,1,0,7,5,3,11,18,6,26,8,18,17,9,0,0,0,2,4,0,25,2,34,0,0,11,4,1
"Ant148",0,0,0,0,0,0,0,53,13,0,0,15,14,0,0,0,0,46,0,2,8,0,16,7,0,6,0,19,5,1,0,4,4,6,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,8,0,0,12,5,1,60,3,32,23,4,0,0,0,2,2,0,18,0,28,0,0,8,0,2
"Ant158",0,19,0,2,3,6,3,29,9,11,12,9,15,0,0,0,3,10,2,14,7,0,3,1,1,2,2,3,9,4,3,27,5,5,4,6,13,4,2,0,3,0,1,0,0,3,0,1,4,1,2,0,8,0,2,25,15,25,14,6,5,11,9,3,1,3,3,0,0,18,0,16,1,0,18,4,2
"Ant191",6,1,3,2,6,1,0,0,3,0,11,0,0,0,0,0,1,0,9,1,2,2,0,2,6,0,2,0,1,3,5,0,0,0,0,0,2,1,0,1,5,10,6,2,8,0,7,11,3,0,2,30,0,10,3,0,0,1,0,2,0,0,1,8,2,0,1,0,1,1,6,0,4,3,0,2,0
"Ant202",2,11,0,5,8,3,10,1,7,3,3,3,1,0,3,1,0,3,2,1,2,2,3,14,5,2,14,0,12,0,4,0,1,12,5,3,8,7,10,5,4,4,8,0,0,2,0,9,14,2,0,0,1,3,8,1,2,6,0,2,1,1,2,1,7,3,1,35,3,4,0,2,0,37,8,8,13
"Ant209",0,6,0,1,0,4,0,104,36,7,6,30,28,46,10,0,3,0,0,8,18,0,25,29,0,19,1,95,22,0,0,22,14,7,0,30,6,0,0,0,0,0,0,2,0,23,0,0,0,0,0,0,79,0,2,9,8,6,102,8,28,41,20,0,4,0,5,8,0,38,2,64,1,1,42,6,3
"Ant268",1,0,5,9,2,5,5,0,4,4,1,0,3,0,2,9,2,0,0,0,1,4,7,3,6,0,5,0,3,2,6,0,0,3,2,2,7,0,1,1,2,4,0,4,4,0,0,6,0,2,5,3,0,1,0,3,2,0,0,1,1,1,0,1,6,0,0,2,0,4,0,1,18,1,0,0,1
"Ant308",15,21,2,2,1,4,3,33,41,6,30,14,16,2,14,1,1,8,0,0,14,3,8,2,7,6,3,0,3,4,0,23,31,19,0,6,1,5,4,2,2,2,0,0,0,0,0,1,6,6,2,0,17,0,5,37,22,19,3,20,6,10,15,1,1,0,4,1,7,7,0,8,1,0,20,6,7
"Ant518",4,17,1,0,1,3,3,9,18,15,15,9,12,8,7,2,2,18,1,14,0,0,17,2,0,2,3,1,8,3,0,4,14,20,1,4,4,3,0,0,1,4,0,2,0,4,0,2,2,0,0,0,11,1,5,4,21,12,6,12,3,13,31,0,4,3,3,2,0,20,0,10,1,1,7,3,8
"Ant0",1,0,7,3,9,0,1,0,1,0,1,0,0,0,0,2,2,0,4,3,0,2,1,2,2,1,6,0,1,6,4,1,0,0,6,0,3,1,0,1,1,4,2,2,2,0,1,6,5,1,0,4,0,6,3,0,2,0,0,1,0,0,1,0,1,2,0,5,4,3,0,0,2,3,0,2,0
"Ant23",6,12,1,6,1,5,14,40,11,2,12,16,24,16,3,0,3,25,7,8,17,1,0,10,1,4,7,1,29,4,1,13,10,23,2,7,7,2,2,0,7,0,2,2,0,18,1,1,2,3,3,0,4,2,0,9,15,1,5,10,3,21,14,0,9,5,5,7,0,10,2,16,3,2,12,12,10
"Ant27",1,11,2,3,2,3,10,10,15,3,5,3,10,7,1,2,14,29,3,2,2,2,10,0,4,4,11,4,27,15,1,12,8,22,11,9,4,1,2,1,3,0,2,2,1,7,0,8,5,3,0,0,7,4,4,1,6,1,7,26,2,3,7,0,9,2,2,4,3,5,0,8,3,4,11,10,7
"Ant29",6,3,11,9,4,6,5,0,4,2,6,0,0,0,1,6,5,0,6,7,0,2,1,4,0,0,9,0,4,7,6,12,5,8,8,1,6,13,14,4,2,1,13,2,2,0,0,3,7,4,1,0,0,7,6,2,7,3,0,3,0,1,0,1,5,3,7,9,19,1,4,0,5,7,1,6,2
"Ant32",4,2,0,0,1,0,4,6,8,1,9,6,7,6,2,0,2,19,0,6,2,1,4,4,0,0,4,6,9,2,0,6,1,21,2,8,3,3,4,1,0,0,0,0,0,4,0,0,1,0,0,0,7,1,4,2,3,7,8,5,12,6,7,0,1,0,2,6,2,7,1,16,0,4,1,10,3
