"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant347","Ant353","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant527","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,18,5,5,3,7,0,6,3,17,5,8,6,14,0,2,3,2,6,0,12,6,0,6,4,8,1,7,3,6,6,11,10,5,3,1,15,0,5,4,1,14,4,3,7,5,4,16,15,1,11,3,6,2,3,1,5,5,5,1,1,0,1,1,6,0,7,13,0,1,1,8,2,13,5,2,1,8,1,11,0,4,0,4,0,4,14,7,0,4,6,3,7,6,3,4,3,1,14,5,7,2,16,5,2,6,14,6,5,2
"Ant260",18,0,1,0,47,4,0,22,2,7,82,38,2,31,4,5,21,3,11,5,8,29,37,5,22,19,4,6,0,6,3,13,0,30,2,16,31,0,4,0,32,16,26,38,5,35,0,4,8,0,19,2,0,2,39,36,6,1,0,0,1,10,3,18,0,0,5,3,0,32,1,0,6,18,0,3,18,38,15,16,2,2,1,14,1,7,14,58,56,1,2,0,1,2,9,1,5,23,18,3,23,6,41,30,25,1,0,34,3,5
"Ant52",5,1,0,3,0,4,0,0,4,1,0,0,0,2,0,0,0,2,6,0,0,7,4,5,0,6,0,2,0,3,0,2,4,0,8,0,3,6,0,11,0,0,0,1,2,1,3,10,1,5,0,1,4,0,0,0,1,1,11,3,2,0,1,0,1,0,0,7,1,0,1,10,2,0,5,3,0,2,0,0,0,1,0,0,0,2,1,1,0,1,6,1,2,2,3,0,0,0,2,6,0,2,1,0,1,15,4,1,11,4
"Ant540",5,0,3,0,0,1,0,0,2,4,0,2,1,2,0,0,0,0,7,5,0,4,0,2,6,4,0,4,10,1,2,5,4,0,7,1,0,2,4,3,0,6,0,0,16,0,4,2,0,7,0,8,0,0,0,0,4,5,1,4,7,0,12,9,9,0,0,10,0,0,0,0,3,0,1,4,0,2,0,3,0,8,0,0,0,2,0,5,0,3,4,4,4,5,14,1,3,0,1,3,2,1,3,1,3,0,6,1,2,0
"Ant6",3,47,0,0,0,0,35,1,2,10,11,7,1,2,9,2,13,2,0,24,2,0,12,0,0,7,6,0,0,0,12,1,0,6,0,13,9,0,0,0,37,0,5,12,0,9,0,1,9,0,15,0,0,2,31,34,2,0,0,0,0,21,0,6,0,10,26,1,0,6,0,0,1,3,0,0,10,1,2,6,13,0,46,1,3,0,1,5,74,0,0,0,0,0,0,0,1,20,0,0,12,0,7,0,11,0,0,13,0,0
"Ant7",7,4,4,1,0,0,0,0,1,2,0,0,3,1,0,2,0,2,0,2,3,4,0,2,1,5,0,1,0,9,5,7,0,3,7,0,2,7,1,3,0,2,0,3,0,0,0,0,0,0,1,1,0,5,3,2,0,1,1,0,1,0,1,4,0,0,0,8,0,0,0,1,11,0,0,4,3,4,0,0,0,10,0,1,0,3,7,1,0,1,2,0,1,0,2,0,10,0,1,1,0,6,0,0,0,1,4,1,1,5
"Ant9",0,0,0,0,35,0,0,0,0,0,0,4,0,0,5,4,21,0,0,10,0,0,0,0,0,14,0,0,0,0,8,0,0,3,0,8,7,0,0,0,32,0,1,36,0,0,0,0,2,0,3,0,0,0,14,9,0,0,0,0,0,7,0,0,0,34,20,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,27,1,6,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,14,0,0,0,7,0,0,0,0,0
"Ant14",6,22,0,0,1,0,0,0,1,12,15,14,13,9,0,7,5,6,0,7,5,7,53,2,8,9,4,1,0,3,12,1,2,1,0,0,2,0,1,0,2,3,5,12,0,10,1,0,8,0,1,0,0,3,15,2,6,0,0,0,0,1,0,12,0,0,4,8,0,10,3,0,5,5,0,0,15,8,18,7,0,1,0,22,0,0,10,30,12,0,0,0,0,1,0,0,5,5,15,0,5,8,7,33,4,0,0,31,1,0
"Ant19",3,2,4,2,2,1,0,1,0,1,3,8,9,17,0,0,0,14,4,4,4,1,4,5,0,7,1,4,1,5,0,4,1,0,8,4,1,1,8,3,2,4,1,5,2,5,5,4,9,0,4,6,0,8,3,4,11,0,3,0,3,0,2,0,4,0,0,13,0,5,1,0,8,6,1,6,3,2,4,1,0,4,0,9,0,7,0,0,1,7,2,1,0,18,6,0,0,2,7,8,1,1,8,3,2,1,0,0,4,1
"Ant26",17,7,1,4,10,2,0,12,1,0,18,6,6,0,1,6,4,2,0,4,15,10,6,0,5,7,2,5,0,0,7,9,1,3,6,8,5,1,2,2,1,7,5,3,1,4,0,4,3,1,0,0,0,24,6,3,0,0,0,0,1,1,0,14,1,0,6,1,0,9,0,0,20,11,0,0,22,1,3,6,0,3,3,7,0,2,5,13,1,1,5,0,2,2,3,1,12,10,6,1,17,10,12,1,12,0,5,3,1,1
