"","Ant4","Ant540","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant76","Ant191","Ant202","Ant268","Ant518","Ant0","Ant23","Ant29","Ant32","Ant42","Ant44","Ant55","Ant63","Ant97","Ant109","Ant115","Ant117","Ant127","Ant139","Ant153","Ant156","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant242","Ant243","Ant255","Ant294","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant501","Ant538","Ant560","Ant564","Ant593"
"Ant4",0,1,7,0,0,1,2,3,4,5,9,3,1,0,10,4,0,19,2,3,1,26,2,0,20,0,2,6,2,7,3,6,11,8,0,6,0,7,0,0,0,0,1,0,14,3,14,6,2,2,9,2,2,2
"Ant540",1,0,0,0,0,0,0,4,0,25,1,0,0,1,1,9,0,2,1,0,1,0,1,0,0,0,10,12,2,12,0,3,10,5,9,0,18,17,3,0,0,0,2,0,0,8,0,0,2,2,12,0,0,1
"Ant19",7,0,0,19,0,28,14,9,15,1,18,3,9,0,17,5,11,22,13,12,14,11,10,8,9,5,1,7,1,3,31,0,0,3,1,1,0,2,14,0,4,19,15,4,4,2,2,9,4,12,7,8,13,5
"Ant26",0,0,19,0,0,17,17,4,17,0,24,0,7,3,7,4,19,14,6,33,28,5,5,9,1,1,0,0,0,1,23,0,0,0,3,0,0,5,0,0,0,29,9,6,1,0,3,19,0,6,1,5,14,4
"Ant30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant38",1,0,28,17,0,0,32,16,16,2,10,0,5,0,35,7,24,20,3,25,9,7,10,12,2,0,0,2,0,0,43,3,0,0,0,5,1,0,8,9,11,32,82,2,4,4,4,34,2,8,2,28,24,8
"Ant60",2,0,14,17,0,32,0,12,5,1,43,3,6,0,15,1,16,12,7,38,42,2,12,7,5,0,3,0,4,0,37,1,5,4,1,14,0,1,28,0,1,18,27,4,0,0,8,18,11,20,2,9,16,21
"Ant64",3,4,9,4,0,16,12,0,11,7,14,5,17,2,23,12,16,29,1,5,3,16,4,9,3,3,6,7,2,6,17,2,0,2,1,7,0,5,3,0,2,2,20,2,2,0,8,23,6,17,15,5,18,11
"Ant76",4,0,15,17,0,16,5,11,0,0,17,0,9,0,14,4,26,22,2,14,9,9,4,19,3,0,1,1,1,0,7,5,0,0,0,1,0,2,10,71,23,19,24,0,3,1,0,13,1,8,1,10,7,4
"Ant191",5,25,1,0,0,2,1,7,0,0,1,1,0,8,1,4,3,1,4,2,1,2,0,0,7,3,5,18,11,7,1,13,18,9,10,8,28,15,2,0,0,0,4,1,2,8,0,0,9,3,41,0,1,1
