"","Ant4","Ant540","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant76","Ant191","Ant202","Ant268","Ant518","Ant0","Ant23","Ant29","Ant32","Ant42","Ant44","Ant55","Ant63","Ant97","Ant109","Ant115","Ant117","Ant127","Ant139","Ant153","Ant156","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant242","Ant243","Ant255","Ant294","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant501","Ant538","Ant560","Ant564","Ant593"
"Ant4",0,9,0,0,0,0,0,10,0,1,9,2,3,1,6,6,0,4,24,2,7,9,1,1,20,0,2,0,3,6,4,9,7,25,2,7,1,3,0,0,0,2,0,2,5,1,5,3,7,6,5,19,0,3
"Ant540",9,0,0,0,0,0,0,8,0,9,2,0,0,1,0,1,0,1,3,2,0,2,0,0,3,3,0,0,2,21,0,13,10,16,3,4,4,4,0,0,0,0,3,3,1,2,1,1,4,3,3,1,4,1
"Ant19",0,0,0,7,0,9,8,16,10,1,11,3,13,0,13,5,11,14,13,18,6,7,9,1,7,14,0,5,1,6,14,1,1,7,2,14,1,2,8,0,2,10,31,2,6,1,4,9,6,7,3,11,32,2
"Ant26",0,0,7,0,0,9,45,3,12,0,6,7,5,2,18,11,9,15,13,16,18,3,9,7,6,0,1,0,1,0,12,2,0,0,4,11,0,0,11,0,1,39,2,1,6,0,1,21,0,1,0,7,18,4
"Ant30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant38",0,0,9,9,0,0,22,3,23,0,18,0,6,0,20,0,18,21,15,11,3,3,23,16,7,3,0,9,0,0,17,0,0,2,2,27,0,1,12,14,12,25,50,0,10,0,3,42,0,9,1,14,18,7
"Ant60",0,0,8,45,0,22,0,2,13,0,9,6,11,2,13,12,17,16,8,20,23,2,28,18,12,4,0,22,0,0,14,1,2,1,3,19,0,1,19,0,0,44,49,3,0,2,8,10,0,5,0,14,37,0
"Ant64",10,8,16,3,0,3,2,0,12,4,19,8,13,2,22,7,2,14,8,10,9,14,1,7,25,9,2,3,3,0,6,5,6,3,6,0,2,5,1,0,0,2,11,1,0,3,7,9,3,10,5,8,34,0
"Ant76",0,0,10,12,0,23,13,12,0,0,11,1,5,0,21,1,14,14,11,19,6,8,4,13,4,1,0,2,0,0,4,0,2,2,0,4,1,0,8,17,14,16,27,0,2,0,6,10,0,0,2,4,15,4
"Ant191",1,9,1,0,0,0,0,4,0,0,2,2,2,25,0,2,0,2,0,1,2,4,0,0,1,2,0,2,12,6,2,7,6,3,2,1,20,6,1,0,0,0,0,2,0,3,0,0,2,2,13,2,0,0
"Ant202",9,2,11,6,0,18,9,19,11,2,0,17,8,2,13,6,3,21,34,10,9,10,11,4,26,5,1,12,0,0,21,12,5,9,4,8,1,3,9,5,3,9,21,3,16,2,11,10,7,6,1,17,12,4
"Ant268",2,0,3,7,0,0,6,8,1,2,17,0,2,2,4,16,0,1,0,8,6,5,2,0,2,2,1,2,2,1,5,9,8,5,2,1,4,3,2,0,0,0,2,3,3,7,0,3,6,0,5,1,6,1
"Ant518",3,0,13,5,0,6,11,13,5,2,8,2,0,3,5,6,3,12,7,6,9,17,2,2,18,2,1,5,1,0,4,2,1,9,2,2,1,7,7,4,2,6,12,0,6,2,2,5,3,4,1,19,18,1
"Ant0",1,1,0,2,0,0,2,2,0,25,2,2,3,0,0,4,1,0,3,0,0,0,1,0,1,2,4,4,9,3,0,1,4,3,1,0,1,5,2,0,0,1,0,6,2,3,1,0,1,1,11,0,2,0
"Ant23",6,0,13,18,0,20,13,22,21,0,13,4,5,0,0,3,9,23,18,30,4,13,5,6,7,6,3,2,0,0,17,5,2,8,2,15,0,0,13,8,3,1,32,0,9,1,9,29,1,2,2,27,30,4
"Ant29",6,1,5,11,0,0,12,7,1,2,6,16,6,4,3,0,2,8,17,1,9,8,3,0,8,2,4,6,3,4,5,5,4,3,10,12,1,5,9,0,0,6,1,3,1,3,6,3,1,2,8,6,0,1
"Ant32",0,0,11,9,0,18,17,2,14,0,3,0,3,1,9,2,0,14,3,3,1,0,7,5,2,0,0,13,0,0,2,1,1,1,0,5,0,0,3,15,32,3,24,0,0,0,3,11,0,0,0,13,6,12
"Ant42",4,1,14,15,0,21,16,14,14,2,21,1,12,0,23,8,14,0,21,26,2,19,12,7,8,9,1,4,0,1,17,0,1,6,3,7,0,1,18,0,0,15,32,1,8,0,6,19,1,6,2,27,17,2
"Ant44",24,3,13,13,0,15,8,8,11,0,34,0,7,3,18,17,3,21,0,14,9,7,7,5,15,8,0,12,1,4,12,3,9,16,1,14,0,3,8,0,0,17,7,1,24,1,15,2,5,17,2,19,30,14
"Ant55",2,2,18,16,0,11,20,10,19,1,10,8,6,0,30,1,3,26,14,0,6,4,16,18,2,6,0,21,2,0,6,2,0,4,0,20,0,0,19,0,0,21,34,2,3,0,3,25,0,9,3,23,10,0
"Ant63",7,0,6,18,0,3,23,9,6,2,9,6,9,0,4,9,1,2,9,6,0,5,5,2,21,1,6,6,4,0,4,1,1,1,1,9,0,0,12,0,0,2,7,1,1,10,8,3,1,3,3,8,19,0
"Ant97",9,2,7,3,0,3,2,14,8,4,10,5,17,0,13,8,0,19,7,4,5,0,2,7,19,6,1,6,1,0,3,1,5,10,2,1,0,3,2,0,0,3,3,1,44,4,14,3,4,24,5,13,9,3
"Ant109",1,0,9,9,0,23,28,1,4,0,11,2,2,1,5,3,7,12,7,16,5,2,0,3,9,2,2,16,1,0,2,0,0,0,0,4,0,2,6,0,0,34,11,1,1,2,2,5,4,0,0,3,26,0
"Ant115",1,0,1,7,0,16,18,7,13,0,4,0,2,0,6,0,5,7,5,18,2,7,3,0,7,0,0,3,0,1,7,0,0,1,0,3,0,0,6,19,17,4,5,0,0,1,0,12,0,3,0,0,3,2
"Ant117",20,3,7,6,0,7,12,25,4,1,26,2,18,1,7,8,2,8,15,2,21,19,9,7,0,2,2,11,0,1,6,3,3,17,9,2,1,3,10,0,0,4,13,6,5,1,17,13,10,9,7,3,18,17
"Ant127",0,3,14,0,0,3,4,9,1,2,5,2,2,2,6,2,0,9,8,6,1,6,2,0,2,0,2,3,3,4,2,4,2,7,3,2,2,8,2,0,0,2,2,1,22,1,5,4,7,3,5,4,5,2
"Ant139",2,0,0,1,0,0,0,2,0,0,1,1,1,4,3,4,0,1,0,0,6,1,2,0,2,2,0,4,7,10,2,6,7,8,3,1,3,8,0,0,0,3,1,3,1,1,3,0,4,5,7,0,2,1
"Ant153",0,0,5,0,0,9,22,3,2,2,12,2,5,4,2,6,13,4,12,21,6,6,16,3,11,3,4,0,2,4,16,6,1,2,1,19,1,0,3,0,0,2,0,1,3,7,1,4,12,10,5,7,17,7
"Ant156",3,2,1,1,0,0,0,3,0,12,0,2,1,9,0,3,0,0,1,2,4,1,1,0,0,3,7,2,0,10,0,2,21,1,15,0,18,11,5,0,0,0,1,7,1,6,1,0,11,1,5,0,3,0
"Ant173",6,21,6,0,0,0,0,0,0,6,0,1,0,3,0,4,0,1,4,0,0,0,0,1,1,4,10,4,10,0,1,1,13,7,0,1,9,4,0,0,0,0,0,2,1,3,1,0,3,0,8,0,0,10
"Ant176",4,0,14,12,0,17,14,6,4,2,21,5,4,0,17,5,2,17,12,6,4,3,2,7,6,2,2,16,0,1,0,4,2,19,2,23,0,2,32,2,1,12,18,1,17,1,7,6,3,11,2,22,17,4
"Ant178",9,13,1,2,0,0,1,5,0,7,12,9,2,1,5,5,1,0,3,2,1,1,0,0,3,4,6,6,2,1,4,0,8,6,4,2,0,10,1,0,0,1,1,1,1,0,5,3,1,0,4,0,3,0
"Ant190",7,10,1,0,0,0,2,6,2,6,5,8,1,4,2,4,1,1,9,0,1,5,0,0,3,2,7,1,21,13,2,8,0,18,6,1,2,4,0,0,0,2,0,2,4,14,2,1,29,5,2,3,4,5
"Ant207",25,16,7,0,0,2,1,3,2,3,9,5,9,3,8,3,1,6,16,4,1,10,0,1,17,7,8,2,1,7,19,6,18,0,2,4,4,0,1,0,0,0,0,1,13,2,7,2,3,13,18,16,2,2
"Ant215",2,3,2,4,0,2,3,6,0,2,4,2,2,1,2,10,0,3,1,0,1,2,0,0,9,3,3,1,15,0,2,4,6,2,0,11,2,4,2,0,0,0,5,1,1,2,0,2,1,9,4,6,0,5
"Ant218",7,4,14,11,0,27,19,0,4,1,8,1,2,0,15,12,5,7,14,20,9,1,4,3,2,2,1,19,0,1,23,2,1,4,11,0,0,1,19,0,0,6,1,2,4,0,1,7,1,13,2,4,21,1
"Ant219",1,4,1,0,0,0,0,2,1,20,1,4,1,1,0,1,0,0,0,0,0,0,0,0,1,2,3,1,18,9,0,0,2,4,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
"Ant242",3,4,2,0,0,1,1,5,0,6,3,3,7,5,0,5,0,1,3,0,0,3,2,0,3,8,8,0,11,4,2,10,4,0,4,1,8,0,2,0,0,1,0,5,4,4,5,3,10,5,4,0,0,3
"Ant243",0,0,8,11,0,12,19,1,8,1,9,2,7,2,13,9,3,18,8,19,12,2,6,6,10,2,0,3,5,0,32,1,0,1,2,19,0,2,0,0,0,8,2,2,2,3,2,4,1,1,1,11,11,1
"Ant255",0,0,0,0,0,14,0,0,17,0,5,0,4,0,8,0,15,0,0,0,0,0,0,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,73,27,0,0,0,0,0,11,0,0,0,0,0,10
"Ant294",0,0,2,1,0,12,0,0,14,0,3,0,2,0,3,0,32,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73,0,17,0,0,0,0,0,7,0,0,0,0,2,25
"Ant347",2,0,10,39,0,25,44,2,16,0,9,0,6,1,1,6,3,15,17,21,2,3,34,4,4,2,3,2,0,0,12,1,2,0,0,6,0,1,8,27,17,0,7,0,0,1,2,25,0,5,0,0,8,9
"Ant356",0,3,31,2,0,50,49,11,27,0,21,2,12,0,32,1,24,32,7,34,7,3,11,5,13,2,1,0,1,0,18,1,0,0,5,1,0,0,2,0,0,7,0,0,4,0,2,56,0,15,4,20,39,1
"Ant380",2,3,2,1,0,0,3,1,0,2,3,3,0,6,0,3,0,1,1,2,1,1,1,0,6,1,3,1,7,2,1,1,2,1,1,2,0,5,2,0,0,0,0,0,2,3,1,1,1,0,6,1,2,0
