"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant347","Ant353","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant527","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,17,4,7,4,1,2,7,5,5,1,8,10,15,19,8,0,4,6,16,6,22,3,3,9,7,1,4,0,3,8,7,2,11,8,3,14,3,4,0,0,4,2,13,3,5,2,13,7,1,14,2,0,10,7,3,18,1,3,4,4,4,2,3,1,6,4,10,4,3,3,1,11,4,5,2,3,0,1,6,0,1,0,2,1,4,9,2,19,1,11,4,1,3,2,7,0,1,25,8,6,1,6,1,11,3,3,11,7,6
"Ant260",17,0,4,6,8,1,7,21,9,5,19,19,21,25,32,35,10,4,0,34,5,13,16,2,9,17,5,1,0,4,11,3,5,40,1,6,41,2,4,0,22,7,11,24,0,11,1,11,8,6,31,1,0,6,12,18,3,1,2,2,1,14,2,0,2,7,10,4,3,9,2,2,8,9,2,2,26,11,7,9,24,1,10,6,1,3,3,3,81,1,12,0,0,5,2,5,0,3,23,2,16,2,25,29,11,1,0,48,5,4
"Ant52",4,4,0,7,1,0,0,0,3,0,1,0,1,8,0,0,1,0,14,6,2,2,0,5,0,6,0,4,1,14,3,2,14,0,10,0,4,15,8,7,0,6,0,0,7,5,4,3,4,7,0,6,4,0,0,0,0,7,13,9,3,0,8,5,14,0,2,9,3,0,10,18,10,0,14,21,0,0,0,4,0,7,0,0,0,2,2,4,0,3,1,15,4,15,7,2,28,4,4,0,2,13,3,0,0,14,19,0,4,1
"Ant540",7,6,7,0,0,2,0,0,9,3,0,4,1,1,1,1,0,7,6,8,3,12,0,0,4,11,1,10,3,7,3,3,8,0,7,0,3,4,6,2,0,13,2,4,10,11,2,4,1,4,2,8,0,2,0,0,7,4,1,6,4,1,5,15,9,1,5,12,0,1,18,6,0,1,5,9,3,0,0,2,0,2,0,1,0,1,0,3,0,2,0,3,9,4,3,17,15,0,3,3,6,8,3,2,0,5,13,1,3,3
"Ant6",4,8,1,0,0,0,11,14,3,8,12,20,6,14,2,4,6,1,0,12,4,1,12,0,1,3,2,0,0,0,5,0,2,2,3,5,5,0,2,0,10,0,5,12,0,1,0,0,3,1,3,0,0,0,13,10,1,0,0,1,3,13,0,1,0,0,3,1,1,10,0,0,7,6,0,7,7,6,0,3,10,0,25,7,13,1,3,1,15,0,4,0,0,0,0,2,0,10,5,0,8,2,3,2,2,0,1,17,3,1
"Ant7",1,1,0,2,0,0,2,0,0,2,0,2,1,3,1,2,0,2,5,3,9,4,1,1,0,6,2,1,1,8,0,0,10,0,9,0,0,2,2,4,0,5,1,1,3,1,0,2,2,3,0,7,5,4,0,0,8,3,0,1,2,0,1,1,1,2,0,0,7,0,3,5,2,1,8,6,0,0,0,0,0,3,0,0,0,1,2,1,0,2,6,1,3,3,10,0,7,0,1,4,2,2,0,1,0,8,11,2,6,3
"Ant9",2,7,0,0,11,2,0,9,2,5,8,8,5,7,11,6,24,2,3,58,6,14,16,0,1,4,4,0,0,0,4,0,1,9,0,9,13,0,0,0,14,5,11,6,0,8,0,1,2,1,5,0,0,1,6,17,0,0,0,0,2,18,0,4,0,12,3,2,6,6,0,1,6,13,0,0,7,5,9,1,9,1,4,11,7,21,2,5,12,0,10,0,0,1,1,0,0,13,7,0,60,3,14,3,8,0,0,6,2,1
"Ant14",7,21,0,0,14,0,9,0,5,3,11,18,9,9,3,8,7,0,0,13,1,4,18,0,0,0,1,0,0,0,9,1,0,17,2,12,14,2,1,0,10,1,5,6,1,1,0,4,7,0,10,0,0,1,23,3,0,0,1,0,2,2,0,0,0,1,2,0,3,20,0,0,3,8,0,0,2,4,6,5,21,0,11,8,5,5,10,2,17,0,7,0,0,1,0,0,0,15,1,3,22,1,4,15,4,0,1,11,1,1
"Ant19",5,9,3,9,3,0,2,5,0,2,4,6,11,6,11,2,4,0,4,9,21,18,11,4,12,12,5,1,0,4,0,1,0,9,9,0,15,0,2,0,5,7,4,9,2,12,0,0,1,2,1,0,2,2,1,6,1,0,2,0,2,2,3,1,0,28,1,2,3,4,1,2,9,4,4,2,12,9,10,0,4,3,1,0,5,16,4,10,1,0,5,0,1,0,0,0,0,7,2,2,4,13,1,6,3,0,3,7,1,2
"Ant26",5,5,0,3,8,2,5,3,2,0,2,0,9,11,3,4,0,7,3,12,29,24,14,0,4,8,4,1,0,0,4,2,0,11,2,16,8,2,1,0,6,1,9,18,1,2,0,1,0,0,5,1,2,1,10,6,0,1,0,0,3,1,0,0,0,6,3,1,3,2,0,0,6,11,0,1,29,10,11,4,4,0,0,3,0,10,6,1,2,0,4,0,1,0,0,4,0,4,9,0,3,2,23,9,1,1,3,2,1,3
"Ant30",1,19,1,0,12,0,8,11,4,2,0,25,1,9,15,16,4,1,0,21,2,1,37,0,5,3,5,1,0,0,8,1,0,10,0,35,12,0,2,0,13,2,14,9,0,2,0,0,14,0,4,0,0,0,21,26,0,2,0,0,0,15,0,0,0,3,2,0,0,24,0,0,1,6,0,2,7,5,2,8,42,0,22,23,4,5,2,0,15,1,6,0,1,0,0,1,0,7,2,1,17,8,11,7,4,0,5,4,2,0
"Ant38",8,19,0,4,20,2,8,18,6,0,25,0,8,13,6,8,8,2,1,28,3,7,10,0,5,6,2,1,1,0,13,7,2,13,0,10,25,3,1,0,15,1,14,10,1,7,0,1,3,1,19,0,2,0,9,24,1,0,1,1,2,14,1,2,0,0,5,1,1,16,0,3,4,22,0,5,8,9,2,9,16,0,6,6,6,2,3,5,21,0,2,0,1,0,5,0,0,15,5,2,9,2,18,4,6,1,7,11,2,1
"Ant60",10,21,1,1,6,1,5,9,11,9,1,8,0,2,5,1,4,2,4,13,15,16,9,0,9,14,4,2,0,1,0,2,3,9,7,6,4,3,1,0,2,13,1,12,0,6,0,8,14,1,4,3,1,3,4,1,0,0,1,1,2,8,0,1,0,12,8,0,3,1,1,0,18,0,1,1,3,0,15,6,0,2,0,6,2,4,1,3,3,1,2,1,3,1,0,1,0,5,19,2,10,0,3,7,3,1,1,4,3,2
"Ant64",15,25,8,1,14,3,7,9,6,11,9,13,2,0,11,19,4,0,3,18,17,5,4,1,9,3,7,6,0,8,6,1,2,30,1,13,36,4,5,0,6,11,12,13,2,4,1,4,6,1,42,1,1,1,2,10,0,1,1,1,4,4,1,5,3,2,10,3,2,5,3,1,5,6,4,7,17,1,4,7,2,1,0,5,0,4,4,1,32,0,8,0,1,3,2,3,2,6,8,1,5,0,4,6,21,1,6,40,7,0
"Ant73",19,32,0,1,2,1,11,3,11,3,15,6,5,11,0,2,8,1,0,9,2,21,50,1,6,5,7,0,0,0,10,2,0,8,1,2,16,0,0,0,5,4,7,2,0,6,0,3,5,1,6,3,1,0,7,20,7,0,0,0,0,10,0,0,3,0,5,1,1,15,2,0,5,6,0,1,12,6,5,13,2,0,3,5,0,8,2,2,32,0,3,0,0,1,2,2,0,5,18,0,2,4,19,10,5,0,1,12,1,1
"Ant76",8,35,0,1,4,2,6,8,2,4,16,8,1,19,2,0,1,5,1,6,4,1,6,0,9,2,15,1,0,0,12,1,0,15,0,4,8,1,1,1,16,3,3,17,0,8,0,1,1,0,9,1,1,1,10,15,1,0,0,0,2,2,0,1,0,3,4,3,2,4,3,0,8,2,0,1,4,2,6,2,8,0,15,10,5,1,4,3,20,0,7,1,2,0,0,0,0,3,9,0,4,1,4,5,6,0,2,17,2,1
"Ant148",0,10,1,0,6,0,24,7,4,0,4,8,4,4,8,1,0,6,2,18,3,0,50,0,1,1,0,0,0,0,12,1,0,18,0,22,9,0,0,0,38,0,11,21,0,2,1,0,3,0,13,0,0,0,29,48,0,2,0,0,0,17,0,0,0,0,0,0,0,23,0,0,2,8,0,0,5,4,3,2,22,0,17,16,15,3,2,0,7,0,2,0,1,0,0,0,0,31,5,0,12,4,11,2,4,0,0,6,0,2
"Ant158",4,4,0,7,1,2,2,0,0,7,1,2,2,0,1,5,6,0,5,3,14,6,5,3,8,16,7,0,0,7,4,5,5,0,12,1,4,1,3,0,0,12,0,3,2,6,1,5,2,2,2,0,0,7,3,0,2,4,0,4,2,1,4,3,0,0,2,4,2,1,1,1,1,1,1,2,12,5,16,1,0,4,0,2,0,3,4,3,1,2,7,1,4,0,1,12,1,3,4,2,1,2,2,2,0,2,2,5,2,1
"Ant191",6,0,14,6,0,5,3,0,4,3,0,1,4,3,0,1,2,5,0,4,4,1,1,8,8,5,0,8,1,19,1,1,13,1,20,0,1,17,3,11,2,8,1,0,18,5,3,13,8,9,0,11,12,1,3,0,4,20,11,10,23,0,18,6,11,0,1,14,2,3,10,26,1,0,16,11,6,1,3,6,0,17,0,1,2,2,1,1,1,6,3,1,5,4,18,5,14,0,2,4,1,6,4,2,1,28,12,4,8,1
"Ant196",16,34,6,8,12,3,58,13,9,12,21,28,13,18,9,6,18,3,4,0,11,8,19,8,30,6,11,3,1,5,13,3,7,10,13,18,7,2,3,2,17,22,18,10,2,8,2,9,12,8,20,1,1,1,23,42,7,0,1,1,0,10,1,0,2,8,9,9,4,12,3,2,11,13,0,16,16,6,2,9,25,3,17,16,10,4,11,2,51,0,12,1,0,4,4,9,4,13,16,10,31,7,5,9,5,1,3,21,8,6
"Ant202",6,5,2,3,4,9,6,1,21,29,2,3,15,17,2,4,3,14,4,11,0,11,8,2,7,12,9,2,0,0,3,0,2,4,1,5,14,4,4,0,3,2,2,18,2,21,4,3,6,1,4,1,2,8,11,2,0,3,0,0,2,5,0,4,0,15,9,0,2,0,0,0,13,7,0,0,7,28,21,3,0,1,3,4,1,16,5,6,7,0,4,2,2,1,0,12,0,1,14,1,8,18,12,6,3,0,3,1,2,2
"Ant209",22,13,2,12,1,4,14,4,18,24,1,7,16,5,21,1,0,6,1,8,11,0,8,8,32,10,8,3,0,5,6,3,7,19,23,5,31,6,14,2,7,17,1,41,5,12,1,7,5,4,4,1,1,4,0,0,2,1,2,1,1,3,3,3,2,10,11,3,0,2,8,1,4,2,4,7,8,15,13,9,2,1,0,4,0,7,4,20,9,2,13,6,0,4,1,2,0,0,6,1,5,13,34,15,0,4,5,11,7,6
