"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant347","Ant353","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant527","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,6,0,1,5,7,0,3,9,21,1,2,9,20,3,4,5,4,6,19,3,14,1,3,0,10,5,2,3,12,10,7,4,9,7,3,15,2,3,3,1,7,2,3,2,3,4,12,10,2,6,4,4,4,0,0,7,3,4,1,9,3,3,18,1,0,6,41,12,8,0,1,1,0,5,3,1,9,3,3,0,3,0,2,0,3,2,2,5,2,4,0,4,0,0,2,6,2,3,10,6,0,6,7,4,1,6,19,10,3
"Ant260",6,0,2,0,19,0,0,7,0,15,11,51,0,20,9,26,8,6,1,24,3,8,2,2,5,11,25,2,0,1,27,2,0,64,2,14,43,1,8,0,58,6,17,34,0,19,3,1,2,0,42,0,1,1,21,22,13,0,0,2,6,11,0,4,0,4,3,18,6,18,1,2,5,9,0,0,27,12,1,5,14,2,7,17,0,5,3,10,71,0,10,0,4,2,1,0,4,7,30,1,9,8,24,49,73,1,1,56,4,0
"Ant52",0,2,0,7,0,5,0,0,1,0,0,1,3,4,0,0,0,1,11,2,1,0,3,12,2,14,1,7,44,0,0,13,16,0,7,0,3,31,4,14,1,11,1,3,10,1,8,5,5,6,0,11,14,4,0,0,9,13,11,9,4,0,8,1,43,0,1,10,2,0,13,30,0,0,17,18,0,4,1,0,0,13,0,0,0,0,3,1,0,7,2,12,6,50,2,18,0,1,1,4,1,4,0,1,0,14,13,1,10,7
"Ant540",1,0,7,0,0,3,0,0,8,3,1,3,3,1,4,0,0,3,2,8,7,1,0,8,1,5,3,10,0,10,5,4,9,0,9,2,6,8,6,3,0,10,0,4,2,11,7,6,1,1,2,9,5,11,0,0,9,6,2,5,5,1,12,4,4,0,0,4,3,0,9,0,7,0,10,8,1,3,0,0,0,12,0,0,0,2,6,0,2,2,4,3,9,1,3,9,8,0,2,4,0,11,0,1,0,1,6,2,3,6
"Ant6",5,19,0,0,0,0,39,9,4,10,6,36,1,0,9,4,10,10,0,32,1,1,30,0,5,4,0,2,0,2,11,0,1,14,1,3,11,0,0,0,15,0,17,28,0,2,0,2,5,1,10,0,0,0,29,32,0,0,0,0,0,11,0,1,0,15,2,0,1,23,0,0,4,22,0,0,6,8,2,8,8,0,48,16,8,5,1,8,19,0,1,0,3,0,0,0,0,5,3,4,17,0,11,7,5,0,0,1,3,0
"Ant7",7,0,5,3,0,0,0,0,0,0,1,2,0,1,2,0,0,11,3,0,1,7,0,2,2,4,2,5,5,8,3,6,8,0,2,3,0,14,1,4,1,7,0,1,4,4,5,3,5,3,2,8,10,8,0,0,7,9,12,2,6,0,5,1,13,0,5,13,0,0,9,8,6,0,15,2,0,1,3,0,0,4,0,1,0,1,4,0,0,1,2,3,0,5,2,1,2,0,9,9,2,0,2,0,2,5,6,4,5,10
"Ant9",0,0,0,0,39,0,0,5,0,0,13,21,0,0,0,16,52,0,0,27,0,0,138,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,4,91,0,0,0,0,0,0,6,0,0,0,42,26,0,0,0,0,0,7,0,0,0,16,0,0,0,26,0,0,0,24,0,0,0,0,0,0,27,0,95,7,45,0,0,0,13,0,0,0,0,0,0,0,0,10,0,0,16,0,0,0,0,0,0,0,0,0
"Ant14",3,7,0,0,9,0,5,0,0,2,13,10,2,3,7,7,22,2,0,5,1,1,16,0,0,8,7,0,0,0,9,0,1,10,1,6,8,0,0,0,11,2,6,9,0,3,0,1,9,0,7,0,0,0,9,24,0,0,0,1,0,10,0,1,0,12,1,2,4,11,0,0,5,5,0,0,8,4,0,3,16,1,9,20,3,4,3,5,15,0,1,0,0,0,0,0,0,3,4,2,2,1,8,4,4,0,0,3,0,0
"Ant19",9,0,1,8,4,0,0,0,0,3,4,17,5,3,14,3,5,1,3,16,22,4,3,0,6,10,6,5,1,6,5,6,0,16,8,1,10,0,8,3,1,3,4,6,2,5,7,3,0,1,5,0,2,0,2,6,0,1,1,1,0,1,0,5,2,0,6,8,11,3,1,0,39,9,1,8,10,12,3,8,0,0,0,6,0,6,12,7,0,0,8,1,2,0,2,4,6,1,3,0,17,13,5,2,3,1,5,7,10,1
"Ant26",21,15,0,3,10,0,0,2,3,0,12,22,8,3,15,5,4,1,0,20,9,8,0,1,7,3,10,1,1,0,9,0,1,13,2,20,19,1,2,0,4,16,11,11,0,8,0,5,1,0,15,2,0,0,5,6,1,0,3,4,0,3,8,10,2,0,11,10,6,6,0,0,18,8,0,0,18,9,1,8,1,6,0,6,1,7,4,14,14,0,3,0,0,0,1,0,0,8,10,0,20,0,45,7,11,0,5,2,4,1
