"","Ant4","Ant540","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant76","Ant191","Ant202","Ant268","Ant518","Ant0","Ant23","Ant29","Ant32","Ant42","Ant44","Ant55","Ant63","Ant97","Ant109","Ant115","Ant117","Ant127","Ant139","Ant153","Ant156","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant242","Ant243","Ant255","Ant294","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant501","Ant538","Ant560","Ant564","Ant593"
"Ant4",0,5,5,0,0,2,7,1,5,1,18,0,3,3,6,11,2,7,1,6,6,27,1,1,5,5,3,7,0,2,4,11,10,7,7,5,0,5,0,0,0,1,2,1,18,1,1,5,4,4,7,4,4,15
"Ant540",5,0,0,0,0,0,1,1,2,25,3,1,2,4,1,1,0,1,0,0,0,3,0,0,1,0,5,2,6,3,2,2,8,14,3,9,6,2,0,0,0,0,0,0,2,4,2,0,22,0,1,1,0,0
"Ant19",5,0,0,16,0,18,7,9,7,2,12,1,6,1,47,4,12,5,10,12,8,12,8,11,17,1,3,12,1,1,6,4,5,8,11,10,1,0,18,0,0,16,17,3,9,0,1,32,0,6,2,9,17,15
"Ant26",0,0,16,0,0,20,44,4,19,0,16,0,6,1,14,0,25,14,16,15,4,5,21,14,9,2,0,0,0,0,7,5,2,0,0,4,0,1,0,0,0,26,15,1,6,0,2,30,0,9,0,4,30,9
"Ant30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant38",2,0,18,20,0,0,10,13,21,1,28,1,18,0,18,0,49,29,4,23,3,6,32,13,4,1,0,0,1,1,17,1,1,5,3,3,1,1,5,1,9,25,116,1,10,0,5,28,4,9,1,52,45,14
"Ant60",7,1,7,44,0,10,0,15,14,0,7,0,31,2,17,0,15,10,9,10,10,3,22,12,8,1,0,0,3,2,17,2,7,0,7,5,0,0,25,0,0,31,37,6,0,0,2,17,1,32,0,17,22,15
"Ant64",1,1,9,4,0,13,15,0,12,1,15,1,6,2,20,3,14,16,2,28,6,0,15,5,4,0,4,10,9,3,1,3,0,14,1,3,0,1,8,0,0,15,2,1,0,0,3,16,8,14,7,5,25,1
"Ant76",5,2,7,19,0,21,14,12,0,0,18,1,19,1,22,4,25,22,2,20,1,10,5,27,3,5,0,7,1,1,25,2,0,1,1,0,0,1,4,14,4,46,17,0,7,0,5,21,1,6,3,34,11,7
"Ant191",1,25,2,0,0,1,0,1,0,0,2,10,1,9,4,18,0,3,2,4,5,0,0,0,0,8,17,13,9,8,0,12,6,11,4,6,21,6,3,0,0,1,2,5,0,9,0,0,10,2,12,0,0,1
"Ant202",18,3,12,16,0,28,7,15,18,2,0,4,10,8,18,8,7,39,12,11,10,17,6,2,22,9,5,13,1,3,13,15,7,14,9,4,1,3,15,0,0,3,23,3,15,3,6,29,9,9,5,24,20,28
"Ant268",0,1,1,0,0,1,0,1,1,10,4,0,0,2,2,1,0,2,1,1,1,5,1,0,3,0,0,8,0,14,0,2,0,3,1,7,6,4,8,0,0,2,2,4,3,4,0,1,0,6,0,1,1,0
"Ant518",3,2,6,6,0,18,31,6,19,1,10,0,0,0,15,1,6,19,6,11,3,4,9,12,6,6,0,0,0,0,10,3,0,0,2,1,0,1,8,0,0,25,11,0,5,0,1,4,2,16,2,13,22,4
"Ant0",3,4,1,1,0,0,2,2,1,9,8,2,0,0,1,1,0,1,0,1,1,4,1,0,1,2,6,0,1,4,0,0,4,3,2,1,5,4,0,0,0,0,0,2,0,0,3,1,9,5,17,1,0,0
"Ant23",6,1,47,14,0,18,17,20,22,4,18,2,15,1,0,4,10,24,10,12,0,22,11,9,12,3,1,4,0,0,8,0,0,9,4,7,0,2,21,0,0,4,53,0,12,0,4,29,4,13,2,53,14,17
"Ant29",11,1,4,0,0,0,0,3,4,18,8,1,1,1,4,0,0,5,5,2,5,16,0,1,5,8,5,3,2,1,1,7,12,16,4,4,2,9,9,0,0,0,0,5,7,0,1,0,8,5,9,5,2,7
"Ant32",2,0,12,25,0,49,15,14,25,0,7,0,6,0,10,0,0,11,8,7,0,1,3,7,0,0,0,2,0,0,4,2,1,4,5,2,0,0,0,1,29,16,37,1,2,0,15,21,0,3,0,26,24,4
"Ant42",7,1,5,14,0,29,10,16,22,3,39,2,19,1,24,5,11,0,8,13,5,25,13,3,9,3,1,12,2,1,19,1,3,14,12,3,0,3,8,0,0,8,56,4,24,2,8,21,8,5,7,31,24,15
"Ant44",1,0,10,16,0,4,9,2,2,2,12,1,6,0,10,5,8,8,0,20,12,8,1,2,7,1,1,1,1,0,0,9,1,2,1,2,4,2,0,5,9,12,7,0,3,3,9,4,2,11,0,3,8,5
