"","Ant4","Ant260","Ant52","Ant540","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant518","Ant0","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant115","Ant117","Ant127","Ant137","Ant139","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant492","Ant501","Ant507","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,2,0,0,0,2,4,4,5,0,0,0,1,0,0,0,16,0,4,1,6,0,11,3,1,0,6,0,1,4,3,5,15,5,12,0,3,6,1,5,5,2,2,0,0,0,1,1,5,0,0,4,0,2,6,0,0,0,0,4,0,0,0,0,8,0,1,4,3,5,0,0,4,6,0,10,4
"Ant260",2,0,1,0,1,4,4,36,28,8,7,2,14,3,24,1,7,9,0,32,17,0,22,5,1,2,8,14,18,22,0,15,20,10,5,41,7,3,1,0,3,1,2,5,2,29,1,9,1,5,3,0,0,1,1,20,18,16,0,5,20,27,22,0,6,0,7,11,2,4,5,0,2,2,7,36,10
"Ant52",0,1,0,0,3,12,1,7,1,1,2,0,1,0,1,4,5,0,0,1,3,4,6,8,4,0,3,0,3,5,7,0,1,0,0,0,8,7,8,11,4,5,5,3,13,6,0,5,2,19,0,4,0,23,2,0,4,9,0,3,0,5,3,1,1,3,1,1,13,1,3,0,15,9,0,3,5
"Ant540",0,0,0,0,0,1,2,0,1,0,4,0,0,0,0,2,0,0,4,0,0,5,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0,1,8,1,3,0,0,0,0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,0,2,0,1,4,0,0,0
"Ant7",0,1,3,0,0,0,0,0,0,1,0,2,0,0,0,5,4,0,1,1,1,1,2,0,1,0,0,0,0,5,0,1,0,0,1,0,1,2,2,3,1,3,2,0,0,0,7,4,1,0,0,1,0,0,4,2,2,1,0,0,1,0,1,1,6,1,0,0,1,0,0,0,1,6,0,0,2
"Ant19",2,4,12,1,0,0,4,3,20,3,12,3,1,0,0,1,7,0,1,1,7,4,4,2,0,0,2,2,2,7,5,11,10,6,4,0,1,8,4,5,2,3,1,0,1,3,9,1,1,0,0,2,0,1,10,2,5,6,0,2,0,0,4,4,10,2,1,4,1,2,2,0,0,4,2,10,6
"Ant26",4,4,1,2,0,4,0,12,1,4,3,0,1,7,4,10,5,12,1,1,5,2,2,0,1,2,4,0,16,3,1,21,4,1,0,1,7,5,8,0,15,1,4,3,0,4,3,0,2,0,5,2,0,3,11,1,12,0,0,5,1,2,1,0,12,0,5,5,0,1,3,0,6,4,1,0,0
"Ant30",4,36,7,0,0,3,12,0,24,10,19,17,12,39,26,0,3,77,0,58,14,1,7,6,0,24,5,11,5,0,2,6,24,44,1,18,0,2,1,0,13,0,0,0,0,24,0,0,0,2,0,0,4,0,7,29,13,28,90,28,21,24,47,1,0,0,0,4,0,50,0,34,1,0,31,10,1
"Ant38",5,28,1,1,0,20,1,24,0,11,10,8,22,18,32,0,3,23,0,11,16,0,10,8,1,13,9,11,24,8,1,4,21,16,8,30,6,2,2,7,8,0,0,1,1,17,6,3,5,0,11,2,19,1,3,23,6,10,31,7,19,10,19,1,2,0,6,9,0,49,5,15,0,2,26,12,2
"Ant60",0,8,1,0,1,3,4,10,11,0,1,8,6,3,14,0,3,9,1,11,2,0,4,0,1,13,1,0,3,0,0,9,5,8,1,7,6,1,3,0,4,1,1,2,0,3,9,3,7,7,4,3,0,2,1,10,11,15,0,4,0,2,25,0,1,0,4,10,0,9,2,2,2,3,10,8,20
"Ant64",0,7,2,4,0,12,3,19,10,1,0,7,4,0,4,2,2,3,2,64,3,3,7,15,2,1,2,1,1,5,5,5,14,15,2,17,12,0,2,0,3,0,4,2,4,3,2,0,6,3,3,1,0,3,5,26,18,22,0,12,4,5,27,2,6,5,0,1,4,10,1,0,3,1,20,4,2
"Ant73",0,2,0,0,2,3,0,17,8,8,7,0,6,11,11,0,1,18,0,6,2,0,0,2,0,9,0,1,1,0,0,6,3,22,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,15,9,6,61,3,1,13,31,1,1,0,1,2,0,18,0,18,0,0,11,10,0
"Ant76",1,14,1,0,0,1,1,12,22,6,4,6,0,8,22,0,0,57,0,22,6,0,7,6,0,6,0,1,14,0,0,12,17,14,3,10,3,1,0,0,3,0,0,2,0,1,3,24,0,0,4,0,0,0,1,26,22,14,12,5,12,30,18,0,1,0,0,3,2,4,0,15,0,0,9,5,4
"Ant148",0,3,0,0,0,0,7,39,18,3,0,11,8,0,7,0,0,51,0,4,1,0,1,0,0,7,0,2,7,0,0,0,0,15,0,4,2,0,2,0,0,0,0,0,0,8,0,0,2,0,0,0,11,0,0,25,12,0,6,0,4,23,2,0,0,0,5,0,0,36,0,3,0,0,1,1,0
"Ant158",0,24,1,0,0,0,4,26,32,14,4,11,22,7,0,0,1,20,0,15,2,0,2,9,0,9,0,17,18,1,0,3,14,14,1,15,1,0,0,1,0,1,0,0,0,4,3,3,0,1,3,0,3,0,0,17,25,12,15,14,14,13,6,0,0,0,0,0,0,20,1,15,0,0,5,6,2
"Ant191",0,1,4,2,5,1,10,0,0,0,2,0,0,0,0,0,0,2,6,0,0,2,0,3,7,0,2,0,0,0,0,3,2,0,0,0,0,1,2,2,0,5,2,6,2,0,1,0,5,4,0,7,0,6,2,1,0,0,0,0,0,0,0,22,2,3,1,0,6,0,2,0,0,7,2,2,1
"Ant202",16,7,5,0,4,7,5,3,3,3,2,1,0,0,1,0,0,0,5,3,20,1,1,9,3,0,48,0,5,5,7,15,16,2,3,1,6,10,1,8,7,8,2,5,2,0,17,11,9,1,6,4,0,8,2,3,1,3,0,2,0,10,10,0,15,3,3,16,6,0,9,0,2,45,1,4,22
"Ant209",0,9,0,0,0,0,12,77,23,9,3,18,57,51,20,2,0,0,0,20,14,2,7,14,0,39,0,24,20,0,0,2,38,47,0,24,0,0,0,2,0,0,0,0,0,36,0,0,3,0,0,0,8,0,0,13,22,8,32,39,37,18,4,0,0,0,2,0,0,14,0,65,4,0,15,3,0
"Ant268",4,0,0,4,1,1,1,0,0,1,2,0,0,0,0,6,5,0,0,0,2,1,3,4,1,0,0,0,0,1,5,2,2,0,0,0,0,0,0,6,0,5,0,1,0,0,2,0,4,3,0,0,0,1,1,2,0,0,0,2,0,1,0,0,1,0,1,1,2,0,3,0,3,8,1,3,0
"Ant308",1,32,1,0,1,1,1,58,11,11,64,6,22,4,15,0,3,20,0,0,3,0,0,2,0,4,0,0,8,2,0,22,23,6,2,6,5,0,0,0,1,1,0,0,0,3,0,0,2,5,2,0,9,0,4,38,7,23,34,7,4,18,82,1,1,0,9,0,6,33,1,5,0,0,42,14,0
"Ant518",6,17,3,0,1,7,5,14,16,2,3,2,6,1,2,0,20,14,2,3,0,0,9,9,0,4,12,9,3,4,5,12,13,6,6,9,16,3,2,1,4,1,1,3,0,4,4,8,7,2,6,5,0,0,3,2,1,2,9,28,4,14,8,0,5,0,1,6,4,6,4,3,0,5,5,2,4
"Ant0",0,0,4,5,1,4,2,1,0,0,3,0,0,0,0,2,1,2,1,0,0,0,0,0,8,0,1,0,1,0,3,0,1,0,0,0,0,0,1,0,2,2,0,5,5,0,6,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,2,6,0,1,0,2,0,6,4,2,1,2
"Ant23",11,22,6,0,2,4,2,7,10,4,7,0,7,1,2,0,1,7,3,0,9,0,0,20,2,2,1,2,17,4,5,10,10,4,11,10,5,2,3,4,4,2,0,5,0,1,1,10,4,6,7,6,0,0,3,7,3,10,2,14,2,4,11,0,8,2,5,4,3,4,3,6,1,4,6,4,7
"Ant27",3,5,8,0,0,2,0,6,8,0,15,2,6,0,9,3,9,14,4,2,9,0,20,0,1,3,4,5,20,4,2,7,12,4,6,5,7,7,0,9,1,4,0,1,0,3,8,0,2,2,3,1,3,1,2,6,18,9,2,15,0,12,14,0,4,0,0,1,3,2,0,6,4,12,1,8,13
"Ant29",1,1,4,3,1,0,1,0,1,1,2,0,0,0,0,7,3,0,1,0,0,8,2,1,0,0,9,0,2,0,4,3,6,4,8,0,5,1,6,7,0,7,11,3,4,1,0,3,2,2,0,5,0,1,2,1,6,1,0,1,0,0,2,0,1,0,2,1,4,0,2,0,5,9,1,0,4
"Ant32",0,2,0,0,0,0,2,24,13,13,1,9,6,7,9,0,0,39,0,4,4,0,2,3,0,0,0,17,8,0,0,0,9,27,0,5,0,0,0,1,2,0,0,0,0,3,0,0,1,0,0,0,3,0,1,0,0,4,36,16,16,28,6,0,2,0,1,0,0,8,0,34,0,0,2,0,0
"Ant42",6,8,3,0,0,2,4,5,9,1,2,0,0,0,0,2,48,0,0,0,12,1,1,4,9,0,0,0,10,11,6,19,16,3,6,0,7,12,3,2,10,4,0,0,0,1,7,0,6,0,4,1,0,3,1,0,2,0,0,4,0,1,2,0,16,7,3,11,2,3,2,0,2,26,0,11,9
"Ant43",0,14,0,0,0,2,0,11,11,0,1,1,1,2,17,0,0,24,0,0,9,0,2,5,0,17,0,0,16,0,0,0,3,68,0,2,0,3,0,0,1,0,0,0,0,2,0,0,0,0,1,0,11,0,0,2,0,2,17,3,6,15,3,0,1,0,0,0,0,18,1,27,0,0,2,3,0
"Ant44",1,18,3,0,0,2,16,5,24,3,1,1,14,7,18,0,5,20,0,8,3,1,17,20,2,8,10,16,0,5,0,4,7,14,5,5,13,4,0,3,9,1,0,1,0,0,0,3,15,1,0,0,8,3,1,14,10,8,9,13,16,5,6,0,1,0,6,7,2,7,0,17,0,4,5,9,6
"Ant55",4,22,5,0,5,7,3,0,8,0,5,0,0,0,1,0,5,0,1,2,4,0,4,4,0,0,11,0,5,0,0,3,15,2,1,2,15,2,4,3,8,0,1,2,6,4,3,4,2,0,4,0,0,5,3,10,2,0,0,0,1,2,6,1,10,4,4,3,5,1,1,0,6,6,1,2,7
"Ant63",3,0,7,1,0,5,1,2,1,0,5,0,0,0,0,0,7,0,5,0,5,3,5,2,4,0,6,0,0,0,0,3,4,2,12,0,6,4,8,4,3,3,3,10,1,1,18,9,5,0,1,11,0,9,2,0,2,1,0,0,0,1,0,1,0,8,3,1,3,0,0,0,3,11,0,2,0
"Ant97",5,15,0,0,1,11,21,6,4,9,5,6,12,0,3,3,15,2,2,22,12,0,10,7,3,0,19,0,4,3,3,0,8,1,12,12,6,3,4,3,6,0,1,7,2,22,9,1,2,0,9,0,0,1,7,27,3,17,0,14,3,13,25,0,3,3,2,5,0,5,1,0,3,4,3,7,4
"Ant98",15,20,1,0,0,10,4,24,21,5,14,3,17,0,14,2,16,38,2,23,13,1,10,12,6,9,16,3,7,15,4,8,0,20,6,14,8,8,5,4,12,3,0,0,3,6,5,7,4,5,15,2,3,5,4,13,12,10,7,8,14,14,46,0,5,4,8,22,5,8,0,10,3,7,17,19,8
"Ant100",5,10,0,0,0,6,1,44,16,8,15,22,14,15,14,0,2,47,0,6,6,0,4,4,4,27,3,68,14,2,2,1,20,0,0,13,2,5,8,3,10,3,0,1,1,11,3,0,0,0,8,0,27,0,3,2,7,14,61,35,9,17,4,0,4,2,3,10,1,87,0,27,0,5,9,5,2
"Ant109",12,5,0,0,1,4,0,1,8,1,2,0,3,0,1,0,3,0,0,2,6,0,11,6,8,0,6,0,5,1,12,12,6,0,0,0,10,2,1,1,6,4,0,2,3,3,3,1,9,1,1,3,0,1,17,0,2,4,0,2,0,0,1,0,6,1,0,2,2,0,0,0,2,2,2,14,3
