"","Ant4","Ant260","Ant52","Ant540","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant518","Ant0","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant115","Ant117","Ant127","Ant137","Ant139","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant492","Ant501","Ant507","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,12,0,0,1,6,6,0,3,9,3,1,9,0,0,2,5,2,0,0,4,6,2,2,1,2,7,0,2,4,3,7,3,0,6,6,15,3,2,2,7,5,1,8,3,5,3,0,7,6,0,0,0,9,19,0,1,12,0,11,0,15,8,1,6,5,2,5,3,2,0,4,4,12,4,15,0
"Ant260",12,0,2,0,5,6,2,3,23,23,20,11,12,0,8,5,3,3,2,11,7,3,13,6,3,8,14,0,1,10,9,3,13,17,3,17,7,11,9,0,2,3,0,1,5,10,5,9,4,3,7,0,0,2,8,40,5,13,0,15,0,55,4,3,18,1,13,19,1,2,0,2,4,15,7,9,6
"Ant52",0,2,0,3,6,0,10,1,0,2,7,0,5,0,0,0,18,0,3,0,2,4,2,3,10,0,5,0,3,0,7,0,0,0,4,0,13,6,6,4,11,8,3,8,14,2,8,8,5,2,1,1,0,8,6,0,8,3,0,2,0,2,0,12,9,7,10,4,0,0,12,0,14,21,3,14,5
"Ant540",0,0,3,0,0,0,1,0,1,1,4,0,0,0,1,5,1,0,1,0,1,5,4,0,0,0,0,0,0,3,3,2,1,2,1,0,8,9,2,0,1,2,0,0,1,1,0,2,0,3,0,0,0,2,0,3,2,1,0,4,0,2,2,0,0,1,0,2,1,0,2,0,9,5,0,4,0
"Ant7",1,5,6,0,0,3,8,0,7,2,5,0,3,0,0,1,6,1,1,1,0,1,5,7,0,2,6,0,1,2,8,1,2,0,2,0,0,1,3,12,6,1,3,4,1,0,3,5,4,0,0,0,0,2,2,0,1,0,0,2,0,1,0,0,2,3,2,5,1,1,0,1,8,7,3,2,3
"Ant19",6,6,0,0,3,0,14,2,11,4,4,1,3,0,0,1,3,3,15,14,12,0,11,7,8,0,6,0,10,6,0,7,3,8,8,4,4,1,3,1,7,1,3,19,2,4,4,0,2,0,1,0,0,12,14,7,10,5,0,3,0,1,8,2,3,8,1,3,5,6,2,0,1,2,4,8,2
"Ant26",6,2,10,1,8,14,0,9,5,9,5,6,4,0,1,1,5,8,2,15,9,0,18,21,7,0,12,5,10,0,1,4,3,0,12,5,5,3,6,2,3,1,1,3,1,5,4,9,2,1,0,0,0,3,5,7,2,0,0,1,0,17,13,0,8,3,3,3,5,0,2,1,1,7,11,8,3
"Ant30",0,3,1,0,0,2,9,0,13,0,4,34,28,53,33,2,3,108,0,13,8,0,5,19,0,29,0,47,16,4,0,23,6,80,2,13,0,0,2,0,0,0,0,0,0,20,8,0,0,0,0,0,60,0,1,14,8,4,125,31,42,11,49,0,3,0,1,4,0,23,5,72,0,4,53,1,0
"Ant38",3,23,0,1,7,11,5,13,0,4,20,15,34,0,11,4,3,12,1,20,17,0,26,5,5,10,9,9,15,12,3,22,30,17,3,17,8,7,3,5,24,3,1,4,0,17,2,0,8,2,17,1,3,2,10,39,14,21,6,20,25,23,54,4,5,0,1,2,10,28,3,12,2,4,40,16,7
"Ant60",9,23,2,1,2,4,9,0,4,0,15,5,9,0,4,0,4,1,2,4,8,1,3,0,4,0,5,1,0,5,1,1,2,7,0,3,6,0,8,1,6,2,0,4,2,7,2,7,12,2,1,0,0,4,1,9,9,5,0,0,0,4,14,0,4,0,6,5,0,4,6,2,3,4,6,2,1
