"","Ant4","Ant540","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant76","Ant191","Ant202","Ant268","Ant518","Ant0","Ant23","Ant29","Ant32","Ant42","Ant44","Ant55","Ant63","Ant97","Ant109","Ant115","Ant117","Ant127","Ant139","Ant153","Ant156","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant242","Ant243","Ant255","Ant294","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant501","Ant538","Ant560","Ant564","Ant593"
"Ant117",11,8,43,12,0,17,12,18,11,3,29,17,16,5,20,10,2,12,33,7,4,11,12,16,0,15,1,7,5,1,21,15,11,10,9,0,2,2,16,2,6,28,46,2,14,3,12,38,10,24,5,26,8,12
"Ant127",2,0,1,4,0,1,0,17,2,3,21,0,0,0,10,14,0,5,1,3,4,15,3,0,15,0,0,0,5,14,1,3,2,0,0,8,0,8,2,0,0,0,22,1,21,0,2,6,6,2,2,4,3,2
"Ant139",0,17,1,0,0,1,0,1,0,2,2,2,0,18,2,4,0,1,0,0,0,3,1,0,1,0,0,1,15,26,1,12,11,5,1,6,30,8,1,0,0,0,0,2,7,5,1,1,11,0,21,2,0,0
"Ant153",10,2,2,2,0,1,0,7,0,2,10,5,11,6,8,13,0,2,5,2,5,30,4,1,7,0,1,0,7,2,8,8,5,25,5,2,1,8,1,0,0,4,0,0,30,3,4,7,14,4,3,5,9,6
"Ant156",2,21,1,0,0,0,0,3,0,51,0,12,2,13,1,6,0,2,0,1,4,3,0,0,5,5,15,7,0,6,0,13,6,6,4,1,33,5,3,0,0,1,15,2,8,17,2,0,14,12,18,3,1,4
"Ant173",1,6,1,0,0,1,2,3,0,7,4,8,1,19,0,5,0,1,1,0,3,3,1,1,1,14,26,2,6,0,0,6,11,3,3,2,23,4,1,0,0,2,2,5,1,10,0,3,11,2,12,0,0,2
"Ant176",6,3,24,22,0,30,6,23,13,0,13,1,24,2,13,3,2,21,14,15,10,19,18,7,21,1,1,8,0,0,0,7,1,9,3,10,0,9,3,0,5,40,38,0,8,1,4,19,1,3,4,25,9,18
"Ant178",4,11,4,3,0,0,2,3,0,2,10,10,4,1,1,7,0,5,2,2,24,8,3,1,15,3,12,8,13,6,7,0,11,30,6,8,3,4,13,0,0,1,3,1,16,5,9,2,17,7,6,4,4,19
"Ant190",4,3,0,0,0,1,0,2,0,6,4,4,3,5,2,4,0,3,0,0,10,19,0,0,11,2,11,5,6,11,1,11,0,14,7,4,8,15,3,0,0,0,2,0,16,7,6,0,11,0,15,2,5,12
"Ant207",9,16,3,4,0,3,0,20,0,3,11,13,7,2,4,18,0,5,12,0,7,38,3,0,10,0,5,25,6,3,9,30,14,0,4,13,8,25,14,0,0,1,10,2,25,10,14,13,11,11,17,12,11,13
"Ant215",3,6,2,3,0,0,1,11,0,1,7,3,1,7,1,3,0,4,0,4,5,3,0,0,9,0,1,5,4,3,3,6,7,4,0,15,0,1,4,0,0,1,5,2,3,2,2,4,1,6,5,3,5,2
"Ant218",1,7,15,3,0,7,0,24,2,5,22,0,1,3,6,17,12,6,15,6,2,8,2,0,0,8,6,2,1,2,10,8,4,13,15,0,1,7,0,0,0,11,23,4,5,3,0,5,6,0,3,10,4,13
"Ant219",2,7,0,0,0,0,0,0,0,9,2,1,0,3,0,1,0,0,0,0,3,2,0,0,2,0,30,1,33,23,0,3,8,8,0,1,0,0,0,0,0,0,0,0,2,9,0,0,1,0,10,0,0,1
"Ant242",17,4,1,2,0,0,3,18,2,3,5,10,5,1,7,46,2,1,13,3,4,11,5,3,2,8,8,8,5,4,9,4,15,25,1,7,0,0,4,0,0,4,15,7,17,3,4,3,9,28,15,4,7,12
"Ant243",8,7,16,9,0,3,19,0,1,0,18,9,12,4,10,6,0,3,9,5,13,15,32,8,16,2,1,1,3,1,3,13,3,14,4,0,0,4,0,0,0,8,6,3,10,2,7,6,7,24,6,5,8,6
"Ant255",0,0,0,0,0,8,1,0,15,0,0,0,8,0,3,0,0,0,5,3,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ant294",0,0,0,0,0,37,10,0,38,0,3,0,4,0,1,0,7,0,4,8,0,0,0,20,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,2,0
"Ant347",5,0,25,34,0,15,26,12,10,0,11,1,20,0,13,3,17,17,26,36,2,5,16,18,28,0,0,4,1,2,40,1,0,1,1,11,0,4,8,1,15,0,18,1,6,0,1,19,0,6,0,32,19,3
"Ant356",3,1,47,16,0,59,20,48,9,3,25,2,13,3,56,12,9,29,15,11,2,14,10,7,46,22,0,0,15,2,38,3,2,10,5,23,0,15,6,0,0,18,0,1,11,1,4,33,7,4,4,25,29,11
"Ant380",1,4,0,1,0,0,0,1,0,17,0,1,0,5,0,0,0,1,1,0,1,0,2,0,2,1,2,0,2,5,0,1,0,2,2,4,0,7,3,0,0,1,1,0,1,3,1,0,6,1,3,0,0,1
"Ant387",13,2,8,2,0,1,1,14,0,5,11,5,14,2,10,9,0,25,11,7,10,117,3,0,14,21,7,30,8,1,8,16,16,25,3,5,2,17,10,0,0,6,11,1,0,2,36,11,25,29,10,9,33,25
"Ant390",4,9,1,3,0,1,0,5,0,3,3,7,2,11,0,2,0,0,0,2,2,5,1,0,3,0,5,3,17,10,1,5,7,10,2,3,9,3,2,0,0,0,1,3,2,0,0,1,0,5,10,1,1,6
"Ant394",7,2,3,8,0,2,8,2,0,1,12,11,5,1,4,0,0,7,10,0,3,22,8,1,12,2,1,4,2,0,4,9,6,14,2,0,0,4,7,0,0,1,4,1,36,0,0,7,6,7,2,6,6,25
"Ant400",8,0,28,26,0,24,10,26,1,2,12,3,18,4,16,8,0,23,30,19,6,6,13,5,38,6,1,7,0,3,19,2,0,13,4,5,0,3,6,0,0,19,33,0,11,1,7,0,5,5,0,16,26,8
"Ant482",9,8,2,2,0,2,0,6,0,13,6,6,4,1,6,13,0,3,2,0,10,13,2,0,10,6,11,14,14,11,1,17,11,11,1,6,1,9,7,0,0,0,7,6,25,0,6,5,0,8,18,3,2,5
"Ant501",4,0,15,10,0,4,4,5,2,1,39,9,3,2,18,4,5,20,7,7,11,26,12,2,24,2,0,4,12,2,3,7,0,11,6,0,0,28,24,0,0,6,4,1,29,5,7,5,8,0,6,5,9,3
"Ant538",7,7,1,2,0,4,0,2,3,17,6,4,10,3,0,5,0,4,2,0,4,8,0,0,5,2,21,3,18,12,4,6,15,17,5,3,10,15,6,0,0,0,4,3,10,10,2,0,18,6,0,6,2,3
"Ant560",3,3,66,15,0,32,5,24,0,2,35,0,14,0,81,6,0,37,11,6,5,21,20,7,26,4,2,5,3,0,25,4,2,12,3,10,0,4,5,0,0,32,25,0,9,1,6,16,3,5,6,0,15,11
"Ant564",7,2,26,28,0,21,7,50,14,0,13,3,19,1,19,18,7,35,4,13,8,22,18,18,8,3,0,9,1,0,9,4,5,11,5,4,0,7,8,0,2,19,29,0,33,1,6,26,2,9,2,15,0,10
"Ant593",11,4,12,5,0,5,12,12,1,5,9,5,8,0,4,9,0,10,10,9,11,7,15,1,12,2,0,6,4,2,18,19,12,13,2,13,1,12,6,0,0,3,11,1,25,6,25,8,5,3,3,11,10,0
