"","Ant4","Ant540","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant76","Ant191","Ant202","Ant268","Ant518","Ant0","Ant23","Ant29","Ant32","Ant42","Ant44","Ant55","Ant63","Ant97","Ant109","Ant115","Ant117","Ant127","Ant139","Ant153","Ant156","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant242","Ant243","Ant255","Ant294","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant501","Ant538","Ant560","Ant564","Ant593"
"Ant4",0,5,5,3,0,4,0,7,0,2,14,3,9,1,14,14,1,21,11,4,2,17,15,0,11,2,0,10,2,1,6,4,4,9,3,1,2,17,8,0,0,5,3,1,13,4,7,8,9,4,7,3,7,11
"Ant540",5,0,0,1,0,1,0,10,0,4,4,16,0,15,0,5,0,0,1,0,3,7,0,0,8,0,17,2,21,6,3,11,3,16,6,7,7,4,7,0,0,0,1,4,2,9,2,0,8,0,7,3,2,4
"Ant19",5,0,0,24,0,27,18,17,0,2,16,10,26,0,49,3,0,29,23,9,10,9,24,13,43,1,1,2,1,1,24,4,0,3,2,15,0,1,16,0,0,25,47,0,8,1,3,28,2,15,1,66,26,12
"Ant26",3,1,24,0,0,13,26,7,8,2,15,5,23,2,31,0,5,17,24,23,10,12,19,14,12,4,0,2,0,0,22,3,0,4,3,3,0,2,9,0,0,34,16,1,2,3,8,26,2,10,2,15,28,5
"Ant30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant38",4,1,27,13,0,0,6,13,11,0,24,0,37,1,44,1,9,15,10,4,6,3,26,15,17,1,1,1,0,1,30,0,1,3,0,7,0,0,3,8,37,15,59,0,1,1,2,24,2,4,4,32,21,5
"Ant60",0,0,18,26,0,6,0,15,1,0,13,1,14,0,6,0,2,5,16,28,16,1,5,8,12,0,0,0,0,2,6,2,0,0,1,0,0,3,19,1,10,26,20,0,1,0,8,10,0,4,0,5,7,12
"Ant64",7,10,17,7,0,13,15,0,2,4,40,3,19,2,50,10,13,26,6,9,5,13,8,3,18,17,1,7,3,3,23,3,2,20,11,24,0,18,0,0,0,12,48,1,14,5,2,26,6,5,2,24,50,12
"Ant76",0,0,0,8,0,11,1,2,0,0,4,1,3,0,5,1,4,7,5,2,2,1,4,18,11,2,0,0,0,0,13,0,0,0,0,2,0,2,1,15,38,10,9,0,0,0,0,1,0,2,3,0,14,1
"Ant191",2,4,2,2,0,0,0,4,0,0,1,5,0,4,1,5,0,0,0,0,2,0,1,0,3,3,2,2,51,7,0,2,6,3,1,5,9,3,0,0,0,0,3,17,5,3,1,2,13,1,17,2,0,5
"Ant202",14,4,16,15,0,24,13,40,4,1,0,11,17,1,20,8,4,19,10,10,8,3,29,10,29,21,2,10,0,4,13,10,4,11,7,22,2,5,18,0,3,11,25,0,11,3,12,12,6,39,6,35,13,9
"Ant268",3,16,10,5,0,0,1,3,1,5,11,0,9,6,4,15,0,2,2,0,3,6,1,1,17,0,2,5,12,8,1,10,4,13,3,0,1,10,9,0,0,1,2,1,5,7,11,3,6,9,4,0,3,5
"Ant518",9,0,26,23,0,37,14,19,3,0,17,9,0,0,26,4,6,10,24,3,5,12,17,8,16,0,0,11,2,1,24,4,3,7,1,1,0,5,12,8,4,20,13,0,14,2,5,18,4,3,10,14,19,8
"Ant0",1,15,0,2,0,1,0,2,0,4,1,6,0,0,2,3,0,2,0,1,4,2,1,0,5,0,18,6,13,19,2,1,5,2,7,3,3,1,4,0,0,0,3,5,2,11,1,4,1,2,3,0,1,0
"Ant23",14,0,49,31,0,44,6,50,5,1,20,4,26,2,0,10,12,29,32,8,7,9,38,7,20,10,2,8,1,0,13,1,2,4,1,6,0,7,10,3,1,13,56,0,10,0,4,16,6,18,0,81,19,4
"Ant29",14,5,3,0,0,1,0,10,1,5,8,15,4,3,10,0,0,8,4,2,18,14,5,2,10,14,4,13,6,5,3,7,4,18,3,17,1,46,6,0,0,3,12,0,9,2,0,8,13,4,5,6,18,9
"Ant32",1,0,0,5,0,9,2,13,4,0,4,0,6,0,12,0,0,0,6,6,0,0,0,16,2,0,0,0,0,0,2,0,0,0,0,12,0,2,0,0,7,17,9,0,0,0,0,0,0,5,0,0,7,0
"Ant42",21,0,29,17,0,15,5,26,7,0,19,2,10,2,29,8,0,0,8,5,6,34,19,11,12,5,1,2,2,1,21,5,3,5,4,6,0,1,3,0,0,17,29,1,25,0,7,23,3,20,4,37,35,10
"Ant44",11,1,23,24,0,10,16,6,5,0,10,2,24,0,32,4,6,8,0,33,7,9,20,7,33,1,0,5,0,1,14,2,0,12,0,15,0,13,9,5,4,26,15,1,11,0,10,30,2,7,2,11,4,10
"Ant55",4,0,9,23,0,4,28,9,2,0,10,0,3,1,8,2,6,5,33,0,0,9,10,12,7,3,0,2,1,0,15,2,0,0,4,6,0,3,5,3,8,36,11,0,7,2,0,19,0,7,0,6,13,9
"Ant63",2,3,10,10,0,6,16,5,2,2,8,3,5,4,7,18,0,6,7,0,0,3,9,2,4,4,0,5,4,3,10,24,10,7,5,2,3,4,13,0,0,2,2,1,10,2,3,6,10,11,4,5,8,11
"Ant97",17,7,9,12,0,3,1,13,1,0,3,6,12,2,9,14,0,34,9,9,3,0,11,1,11,15,3,30,3,3,19,8,19,38,3,8,2,11,15,0,0,5,14,0,117,5,22,6,13,26,8,21,22,7
"Ant109",15,0,24,19,0,26,5,8,4,1,29,1,17,1,38,5,0,19,20,10,9,11,0,9,12,3,1,4,0,1,18,3,0,3,0,2,0,5,32,0,0,16,10,2,3,1,8,13,2,12,0,20,18,15
"Ant115",0,0,13,14,0,15,8,3,18,0,10,1,8,0,7,2,16,11,7,12,2,1,9,0,16,0,0,1,0,1,7,1,0,0,0,0,0,3,8,8,20,18,7,0,0,0,1,5,0,2,0,7,18,1
