"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant518","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant50","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant142","Ant149","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant232","Ant238","Ant242","Ant243","Ant255","Ant257","Ant263","Ant289","Ant294","Ant298","Ant318","Ant324","Ant332","Ant342","Ant347","Ant353","Ant356","Ant380","Ant387","Ant390","Ant394","Ant395","Ant400","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant507","Ant527","Ant530","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,1,3,1,1,3,0,0,21,1,0,4,10,2,0,0,1,4,2,5,24,12,0,0,3,14,8,2,0,0,1,12,8,2,19,0,1,1,3,0,0,13,3,1,5,20,7,8,11,4,0,1,2,3,0,0,7,2,2,1,2,1,8,2,4,0,0,13,5,2,2,0,4,0,0,4,0,16,0,2,0,9,0,0,0,0,5,0,2,0,18,1,0,6,8,1,0,1,0,4,1,14,4,0,0,2,2,1,13,0
"Ant260",1,0,0,1,10,0,0,3,4,7,11,16,1,6,19,7,1,10,3,16,7,1,0,1,8,7,5,2,0,0,10,6,0,46,1,11,7,0,0,0,26,8,4,40,1,1,0,1,8,0,6,2,0,1,17,6,0,5,0,0,0,4,3,2,3,0,5,0,5,20,0,0,1,6,2,0,5,1,3,12,12,2,3,0,2,1,4,4,16,1,4,0,1,2,0,1,0,21,29,8,11,7,41,27,47,2,0,54,0,0
"Ant52",3,0,0,3,0,5,0,0,1,0,1,0,4,9,0,0,1,3,15,1,4,3,0,6,2,5,0,4,14,8,1,8,15,0,10,0,1,10,0,16,0,3,1,0,12,2,2,15,2,15,0,5,11,3,0,0,4,19,7,39,7,0,1,7,6,0,1,5,9,0,18,24,1,0,23,7,0,2,0,0,0,14,0,0,0,1,0,0,0,1,5,16,5,4,31,10,0,0,0,10,0,6,0,0,1,17,10,1,2,3
"Ant540",1,1,3,0,2,0,0,0,1,0,2,6,1,6,0,5,0,8,4,5,6,0,0,3,19,6,1,12,1,7,5,1,3,0,3,0,4,7,3,3,0,15,2,0,0,6,5,13,0,5,0,0,1,3,5,2,1,1,0,1,2,2,0,4,2,0,9,1,2,1,4,1,1,0,1,13,0,1,0,2,0,10,0,0,0,6,7,2,3,0,2,0,5,3,2,4,6,0,3,2,1,13,2,0,0,8,3,7,3,1
"Ant6",1,10,0,2,0,0,13,13,2,10,12,12,0,15,11,9,14,3,1,5,0,6,67,0,3,1,3,0,0,0,4,2,0,15,0,11,18,0,0,0,13,0,14,4,1,0,0,1,6,1,5,0,0,4,20,26,0,0,0,0,0,8,0,0,0,8,2,0,0,9,0,0,3,8,0,0,14,0,4,9,23,0,24,17,21,3,4,4,14,0,1,0,0,0,0,0,1,6,7,3,2,1,4,10,5,0,0,15,0,0
"Ant7",3,0,5,0,0,0,0,0,3,0,0,0,2,7,0,1,0,1,25,0,2,6,0,7,1,1,0,4,1,15,0,9,6,0,13,0,0,0,9,6,0,1,0,1,6,2,4,0,0,0,0,3,0,1,0,0,3,3,7,1,9,0,12,4,6,0,0,2,3,0,7,6,0,0,6,3,0,3,0,2,0,6,0,0,0,5,0,0,1,0,3,2,3,7,4,12,5,0,0,5,0,2,0,0,0,3,8,2,5,3
"Ant9",0,0,0,0,13,0,0,0,0,0,1,6,0,0,0,6,6,0,0,20,0,0,46,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,17,0,1,0,0,0,0,0,3,0,13,0,0,0,24,35,0,0,0,0,0,4,0,0,0,17,0,0,0,1,0,0,0,1,0,0,5,0,0,0,3,0,9,18,16,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0
"Ant14",0,3,0,0,13,0,0,0,1,12,23,13,0,2,10,6,1,0,0,6,0,0,23,0,1,0,0,0,0,1,7,0,0,16,0,17,23,0,0,0,21,9,2,4,0,0,0,0,3,0,12,0,0,1,13,22,0,0,0,0,2,16,3,0,0,7,1,0,0,5,0,0,5,23,0,0,30,0,0,1,17,0,63,17,4,2,0,8,18,0,0,0,0,0,0,0,0,3,5,0,4,0,16,3,0,0,0,0,0,0
"Ant19",21,4,1,1,2,3,0,1,0,4,2,13,2,2,10,3,2,0,7,9,18,7,0,0,17,12,6,1,0,1,8,4,4,1,10,2,5,1,1,1,1,5,1,3,3,15,4,10,5,0,2,0,1,0,8,4,3,1,1,3,0,2,3,3,1,0,15,8,10,0,1,0,4,0,2,1,0,5,2,0,1,6,0,0,0,3,17,3,0,0,16,1,4,3,3,5,2,1,2,7,3,4,2,0,2,0,3,16,5,0
"Ant26",1,7,0,0,10,0,0,12,4,0,10,14,0,7,39,4,7,3,6,5,0,6,0,2,10,7,7,0,0,0,1,1,0,7,2,18,9,0,0,0,6,25,10,16,0,3,1,3,5,1,2,0,0,5,3,23,1,1,0,0,0,6,0,0,0,0,11,0,0,10,0,0,22,14,0,0,26,0,7,18,4,3,0,0,2,2,8,28,4,1,4,0,0,0,2,0,0,12,25,0,2,4,63,7,15,0,0,6,4,1
