"","Ant4","Ant260","Ant52","Ant540","Ant7","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant73","Ant76","Ant148","Ant158","Ant191","Ant202","Ant209","Ant268","Ant308","Ant518","Ant0","Ant23","Ant27","Ant29","Ant32","Ant42","Ant43","Ant44","Ant55","Ant63","Ant97","Ant98","Ant100","Ant109","Ant115","Ant117","Ant127","Ant137","Ant139","Ant153","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant257","Ant289","Ant294","Ant298","Ant324","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant492","Ant501","Ant507","Ant538","Ant552","Ant560","Ant564","Ant593"
"Ant4",0,1,1,7,9,15,4,0,2,1,3,0,0,0,6,0,2,0,1,0,2,0,12,4,0,0,2,0,3,7,3,0,0,3,5,0,5,0,6,2,16,1,0,10,1,0,0,0,2,0,6,0,0,6,6,6,18,0,0,1,0,1,7,3,2,0,0,7,4,6,2,0,1,1,2,7,5
"Ant260",1,0,2,5,3,3,2,0,26,8,12,25,7,0,14,5,13,112,1,21,7,1,65,7,5,18,8,0,3,9,3,8,5,3,1,8,19,0,6,0,43,2,0,1,0,7,0,0,4,13,4,0,0,0,14,35,1,0,0,23,7,1,21,2,12,0,1,15,0,3,0,0,1,9,26,0,13
"Ant52",1,2,0,7,1,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,3,0,0,7,0,0,0,5,0,0,3,0,0,0,0,4,1,2,0,3,20,1,0,5,1,0,0,2,0,11,1,0,0,0,0,1,0,0,2,0,0,0,2,4,4,7,0,3,0,0,0,9,2,3,0,1
"Ant540",7,5,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,2,1,0,3,0,0,0,10,1,1,0,1,0,3,2,2,0,8,8,0,4,3,0,5,4,4,2,8,3,0,5,2,0,0,0,0,1,0,0,3,0,0,3,0,2,2,0,0,0,3,5,3,3,5
"Ant7",9,3,1,3,0,5,5,0,0,0,5,0,0,0,1,1,14,0,1,0,2,1,2,2,11,1,5,0,5,8,5,3,4,2,1,0,8,4,1,0,7,1,3,0,2,0,2,0,11,0,7,1,0,5,6,0,3,0,0,4,0,6,1,3,25,1,1,1,4,1,2,0,2,15,0,0,2
"Ant19",15,3,1,0,5,0,2,0,1,4,9,0,0,0,7,0,11,0,0,0,6,0,8,5,0,1,1,0,29,6,5,4,6,6,5,0,22,9,2,0,6,0,0,7,0,3,5,1,1,0,3,0,0,0,3,0,10,0,0,9,2,3,8,0,3,0,1,8,0,1,3,0,0,1,3,13,7
"Ant26",4,2,0,0,5,2,0,0,3,7,7,9,5,0,12,0,12,8,0,1,2,0,24,2,0,13,6,0,3,10,4,3,9,10,11,0,12,0,2,1,2,0,2,2,0,5,0,3,1,1,3,0,0,0,0,13,2,0,0,3,1,0,4,2,6,0,2,10,0,1,2,10,1,3,13,9,3
"Ant30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48,0,0,0,0,2,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Ant38",2,26,0,0,0,1,3,0,0,12,19,15,18,17,12,0,3,47,0,30,17,0,24,3,3,20,1,14,32,11,3,1,8,9,1,24,11,1,2,0,1,0,0,2,0,15,0,0,0,1,3,0,4,1,0,26,11,0,18,6,29,17,15,0,1,0,1,9,0,21,0,21,0,3,21,3,4
"Ant60",1,8,0,0,0,4,7,0,12,0,6,3,6,1,6,0,1,10,5,6,8,1,19,10,3,6,3,1,14,10,1,2,3,6,11,8,15,0,7,2,0,0,2,9,0,6,7,2,0,2,0,0,0,2,0,1,16,0,0,3,2,9,18,3,4,0,1,13,0,2,11,3,0,0,4,7,1
