"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant127","Ant131","Ant137","Ant140","Ant149","Ant156","Ant159","Ant169","Ant176","Ant190","Ant195","Ant207","Ant215","Ant232","Ant242","Ant257","Ant263","Ant289","Ant324","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant560","Ant593"
"Ant60",16,0,17,12,0,3,0,0,25,25,0,0,0,9,14,2,3,0,9,7,0,0,1,13,0,1,32,11,17,1,1,0,1,0,4,9,4,1,0,0,11,0,6,8,0,0,3,6,1,0,0,10,0,6,1,17,8,3,0,0,0,11,0,2,12,26,15,0,0,6,0
"Ant64",2,2,3,2,4,1,43,23,0,0,0,0,1,2,0,2,2,19,2,2,18,3,5,0,25,29,3,0,0,0,9,4,8,26,1,2,22,30,1,9,0,32,8,0,6,9,1,8,3,14,15,0,1,10,0,4,9,15,0,29,17,4,20,0,10,1,0,9,6,0,26
"Ant158",0,4,1,0,9,0,21,6,0,1,0,1,0,0,0,2,8,6,4,15,22,20,9,2,4,10,0,0,0,2,17,2,27,3,7,8,2,16,9,2,0,15,7,0,9,6,1,0,8,6,7,0,5,1,0,0,3,43,0,20,6,0,3,1,5,0,0,9,0,0,2
"Ant196",33,1,30,4,0,9,0,1,0,14,9,2,0,0,22,0,0,4,2,4,1,0,0,20,3,13,40,27,10,4,2,1,0,0,18,9,7,5,14,1,11,0,8,0,0,0,31,9,0,5,4,6,1,1,3,42,15,3,1,5,4,5,0,14,25,11,5,0,1,45,1
"Ant202",13,0,23,6,0,5,0,1,0,18,14,0,0,22,0,0,2,1,12,6,2,0,1,18,6,2,32,30,5,8,10,2,3,0,7,4,14,3,1,1,20,0,10,9,0,2,7,5,0,2,0,15,0,4,3,7,2,0,0,3,0,8,0,7,2,10,4,0,1,6,2
"Ant209",2,4,1,0,3,4,18,4,0,1,2,2,2,0,0,0,1,1,0,6,5,0,19,1,1,17,6,0,0,2,7,8,7,6,3,7,9,14,2,7,2,2,6,0,3,2,4,13,2,6,8,1,1,3,0,2,9,15,0,3,13,2,1,1,5,0,0,4,2,0,3
"Ant252",3,24,2,0,3,7,0,2,0,3,3,2,8,0,2,1,0,8,8,4,16,25,1,7,61,0,0,0,0,8,4,33,36,13,0,11,3,9,6,40,0,9,12,0,6,0,2,0,51,10,0,0,10,12,5,0,0,7,0,9,0,0,28,0,18,0,0,8,12,5,10
"Ant268",4,1,5,1,0,2,7,2,0,1,0,19,6,4,1,1,8,0,11,8,13,2,5,2,12,10,2,0,0,4,28,9,0,8,10,4,4,5,6,2,4,10,5,0,8,7,0,1,1,3,1,1,1,5,0,8,0,2,0,27,8,2,1,1,7,1,0,10,2,0,7
"Ant308",3,3,14,0,3,31,0,2,0,8,9,2,4,2,12,0,8,11,0,6,3,0,2,10,6,0,10,0,0,7,9,29,4,0,3,17,2,5,5,2,2,6,18,0,1,2,3,14,10,20,2,0,5,12,2,3,3,0,0,12,1,0,1,4,1,2,0,0,4,7,7
"Ant311",2,6,11,1,4,14,0,6,0,6,7,2,15,4,6,6,4,8,6,0,17,4,4,0,9,22,3,1,0,1,11,11,4,3,6,16,11,10,13,0,19,3,4,0,2,7,2,3,2,18,7,0,5,5,3,10,15,2,0,5,2,0,0,9,3,6,0,5,6,1,7
"Ant620",1,3,0,0,27,3,0,3,0,0,0,18,22,1,2,5,16,13,3,17,0,16,15,1,29,17,0,0,0,6,3,26,14,4,5,11,16,10,15,13,0,2,3,0,9,6,1,1,15,16,3,1,11,12,0,0,0,39,0,15,11,0,19,1,0,0,0,2,21,0,5
"Ant0",0,2,0,0,5,0,0,0,0,1,0,3,20,0,0,0,25,2,0,4,16,0,9,0,11,5,0,0,0,0,24,12,13,15,0,1,4,23,3,3,0,12,2,0,3,0,0,1,2,5,0,0,1,3,0,1,0,3,0,10,2,0,53,1,2,1,0,3,2,0,1
"Ant13",0,5,2,0,14,2,5,13,0,0,1,5,9,0,1,19,1,5,2,4,15,9,0,0,9,7,2,0,0,2,21,9,8,26,2,9,13,12,4,6,0,35,21,0,14,4,0,5,10,15,3,0,13,4,0,2,1,10,0,3,37,0,6,2,6,0,0,9,11,4,4
"Ant23",28,5,9,11,0,1,0,0,1,10,13,0,2,20,18,1,7,2,10,0,1,0,0,0,0,5,14,10,22,2,5,9,0,0,6,3,3,1,9,4,9,0,3,6,0,0,1,0,1,0,2,34,1,3,7,9,9,0,0,0,0,24,1,2,1,12,33,0,3,6,4
"Ant27",0,7,6,3,11,3,9,4,0,1,0,25,4,3,6,1,61,12,6,9,29,11,9,0,0,6,0,0,0,13,24,14,23,11,1,22,19,13,3,14,1,35,2,0,3,2,0,3,31,27,3,1,6,22,0,1,9,6,0,4,6,1,46,0,3,1,0,5,15,3,54
"Ant29",4,7,5,0,14,11,38,2,0,7,1,29,10,13,2,17,0,10,0,22,17,5,7,5,6,0,7,0,0,31,11,28,16,2,13,14,40,46,6,6,0,13,25,0,10,5,6,22,19,8,6,1,2,5,2,5,23,4,0,18,7,4,10,5,23,5,0,6,6,9,3
"Ant42",59,0,20,4,0,6,5,0,0,26,32,3,0,40,32,6,0,2,10,3,0,0,2,14,0,7,0,16,3,8,3,0,1,0,32,12,4,3,6,0,5,0,15,0,7,2,8,20,2,2,0,5,0,0,3,47,25,0,1,0,0,17,2,9,57,9,2,0,1,27,0
"Ant43",4,0,4,15,0,0,0,0,10,3,11,0,0,27,30,0,0,0,0,1,0,0,0,10,0,0,16,0,25,0,0,0,0,0,3,5,0,0,0,0,12,0,0,10,0,0,1,0,0,0,0,31,0,0,1,9,1,0,0,0,0,6,0,0,1,27,5,0,0,10,0
"Ant55",40,0,1,8,0,0,0,0,3,1,17,0,0,10,5,0,0,0,0,0,0,0,0,22,0,0,3,25,0,0,0,0,0,0,0,4,1,0,0,0,17,0,0,5,0,0,0,0,0,0,0,29,0,0,0,19,2,0,0,0,0,5,0,0,0,16,33,0,0,15,0
"Ant63",6,3,2,0,0,4,3,4,0,1,1,0,2,4,8,2,8,4,7,1,6,0,2,2,13,31,8,0,0,0,11,6,0,0,2,15,14,4,5,21,1,1,1,0,0,1,1,7,9,11,0,2,3,5,0,0,5,12,0,7,1,0,4,4,2,1,0,0,11,5,12
"Ant91",5,15,4,0,8,4,5,18,0,0,1,9,17,2,10,7,4,28,9,11,3,24,21,5,24,11,3,0,0,11,0,16,13,26,7,19,10,8,4,3,1,12,17,0,5,5,2,13,6,4,14,0,7,11,3,12,4,8,0,20,6,2,41,5,1,2,0,8,7,4,1
"Ant97",10,8,0,0,1,5,3,10,0,18,0,4,2,1,2,8,33,9,29,11,26,12,9,9,14,28,0,0,0,6,16,0,26,13,6,14,32,18,32,21,0,36,13,0,1,5,0,5,9,19,0,1,6,6,1,0,2,17,0,8,25,0,14,12,0,5,0,8,15,1,19
"Ant98",1,18,3,0,6,14,20,1,0,0,1,8,27,0,3,7,36,0,4,4,14,13,8,0,23,16,1,0,0,0,13,26,0,4,3,1,4,11,4,24,0,0,4,0,26,2,0,9,6,7,3,0,6,21,0,0,4,22,0,16,16,0,20,1,9,0,0,3,3,3,5
"Ant109",2,16,0,0,19,0,11,0,0,0,0,26,3,0,0,6,13,8,0,3,4,15,26,0,11,2,0,0,0,0,26,13,4,0,0,0,8,15,6,4,0,8,4,0,7,20,0,5,14,16,0,0,0,21,0,0,4,5,0,2,15,0,3,0,5,0,0,22,5,0,1
"Ant113",24,2,8,9,0,2,0,1,0,33,4,1,7,18,7,3,0,10,3,6,5,0,2,6,1,13,32,3,0,2,7,6,3,0,0,15,4,3,4,1,8,1,8,1,1,0,4,11,2,5,1,3,3,2,3,41,17,1,0,1,0,9,1,19,25,7,0,0,6,5,1
"Ant124",6,6,7,3,1,15,1,15,0,5,9,2,8,9,4,7,11,4,17,16,11,1,9,3,22,14,12,5,4,15,19,14,1,0,15,0,18,12,11,2,3,7,16,1,2,10,10,40,1,7,2,2,0,21,30,15,24,1,0,4,4,5,5,3,7,10,0,7,5,10,2
"Ant127",1,17,1,5,0,8,3,8,0,18,4,22,2,7,14,9,3,4,2,11,16,4,13,3,19,40,4,0,1,14,10,32,4,8,4,18,0,19,1,2,3,3,3,6,0,5,5,18,1,19,4,0,3,5,2,2,28,2,0,6,4,4,17,10,6,1,0,1,5,5,23
"Ant131",1,6,1,5,15,4,9,11,0,1,1,30,16,5,3,14,9,5,5,10,10,23,12,1,13,46,3,0,0,4,8,18,11,15,3,12,19,0,15,16,1,22,13,0,14,3,2,8,8,8,25,3,6,3,1,2,10,21,0,27,24,0,8,1,0,1,0,8,4,1,10
"Ant137",2,2,0,0,1,18,0,3,0,1,0,1,9,14,1,2,6,6,5,13,15,3,4,9,3,6,6,0,0,5,4,32,4,6,4,11,1,15,0,4,0,10,21,0,2,3,3,29,4,18,0,1,3,23,2,2,0,4,0,2,3,0,5,4,4,1,0,2,1,8,6
"Ant140",1,10,0,0,12,2,27,4,0,1,0,9,2,1,1,7,40,2,2,0,13,3,6,4,14,6,0,0,0,21,3,21,24,4,1,2,2,16,4,0,1,11,2,0,11,6,0,0,25,3,2,0,6,8,0,0,0,4,0,11,3,0,6,0,1,1,0,8,22,0,12
"Ant149",15,0,13,17,0,8,0,1,1,4,11,0,0,11,20,2,0,4,2,19,0,0,0,9,1,0,5,12,17,1,1,0,0,0,8,3,3,1,0,1,0,0,0,16,0,0,4,7,0,1,0,9,0,20,0,9,2,0,0,2,0,10,2,2,1,4,6,0,0,6,0
"Ant156",0,6,4,1,10,2,17,3,0,0,0,32,15,0,0,2,9,10,6,3,2,12,35,0,35,13,0,0,0,1,12,36,0,8,1,7,3,22,10,11,0,0,1,0,20,23,1,3,8,11,22,0,18,71,1,0,4,13,0,14,10,0,14,0,1,0,0,9,7,0,7
"Ant159",5,5,14,0,7,24,4,7,0,20,6,8,7,8,10,6,12,5,18,4,3,2,21,3,2,25,15,0,0,1,17,13,4,4,8,16,3,13,21,2,0,1,0,0,0,10,4,16,4,12,1,3,8,12,1,13,10,4,0,14,0,3,1,12,13,0,0,8,6,13,3
"Ant169",3,0,3,9,0,0,0,0,22,1,8,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,10,5,0,0,0,0,0,1,1,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,22,0,0,0,8,3,0,0,0,0,3,1,0,2,4,1,0,0,9,0
"Ant176",1,17,0,0,1,0,12,6,0,0,0,6,9,0,0,3,6,8,1,2,9,3,14,0,3,10,7,0,0,0,5,1,26,7,1,2,0,14,2,11,0,20,0,0,0,10,0,0,1,1,22,0,12,0,0,0,2,17,0,13,11,0,6,0,5,0,0,1,4,1,0
"Ant190",0,1,3,0,0,0,3,10,0,2,0,9,6,0,2,2,0,7,2,7,6,0,4,0,2,5,2,0,0,1,5,5,2,20,0,10,5,3,3,6,0,23,10,0,10,0,0,13,1,1,6,0,0,1,1,1,0,7,0,31,3,0,4,0,1,0,0,3,3,0,4
"Ant195",6,0,10,0,0,6,0,0,0,6,3,1,1,31,7,4,2,0,3,2,1,0,0,1,0,6,8,1,0,1,2,0,0,0,4,10,5,2,3,0,4,1,4,0,0,0,0,0,0,1,1,4,0,3,1,7,5,0,0,2,0,0,0,5,3,5,0,0,1,11,0
"Ant207",5,1,6,0,0,10,2,1,0,4,6,8,0,9,5,13,0,1,14,3,1,1,5,0,3,22,20,0,0,7,13,5,9,5,11,40,18,8,29,0,7,3,16,0,0,13,0,0,0,19,12,0,0,0,3,18,11,7,0,3,0,3,9,7,13,13,0,0,9,10,4
"Ant215",0,25,3,0,18,4,0,7,0,0,1,3,8,0,0,2,51,1,10,2,15,2,10,1,31,19,2,0,0,9,6,9,6,14,2,1,1,8,4,25,0,8,4,0,1,1,0,0,0,17,0,0,10,7,0,0,0,12,0,1,16,0,14,1,0,0,0,13,47,0,3
"Ant232",0,2,1,1,8,8,7,8,0,4,0,14,6,5,2,6,10,3,20,18,16,5,15,0,27,8,2,0,0,11,4,19,7,16,5,7,19,8,18,3,1,11,12,0,1,1,1,19,17,0,1,0,24,7,0,0,4,14,0,12,3,0,24,4,11,8,0,0,11,1,16
"Ant242",0,8,3,0,23,0,15,28,0,0,0,15,7,4,0,8,0,1,2,7,3,0,3,2,3,6,0,0,0,0,14,0,3,0,1,2,4,25,0,2,0,22,1,0,22,6,1,12,0,1,0,0,4,0,0,3,2,4,0,12,21,1,0,2,3,1,0,6,4,1,2
"Ant257",18,0,0,20,0,0,0,0,3,3,10,0,0,6,15,1,0,1,0,0,1,0,0,34,1,1,5,31,29,2,0,1,0,0,3,2,0,3,1,0,9,0,3,22,0,0,4,0,0,0,0,0,0,0,0,5,2,0,0,0,1,13,0,2,0,18,13,0,0,13,0
"Ant263",0,22,0,0,5,1,0,12,0,2,0,1,5,1,0,1,10,1,5,5,11,1,13,1,6,2,0,0,0,3,7,6,6,0,3,0,3,6,3,6,0,18,8,0,12,0,0,0,10,24,4,0,0,30,0,0,0,6,0,15,0,0,11,0,2,0,0,7,11,0,4
"Ant289",1,9,1,0,38,3,0,3,0,5,6,10,1,1,4,3,12,5,12,5,12,3,4,3,22,5,0,0,0,5,11,6,21,21,2,21,5,3,23,8,20,71,12,0,0,1,3,0,7,7,0,0,30,0,2,0,0,11,0,21,7,0,12,7,1,12,0,10,5,4,32
"Ant324",3,0,0,2,0,4,1,0,0,2,1,0,0,3,3,0,5,0,2,3,0,0,0,7,0,2,3,1,0,0,3,1,0,0,3,30,2,1,2,0,0,1,1,0,0,1,1,3,0,0,0,0,0,2,0,2,7,0,0,0,1,1,1,1,2,0,0,0,0,10,0
"Ant332",19,1,9,39,0,3,0,2,0,18,17,4,0,42,7,2,0,8,3,10,0,1,2,9,1,5,47,9,19,0,12,0,0,0,41,15,2,2,2,0,9,0,13,8,0,1,7,18,0,0,3,5,0,0,2,0,20,2,0,3,0,17,2,2,2,6,6,0,0,15,2
"Ant353",6,7,15,28,1,2,10,10,0,22,8,9,3,15,2,9,0,0,3,15,0,0,1,9,9,23,25,1,2,5,4,2,4,4,17,24,28,10,0,0,2,4,10,3,2,0,5,11,0,4,2,2,0,0,7,20,0,1,0,0,3,14,4,9,27,8,1,0,1,13,7
"Ant356",0,15,0,0,40,1,13,3,0,1,3,15,43,3,0,15,7,2,0,2,39,3,10,0,6,4,0,0,0,12,8,17,22,5,1,1,2,21,4,4,0,13,4,0,17,7,0,7,12,14,4,0,6,11,0,2,1,0,0,15,5,0,19,0,9,3,0,2,5,1,0
"Ant380",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ant387",0,1,0,0,22,1,9,38,0,2,0,29,20,5,3,3,9,27,12,5,15,10,3,0,4,18,0,0,0,7,20,8,16,2,1,4,6,27,2,11,2,14,14,0,13,31,2,3,1,12,12,0,15,21,0,3,0,15,0,0,28,0,6,0,0,0,0,3,13,0,3
"Ant395",1,7,3,0,4,0,12,3,0,1,0,17,6,4,0,13,0,8,1,2,11,2,37,0,6,7,0,0,0,1,6,25,16,15,0,4,4,24,3,3,0,10,0,0,11,3,0,0,16,3,21,1,0,7,1,0,3,5,0,28,0,1,4,0,1,0,0,0,21,0,1
"Ant437",24,0,0,17,0,1,0,1,2,7,11,4,0,5,8,2,0,2,0,0,0,0,0,24,1,4,17,6,5,0,2,0,0,0,9,5,4,0,0,0,10,0,3,3,0,0,0,3,0,0,1,13,0,0,1,17,14,0,0,0,1,0,0,0,2,8,9,0,0,9,2
"Ant458",4,5,0,0,7,1,6,1,0,1,0,20,3,0,0,1,28,1,1,0,19,53,6,1,46,10,2,0,0,4,41,14,20,3,1,5,17,8,5,6,2,14,1,1,6,4,0,9,14,24,0,0,11,12,1,2,4,19,0,6,4,0,0,1,2,1,0,8,13,1,7
"Ant462",2,0,9,3,1,2,0,3,0,3,2,0,1,14,7,1,0,1,4,9,1,1,2,2,0,5,9,0,0,4,5,12,1,0,19,3,10,1,4,0,2,0,12,0,0,0,5,7,1,4,2,2,0,7,1,2,9,0,0,0,0,0,1,0,17,3,0,1,2,18,0
"Ant482",10,0,5,1,0,2,31,3,0,4,12,10,5,25,2,5,18,7,1,3,0,2,6,1,3,23,57,1,0,2,1,0,9,5,25,7,6,0,4,1,1,1,13,2,5,1,3,13,0,11,3,0,2,1,2,2,27,9,0,0,1,2,2,17,0,27,0,14,2,20,9
"Ant492",14,2,2,5,0,8,0,0,1,7,26,1,0,11,10,0,0,1,2,6,0,1,0,12,1,5,9,27,16,1,2,5,0,0,7,10,1,1,1,1,4,0,0,4,0,0,5,13,0,8,1,18,0,12,0,6,8,3,0,0,0,8,1,3,27,0,20,0,0,13,0
"Ant501",11,0,0,3,0,0,0,0,6,2,15,0,0,5,4,0,0,0,0,0,0,0,0,33,0,0,2,5,33,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,13,0,0,0,6,1,0,0,0,0,9,0,0,0,20,0,0,0,3,0
"Ant507",1,2,0,0,11,3,5,5,0,0,0,9,9,0,0,4,8,10,0,5,2,3,9,0,5,6,0,0,0,0,8,8,3,22,0,7,1,8,2,8,0,9,8,0,1,3,0,0,13,0,6,0,7,10,0,0,0,2,0,3,0,0,8,1,14,0,0,0,3,0,2
"Ant530",3,6,3,0,14,3,0,5,0,0,0,6,0,1,1,2,12,2,4,6,21,2,11,3,15,6,1,0,0,11,7,15,3,5,6,5,5,4,1,22,0,7,6,0,4,3,1,9,47,11,4,0,11,5,0,0,1,5,0,13,21,0,13,2,2,0,0,3,0,2,12
"Ant560",9,0,38,7,0,1,1,1,0,12,6,0,0,45,6,0,5,0,7,1,0,0,4,6,3,9,27,10,15,5,4,1,3,0,5,10,5,1,8,0,6,0,13,9,1,0,11,10,0,1,1,13,0,4,10,15,13,1,1,0,0,9,1,18,20,13,3,0,2,0,0
"Ant593",3,0,0,0,0,3,4,8,0,5,0,26,2,1,2,3,10,7,7,7,5,1,4,4,54,3,0,0,0,12,1,19,5,1,1,2,23,10,6,12,0,7,3,0,0,4,0,4,3,16,2,0,4,32,0,2,7,0,0,3,1,2,7,0,9,0,0,2,12,0,0
