"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant127","Ant131","Ant137","Ant140","Ant149","Ant156","Ant159","Ant169","Ant176","Ant190","Ant195","Ant207","Ant215","Ant232","Ant242","Ant257","Ant263","Ant289","Ant324","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant560","Ant593"
"Ant260",0,0,16,11,0,6,0,0,7,20,16,2,0,33,13,2,3,4,3,2,1,0,0,28,0,4,59,4,40,6,5,10,1,2,24,6,1,1,2,1,15,0,5,3,1,0,6,5,0,0,0,18,0,1,3,19,6,0,0,0,1,24,4,2,10,14,11,1,3,9,3
"Ant52",0,0,1,0,6,1,0,1,0,1,0,2,4,1,0,4,24,1,3,6,3,2,5,5,7,7,0,0,0,3,15,8,18,16,2,6,17,6,2,10,0,6,5,0,17,1,0,1,25,2,8,0,22,9,0,1,7,15,0,1,7,0,5,0,0,2,0,2,6,0,0
"Ant6",16,1,0,3,0,2,0,4,0,11,17,3,1,30,23,1,2,5,14,11,0,0,2,9,6,5,20,4,1,2,4,0,3,0,8,7,1,1,0,0,13,4,14,3,0,3,10,6,3,1,3,0,0,1,0,9,15,0,1,0,3,0,0,9,5,2,0,0,3,38,0
"Ant7",11,0,3,0,0,0,0,8,0,0,12,2,0,4,6,0,0,1,0,1,0,0,0,11,3,0,4,15,8,0,0,0,0,0,9,3,5,5,0,0,17,1,0,9,0,0,0,0,0,1,0,20,0,0,2,39,28,0,0,0,0,17,0,3,1,5,3,0,0,7,0
"Ant9",0,6,0,0,0,0,8,16,0,0,0,4,9,0,0,3,3,0,3,4,27,5,14,0,11,14,0,0,0,0,8,1,6,19,0,1,0,15,1,12,0,10,7,0,1,0,0,0,18,8,23,0,5,38,0,0,1,40,0,22,4,0,7,1,0,0,0,11,14,0,0
"Ant14",6,1,2,0,0,0,0,1,0,3,3,1,0,9,5,4,7,2,31,14,3,0,2,1,3,11,6,0,0,4,4,5,14,0,2,15,8,4,18,2,8,2,24,0,0,0,6,10,4,8,0,0,1,3,4,3,2,1,0,1,0,1,1,2,2,8,0,3,3,1,3
"Ant19",0,0,0,0,8,0,0,7,0,1,0,43,21,0,0,18,0,7,0,0,0,0,5,0,9,38,5,0,0,3,5,3,20,11,0,1,3,9,0,27,0,17,4,0,12,3,0,2,0,7,15,0,0,0,1,0,10,13,0,9,12,0,6,0,31,0,0,5,0,1,4
"Ant26",0,1,4,8,16,1,7,0,0,2,0,23,6,1,1,4,2,2,2,6,3,0,13,0,4,2,0,0,0,4,18,10,1,0,1,15,8,11,3,4,1,3,7,0,6,10,0,1,7,8,28,0,12,3,0,2,10,3,0,38,3,1,1,3,3,0,0,5,5,1,8
"Ant30",7,0,0,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,0
"Ant38",20,1,11,0,0,3,1,2,3,0,25,0,1,14,18,1,3,1,8,6,0,1,0,10,1,7,26,3,1,1,0,18,0,0,33,5,18,1,1,1,4,0,20,1,0,2,6,4,0,4,0,3,2,5,2,18,22,1,0,2,1,7,1,3,4,7,2,0,0,12,5
