"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant55","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant242","Ant257","Ant263","Ant289","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant458","Ant492","Ant501","Ant507","Ant530","Ant593"
"Ant260",0,0,47,43,1,19,5,2,29,66,1,5,60,20,2,16,17,17,8,0,7,48,3,20,56,47,16,5,2,1,24,14,5,16,0,84,37,34,1,30,15,0,26,4,16,16,45,0,0,13,2,1,32,6,2,4,7
"Ant52",0,0,0,1,3,0,5,11,0,0,1,4,0,0,9,0,0,2,2,0,4,0,2,9,2,0,7,23,16,4,0,4,3,1,10,0,2,0,53,0,5,1,0,12,5,0,0,3,0,4,3,3,0,0,1,4,0
"Ant6",47,0,0,13,0,4,4,3,0,0,0,0,6,8,1,2,9,0,0,0,0,9,17,0,28,1,0,0,4,0,0,5,6,0,0,1,3,3,0,0,0,0,0,0,4,14,1,0,0,7,0,0,15,0,0,0,4
"Ant7",43,1,13,0,0,2,0,0,21,37,0,1,14,18,3,7,2,3,0,1,0,8,5,2,7,6,2,0,1,2,3,1,2,2,0,32,7,17,0,22,1,0,32,0,4,4,8,0,0,5,0,0,2,3,1,0,1
"Ant9",1,3,0,0,0,4,0,2,0,0,19,3,1,0,0,0,1,3,1,6,2,3,9,6,0,0,3,8,10,4,1,11,1,25,3,0,3,0,4,0,16,36,0,4,3,0,0,6,0,0,4,1,0,0,2,7,7
"Ant14",19,0,4,2,4,0,3,1,0,0,1,1,12,15,4,3,3,1,0,0,2,8,2,5,8,4,6,0,2,0,3,5,0,0,4,1,27,0,0,0,0,0,0,2,4,4,21,0,2,14,0,0,14,0,0,0,0
"Ant19",5,5,4,0,0,3,0,3,0,0,12,1,0,0,10,2,1,0,3,1,3,0,18,0,1,0,1,0,6,10,2,5,22,2,0,1,21,0,0,0,9,0,1,12,0,3,1,3,0,4,10,1,2,0,3,0,6
"Ant26",2,11,3,0,2,1,3,0,0,0,12,4,0,0,0,0,5,2,9,1,7,2,2,21,1,0,4,0,8,3,0,4,15,0,1,0,0,0,0,0,1,0,0,20,0,0,2,8,0,17,0,14,0,0,0,14,11
"Ant30",29,0,0,21,0,0,0,0,0,62,0,0,23,1,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,2,0,0,0,0,22,1,15,0,20,0,0,13,0,0,0,15,0,0,0,0,0,1,20,0,0,0
"Ant60",66,0,0,37,0,0,0,0,62,0,0,0,8,12,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,3,0,0,0,0,58,0,90,0,21,0,0,12,0,0,0,6,0,0,0,0,0,0,13,0,0,0
