"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant127","Ant131","Ant137","Ant140","Ant149","Ant156","Ant159","Ant169","Ant176","Ant190","Ant195","Ant207","Ant215","Ant232","Ant242","Ant257","Ant263","Ant289","Ant324","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant560","Ant593"
"Ant42",93,0,0,25,0,2,0,0,5,8,37,0,0,20,25,0,0,0,0,0,1,0,0,13,0,0,0,37,4,0,0,0,0,0,14,0,0,2,0,2,48,0,0,14,0,0,5,2,0,0,0,14,0,0,6,0,1,0,1,0,0,7,0,0,3,19,6,0,0,11,1
"Ant43",27,1,12,21,1,7,5,2,8,7,18,1,1,34,15,1,0,1,10,0,0,0,1,13,1,4,37,0,28,5,25,3,1,1,17,2,5,3,7,0,28,0,5,3,2,1,14,11,4,2,0,13,1,1,4,4,29,0,1,0,0,7,1,7,20,8,5,0,1,11,2
"Ant55",35,0,1,10,0,0,1,0,0,5,9,0,0,22,10,0,0,0,2,0,0,0,0,25,0,2,4,28,0,0,8,0,0,0,1,0,0,0,0,1,38,0,0,1,0,0,12,2,0,0,0,28,0,0,1,0,21,0,0,0,0,7,0,4,2,17,3,0,0,0,0
"Ant63",1,1,3,1,1,2,3,0,0,0,0,1,0,0,1,4,2,2,3,1,2,0,2,1,3,1,0,5,0,0,13,0,9,1,0,5,0,1,1,7,2,3,4,1,2,2,6,2,3,1,2,3,1,4,0,19,2,1,0,2,3,0,20,2,1,6,0,0,1,0,5
"Ant91",6,5,14,1,5,4,3,10,0,9,11,9,8,7,6,3,11,8,26,5,5,0,4,9,3,19,0,25,8,13,0,11,4,9,7,10,24,6,12,5,12,12,10,0,5,4,1,37,13,14,1,0,2,17,4,8,27,1,0,8,13,4,4,9,35,7,0,7,3,1,9
"Ant97",16,9,0,0,24,0,16,8,0,11,8,5,16,5,2,7,39,12,0,7,4,8,21,1,5,9,0,3,0,0,11,0,16,4,2,5,13,26,17,0,3,6,10,0,6,10,1,10,3,14,6,0,10,1,6,1,48,2,0,0,6,0,12,1,31,0,0,15,36,5,9
"Ant98",0,31,3,0,22,11,2,10,0,0,0,28,8,0,0,18,6,18,4,12,15,2,34,6,17,4,0,1,0,9,4,16,0,18,2,2,1,15,18,16,0,15,9,0,20,9,0,5,13,5,24,0,41,11,0,6,0,9,0,3,12,0,18,0,7,0,0,26,4,0,18
"Ant109",0,15,1,0,24,0,46,1,0,2,1,19,46,1,1,23,3,3,8,9,16,4,16,1,1,5,0,1,0,1,9,4,18,0,0,1,8,11,5,1,0,20,7,0,4,33,1,8,8,8,25,0,6,0,0,0,3,3,0,0,21,0,10,2,13,0,0,15,6,0,15
"Ant113",9,0,15,0,1,3,2,1,0,27,5,2,3,24,12,0,2,1,9,1,1,0,1,12,3,3,14,17,1,0,7,2,2,0,0,6,9,1,2,1,20,2,7,5,1,0,8,5,1,1,0,6,0,4,3,21,22,5,0,5,0,9,4,9,11,21,1,2,2,27,1
"Ant124",8,1,4,0,2,14,3,12,0,3,1,1,0,7,5,17,0,2,13,8,2,0,3,6,5,19,0,2,0,5,10,5,2,1,6,0,10,4,2,2,3,2,18,3,0,1,1,6,6,16,0,0,0,1,0,12,13,1,0,8,1,2,2,9,7,1,1,9,6,6,2
"Ant127",3,4,10,2,0,2,6,2,0,1,3,14,16,8,4,6,5,5,13,10,7,4,0,9,2,14,0,5,0,0,24,13,1,8,9,10,0,2,31,0,7,1,16,6,7,4,8,15,1,5,1,0,1,10,1,36,19,0,0,8,10,0,1,19,33,1,0,5,17,3,14
"Ant131",5,8,0,0,14,5,7,8,0,1,0,13,5,1,0,12,3,10,6,9,12,3,35,3,26,7,2,3,0,1,6,26,15,11,1,4,2,0,32,38,0,11,5,0,3,10,0,1,31,11,7,0,9,6,0,0,6,9,0,0,27,0,9,2,2,0,0,2,9,0,9
"Ant137",0,9,0,1,13,8,2,14,0,0,1,5,0,16,1,5,8,6,2,0,9,1,12,10,18,25,0,7,0,1,12,17,18,5,2,2,31,32,0,17,0,4,21,2,10,5,0,8,21,18,16,0,3,10,0,13,15,6,0,4,27,0,5,12,7,0,0,6,12,0,4
"Ant140",4,14,0,0,4,4,5,10,0,3,0,60,7,1,0,20,1,2,8,7,4,0,13,0,30,0,2,0,1,7,5,0,16,1,1,2,0,38,17,0,1,4,1,0,9,0,0,1,1,6,1,0,14,0,0,1,0,12,0,3,10,0,2,1,7,2,0,4,1,0,2
"Ant149",16,0,11,29,0,2,1,0,2,22,24,0,0,54,14,1,0,0,8,3,1,0,0,18,0,0,48,28,38,2,12,3,0,0,20,3,7,0,0,1,0,0,2,5,0,0,18,4,0,5,0,14,0,2,1,6,13,2,0,3,2,10,0,1,7,8,8,0,0,6,0
"Ant156",1,7,2,0,38,0,9,13,0,1,0,18,29,3,0,19,22,6,0,4,7,0,26,1,3,7,0,0,0,3,12,6,15,20,2,2,1,11,4,4,0,0,3,0,17,13,0,2,6,30,63,0,18,14,1,1,0,8,0,10,13,0,10,2,3,0,0,12,10,1,31
"Ant159",3,1,7,1,0,18,0,4,0,4,3,1,2,4,4,6,11,17,7,1,3,1,4,4,1,37,0,5,0,4,10,10,9,7,7,18,16,5,21,1,2,3,0,13,0,2,10,18,17,8,3,1,1,11,0,6,28,6,0,19,16,18,7,26,6,4,0,11,3,1,1
"Ant169",14,0,20,17,0,5,0,0,3,3,4,0,2,22,2,0,0,0,0,5,0,0,0,3,0,2,14,3,1,1,0,0,0,0,5,3,6,0,2,0,5,0,13,0,0,0,2,1,0,0,0,2,0,0,0,1,12,0,0,2,0,8,1,7,0,16,2,1,0,0,0
"Ant176",0,5,1,0,28,6,3,19,0,0,2,11,7,0,2,12,4,2,3,9,31,2,10,0,27,5,0,2,0,2,5,6,20,4,1,0,7,3,10,9,0,17,0,0,0,11,0,0,5,8,3,0,13,10,0,0,1,20,0,6,20,0,5,2,1,0,0,6,24,2,7
"Ant190",0,4,2,0,12,1,34,4,0,1,3,6,13,0,0,4,22,3,2,6,5,4,7,3,1,10,0,1,0,2,4,10,9,33,0,1,4,10,5,0,0,13,2,0,11,0,0,4,0,6,18,0,12,0,0,0,3,4,0,7,36,0,18,0,8,0,0,3,1,0,4
"Ant195",13,0,10,16,0,3,1,0,14,4,12,3,0,18,9,2,0,0,1,1,0,0,0,5,8,0,5,14,12,6,1,1,0,1,8,1,8,0,0,0,18,0,10,2,0,0,0,2,0,0,0,4,0,0,2,1,8,0,0,4,0,15,0,2,9,18,4,0,0,19,0
"Ant207",5,0,0,1,2,2,1,0,0,1,3,0,16,14,0,8,11,4,19,5,2,2,6,17,2,8,2,11,2,2,37,10,5,8,5,6,15,1,8,1,4,2,18,1,0,4,2,0,7,2,0,1,1,4,1,12,10,3,0,4,2,41,1,11,25,2,0,0,1,5,3
"Ant215",0,2,2,1,11,3,1,4,0,5,1,15,12,5,2,11,11,16,1,10,26,0,9,0,25,8,0,4,0,3,13,3,13,8,1,6,1,31,21,1,0,6,17,0,5,0,0,7,0,11,4,0,2,4,0,4,8,0,0,9,19,0,12,5,6,0,0,12,4,1,6
"Ant232",6,7,0,0,8,1,22,18,0,3,0,16,17,2,0,7,47,11,4,7,12,8,0,0,15,12,0,2,0,1,14,14,5,8,1,16,5,11,18,6,5,30,8,0,8,6,0,2,11,0,20,2,4,8,0,0,4,2,0,8,14,0,9,0,5,0,0,3,4,0,4
"Ant242",0,22,0,0,19,2,3,76,0,1,2,35,8,0,1,0,50,0,0,1,11,12,12,0,7,10,0,0,0,2,1,6,24,25,0,0,1,7,16,1,0,63,3,0,3,18,0,0,4,20,0,0,16,20,0,0,0,1,0,2,16,0,6,0,0,0,0,10,62,0,5
"Ant257",13,0,0,21,0,0,0,0,2,1,16,0,0,5,17,0,0,0,0,0,0,0,0,2,1,0,14,13,28,3,0,0,0,0,6,0,0,0,0,0,14,0,1,2,0,0,4,1,0,2,0,0,0,0,9,0,25,0,0,6,0,0,0,0,0,19,0,0,0,8,0
"Ant263",0,13,1,0,16,0,0,6,0,0,0,74,19,0,0,1,10,1,1,22,10,1,30,0,9,5,0,1,0,1,2,10,41,6,0,0,1,9,3,14,0,18,1,0,13,12,0,1,2,4,16,0,0,18,1,1,1,7,0,0,24,0,2,2,10,0,0,8,0,0,4
"Ant289",2,9,2,0,2,3,5,27,0,1,9,10,13,5,0,9,6,2,10,18,10,1,11,2,21,9,0,1,0,4,17,1,11,0,4,1,10,6,10,0,2,14,11,0,10,0,0,4,4,8,20,0,18,0,1,2,1,4,0,8,13,0,2,3,1,0,0,1,18,2,2
"Ant324",4,0,0,1,0,5,0,1,0,1,3,0,0,10,1,0,0,0,2,0,0,0,0,5,0,1,6,4,1,0,4,6,0,0,3,0,1,0,0,0,1,1,0,0,0,0,2,1,0,0,0,9,1,1,0,2,7,0,0,0,0,0,0,1,6,0,7,1,0,0,1
"Ant332",8,0,19,11,1,8,0,2,0,8,17,4,1,23,9,1,1,8,2,3,1,0,1,21,7,12,0,4,0,19,8,1,6,0,21,12,36,0,13,1,6,1,6,1,0,0,1,12,4,0,0,0,1,2,2,0,10,0,0,1,0,3,4,12,0,4,0,0,0,5,6
"Ant353",5,2,0,8,2,6,1,0,0,2,8,0,3,31,10,6,4,2,3,5,0,0,2,12,1,10,1,29,21,2,27,48,0,3,22,13,19,6,15,0,13,0,28,12,1,3,8,10,8,4,0,25,1,1,7,10,0,0,0,4,1,5,0,18,18,7,2,0,2,1,11
"Ant356",0,15,0,0,28,3,4,12,0,0,0,14,18,0,0,6,1,1,9,4,9,2,2,2,5,5,0,0,0,1,1,2,9,3,5,1,0,9,6,12,2,8,6,0,20,4,0,3,0,2,1,0,7,4,0,0,0,0,0,2,3,2,2,0,0,0,0,1,25,0,1
"Ant380",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Ant387",2,1,7,3,0,15,3,1,0,4,6,1,0,5,2,15,0,7,8,3,1,0,4,2,6,11,0,0,0,2,8,0,3,0,5,8,8,0,4,3,3,10,19,2,6,7,4,4,9,8,2,6,0,8,0,1,4,2,0,0,5,0,3,7,12,6,0,1,5,8,1
"Ant395",1,9,0,0,7,1,4,32,0,5,0,18,8,4,1,7,3,5,5,7,5,0,8,0,5,27,0,0,0,3,13,6,12,21,0,1,10,27,27,10,2,13,16,0,20,36,0,2,19,14,16,0,24,13,0,0,1,3,0,5,0,0,12,1,9,0,0,2,4,1,7
"Ant437",13,0,5,28,0,6,0,0,1,21,28,0,0,20,5,0,1,4,12,9,0,0,0,2,0,1,7,7,7,0,4,0,0,0,9,2,0,0,0,0,10,0,18,8,0,0,15,41,0,0,0,0,0,0,0,3,5,2,0,0,0,0,0,2,0,0,0,0,0,3,1
"Ant458",1,8,0,0,14,4,1,1,0,1,2,13,8,2,2,2,20,6,3,2,43,0,10,2,12,2,0,1,0,20,4,12,18,10,4,2,1,9,5,2,0,10,7,1,5,18,0,1,12,9,6,0,2,2,0,4,0,2,0,3,12,0,0,0,3,5,0,5,0,1,9
"Ant462",16,1,0,1,0,5,3,1,0,12,6,0,0,10,5,2,1,2,5,4,0,0,2,7,1,10,0,7,4,2,9,1,0,2,9,9,19,2,12,1,1,2,26,7,2,0,2,11,5,0,0,0,2,3,1,12,18,0,0,7,1,2,0,0,3,2,0,0,0,2,4
"Ant482",12,7,8,0,0,6,3,3,0,10,0,1,3,12,5,6,0,0,10,5,2,0,6,20,3,27,3,20,2,1,35,31,7,13,11,7,33,2,7,7,7,3,6,0,1,8,9,25,6,5,0,0,10,1,6,0,18,0,0,12,9,0,3,3,0,4,0,10,6,8,19
"Ant492",26,0,7,11,0,0,0,0,1,8,10,1,0,14,25,0,0,2,0,1,0,0,0,19,2,2,19,8,17,6,7,0,0,0,21,1,1,0,0,2,8,0,4,16,0,0,18,2,0,0,0,19,0,0,0,4,7,0,1,6,0,0,5,2,4,0,1,0,0,19,1
"Ant501",5,0,0,8,0,0,0,0,11,4,6,0,0,8,12,0,0,0,0,0,0,0,0,1,0,0,6,5,3,0,0,0,0,0,1,1,0,0,0,0,8,0,0,2,0,0,4,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"Ant507",0,3,1,0,3,0,1,3,0,0,1,10,6,0,0,6,15,0,0,0,24,0,4,0,0,7,0,0,0,0,7,15,26,15,2,9,5,2,6,4,0,12,11,1,6,3,0,0,12,3,10,0,8,1,1,0,0,1,0,1,2,0,5,0,10,0,0,0,2,1,0
"Ant530",0,5,0,0,3,0,3,10,0,0,0,22,9,5,0,24,11,2,2,0,2,18,9,1,1,2,0,1,0,1,3,36,4,6,2,6,17,9,12,1,0,10,3,0,24,1,0,1,4,4,62,0,0,18,0,0,2,25,0,5,4,0,0,0,6,0,0,2,0,1,2
"Ant560",21,0,7,16,0,1,0,1,0,1,10,1,0,7,19,0,0,0,7,0,0,0,2,8,0,2,11,11,0,0,1,5,0,0,27,6,3,0,0,0,6,1,1,0,2,0,19,5,1,0,0,8,0,2,0,5,1,0,1,8,1,3,1,2,8,19,2,1,1,0,3
"Ant593",1,9,4,2,8,6,19,4,0,0,2,11,2,5,3,9,27,16,12,5,7,0,5,1,7,12,1,2,0,5,9,9,18,15,1,2,14,9,4,2,0,31,1,0,7,4,0,3,6,4,5,0,4,2,1,6,11,1,0,1,7,1,9,4,19,1,0,0,2,3,0
