"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant127","Ant131","Ant137","Ant140","Ant149","Ant156","Ant159","Ant169","Ant176","Ant190","Ant195","Ant207","Ant215","Ant232","Ant242","Ant257","Ant263","Ant289","Ant324","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant560","Ant593"
"Ant260",0,0,21,11,3,4,2,1,22,14,16,2,4,49,22,3,1,0,12,1,2,0,0,25,7,6,21,25,34,13,8,9,0,0,7,25,11,5,13,0,22,0,33,8,2,1,11,15,2,1,0,23,1,4,2,6,22,0,0,1,0,16,0,12,22,7,11,0,0,4,0
"Ant52",0,0,0,0,17,0,6,4,0,0,0,5,4,0,0,27,7,0,1,16,11,0,4,1,2,18,1,0,0,1,11,13,25,6,0,1,0,4,4,17,0,0,1,0,1,0,0,0,29,7,7,0,11,0,0,3,0,3,0,0,10,0,0,1,0,0,0,0,6,0,2
"Ant6",21,0,0,6,1,5,2,2,1,8,9,2,9,21,7,0,1,6,11,0,3,0,0,10,2,15,30,3,0,8,8,2,0,2,26,9,12,4,0,1,9,3,13,6,0,1,9,14,0,7,0,14,1,20,0,5,6,0,0,7,0,12,4,8,2,11,0,1,1,0,3
"Ant7",11,0,6,0,0,2,0,0,4,18,11,0,1,41,10,0,0,0,0,0,1,0,0,17,1,0,25,15,37,1,5,0,0,2,8,5,14,0,1,0,28,0,3,10,0,0,30,5,0,1,0,5,0,0,5,2,14,0,0,0,0,21,0,2,2,7,12,0,0,27,0
"Ant9",3,17,1,0,0,0,2,32,0,0,0,28,11,2,0,6,2,3,0,15,16,16,12,1,27,1,0,0,0,5,11,2,10,15,1,22,0,19,6,28,0,30,1,0,8,32,0,0,46,12,3,0,13,21,1,2,3,21,0,6,8,0,2,0,1,0,0,0,31,0,6
"Ant14",4,0,5,2,0,0,0,1,1,0,0,3,1,3,22,3,0,6,13,1,0,0,0,2,9,19,11,4,0,19,20,4,1,2,7,0,3,6,5,0,2,3,3,6,0,0,1,14,0,4,0,5,0,1,0,3,4,0,0,2,0,2,3,0,5,3,0,0,2,0,0
"Ant19",2,6,2,0,2,0,0,8,0,0,0,0,2,3,2,0,2,2,4,7,5,13,20,2,14,1,30,1,0,2,4,24,18,6,0,2,2,26,23,26,1,2,9,1,9,9,0,2,1,4,3,4,1,6,0,1,12,1,0,0,0,0,1,3,9,1,0,1,3,0,4
"Ant26",1,4,2,0,32,1,8,0,0,0,2,12,6,1,0,4,6,3,7,3,18,1,4,0,5,12,10,0,0,2,7,21,1,20,2,7,0,1,3,1,0,1,4,1,1,1,0,0,6,23,0,0,4,3,0,0,2,7,0,0,19,0,1,0,0,0,0,0,11,0,10
"Ant30",22,0,1,4,0,1,0,0,0,2,9,0,0,4,3,2,1,0,1,0,0,0,0,6,0,0,3,13,12,0,1,0,0,0,7,3,1,0,0,0,17,0,0,0,0,0,4,4,0,0,0,2,0,0,0,3,1,0,0,0,0,6,0,0,0,1,12,0,0,9,0
"Ant38",14,0,8,18,0,0,0,0,2,0,9,0,2,34,14,0,0,1,3,2,0,0,0,7,4,6,11,3,6,32,10,2,0,1,5,3,6,0,3,0,8,1,2,27,0,0,7,0,0,0,0,6,1,2,0,4,6,0,0,4,0,4,0,4,0,5,2,1,1,1,1
