"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant149","Ant153","Ant156","Ant159","Ant169","Ant176","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant219","Ant232","Ant242","Ant255","Ant257","Ant263","Ant289","Ant318","Ant324","Ant332","Ant342","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,0,12,5,20,0,4,0,2,21,1,12,0,0,40,4,0,0,5,16,2,1,0,2,27,0,4,14,31,36,5,1,2,0,4,0,17,9,4,2,2,11,5,0,51,1,2,3,29,0,19,1,4,4,1,0,3,0,0,7,14,2,4,6,0,11,13,6,0,0,0,0,28,0,12,0,34,22,0,1,8,17,2,1
"Ant52",0,0,9,1,2,13,8,15,11,1,1,1,3,5,2,4,3,23,1,2,16,15,3,2,6,14,6,1,1,3,5,20,23,2,4,6,1,0,20,25,2,5,23,6,4,6,14,1,0,2,3,24,40,6,6,17,10,6,1,0,0,0,8,13,9,8,1,5,0,0,1,9,4,1,0,5,2,0,15,5,3,5,7,6
"Ant540",12,9,0,2,3,3,24,10,1,5,11,2,5,6,7,5,3,4,14,24,21,9,1,0,7,0,38,6,15,4,4,3,5,1,2,0,19,22,4,14,1,15,15,0,5,10,6,15,8,1,11,4,4,10,13,0,14,2,0,4,7,2,8,7,6,6,1,9,1,0,11,0,9,1,3,14,9,11,0,13,11,11,0,5
"Ant6",5,1,2,0,0,0,2,1,1,2,22,21,0,2,48,11,2,1,0,4,13,4,0,0,7,0,1,27,7,2,5,6,3,0,0,0,12,1,8,0,2,0,5,1,6,0,0,1,2,0,39,0,4,1,5,0,0,0,0,0,3,2,2,0,0,2,1,3,0,0,6,0,7,4,5,0,2,0,0,0,15,7,4,3
"Ant7",20,2,3,0,0,0,4,1,0,21,4,3,0,0,2,4,0,0,2,10,0,0,0,0,6,0,3,4,13,23,0,2,1,0,0,0,1,5,9,0,1,0,1,0,9,0,0,0,15,0,12,0,1,3,5,0,0,0,0,3,12,0,0,0,1,3,20,3,0,0,1,0,3,0,1,0,13,2,0,0,1,3,0,0
"Ant9",0,13,3,0,0,0,0,13,2,0,0,0,0,2,1,0,5,16,0,0,0,5,5,0,0,7,1,0,0,0,4,10,4,8,3,2,1,0,0,11,21,4,4,17,0,7,4,4,0,2,0,4,0,0,2,3,16,0,1,0,0,0,5,3,0,0,0,0,37,0,1,9,0,1,3,0,4,0,10,21,0,0,0,2
"Ant14",4,8,24,2,4,0,0,4,9,0,8,2,3,15,7,6,3,5,2,7,10,4,1,9,1,9,13,0,1,3,0,10,10,10,17,7,4,4,5,3,8,7,10,0,2,3,4,3,1,1,2,6,7,0,8,16,2,1,1,0,0,13,12,5,1,3,1,6,13,0,14,0,2,5,4,3,5,5,15,5,12,4,3,2
"Ant19",0,15,10,1,1,13,4,0,14,0,1,0,3,4,0,3,2,15,1,12,5,5,3,6,10,6,0,0,1,1,5,10,21,9,4,5,1,3,8,9,6,1,19,1,0,25,7,0,4,6,1,14,2,2,0,10,1,7,0,0,0,0,0,3,0,0,0,0,1,0,2,2,1,4,0,9,0,1,8,1,7,0,12,4
"Ant26",2,11,1,1,0,2,9,14,0,0,0,0,25,29,0,0,11,23,5,4,15,9,7,6,1,2,13,2,0,0,0,24,0,15,7,26,4,3,5,10,11,10,24,6,0,10,32,12,0,2,4,10,2,0,3,22,4,22,0,0,0,2,0,10,6,2,0,4,13,0,4,1,0,17,0,7,0,0,1,19,4,5,10,3
"Ant30",21,1,5,2,21,0,0,0,0,0,4,5,0,5,54,8,0,0,1,3,0,0,0,0,24,0,15,21,13,13,1,0,9,0,3,0,5,6,2,3,0,0,0,0,22,3,0,6,26,0,28,0,2,25,3,0,3,0,0,9,14,1,0,4,0,9,9,13,2,0,1,0,11,0,8,21,4,4,0,0,6,2,0,0
