"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant149","Ant153","Ant156","Ant159","Ant169","Ant176","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant219","Ant232","Ant242","Ant255","Ant257","Ant263","Ant289","Ant318","Ant324","Ant332","Ant342","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,0,16,38,17,3,6,0,0,43,2,6,0,0,28,21,0,2,1,0,3,4,0,0,27,0,10,48,16,26,3,1,22,0,18,4,16,3,2,2,0,5,5,2,47,3,0,20,6,0,14,0,10,16,9,5,2,3,0,1,16,0,7,2,1,18,24,19,0,0,4,0,9,0,25,12,25,4,0,0,12,9,1,0
"Ant52",0,0,0,2,0,13,4,5,10,0,0,0,4,3,2,1,1,2,8,7,14,16,6,27,1,18,2,2,0,1,1,12,5,4,21,3,6,2,7,2,16,2,12,5,0,12,1,2,0,14,7,11,1,0,0,7,21,13,2,0,0,11,1,13,0,1,0,0,20,0,10,16,4,1,0,3,2,0,2,14,2,0,9,18
"Ant540",16,0,0,2,0,15,5,26,7,12,1,5,6,2,52,6,2,3,1,24,5,11,8,7,9,5,17,8,54,11,3,4,6,11,50,8,9,33,14,17,19,14,21,5,17,5,2,37,2,8,12,3,4,42,8,2,4,2,2,16,34,1,3,22,9,18,0,13,1,0,16,0,5,10,5,24,11,0,1,2,16,17,3,8
"Ant6",38,2,2,0,0,1,4,0,4,12,13,15,0,0,35,14,0,0,5,7,15,0,0,0,9,1,2,36,30,3,12,3,5,1,4,0,16,18,4,1,4,1,8,1,19,0,0,2,21,0,21,3,14,0,11,0,3,1,0,6,6,4,1,0,2,15,0,8,0,0,6,0,22,0,4,0,6,0,0,0,16,43,0,1
"Ant7",17,0,0,0,0,0,0,0,0,56,1,45,0,0,5,6,0,0,0,0,0,0,0,0,23,0,5,4,6,5,0,0,0,0,19,0,7,11,0,0,0,0,1,0,2,0,0,0,12,0,21,0,0,32,2,0,4,0,0,0,11,0,0,0,0,2,11,3,0,0,1,0,9,0,3,1,10,3,0,0,2,6,0,0
"Ant9",3,13,15,1,0,0,4,12,8,0,1,0,41,59,0,0,12,24,0,2,6,20,6,53,0,3,2,1,2,1,2,15,9,6,3,8,1,8,0,15,10,14,11,11,2,0,2,8,2,29,5,13,1,12,4,6,3,5,14,4,6,4,5,19,0,8,0,2,17,0,2,22,2,8,0,13,2,0,3,14,4,0,14,3
"Ant14",6,4,5,4,0,4,0,4,2,0,9,1,2,0,6,2,1,7,4,4,7,20,0,0,2,12,6,7,6,0,6,15,7,2,11,13,10,23,2,1,2,6,19,0,2,1,3,3,0,2,3,6,12,0,5,2,3,18,5,3,4,5,4,26,4,11,0,8,13,0,3,2,1,8,2,8,3,0,0,5,7,15,10,21
"Ant19",0,5,26,0,0,12,4,0,14,0,0,0,12,3,1,0,11,6,3,0,18,26,2,11,0,17,0,0,1,0,1,3,0,16,3,0,0,9,1,11,23,5,4,10,0,0,1,1,0,3,0,40,0,0,0,5,0,4,10,1,0,6,3,10,0,3,0,0,0,0,5,16,0,12,0,45,0,0,11,0,0,1,2,0
"Ant26",0,10,7,4,0,8,2,14,0,1,3,0,28,13,6,4,10,38,13,10,1,35,9,5,2,32,6,9,1,0,5,22,18,7,1,14,3,1,6,4,20,13,21,13,1,4,37,4,0,38,0,10,0,0,1,15,10,6,12,2,0,39,23,36,1,7,0,7,14,0,4,7,0,44,0,6,2,0,10,37,4,1,17,12
"Ant30",43,0,12,12,56,0,0,0,1,0,2,44,0,0,24,10,0,0,0,3,1,1,1,0,5,0,10,8,16,14,0,0,12,0,4,0,6,5,1,6,0,1,0,0,19,0,0,10,6,0,42,0,0,25,3,0,4,0,0,16,2,0,3,1,0,8,45,5,0,0,3,0,8,5,8,9,14,15,0,0,5,2,0,0
