"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant149","Ant153","Ant156","Ant159","Ant169","Ant176","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant219","Ant232","Ant242","Ant255","Ant257","Ant263","Ant289","Ant318","Ant324","Ant332","Ant342","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,0,1,17,38,0,0,0,0,10,8,19,0,0,22,20,0,0,1,5,1,0,1,0,34,0,1,9,29,16,4,0,8,0,0,0,1,7,4,1,2,2,1,0,10,0,0,0,14,2,3,0,9,30,2,0,1,0,0,0,5,0,1,0,0,3,1,2,0,19,8,0,22,3,11,13,15,0,0,0,15,8,0,0
"Ant52",0,0,11,0,0,13,5,3,24,1,0,1,11,15,0,3,6,22,4,2,22,18,5,36,0,13,4,0,0,1,3,5,4,6,4,1,3,1,5,8,20,8,11,3,3,29,11,18,0,4,0,5,4,0,3,12,5,42,18,5,1,4,26,16,3,1,1,2,5,1,9,10,1,19,0,10,2,0,4,30,1,2,3,12
"Ant540",1,11,0,0,2,12,3,11,14,9,3,4,21,5,10,6,16,36,11,26,5,9,16,2,7,0,15,8,2,4,6,11,10,1,16,10,6,5,5,46,10,5,21,21,17,39,11,5,1,11,5,8,20,7,8,4,0,18,17,7,6,6,19,8,15,9,1,9,6,11,0,22,4,11,2,10,8,5,2,13,14,1,12,10
"Ant6",17,0,0,0,15,1,1,0,1,10,13,18,3,0,10,8,0,0,2,4,0,2,0,0,1,0,9,33,11,3,13,0,4,2,3,0,2,13,1,2,5,11,4,0,4,0,0,2,8,0,12,2,7,8,4,3,1,1,4,1,3,0,5,0,2,14,2,3,0,7,1,0,20,0,6,0,5,0,0,1,12,9,1,0
"Ant7",38,0,2,15,0,0,6,3,2,10,11,8,1,0,21,10,1,0,7,3,0,0,0,0,12,0,2,16,23,19,17,1,1,1,1,0,2,15,13,6,0,7,0,0,30,3,0,2,12,0,6,5,5,11,2,0,7,1,0,1,12,0,2,0,1,8,5,5,0,6,5,2,14,1,5,7,16,4,0,1,7,21,1,2
"Ant9",0,13,12,1,0,0,2,4,20,0,1,0,0,17,0,0,11,15,0,0,1,9,1,8,2,29,0,0,0,0,0,15,3,13,3,8,5,1,1,1,5,2,13,7,0,8,7,16,0,13,0,2,0,1,11,8,15,1,2,6,0,4,3,10,4,1,0,2,24,0,6,22,1,6,1,0,0,0,4,10,0,0,8,1
"Ant14",0,5,3,1,6,2,0,4,5,0,3,10,0,1,1,5,6,0,3,0,0,6,3,8,2,1,17,4,0,0,12,10,3,5,8,6,2,3,11,0,20,12,9,5,5,2,17,8,9,1,19,1,7,2,6,0,4,0,5,2,1,5,6,8,3,1,1,10,2,4,4,16,6,0,2,7,2,0,0,15,4,2,6,3
"Ant19",0,3,11,0,3,4,4,0,5,0,3,1,8,4,1,0,0,2,0,19,9,9,8,10,1,3,24,0,0,0,7,25,19,4,11,4,4,5,5,10,9,19,6,8,0,8,17,12,1,3,3,9,13,2,15,6,32,22,0,14,0,3,11,6,7,7,0,5,2,0,10,11,2,8,1,2,2,0,11,9,8,0,16,16
"Ant26",0,24,14,1,2,20,5,5,0,2,0,2,7,12,2,6,14,53,5,12,12,10,8,15,0,14,12,4,0,4,10,31,14,20,7,20,4,2,16,10,10,8,12,26,5,3,25,8,1,15,1,6,2,0,11,11,3,19,19,10,0,14,6,12,4,1,0,17,12,5,6,6,4,18,6,2,3,0,8,33,12,2,12,18
"Ant30",10,1,9,10,10,0,0,0,2,0,11,21,0,0,28,20,4,0,0,18,0,0,0,4,13,0,4,12,25,29,5,0,0,4,0,0,5,14,4,2,9,0,7,0,26,0,0,2,16,2,3,0,9,19,3,0,1,0,0,2,9,0,0,4,3,1,6,20,0,22,0,0,24,0,2,5,3,6,0,1,13,15,0,0
"Ant38",8,0,3,13,11,1,3,3,0,11,0,22,1,1,6,11,0,0,3,7,0,2,1,1,1,4,6,17,8,5,6,0,6,2,8,0,5,27,18,3,3,7,1,0,5,4,1,9,3,3,19,0,23,8,6,1,14,1,1,1,10,1,4,4,5,11,3,6,1,12,3,5,16,0,5,0,20,0,0,0,15,5,0,13
"Ant60",19,1,4,18,8,0,10,1,2,21,22,0,6,0,21,70,1,0,1,5,1,3,0,2,18,0,11,14,14,24,21,5,12,4,9,2,24,68,18,4,4,14,2,5,13,2,5,0,12,3,41,0,19,9,9,0,3,14,0,6,20,3,1,6,1,16,12,20,0,21,6,1,28,3,19,9,26,11,0,3,24,23,9,2
"Ant64",0,11,21,3,1,0,0,8,7,0,1,6,0,31,5,2,4,25,4,19,0,4,3,4,1,10,10,2,4,0,4,11,12,6,29,6,6,0,3,5,9,2,3,1,1,16,33,8,0,2,0,7,16,1,3,6,5,11,14,2,0,16,20,4,3,4,0,3,6,3,6,5,4,13,3,4,6,0,1,15,3,5,4,8
"Ant158",0,15,5,0,0,17,1,4,12,0,1,0,31,0,0,0,19,42,0,0,31,12,6,36,0,19,5,0,1,0,0,13,7,5,1,15,0,0,1,6,13,1,17,6,2,2,6,10,0,10,0,1,0,0,6,4,5,9,15,4,0,2,9,14,0,0,0,3,59,0,10,12,0,17,0,3,0,0,14,13,1,0,5,0
"Ant196",22,0,10,10,21,0,1,1,2,28,6,21,5,0,0,25,0,0,11,32,0,0,0,2,19,0,5,20,23,31,13,8,11,0,2,0,7,21,23,6,9,0,4,0,29,0,0,4,17,0,3,0,7,18,15,0,7,1,0,3,19,0,0,2,4,16,4,3,0,27,0,0,24,0,17,5,10,7,0,1,13,4,0,2
"Ant202",20,3,6,8,10,0,5,0,6,20,11,70,2,0,25,0,4,2,9,18,0,0,1,0,17,1,17,17,23,20,23,1,10,0,16,1,10,19,25,6,5,8,0,5,28,1,2,8,23,2,30,0,16,31,13,0,6,0,0,3,25,4,6,0,3,15,9,6,0,10,1,0,40,0,15,6,27,5,2,1,14,22,1,1
"Ant209",0,6,16,0,1,11,6,0,14,4,0,1,4,19,0,4,0,8,1,3,4,23,0,5,0,22,10,1,0,0,9,8,5,9,0,3,4,1,4,2,23,2,10,14,7,25,0,8,1,1,0,1,4,0,6,9,6,3,3,0,2,15,11,12,9,5,0,1,33,2,1,6,0,3,1,1,0,0,9,16,4,0,7,10
"Ant252",0,22,36,0,0,15,0,2,53,0,0,0,25,42,0,2,8,0,10,8,11,18,4,21,0,29,2,0,0,0,2,30,21,5,31,25,0,1,3,12,35,0,37,20,4,5,23,26,0,8,0,14,0,0,16,38,20,27,29,1,1,22,16,11,0,13,0,6,51,0,7,34,0,39,1,2,1,0,14,30,0,1,15,11
"Ant268",1,4,11,2,7,0,3,0,5,0,3,1,4,0,11,9,1,10,0,14,5,0,0,8,2,2,10,5,2,1,1,6,8,6,23,1,19,1,7,8,10,6,6,0,25,32,0,10,3,0,5,0,1,5,1,10,0,4,1,3,5,2,5,22,3,5,3,3,1,5,0,0,9,4,3,6,5,0,0,5,8,1,0,10
"Ant308",5,2,26,4,3,0,0,19,12,18,7,5,19,0,32,18,3,8,14,0,6,7,4,0,3,4,11,3,4,6,8,9,27,7,12,6,4,9,6,32,27,10,1,12,4,10,3,16,7,19,3,11,18,3,4,11,14,3,13,7,5,8,8,3,5,9,0,7,3,13,9,2,9,18,8,16,3,0,0,12,18,5,7,9
"Ant311",1,22,5,0,0,1,0,9,12,0,0,1,0,31,0,0,4,11,5,6,0,2,3,3,0,4,4,2,2,0,13,11,2,4,0,8,4,2,10,11,14,3,0,3,0,4,30,6,2,6,2,5,4,0,8,4,5,11,6,7,0,3,19,3,2,17,0,2,10,1,6,19,0,15,4,1,0,0,1,16,0,0,8,14
"Ant620",0,18,9,2,0,9,6,9,10,0,2,3,4,12,0,0,23,18,0,7,2,0,11,9,3,34,1,1,0,0,10,30,11,22,5,10,3,0,14,4,29,9,6,32,0,6,17,7,0,9,4,18,1,0,4,15,14,15,24,6,3,15,2,12,0,4,0,1,19,0,5,6,0,25,1,0,0,0,4,8,0,0,6,9
"Ant0",1,5,16,0,0,1,3,8,8,0,1,0,3,6,0,1,0,4,0,4,3,11,2,2,0,2,2,0,0,0,6,12,18,2,2,0,1,1,1,2,14,1,2,6,0,4,5,4,0,4,0,0,5,0,2,2,6,4,41,6,0,10,7,3,1,13,0,0,2,0,0,8,0,5,0,0,4,0,0,5,0,0,6,9
"Ant13",0,36,2,0,0,8,8,10,15,4,1,2,4,36,2,0,5,21,8,0,3,9,2,0,1,12,0,0,3,1,1,22,1,18,4,1,0,0,4,2,21,7,12,3,2,9,6,13,0,3,0,9,1,0,15,16,3,3,5,2,0,1,1,12,1,2,0,0,23,0,2,3,0,4,0,5,0,0,6,5,1,0,2,5
"Ant23",34,0,7,1,12,2,2,1,0,13,1,18,1,0,19,17,0,0,2,3,0,3,0,1,0,6,26,7,32,18,3,2,20,11,7,0,0,27,4,8,13,1,3,0,22,1,0,2,11,1,6,0,2,16,6,3,4,2,0,13,30,1,0,0,2,11,6,1,0,15,7,2,26,0,2,9,13,20,1,0,12,3,0,0
"Ant27",0,13,0,0,0,29,1,3,14,0,4,0,10,19,0,1,22,29,2,4,4,34,2,12,6,0,2,0,0,0,3,19,6,31,9,39,0,8,4,2,13,1,6,49,2,18,4,31,0,12,0,7,0,0,10,6,10,15,12,4,2,22,7,10,0,1,0,0,37,2,2,10,0,9,1,10,3,0,9,38,0,2,3,9
"Ant29",1,4,15,9,2,0,17,24,12,4,6,11,10,5,5,17,10,2,10,11,4,1,2,0,26,2,0,4,0,7,24,12,24,5,21,2,14,17,28,11,15,21,4,0,1,11,10,35,4,10,20,4,13,17,26,7,10,5,4,8,8,2,11,0,6,16,0,13,0,11,2,8,12,4,3,0,11,0,0,5,21,13,9,2
"Ant42",9,0,8,33,16,0,4,0,4,12,17,14,2,0,20,17,1,0,5,3,2,1,0,0,7,0,4,0,10,32,32,0,6,0,1,0,8,15,6,0,0,11,0,1,12,0,5,2,10,0,17,0,2,1,7,0,3,1,0,3,2,0,2,0,0,11,0,7,2,6,1,1,21,2,14,0,8,0,0,2,12,12,0,1
"Ant43",29,0,2,11,23,0,0,0,0,25,8,14,4,1,23,23,0,0,2,4,2,0,0,3,32,0,0,10,0,18,4,0,0,0,3,0,6,42,5,1,3,1,0,1,19,0,0,1,12,0,8,0,8,8,5,0,4,2,0,6,14,0,2,0,0,15,9,4,0,22,0,0,22,0,5,4,9,0,0,0,2,10,0,1
"Ant55",16,1,4,3,19,0,0,0,4,29,5,24,0,0,31,20,0,0,1,6,0,0,0,1,18,0,7,32,18,0,7,1,1,0,0,0,13,26,29,0,5,3,7,0,20,0,0,3,19,4,3,0,5,10,13,0,4,1,0,1,14,0,5,2,0,4,0,1,0,8,0,0,26,0,17,12,32,2,2,2,8,8,1,1
