"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant19","Ant26","Ant64","Ant196","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant55","Ant91","Ant97","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant263","Ant332","Ant380","Ant458","Ant492","Ant507","Ant530","Ant593"
"Ant260",0,9,13,17,2,13,0,3,22,7,10,2,2,0,0,5,31,4,0,32,10,19,0,24,10,4,16,1,7,11,10,1,8,10,9,29,0,1,11,6,0,3
"Ant52",9,0,15,0,2,2,2,7,4,1,0,4,2,11,8,0,3,2,0,3,1,18,0,2,4,7,6,3,0,5,0,1,0,2,2,0,1,1,0,0,5,11
"Ant6",13,15,0,6,1,3,0,5,19,2,21,15,6,0,1,9,6,14,3,11,9,23,0,8,4,2,3,2,0,27,0,0,0,7,4,0,1,4,17,4,2,16
"Ant7",17,0,6,0,0,0,0,0,13,0,1,4,2,1,1,1,8,5,4,13,2,3,0,3,3,0,0,1,6,12,10,0,18,0,2,7,0,0,6,0,0,0
"Ant9",2,2,1,0,0,0,5,8,0,2,2,0,10,9,3,0,0,8,25,2,3,13,10,3,0,3,7,1,0,0,0,6,0,4,7,1,0,1,0,0,19,12
"Ant19",13,2,3,0,0,0,0,10,3,3,3,1,4,22,1,2,0,0,3,2,4,6,8,2,44,6,16,1,0,0,0,8,0,5,1,0,0,4,2,5,1,14
"Ant26",0,2,0,0,5,0,0,9,0,0,4,0,0,14,2,0,0,5,7,0,0,2,5,1,2,4,3,4,0,3,0,0,0,1,3,0,0,0,2,6,27,1
"Ant64",3,7,5,0,8,10,9,0,1,4,0,1,0,19,6,17,1,2,0,2,8,5,5,1,12,2,3,22,0,15,0,6,0,4,1,0,0,0,3,2,42,2
"Ant196",22,4,19,13,0,3,0,1,0,4,11,15,3,0,1,4,31,6,19,45,8,2,0,13,3,2,17,0,7,9,5,1,20,7,4,23,0,1,16,0,0,1
"Ant209",7,1,2,0,2,3,0,4,4,0,3,12,0,3,0,0,4,8,0,1,14,3,4,5,9,2,8,0,0,3,0,3,0,3,2,0,0,2,7,2,5,4
"Ant268",10,0,21,1,2,3,4,0,11,3,0,6,3,2,1,1,14,4,8,1,3,6,5,15,4,2,2,2,0,9,0,0,0,6,1,0,0,0,7,0,6,17
"Ant308",2,4,15,4,0,1,0,1,15,12,6,0,2,2,0,5,2,9,8,6,10,1,0,12,3,4,8,0,0,13,0,10,0,0,5,0,0,4,2,3,0,5
"Ant311",2,2,6,2,10,4,0,0,3,0,3,2,0,0,0,0,7,5,3,1,18,3,0,2,3,0,0,1,0,13,0,6,0,4,0,10,0,0,12,7,0,5
"Ant620",0,11,0,1,9,22,14,19,0,3,2,2,0,0,0,1,0,1,4,0,0,3,7,0,1,9,2,4,0,1,0,0,0,0,3,0,0,2,0,2,22,2
"Ant0",0,8,1,1,3,1,2,6,1,0,1,0,0,0,0,0,0,0,1,0,7,9,0,0,3,2,1,1,0,2,0,1,0,6,1,0,0,2,0,0,4,1
"Ant13",5,0,9,1,0,2,0,17,4,0,1,5,0,1,0,0,2,3,0,1,4,15,0,6,6,5,1,0,0,3,0,0,0,0,16,0,0,0,2,6,1,2
"Ant23",31,3,6,8,0,0,0,1,31,4,14,2,7,0,0,2,0,5,1,2,3,3,0,16,3,0,15,1,0,28,3,0,17,2,2,17,0,0,5,0,0,0
"Ant27",4,2,14,5,8,0,5,2,6,8,4,9,5,1,0,3,5,0,1,4,2,18,5,9,10,15,7,2,0,6,0,0,0,14,18,0,0,10,5,15,2,12
"Ant29",0,0,3,4,25,3,7,0,19,0,8,8,3,4,1,0,1,1,0,4,4,1,5,5,4,1,4,0,0,0,0,2,0,1,2,0,0,3,4,7,40,51
"Ant55",32,3,11,13,2,2,0,2,45,1,1,6,1,0,0,1,2,4,4,0,4,1,0,13,8,4,1,0,0,5,0,0,0,3,3,0,2,0,18,0,0,0
