"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant149","Ant153","Ant156","Ant159","Ant169","Ant176","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant219","Ant232","Ant242","Ant255","Ant257","Ant263","Ant289","Ant318","Ant324","Ant332","Ant342","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,2,2,23,10,0,0,0,0,11,5,23,0,2,37,23,0,0,7,8,5,0,0,0,28,0,10,27,22,22,4,3,8,0,13,0,11,38,6,1,0,1,5,0,29,0,1,2,4,2,18,0,11,3,6,0,7,0,1,2,15,2,0,0,0,14,1,2,0,0,3,0,18,0,9,1,10,18,3,4,7,4,1,0
"Ant52",2,0,11,7,0,12,1,7,4,0,2,1,12,3,6,1,3,8,2,5,17,4,0,7,0,6,9,3,1,2,5,2,3,13,0,3,6,6,6,17,6,4,26,4,2,0,19,4,0,16,1,8,9,2,10,6,7,8,11,3,0,4,19,0,2,1,0,1,17,0,10,22,1,10,1,6,0,4,6,5,4,2,6,5
"Ant540",2,11,0,0,7,5,12,14,9,3,1,7,8,8,6,5,4,17,11,4,3,25,1,3,2,2,9,4,3,9,7,26,3,19,3,5,6,5,4,14,0,2,24,10,5,18,10,18,4,4,0,8,6,8,7,23,9,9,17,12,3,47,21,19,2,5,1,24,17,0,2,2,2,13,1,8,11,1,3,4,10,5,4,12
"Ant6",23,7,0,0,8,0,5,9,3,4,12,4,0,2,19,31,4,4,1,6,1,0,0,0,2,0,8,12,18,18,9,3,16,0,13,0,11,14,4,0,3,7,10,1,19,4,0,9,10,0,14,1,10,0,1,0,2,1,0,0,22,1,1,0,8,24,3,3,0,0,5,0,1,1,5,0,0,0,0,5,13,7,0,11
"Ant7",10,0,7,8,0,0,2,0,0,11,9,6,0,0,2,12,1,5,0,12,3,0,0,0,34,0,0,2,14,2,1,0,2,0,6,0,4,4,2,0,0,0,0,0,18,0,0,8,7,0,15,0,5,5,1,0,0,0,0,0,12,0,1,0,0,2,17,3,0,2,0,0,20,0,5,0,1,3,2,2,12,2,0,1
"Ant9",0,12,5,0,0,0,7,1,2,0,0,0,10,1,0,0,2,21,0,0,9,2,6,7,0,22,0,0,0,0,1,7,3,2,0,39,0,1,1,11,16,0,15,15,0,22,22,5,0,13,0,12,0,0,0,0,12,0,58,0,0,37,2,0,4,0,0,2,37,0,2,9,0,8,0,0,0,0,13,9,0,0,26,8
"Ant14",0,1,12,5,2,7,0,12,5,0,2,2,0,3,7,2,0,3,1,0,5,15,0,3,5,3,4,0,3,2,0,14,19,19,17,10,7,7,5,12,29,1,27,8,3,16,2,7,1,1,1,9,4,9,1,20,3,9,1,3,0,14,14,10,1,3,0,1,13,0,9,0,0,1,6,8,0,0,0,1,4,1,13,3
"Ant19",0,7,14,9,0,1,12,0,7,3,6,4,0,10,0,2,7,7,10,26,4,21,5,3,0,10,12,4,1,8,2,39,37,11,8,5,5,0,3,35,21,9,6,1,4,5,18,14,4,6,6,0,0,4,3,8,9,11,0,11,2,3,24,18,1,3,0,17,4,0,3,0,3,13,4,18,5,0,5,2,3,3,17,17
"Ant26",0,4,9,3,0,2,5,7,0,0,1,4,3,11,0,0,4,0,8,9,8,11,4,6,2,12,9,0,0,1,13,4,18,9,6,9,2,1,9,9,20,16,28,6,3,18,14,5,1,6,0,16,9,0,4,6,14,1,13,1,0,23,18,15,11,4,0,5,16,0,18,9,0,12,8,0,0,0,8,18,1,2,9,21
"Ant30",11,0,3,4,11,0,0,3,0,0,1,11,0,0,10,11,0,0,3,9,2,0,0,0,35,0,10,9,20,25,4,1,0,0,0,0,2,9,2,0,0,0,0,0,4,5,0,2,17,0,6,0,0,14,0,0,3,0,0,2,10,0,1,0,0,13,1,2,0,0,0,0,18,0,0,1,8,14,0,5,2,0,0,1
