"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant149","Ant153","Ant156","Ant159","Ant169","Ant176","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant219","Ant232","Ant242","Ant255","Ant257","Ant263","Ant289","Ant318","Ant324","Ant332","Ant342","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,0,3,7,5,1,2,1,2,8,5,8,1,0,9,12,0,0,2,2,2,0,0,2,18,0,1,49,30,14,2,3,3,0,4,0,11,21,4,0,0,5,7,0,8,1,0,2,15,0,21,3,2,18,3,0,3,0,0,1,16,0,1,4,0,21,3,7,0,0,0,0,14,1,17,3,20,4,0,4,7,8,1,0
"Ant52",0,0,6,0,0,3,6,7,29,0,1,5,10,10,2,1,22,32,9,1,5,9,1,7,1,36,4,0,0,12,2,17,8,0,2,8,7,5,15,16,4,2,21,7,0,4,4,14,0,9,1,3,2,2,0,2,11,6,2,1,2,18,24,12,9,6,0,2,5,0,6,21,1,2,2,2,3,0,0,17,3,1,12,9
"Ant540",3,6,0,1,5,0,1,28,30,6,5,6,8,7,4,1,8,0,2,4,2,0,0,6,4,1,18,1,6,6,2,5,15,8,3,4,31,5,9,6,32,10,23,2,7,3,3,22,5,1,1,15,9,2,11,3,8,20,2,0,4,5,1,4,11,16,0,12,1,0,3,3,7,31,0,1,2,0,0,20,18,7,3,18
"Ant6",7,0,1,0,5,0,3,1,3,1,7,22,0,2,1,11,0,0,0,3,1,4,0,0,15,0,6,9,5,2,2,0,1,0,18,0,11,14,9,0,2,1,0,1,16,0,1,7,6,0,25,1,1,0,3,1,3,0,1,0,6,1,1,5,2,6,1,7,0,4,3,0,7,0,31,3,1,0,0,0,8,16,0,2
"Ant7",5,0,5,5,0,0,0,0,0,15,9,14,0,0,13,9,0,0,0,0,0,0,0,0,12,0,3,22,17,11,4,1,1,1,10,0,2,9,5,0,0,2,1,0,7,0,0,3,5,0,8,2,17,4,3,0,1,0,0,6,4,0,1,0,0,7,9,1,0,1,0,0,0,0,5,7,7,3,0,0,9,3,1,1
"Ant9",1,3,0,0,0,0,20,6,21,0,0,0,2,10,0,0,5,33,3,1,1,17,5,24,2,29,0,0,1,0,4,15,4,47,4,48,2,1,6,1,28,7,12,7,0,2,26,1,0,22,0,1,1,0,0,18,6,3,7,7,0,2,1,1,0,0,0,2,26,0,6,5,0,5,0,0,0,0,3,12,3,0,1,6
"Ant14",2,6,1,3,0,20,0,6,3,0,0,4,2,9,6,2,1,4,7,8,0,8,2,5,0,6,2,0,0,2,7,11,24,4,2,8,6,1,13,15,12,16,10,1,10,6,2,2,1,4,2,2,1,0,5,0,3,11,6,22,0,8,3,2,7,4,1,2,6,0,0,7,2,4,0,38,4,0,0,6,3,7,13,1
"Ant19",1,7,28,1,0,6,6,0,18,0,1,4,12,11,0,2,17,4,23,4,10,11,0,5,3,23,14,1,1,3,3,7,15,0,5,0,10,4,16,11,4,17,18,6,1,19,7,16,0,0,0,41,2,1,0,3,5,25,4,0,1,8,16,17,6,2,0,3,7,0,24,10,0,17,2,0,3,0,0,24,1,1,4,23
"Ant26",2,29,30,3,0,21,3,18,0,0,1,0,19,24,0,0,22,15,15,6,5,14,0,2,0,4,14,0,1,4,6,14,9,7,7,10,6,1,9,15,26,2,11,25,0,8,10,29,1,6,3,14,19,1,1,27,10,13,8,0,2,25,13,13,8,10,0,2,29,0,11,26,0,4,2,0,2,0,0,6,8,0,14,38
"Ant30",8,0,6,1,15,0,0,0,0,0,2,1,0,1,1,7,1,0,1,1,0,0,0,0,4,0,0,2,28,3,0,1,1,0,2,0,1,8,0,0,0,0,0,0,16,1,0,4,2,0,6,0,2,0,0,0,0,0,0,0,5,0,0,0,1,8,17,0,0,1,0,0,4,0,0,0,4,6,0,1,6,1,0,1
"Ant38",5,1,5,7,9,0,0,1,1,2,0,13,5,1,8,24,1,0,0,8,2,5,0,0,7,0,27,12,7,4,6,1,2,0,18,0,4,8,5,14,2,3,4,0,11,14,0,10,8,0,16,3,7,5,6,1,0,2,1,0,4,3,4,8,1,6,5,4,0,0,4,0,11,4,0,1,16,0,0,1,13,0,0,0
"Ant60",8,5,6,22,14,0,4,4,0,1,13,0,4,3,12,32,2,0,0,2,1,0,0,1,20,0,5,9,9,14,12,2,3,0,19,0,5,17,7,2,0,1,0,0,25,4,0,13,1,7,14,3,21,13,9,5,3,2,0,0,9,2,2,1,2,10,0,8,0,2,1,2,16,11,14,11,5,2,0,0,10,10,3,1
"Ant64",1,10,8,0,0,2,2,12,19,0,5,4,0,3,4,4,8,13,1,8,3,8,0,11,1,10,23,3,0,0,3,14,4,8,3,23,9,4,9,7,11,21,30,18,0,12,0,10,0,0,0,1,3,0,5,6,5,17,3,2,0,12,8,10,1,3,0,5,7,0,12,4,1,3,0,0,2,0,0,5,1,0,35,15
"Ant158",0,10,7,2,0,10,9,11,24,1,1,3,3,0,8,0,10,47,2,3,11,9,1,7,4,26,2,2,2,2,7,19,15,9,3,0,6,2,7,8,37,21,21,12,3,20,9,12,0,13,1,22,1,5,1,17,6,18,5,1,2,35,10,11,3,7,0,3,9,0,3,48,8,2,0,3,3,0,1,19,0,3,13,18
"Ant196",9,2,4,1,13,0,6,0,0,1,8,12,4,8,0,25,1,0,16,1,1,1,0,0,43,0,5,16,88,31,1,6,23,0,12,0,3,35,3,4,1,10,1,2,51,7,0,6,14,0,11,0,18,46,8,0,1,1,1,7,23,0,2,8,1,18,3,8,0,7,8,0,36,6,19,43,18,2,0,5,11,0,1,1
"Ant202",12,1,1,11,9,0,2,2,0,7,24,32,4,0,25,0,0,0,3,11,0,9,0,1,15,0,36,33,55,27,13,3,18,0,13,0,14,21,4,0,3,0,2,0,19,4,0,14,15,1,21,0,11,19,14,0,4,1,0,4,23,3,1,1,2,19,2,3,0,0,1,0,22,8,6,1,10,3,0,3,20,13,1,0
"Ant209",0,22,8,0,0,5,1,17,22,1,1,2,8,10,1,0,0,19,7,0,7,3,0,17,1,27,3,1,0,3,1,1,9,6,6,2,3,3,13,10,10,12,8,13,1,13,8,4,0,4,4,5,3,1,0,1,5,5,25,0,0,2,21,3,3,2,0,4,2,0,0,1,0,14,1,2,3,0,1,5,5,2,6,11
"Ant252",0,32,0,0,0,33,4,4,15,0,0,0,13,47,0,0,19,0,45,13,17,18,0,29,3,34,0,0,0,0,8,39,26,7,5,1,12,6,6,42,15,2,15,9,1,23,18,5,2,7,2,1,0,0,1,15,11,32,14,13,0,34,4,22,12,2,0,1,24,0,7,13,0,2,4,3,3,0,0,16,0,0,30,14
"Ant268",2,9,2,0,0,3,7,23,15,1,0,0,1,2,16,3,7,45,0,11,13,13,0,9,12,16,7,2,3,6,1,9,13,1,3,0,1,2,9,19,2,0,6,14,19,8,5,2,2,3,0,2,1,3,3,8,1,13,0,9,0,10,13,4,4,2,0,1,9,0,9,34,3,5,1,19,3,0,0,29,1,0,16,1
"Ant308",2,1,4,3,0,1,8,4,6,1,8,2,8,3,1,11,0,13,11,0,7,8,0,4,3,0,11,10,6,5,4,29,9,0,10,0,5,3,14,15,30,9,18,1,12,43,5,9,13,6,2,6,24,3,21,0,2,16,3,11,1,9,4,22,1,8,0,22,2,0,6,0,0,3,1,8,3,0,0,11,14,14,26,7
"Ant311",2,5,2,1,0,1,0,10,5,0,2,1,3,11,1,0,7,17,13,7,0,2,0,1,3,10,5,1,2,4,4,1,38,0,21,0,1,3,3,13,2,1,24,10,5,2,3,3,0,13,3,9,5,2,4,0,6,21,15,5,1,19,10,2,7,6,0,1,3,0,3,23,2,2,3,0,6,0,0,1,0,0,0,4
"Ant620",0,9,0,4,0,17,8,11,14,0,5,0,8,9,1,9,3,18,13,8,2,0,1,22,1,7,10,0,2,2,4,31,26,29,10,25,6,0,26,13,11,5,11,1,2,14,8,8,0,3,3,2,8,0,4,4,11,11,13,17,0,3,6,16,4,6,0,2,12,0,9,7,1,3,1,20,1,0,3,19,1,0,26,26
"Ant0",0,1,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,14,0,0,0,0,0,0,0,6,0,13,0,0,1,0,36,0,2,2,0,0,0,2,0,0,0,0,0,0,0,5,0,0,7,0,0,0,26,0,0,0,0,0,6,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0
"Ant13",2,7,6,0,0,24,5,5,2,0,0,1,11,7,0,1,17,29,9,4,1,22,1,0,2,29,6,0,1,5,1,15,25,22,1,13,4,7,5,19,26,6,21,13,0,13,17,11,0,5,1,5,4,0,0,5,11,5,10,1,0,28,4,6,23,4,0,1,14,0,15,4,0,11,1,0,2,0,1,16,6,1,5,8
"Ant23",18,1,4,15,12,2,0,3,0,4,7,20,1,4,43,15,1,3,12,3,3,1,0,2,0,0,10,29,44,22,8,1,56,0,6,0,21,20,10,3,0,0,7,2,20,4,1,14,26,0,15,7,13,23,2,2,9,1,0,2,4,2,6,5,3,36,7,17,0,0,0,1,19,1,12,14,14,4,0,7,12,7,7,4
"Ant27",0,36,1,0,0,29,6,23,4,0,0,0,10,26,0,0,27,34,16,0,10,7,14,29,0,0,5,0,0,0,0,13,5,16,0,23,14,0,8,0,46,18,14,5,0,3,29,0,0,7,0,0,0,0,0,13,6,15,23,3,0,4,2,11,3,2,0,0,15,0,8,17,0,7,0,2,2,0,1,23,0,2,8,3
"Ant29",1,4,18,6,3,0,2,14,14,0,27,5,23,2,5,36,3,0,7,11,5,10,0,6,10,5,0,5,5,6,3,12,27,0,21,0,23,9,26,5,8,10,13,1,2,12,4,14,3,10,18,12,9,4,15,8,27,23,4,0,4,9,16,12,9,18,0,19,0,0,0,17,11,21,2,1,6,0,0,1,19,2,8,9
"Ant42",49,0,1,9,22,0,0,1,0,2,12,9,3,2,16,33,1,0,2,10,1,0,0,0,29,0,5,0,11,20,7,2,2,0,14,0,8,11,18,2,0,1,3,0,11,1,0,3,12,0,27,2,7,30,4,5,5,0,2,5,17,0,2,3,0,17,0,6,0,0,0,0,14,9,13,3,14,0,0,0,10,25,0,2
