"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant127","Ant131","Ant137","Ant140","Ant149","Ant156","Ant159","Ant169","Ant176","Ant190","Ant195","Ant207","Ant215","Ant232","Ant242","Ant257","Ant263","Ant289","Ant324","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant560","Ant593"
"Ant260",0,0,18,21,0,3,0,0,7,5,29,1,0,19,29,1,0,1,4,2,0,0,1,12,0,0,56,27,28,1,0,7,3,0,9,11,3,0,1,0,26,2,0,11,0,0,3,4,0,1,0,27,0,3,3,5,14,0,0,5,0,22,0,8,1,14,16,0,1,17,2
"Ant52",0,0,2,0,15,1,6,6,0,0,3,5,4,2,0,16,0,8,4,2,20,1,8,0,12,0,1,0,4,3,8,1,6,0,2,4,0,23,4,15,5,0,2,0,5,1,0,0,5,16,1,0,3,7,1,0,2,4,0,9,1,0,0,1,11,0,0,2,7,0,1
"Ant6",18,2,0,4,0,5,0,0,0,6,2,2,4,26,7,0,0,5,16,14,5,0,1,5,1,3,8,5,3,8,1,3,2,1,9,3,17,1,2,1,18,0,1,2,0,4,12,5,0,1,1,11,0,7,1,23,11,1,0,4,0,7,2,21,12,14,0,0,5,0,1
"Ant7",21,0,4,0,0,4,0,1,11,11,31,0,0,29,7,0,0,3,4,0,0,0,0,36,0,0,7,13,10,1,1,2,0,0,0,1,0,1,1,1,53,2,0,30,0,0,20,0,2,1,1,16,0,2,0,2,1,0,0,0,0,16,0,2,1,13,10,0,0,9,1
"Ant9",0,15,0,0,0,0,23,9,0,0,1,33,14,0,0,3,5,0,0,0,14,2,7,0,52,16,0,0,0,5,2,2,9,4,2,0,16,23,11,23,0,4,0,0,9,0,1,0,14,11,10,0,31,8,0,0,3,6,0,1,19,0,9,0,10,0,0,6,14,0,5
"Ant14",3,1,5,4,0,0,2,0,0,5,7,3,0,10,4,0,1,7,3,21,1,0,0,2,2,6,4,0,6,12,8,16,2,0,12,3,9,5,0,1,5,1,13,1,0,14,4,15,6,3,0,5,0,8,1,4,17,0,0,15,5,2,0,11,13,0,0,3,3,0,3
"Ant19",0,6,0,0,23,2,0,3,0,0,0,2,2,4,0,5,0,8,13,1,21,2,1,1,47,3,1,0,0,4,19,0,10,8,1,4,7,7,11,21,8,6,2,0,3,3,0,6,21,17,6,0,9,2,1,2,2,7,0,6,2,0,10,4,5,0,0,15,5,0,8
"Ant26",0,6,0,1,9,0,3,0,0,0,0,13,9,5,2,3,10,19,0,3,11,0,7,0,8,17,0,0,0,2,10,17,7,6,1,3,19,1,7,12,1,17,31,0,1,8,0,0,14,11,1,0,6,10,0,0,3,2,0,6,3,0,13,0,6,0,0,15,5,0,19
"Ant30",7,0,0,11,0,0,0,0,0,4,19,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,37,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,1,0
"Ant38",5,0,6,11,0,5,0,0,4,0,35,0,1,28,10,1,3,3,12,6,0,0,1,2,0,4,11,5,1,1,2,1,2,0,9,22,1,1,0,0,14,0,8,11,0,0,9,3,1,4,0,4,0,5,2,11,19,0,0,4,0,6,0,2,2,12,3,0,2,4,5
"Ant60",29,3,2,31,1,7,0,0,19,35,0,0,0,19,20,0,0,7,3,6,0,0,1,24,0,2,18,21,11,0,2,0,0,0,11,8,2,3,8,1,38,1,8,16,0,0,1,6,0,0,0,22,1,1,2,5,3,0,0,1,0,17,0,0,4,5,10,0,0,15,2
"Ant64",1,5,2,0,33,3,2,13,0,0,0,0,17,3,0,8,20,29,1,1,13,0,22,1,20,32,1,0,0,4,5,40,19,18,0,3,11,20,17,10,4,6,0,0,7,9,0,0,8,23,16,0,22,12,0,0,0,1,0,2,2,0,7,2,40,1,0,4,9,1,23
"Ant158",0,4,4,0,14,0,2,9,0,1,0,17,0,0,0,2,16,5,11,0,15,38,4,0,6,4,0,0,0,11,6,1,33,14,0,2,2,2,22,2,0,11,3,0,9,0,0,0,3,3,11,0,12,14,0,25,1,15,0,1,23,2,24,3,1,0,0,16,4,0,5
"Ant196",19,2,26,29,0,10,4,5,2,28,19,3,0,0,37,3,5,9,3,19,0,0,4,28,2,10,53,17,21,6,11,26,1,0,25,6,15,17,42,0,33,3,13,31,0,3,11,6,3,2,3,8,4,6,10,11,7,2,0,10,4,17,0,24,8,14,10,7,1,15,2
"Ant202",29,0,7,7,0,4,0,2,0,10,20,0,0,37,0,1,2,3,3,3,2,0,2,10,0,1,30,23,13,5,7,6,0,0,3,2,0,5,0,0,17,2,10,10,0,1,3,9,1,0,0,17,3,3,0,7,8,0,2,14,0,3,1,2,2,11,8,1,2,23,1
"Ant209",1,16,0,0,3,0,5,3,0,1,0,8,2,3,1,0,5,2,2,3,6,0,4,2,2,2,4,0,0,5,7,4,7,2,8,2,2,0,1,0,2,4,0,1,6,2,0,0,3,7,0,0,4,3,1,4,3,5,0,1,0,3,1,4,9,0,0,0,0,0,10
"Ant252",0,0,0,0,5,1,0,10,0,3,0,20,16,5,2,5,0,9,0,2,15,0,5,0,26,16,0,0,0,15,12,18,6,22,0,6,9,1,24,5,1,16,19,0,19,0,1,5,4,12,7,0,36,15,0,1,4,4,0,19,26,0,5,0,2,1,0,14,3,0,19
"Ant268",1,8,5,3,0,7,8,19,0,3,7,29,5,9,3,2,9,0,2,11,3,1,5,1,0,5,0,0,2,5,13,14,14,5,23,1,18,3,7,14,5,7,15,0,0,3,0,3,19,6,6,3,5,15,4,2,7,1,0,7,9,0,5,6,19,0,0,10,1,0,9
"Ant308",4,4,16,4,0,3,13,0,0,12,3,1,11,3,3,2,0,2,0,43,1,0,2,1,3,14,5,4,1,8,13,0,0,1,0,5,3,8,5,0,6,3,4,1,6,1,0,12,3,3,4,0,0,7,0,17,14,2,0,15,0,1,0,6,2,2,0,0,1,0,2
"Ant311",2,2,14,0,0,21,1,3,0,6,6,1,0,19,3,3,2,11,43,0,8,1,8,2,0,41,6,4,1,5,12,15,0,7,9,11,12,5,6,0,8,14,15,1,0,2,4,7,4,9,7,0,3,21,1,7,16,1,1,8,0,5,2,11,11,4,0,6,13,0,7
"Ant620",0,20,5,0,14,1,21,11,0,0,0,13,15,0,2,6,15,3,1,8,0,10,9,0,10,3,0,0,0,2,11,3,8,4,2,2,5,7,12,8,2,9,1,0,19,7,0,0,9,9,38,0,15,3,0,0,1,23,0,0,23,0,23,2,3,0,0,6,19,0,1
"Ant0",0,1,0,0,2,0,2,0,0,0,0,0,38,0,0,0,0,1,0,1,10,0,0,0,3,0,0,0,0,2,1,0,3,0,0,0,0,1,0,1,0,5,0,0,6,0,0,0,0,1,4,0,0,0,0,0,0,12,0,0,9,0,1,3,3,0,0,0,11,0,0
"Ant13",1,8,1,0,7,0,1,7,0,1,1,22,4,4,2,4,5,5,2,8,9,0,0,0,20,1,0,0,0,3,9,14,19,1,0,3,1,13,4,3,0,4,0,0,9,0,0,0,2,1,10,0,5,4,0,0,1,1,0,8,13,0,14,0,10,1,0,2,4,0,1
"Ant23",12,0,5,36,0,2,1,0,10,2,24,1,0,28,10,2,0,1,1,2,0,0,0,0,0,0,10,18,17,0,5,5,0,0,5,3,2,0,2,0,25,4,5,19,0,0,3,11,0,1,1,12,0,0,3,18,2,0,0,17,0,10,0,4,5,10,12,0,0,4,2
"Ant27",0,12,1,0,52,2,47,8,0,0,0,20,6,2,0,2,26,0,3,0,10,3,20,0,0,10,1,0,0,5,7,2,29,14,0,1,7,6,21,17,0,11,3,0,16,1,0,0,26,10,8,1,35,15,0,0,0,53,0,9,2,1,21,1,1,0,0,14,4,0,12
"Ant29",0,0,3,0,16,6,3,17,0,4,2,32,4,10,1,2,16,5,14,41,3,0,1,0,10,0,0,0,0,11,11,40,34,2,5,13,31,2,23,2,2,3,18,0,1,4,5,7,12,39,8,3,5,29,4,1,20,6,0,4,4,0,8,29,25,2,0,4,10,0,6
"Ant42",56,1,8,7,0,4,1,0,6,11,18,1,0,53,30,4,0,0,5,6,0,0,0,10,1,0,0,14,16,1,8,1,0,0,10,6,0,8,2,0,33,0,5,14,1,2,6,8,2,0,0,10,0,0,3,7,10,0,2,4,0,22,2,1,5,9,15,0,0,4,3
"Ant43",27,0,5,13,0,0,0,0,18,5,21,0,0,17,23,0,0,0,4,4,0,0,0,18,0,0,14,0,27,2,2,0,1,0,9,7,0,1,1,1,18,0,2,19,0,0,5,2,0,2,0,17,0,1,6,9,17,0,0,0,0,17,0,0,1,26,9,0,2,13,0
"Ant55",28,4,3,10,0,6,0,0,0,1,11,0,0,21,13,0,0,2,1,1,0,0,0,17,0,0,16,27,0,0,2,0,0,0,20,1,0,0,1,0,40,0,0,5,0,0,0,9,0,0,0,7,0,0,18,0,5,0,0,4,0,22,0,4,1,27,8,0,0,72,0
"Ant63",1,3,8,1,5,12,4,2,0,1,0,4,11,6,5,5,15,5,8,5,2,2,3,0,5,11,1,2,0,0,3,2,9,1,6,8,0,0,5,1,2,6,1,0,0,1,0,0,10,3,0,1,0,8,0,25,1,1,0,4,7,4,2,1,2,2,0,1,4,0,17
"Ant91",0,8,1,1,2,8,19,10,0,2,2,5,6,11,7,7,12,13,13,12,11,1,9,5,7,11,8,2,2,3,0,13,1,15,7,15,11,17,17,11,7,29,15,3,3,8,2,3,12,21,18,1,3,20,0,16,5,2,1,30,15,0,2,11,11,1,0,8,5,0,16
"Ant97",7,1,3,2,2,16,0,17,0,1,0,40,1,26,6,4,18,14,0,15,3,0,14,5,2,40,1,0,0,2,13,0,6,8,8,8,33,4,15,2,5,3,10,5,12,10,0,2,10,15,5,0,4,9,3,5,15,4,0,19,16,2,3,5,10,0,1,2,24,0,12
"Ant98",3,6,2,0,9,2,10,7,0,2,0,19,33,1,0,7,6,14,0,0,8,3,19,0,29,34,0,1,0,9,1,6,0,6,6,1,5,0,4,3,2,9,3,0,21,5,2,0,17,6,22,0,19,2,0,2,0,56,0,8,5,2,11,0,5,0,0,3,5,0,10
"Ant109",0,0,1,0,4,0,8,6,0,0,0,18,14,0,0,2,22,5,1,7,4,0,1,0,14,2,0,0,0,1,15,8,6,0,2,2,3,3,7,9,0,13,5,0,2,5,0,0,29,14,0,0,6,1,0,0,5,7,0,11,6,0,11,16,0,0,0,11,31,0,10
"Ant113",9,2,9,0,2,12,1,1,0,9,11,0,0,25,3,8,0,23,0,9,2,0,0,5,0,5,10,9,20,6,7,8,6,2,0,12,4,1,18,5,25,4,3,1,1,0,2,7,0,12,2,14,0,5,1,8,21,0,0,13,1,10,1,17,23,3,2,0,0,0,6
"Ant124",11,4,3,1,0,3,4,3,0,22,8,3,2,6,2,2,6,1,5,11,2,0,3,3,1,13,6,7,1,8,15,8,1,2,12,0,9,8,7,1,21,7,7,1,2,3,5,38,1,4,0,8,5,11,19,6,38,0,0,15,8,3,4,14,27,8,0,1,3,1,4
"Ant127",3,0,17,0,16,9,7,19,0,1,2,11,2,15,0,2,9,18,3,12,5,0,1,2,7,31,0,0,0,0,11,33,5,3,4,9,0,4,30,1,25,11,36,6,1,4,3,8,5,30,0,8,0,24,18,5,13,0,0,25,1,8,1,17,22,4,0,2,0,0,7
"Ant131",0,23,1,1,23,5,7,1,0,1,3,20,2,17,5,0,1,3,8,5,7,1,13,0,6,2,8,1,0,0,17,4,0,3,1,8,4,0,5,10,9,4,2,5,11,8,0,2,3,19,1,4,12,8,0,6,3,7,0,10,4,0,1,5,22,1,0,3,2,0,6
"Ant137",1,4,2,1,11,0,11,7,0,0,8,17,22,42,0,1,24,7,5,6,12,0,4,2,21,23,2,1,1,5,17,15,4,7,18,7,30,5,0,14,1,4,36,7,5,3,2,1,5,33,3,2,3,12,1,0,20,2,0,3,1,2,7,7,10,2,0,8,14,0,2
"Ant140",0,15,1,1,23,1,21,12,0,0,1,10,2,0,0,0,5,14,0,0,8,1,3,0,17,2,0,1,0,1,11,2,3,9,5,1,1,10,14,0,1,30,0,0,0,7,0,1,9,19,1,1,13,5,0,2,2,25,0,12,1,0,13,0,2,0,0,0,5,0,12
"Ant149",26,5,18,53,0,5,8,1,3,14,38,4,0,33,17,2,1,5,6,8,2,0,0,25,0,2,33,18,40,2,7,5,2,0,25,21,25,9,1,1,0,6,10,12,0,4,1,13,1,1,0,11,0,3,4,8,44,0,3,14,1,24,1,59,9,22,7,3,1,17,9
"Ant156",2,0,0,2,4,1,6,17,0,0,1,6,11,3,2,4,16,7,3,14,9,5,4,4,11,3,0,0,0,6,29,3,9,13,4,7,11,4,4,30,6,0,6,0,2,8,2,12,16,8,5,0,16,10,1,4,7,20,0,10,26,3,2,16,12,1,0,10,9,0,2
"Ant159",0,2,1,0,0,13,2,31,0,8,8,0,3,13,10,0,19,15,4,15,1,0,0,5,3,18,5,2,0,1,15,10,3,5,3,7,36,2,36,0,10,6,0,5,0,2,1,8,6,10,10,5,2,4,0,2,7,3,0,37,2,4,1,5,7,4,0,10,17,0,37
"Ant169",11,0,2,30,0,1,0,0,37,11,16,0,0,31,10,1,0,0,1,1,0,0,0,19,0,0,14,19,5,0,3,5,0,0,1,1,6,5,7,0,12,0,5,0,0,0,19,9,0,2,0,7,0,3,6,0,1,0,0,8,0,6,0,0,1,5,9,0,0,19,0
"Ant176",0,5,0,0,9,0,3,1,0,0,0,7,9,0,0,6,19,0,6,0,19,6,9,0,16,1,1,0,0,0,3,12,21,2,1,2,1,11,5,0,0,2,0,0,0,0,0,0,9,3,7,0,1,2,0,2,1,44,0,3,5,0,6,0,1,0,0,9,22,0,7
"Ant190",0,1,4,0,0,14,3,8,0,0,0,9,0,3,1,2,0,3,1,2,7,0,0,0,1,4,2,0,0,1,8,10,5,5,0,3,4,8,3,7,4,8,2,0,0,0,0,0,9,3,0,0,12,3,0,5,1,3,0,0,34,1,6,2,7,0,0,6,5,0,1
"Ant195",3,0,12,20,1,4,0,0,0,9,1,0,0,11,3,0,1,0,0,4,0,0,0,3,0,5,6,5,0,0,2,0,2,0,2,5,3,0,2,0,1,2,1,19,0,0,0,0,1,0,0,4,0,10,0,8,2,0,0,3,0,9,0,2,4,4,0,0,2,1,1
"Ant207",4,0,5,0,0,15,6,0,0,3,6,0,0,6,9,0,5,3,12,7,0,0,0,11,0,7,8,2,9,0,3,2,0,0,7,38,8,2,1,1,13,12,8,9,0,0,0,0,0,5,0,16,0,2,8,8,17,0,0,4,0,1,2,21,8,1,0,0,4,0,5
"Ant215",0,5,0,2,14,6,21,14,0,1,0,8,3,3,1,3,4,19,3,4,9,0,2,0,26,12,2,0,0,10,12,10,17,29,0,1,5,3,5,9,1,16,6,0,9,9,1,0,0,12,15,0,7,8,0,1,0,20,0,4,15,0,13,1,3,1,0,13,20,0,8
"Ant232",1,16,1,1,11,3,17,11,0,4,0,23,3,2,0,7,12,6,3,9,9,1,1,1,10,39,0,2,0,3,21,15,6,14,12,4,30,19,33,19,1,8,10,2,3,3,0,5,12,0,8,0,11,19,4,4,12,8,0,5,7,0,8,5,23,4,0,0,5,0,3
"Ant242",0,1,1,1,10,0,6,1,0,0,0,16,11,3,0,0,7,6,4,7,38,4,10,1,8,8,0,0,0,0,18,5,22,0,2,0,0,1,3,1,0,5,10,0,7,0,0,0,15,8,0,0,1,7,0,0,0,11,0,2,10,0,10,0,7,0,0,17,39,0,2
"Ant257",27,0,11,16,0,5,0,0,2,4,22,0,0,8,17,0,0,3,0,0,0,0,0,12,1,3,10,17,7,1,1,0,0,0,14,8,8,4,2,1,11,0,5,7,0,0,4,16,0,0,0,0,0,0,0,2,18,0,0,2,0,23,0,14,1,9,4,1,1,0,0
"Ant263",0,3,0,0,31,0,9,6,0,0,1,22,12,4,3,4,36,5,0,3,15,0,5,0,35,5,0,0,0,0,3,4,19,6,0,5,0,12,3,13,0,16,2,0,1,12,0,0,7,11,1,0,0,5,0,0,1,8,0,0,8,0,4,1,0,2,0,1,3,2,0
"Ant289",3,7,7,2,8,8,2,10,0,5,1,12,14,6,3,3,15,15,7,21,3,0,4,0,15,29,0,1,0,8,20,9,2,1,5,11,24,8,12,5,3,10,4,3,2,3,10,2,8,19,7,0,5,0,4,26,13,1,0,15,1,3,3,8,20,2,0,7,7,0,20
"Ant324",3,1,1,0,0,1,1,0,0,2,2,0,0,10,0,1,0,4,0,1,0,0,0,3,0,4,3,6,18,0,0,3,0,0,1,19,18,0,1,0,4,1,0,6,0,0,0,8,0,4,0,0,0,4,0,0,1,0,0,1,0,13,0,7,1,14,3,0,0,10,0
